Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,330.910004,332.760010,319.000000,331.320007,331.320007,20859400
2014-09-22,328.489990,329.489990,317.640015,323.209991,323.209991,14671300
2014-09-29,320.500000,325.160004,311.309998,322.739990,322.739990,14241200
2014-10-06,323.500000,324.130005,311.380005,311.390015,311.390015,15378300
2014-10-13,309.869995,313.200012,293.829987,303.640015,303.640015,22230000
2014-10-20,302.950012,318.980011,284.000000,287.059998,287.059998,38759000
2014-10-27,285.700012,305.720001,285.019989,305.459991,305.459991,25011000
2014-11-03,306.239990,308.010010,292.290009,299.859985,299.859985,17749900
2014-11-10,300.000000,332.880005,300.000000,327.820007,327.820007,21359900
2014-11-17,326.440002,338.329987,318.029999,332.630005,332.630005,19519300
2014-11-24,334.779999,341.260010,331.279999,338.640015,338.640015,10354600
2014-12-01,338.119995,340.640015,310.839996,312.630005,312.630005,19971700
2014-12-08,311.570007,316.559998,301.140015,307.320007,307.320007,17351000
2014-12-15,308.869995,310.859985,293.029999,299.899994,299.899994,31223600
2014-12-22,301.940002,310.779999,301.940002,309.089996,309.089996,11125100
2014-12-29,307.850006,314.750000,306.579987,308.519989,308.519989,9933200
2015-01-05,307.010010,308.380005,292.380005,296.929993,296.929993,14611400
2015-01-12,297.559998,301.500000,285.250000,290.739990,290.739990,20988400
2015-01-19,292.589996,316.929993,286.390015,312.390015,312.390015,22957300
2015-01-26,311.820007,359.500000,299.329987,354.529999,354.529999,41666500
2015-02-02,350.049988,378.799988,350.010010,374.279999,374.279999,31724800
2015-02-09,371.000000,383.000000,367.200012,381.829987,381.829987,14064500
2015-02-16,377.720001,383.700012,372.670013,383.660004,383.660004,12408500
2015-02-23,383.440002,389.369995,376.160004,380.160004,380.160004,12491700
2015-03-02,380.850006,388.420013,378.880005,380.089996,380.089996,11658900
2015-03-09,378.399994,379.329987,366.260010,370.579987,370.579987,13307800
2015-03-16,370.380005,379.369995,366.700012,378.489990,378.489990,12708200
2015-03-23,378.070007,381.769989,365.649994,370.559998,370.559998,13426800
2015-03-30,371.869995,377.700012,368.339996,372.250000,372.250000,8653400
2015-04-06,370.100006,387.119995,369.359985,382.649994,382.649994,12607800
2015-04-13,383.529999,387.809998,374.399994,375.559998,375.559998,12296600
2015-04-20,378.549988,452.649994,377.000000,445.100006,445.100006,38276500
2015-04-27,443.859985,446.989990,416.000000,422.869995,422.869995,20406800
2015-05-04,424.799988,435.200012,414.549988,433.690002,433.690002,13354200
2015-05-11,432.510010,439.000000,424.299988,426.000000,426.000000,12466600
2015-05-18,426.000000,436.899994,418.359985,427.630005,427.630005,13071100
2015-05-25,426.200012,432.500000,422.000000,429.230011,429.230011,9396300
2015-06-01,430.399994,438.390015,426.200012,426.950012,426.950012,11068800
2015-06-08,425.619995,438.890015,419.140015,429.920013,429.920013,11604800
2015-06-15,427.660004,444.989990,422.640015,434.920013,434.920013,14406800
2015-06-22,437.000000,447.040009,433.690002,438.100006,438.100006,12551400
2015-06-29,434.980011,440.000000,429.000000,437.709991,437.709991,8680600
2015-07-06,435.230011,444.720001,425.570007,443.510010,443.510010,12412900
2015-07-13,448.290009,485.420013,447.540009,483.010010,483.010010,20708200
2015-07-20,492.570007,580.570007,475.700012,529.419983,529.419983,42333000
2015-07-27,527.750000,544.950012,523.119995,536.150024,536.150024,23285400
2015-08-03,537.450012,542.739990,518.210022,522.619995,522.619995,16627900
2015-08-10,528.520020,534.659973,513.059998,531.520020,531.520020,14114500
2015-08-17,531.289978,539.489990,494.470001,494.470001,494.470001,18091500
2015-08-24,463.579987,522.690002,451.000000,518.010010,518.010010,30996700
2015-08-31,516.440002,519.409973,493.429993,499.000000,499.000000,16396800
2015-09-07,508.690002,529.950012,508.510010,529.440002,529.440002,13953300
2015-09-14,529.440002,546.969971,517.200012,540.260010,540.260010,18523700
2015-09-21,544.330017,549.780029,521.400024,524.250000,524.250000,16894600
2015-09-28,520.020020,532.599976,490.500000,532.539978,532.539978,22248700
2015-10-05,536.989990,551.500000,519.890015,539.799988,539.799988,19920100
2015-10-12,539.960022,570.940002,539.679993,570.760010,570.760010,18549000
2015-10-19,570.760010,619.450012,552.520020,599.030029,599.030029,30519000
2015-10-26,602.299988,630.719971,596.289978,625.900024,625.900024,19716000
2015-11-02,627.130005,662.260010,620.409973,659.369995,659.369995,19711200
2015-11-09,658.650024,675.960022,640.450012,642.349976,642.349976,23471400
2015-11-16,640.919983,672.859985,622.289978,668.450012,668.450012,24827200
2015-11-23,671.500000,682.770020,661.210022,673.260010,673.260010,13593200
2015-11-30,675.900024,684.820007,661.400024,672.640015,672.640015,24317400
2015-12-07,674.739990,679.989990,639.619995,640.150024,640.150024,21457500
2015-12-14,641.750000,682.500000,635.270020,664.140015,664.140015,23570500
2015-12-21,668.500000,669.900024,656.630005,662.789978,662.789978,9730800
2015-12-28,665.559998,696.440002,665.500000,675.890015,675.890015,16779400
2016-01-04,656.289978,657.719971,605.210022,607.049988,607.049988,33054100
2016-01-11,612.479980,625.989990,565.299988,570.179993,570.179993,32271000
2016-01-18,577.090027,600.099976,547.179993,596.380005,596.380005,22845900
