stock,sector
MMM,Industrials
ABT,Health Care
ABBV,Health Care
ACN,Information Technology
ATVI,Information Technology
AYI,Industrials
ADBE,Information Technology
AMD,Information Technology
AAP,Consumer Discretionary
AES,Utilities
AET,Health Care
AMG,Financials
AFL,Financials
A,Health Care
APD,Materials
AKAM,Information Technology
ALK,Industrials
ALB,Materials
ARE,Real Estate
ALXN,Health Care
ALGN,Health Care
ALLE,Industrials
AGN,Health Care
ADS,Information Technology
LNT,Utilities
ALL,Financials
GOOGL,Information Technology
GOOG,Information Technology
MO,Consumer Staples
AMZN,Consumer Discretionary
AEE,Utilities
AAL,Industrials
AEP,Utilities
AXP,Financials
AIG,Financials
AMT,Real Estate
AWK,Utilities
AMP,Financials
ABC,Health Care
AME,Industrials
AMGN,Health Care
APH,Information Technology
APC,Energy
ADI,Information Technology
ANDV,Energy
ANSS,Information Technology
ANTM,Health Care
AON,Financials
AOS,Industrials
APA,Energy
AIV,Real Estate
AAPL,Information Technology
AMAT,Information Technology
ADM,Consumer Staples
ARNC,Industrials
AJG,Financials
AIZ,Financials
T,Telecommunication Services
ADSK,Information Technology
ADP,Information Technology
AZO,Consumer Discretionary
AVB,Real Estate
AVY,Materials
BHGE,Energy
BLL,Materials
BAC,Financials
BK,Financials
BCR,Health Care
BAX,Health Care
BBT,Financials
BDX,Health Care
BRK.B,Financials
BBY,Consumer Discretionary
BIIB,Health Care
BLK,Financials
HRB,Financials
BA,Industrials
BWA,Consumer Discretionary
BXP,Real Estate
BSX,Health Care
BHF,Financials
BMY,Health Care
AVGO,Information Technology
BF.B,Consumer Staples
CHRW,Industrials
CA,Information Technology
COG,Energy
CPB,Consumer Staples
COF,Financials
CAH,Health Care
CBOE,Financials
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CAT,Industrials
CBG,Real Estate
CBS,Consumer Discretionary
CELG,Health Care
CNC,Health Care
CNP,Utilities
CTL,Telecommunication Services
CERN,Health Care
CF,Materials
SCHW,Financials
CHTR,Consumer Discretionary
CHK,Energy
CVX,Energy
CMG,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CI,Health Care
XEC,Energy
CINF,Financials
CTAS,Industrials
CSCO,Information Technology
C,Financials
CFG,Financials
CTXS,Information Technology
CLX,Consumer Staples
CME,Financials
CMS,Utilities
COH,Consumer Discretionary
KO,Consumer Staples
CTSH,Information Technology
CL,Consumer Staples
CMCSA,Consumer Discretionary
CMA,Financials
CAG,Consumer Staples
CXO,Energy
COP,Energy
ED,Utilities
STZ,Consumer Staples
COO,Health Care
GLW,Information Technology
COST,Consumer Staples
COTY,Consumer Staples
CCI,Real Estate
CSRA,Information Technology
CSX,Industrials
CMI,Industrials
CVS,Consumer Staples
DHI,Consumer Discretionary
DHR,Health Care
DRI,Consumer Discretionary
DVA,Health Care
DE,Industrials
DLPH,Consumer Discretionary
DAL,Industrials
XRAY,Health Care
DVN,Energy
DLR,Real Estate
DFS,Financials
DISCA,Consumer Discretionary
DISCK,Consumer Discretionary
DISH,Consumer Discretionary
DG,Consumer Discretionary
DLTR,Consumer Discretionary
D,Utilities
DOV,Industrials
DWDP,Materials
DPS,Consumer Staples
DTE,Utilities
DRE,Real Estate
DUK,Utilities
DXC,Information Technology
ETFC,Financials
EMN,Materials
ETN,Industrials
EBAY,Information Technology
ECL,Materials
EIX,Utilities
EW,Health Care
EA,Information Technology
EMR,Industrials
ETR,Utilities
EVHC,Health Care
EOG,Energy
EQT,Energy
EFX,Industrials
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EL,Consumer Staples
ES,Utilities
RE,Financials
EXC,Utilities
EXPE,Consumer Discretionary
EXPD,Industrials
ESRX,Health Care
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FB,Information Technology
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FIS,Information Technology
FITB,Financials
FE,Utilities
FISV,Information Technology
FLIR,Information Technology
FLS,Industrials
FLR,Industrials
FMC,Materials
FL,Consumer Discretionary
F,Consumer Discretionary
FTV,Industrials
FBHS,Industrials
BEN,Financials
FCX,Materials
GPS,Consumer Discretionary
GRMN,Consumer Discretionary
IT,Information Technology
GD,Industrials
GE,Industrials
GGP,Real Estate
GIS,Consumer Staples
GM,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GPN,Information Technology
GS,Financials
GT,Consumer Discretionary
GWW,Industrials
HAL,Energy
HBI,Consumer Discretionary
HOG,Consumer Discretionary
HRS,Information Technology
HIG,Financials
HAS,Consumer Discretionary
HCA,Health Care
HCP,Real Estate
HP,Energy
HSIC,Health Care
HSY,Consumer Staples
HES,Energy
HPE,Information Technology
HLT,Consumer Discretionary
HOLX,Health Care
HD,Consumer Discretionary
HON,Industrials
HRL,Consumer Staples
HST,Real Estate
HPQ,Information Technology
HUM,Health Care
HBAN,Financials
IDXX,Health Care
INFO,Industrials
ITW,Industrials
ILMN,Health Care
IR,Industrials
INTC,Information Technology
ICE,Financials
IBM,Information Technology
INCY,Health Care
IP,Materials
IPG,Consumer Discretionary
IFF,Materials
INTU,Information Technology
ISRG,Health Care
IVZ,Financials
IRM,Real Estate
JEC,Industrials
JBHT,Industrials
SJM,Consumer Staples
JNJ,Health Care
JCI,Industrials
JPM,Financials
JNPR,Information Technology
KSU,Industrials
K,Consumer Staples
KEY,Financials
KMB,Consumer Staples
KIM,Real Estate
KMI,Energy
KLAC,Information Technology
KSS,Consumer Discretionary
KHC,Consumer Staples
KR,Consumer Staples
LB,Consumer Discretionary
LLL,Industrials
LH,Health Care
LRCX,Information Technology
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LVLT,Telecommunication Services
LUK,Financials
LLY,Health Care
LNC,Financials
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LOW,Consumer Discretionary
LYB,Materials
MTB,Financials
MAC,Real Estate
M,Consumer Discretionary
MRO,Energy
MPC,Energy
MAR,Consumer Discretionary
MMC,Financials
MLM,Materials
MAS,Industrials
MA,Information Technology
MAT,Consumer Discretionary
MKC,Consumer Staples
MCD,Consumer Discretionary
MCK,Health Care
MDT,Health Care
MRK,Health Care
MET,Financials
MTD,Health Care
MGM,Consumer Discretionary
KORS,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MHK,Consumer Discretionary
TAP,Consumer Staples
MDLZ,Consumer Staples
MON,Materials
MNST,Consumer Staples
