"","A.Open","A.High","A.Low","A.Close","A.Volume"
"2011-09-15",37.12,37.23,36.08,37.04,4867301
"2011-09-22",31.09,31.59,30.73,31.29,6316569
"2011-09-29",32.5,32.89,31.36,32.52,4770676
"2011-10-06",31.97,33.56,31.45,33.54,5007133
"2011-10-13",33.33,33.41,31.89,32.47,8445226
"2011-10-20",33.13,33.85,32.48,33.73,4820086
"2011-10-27",37.8,40.4,37.06,37.84,8922117
"2011-11-03",36.81,37.45,36.04,37.13,4647653
"2011-11-10",36.9,37.49,36.38,36.86,3815149
"2011-11-17",38.34,38.56,36.9,37.21,4500765
"2011-12-01",37.3,38.38,37.05,37.82,3179192
"2011-12-08",36.23,36.39,34.32,34.42,4322737
"2011-12-15",33.53,33.78,33.19,33.45,3202680
"2011-12-22",33.91,35.04,33.91,34.84,1885829
"2011-12-29",34.14,35.13,34.03,35.06,1909236
"2012-01-05",35.88,37.32,35.72,37,4894590
"2012-01-12",39.14,39.58,38.36,39.52,2842229
"2012-01-19",41.37,42.31,41.11,41.85,3091731
"2012-01-26",44.27,44.85,42.48,42.66,5785686
"2012-02-02",44.21,44.5,43.66,43.72,2226523
"2012-02-09",45,45.35,44.3,45.09,2240960
"2012-02-16",43,43.95,41.76,43.83,7082760
"2012-02-23",42.73,43.64,42.5,43.41,2401397
"2012-03-01",43.74,44.28,43.5,44.16,2378544
"2012-03-08",43.9,44.62,43.16,44.28,3826158
"2012-03-15",45.1,45.92,44.85,45.86,2125987
"2012-03-22",43.99,43.99,43.22,43.71,3103746
"2012-03-29",44.1,44.53,43.95,44.46,2288333
"2012-04-05",43.66,44.98,43.56,44.77,4959410
"2012-04-12",42.62,43.68,42.5,43.53,1562912
"2012-04-19",42.41,42.59,41.56,41.92,2718493
"2012-04-26",41.12,42.07,41.09,41.99,2450358
"2012-05-03",43.15,43.15,42.15,42.21,1715372
"2012-05-10",40.61,40.9,39.68,39.74,2354709
"2012-05-17",41.9,41.91,39.62,39.63,4936154
"2012-05-24",40.84,41.15,40.45,41.02,2568724
"2012-05-31",41.46,41.62,40.27,40.66,4211709
"2012-06-07",40.55,40.56,39.72,39.96,4531689
"2012-06-14",39.09,39.66,38.87,39.35,2314841
"2012-06-21",40.69,41.08,39.03,39.12,3102860
"2012-06-28",38.05,38.14,37.18,37.72,2001449
"2012-07-05",39.26,39.84,39,39.37,1605475
"2012-07-12",36.89,36.91,36.25,36.52,2897013
"2012-07-19",38.16,38.6,37.96,38.46,2123402
"2012-07-26",36.94,37.5,36.4,36.61,3055431
"2012-08-02",37.9,38.23,37.05,37.75,2224107
"2012-08-09",40.56,40.96,40.44,40.8,2191198
"2012-08-16",37.5,38.17,36.76,37.15,12797045
"2012-08-23",37.23,37.56,37.07,37.47,4492168
"2012-08-30",36.96,37.23,36.91,37.04,2417843
"2012-09-06",37.11,37.54,36.71,37.48,4785295
"2012-09-13",37.46,38.48,37.18,38.38,5386175
"2012-09-20",39.55,39.75,38.77,39.23,4443261
"2012-09-27",38.49,38.83,38.24,38.58,3414670
"2012-10-04",39.22,39.64,38.86,39.2,5566460
"2012-10-11",37.77,38.18,37.63,37.63,3006082
"2012-10-18",37.59,37.6,36.45,36.64,6470873
"2012-10-25",36.19,36.22,35.75,36.11,3288955
"2012-11-01",36.04,37.15,35.95,37.1,3192396
"2012-11-08",37.58,37.65,36.84,36.88,3062642
"2012-11-15",36.14,36.64,35.69,35.75,5226280
"2012-11-29",38.09,38.58,38.01,38.34,3970737
"2012-12-06",38.54,38.75,38.12,38.32,3568694
"2012-12-13",40.39,40.42,39.64,39.8,3472617
"2012-12-20",40.58,41.39,40.42,41.36,3813776
"2012-12-27",40.82,40.89,40.01,40.64,2019759
"2013-01-03",41.94,42.14,41.58,42.03,4114289
"2013-01-10",43.64,44.12,43.33,43.67,3949070
"2013-01-17",43.64,44.43,43.52,43.87,4749545
"2013-01-24",44.56,45.2,44.43,44.66,3111905
"2013-01-31",44.35,44.87,44.31,44.78,3384082
"2013-02-07",44.9,45.06,44.43,45.01,3142595
"2013-02-14",44.72,44.78,44.36,44.58,3845682
"2013-02-21",42.14,42.14,41.47,41.63,3415149
"2013-02-28",41.78,42.06,41.45,41.48,3464502
"2013-03-07",43.3,43.48,42.81,43.25,2415405
"2013-03-14",43.03,43.38,43,43.32,2840603
"2013-03-21",42.45,42.76,41.63,41.65,4409084
"2013-03-28",42.08,42.08,41.5,41.97,2147900
"2013-04-04",40.54,41.47,40.54,41.41,3918841
"2013-04-11",42.35,43.93,42.33,43.86,5626492
"2013-04-18",41.77,42.25,41.48,41.83,3977304
"2013-04-25",43.05,43.25,42.66,42.73,2119838
"2013-05-02",41.49,41.72,41.24,41.48,3437642
"2013-05-09",42.97,43.2,42.63,43.16,3159293
"2013-05-16",45.43,45.84,44.97,44.99,4891062
"2013-05-23",45.7,45.93,45.2,45.74,3777408
"2013-05-30",46.21,47.05,46.01,46.05,3090824
"2013-06-06",44.5,45.01,44.21,45.01,3781151
"2013-06-13",43.87,44.56,43.66,44.49,2594941
"2013-06-20",43.11,43.11,41.85,42.32,6307980
"2013-06-27",42.56,43.29,42.52,43.08,3447018
"2013-07-11",45.69,45.98,45.43,45.72,2131803
"2013-07-18",45.66,46.05,45.55,45.9,1999719
"2013-07-25",46.62,46.9,46.39,46.66,1420233
"2013-08-01",45.51,46.2,45.32,46.04,2745041
"2013-08-08",46.5,46.55,45.64,45.85,1702407
"2013-08-15",47.59,48.17,46.85,46.96,6708341
"2013-08-22",46.89,48.33,46.8,47.97,3147986
"2013-08-29",46.63,47.03,46.42,46.8,1900662
"2013-09-05",47.82,48.09,47.58,47.68,1313188
"2013-09-12",48.9,48.94,48.49,48.62,1468485
"2013-09-19",52.92,53.47,50.75,50.98,18147108
"2013-09-26",51.96,52.12,51.46,52.09,2680307
"2013-10-03",51.56,51.57,50.91,51.06,1878510
"2013-10-10",50.29,51.2,50.29,50.99,2426300
"2013-10-17",51.25,52.7,51.13,52.65,3548418
"2013-10-24",50.67,51.22,50.67,51.12,1785894
"2013-10-31",51.15,51.33,50.45,50.76,1895510
"2013-11-07",51.08,51.2,49.84,50.05,3548823
"2013-11-14",51.2,51.2,50.36,50.54,2834883
"2013-11-21",53.8,54.55,53.7,54.1,2417644
"2013-12-05",53.35,53.8,53.12,53.5,1810391
"2013-12-12",54.63,55.52,54.3,55.26,2714297
"2013-12-19",57.56,57.83,57.07,57.38,1893211
"2013-12-26",57.24,57.71,57.24,57.46,714431
"2014-01-02",57.1,57.1,56.15,56.21,1916160
"2014-01-09",58.4,58.68,57.87,58.41,1757647
"2014-01-16",60.24,60.5,60.04,60.5,1835957
"2014-01-23",60.48,60.51,59.4,59.47,3063559
"2014-01-30",58.42,60.11,58.42,59.51,3743153
"2014-02-06",57.51,58.35,57.46,58.29,1609451
"2014-02-13",59.45,60.38,59.37,60.08,3097011
"2014-02-20",56.14,57.54,56.04,57.29,4629755
"2014-02-27",57.02,57.28,56.19,56.36,3123781
"2014-03-06",58.39,59.32,58.14,58.77,5178833
