"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume"
"2011-09-15",55.92,56.24,55.7,56.14,104454581
"2011-09-22",57.29,58.55,56.67,57.4,242120137
"2011-09-29",57.42,57.46,55.17,55.8,162841147
"2011-10-06",53.33,54.97,53.11,53.91,203145054
"2011-10-13",57.85,58.35,57.55,58.35,106545775
"2011-10-20",57.14,57.19,56.32,56.47,137382294
"2011-10-27",58.22,58.43,57.41,57.81,123713317
"2011-11-03",57.01,57.63,56.48,57.58,110381075
"2011-11-10",56.72,56.74,54.59,55.03,186245269
"2011-11-17",54.85,54.94,53.64,53.92,120030148
"2011-12-01",54.65,55.57,54.39,55.42,96794838
"2011-12-08",55.92,56.5,55.75,55.81,94089051
"2011-12-15",54.76,54.82,54.04,54.13,64112125
"2011-12-22",56.71,57.02,56.59,56.94,50589112
"2011-12-29",57.63,57.95,57.22,57.87,54039041
"2012-01-05",59.28,59.79,58.95,59.72,67816805
"2012-01-12",60.33,60.41,59.82,60.2,53180911
"2012-01-19",61.45,61.62,60.93,61.11,65434453
"2012-01-26",64.05,64.11,63.31,63.52,81057711
"2012-02-02",65.13,65.31,64.85,65.02,46698547
"2012-02-09",68.68,70.96,68.65,70.45,221053602
"2012-02-16",70.21,72.13,69.52,71.74,236137405
"2012-02-23",73.58,73.98,72.79,73.77,142006312
"2012-03-01",78.31,78.32,76.97,77.78,170813188
"2012-03-08",76.38,77.57,76.02,77.43,129110723
"2012-03-15",85.66,85.72,82.65,83.65,289917768
"2012-03-22",85.4,86.36,85.08,85.62,156032898
"2012-03-29",87.54,88.08,86.75,87.12,152059432
"2012-04-05",89.57,90.67,89.06,90.53,160318858
"2012-04-12",89.29,90.19,88.64,88.97,153582163
"2012-04-19",85.75,86.39,83.5,83.92,208678365
"2012-04-26",87.75,87.81,86.02,86.81,134016274
"2012-05-03",84.36,84.49,82.9,83.12,97637057
"2012-05-10",82.08,82.27,81.21,81.5,83317752
"2012-05-17",77.9,78.21,75.73,75.73,179304713
"2012-05-24",82.27,82.36,80.18,80.76,124049506
"2012-05-31",82.96,83.07,81.64,82.53,122977603
"2012-06-07",82.47,82.47,81.5,81.67,94993164
"2012-06-14",81.61,81.93,81.04,81.65,86460283
"2012-06-21",83.63,84.03,82.49,82.52,81626258
"2012-06-28",81.67,82,80.8,81.29,70760543
"2012-07-05",85.79,87.76,85.66,87.13,121095121
"2012-07-12",85.75,86.21,84.67,85.56,106997163
"2012-07-19",87.33,87.91,86.57,87.76,109214567
"2012-07-26",82.82,82.91,81.48,82.13,101702580
"2012-08-02",86.12,87.24,85.75,86.83,83062203
"2012-08-09",88.26,88.82,88.26,88.68,55452586
"2012-08-16",90.17,90.97,90.07,90.91,63694204
"2012-08-23",95.16,95.7,94.45,94.66,105029568
"2012-08-30",95.81,95.94,94.69,94.84,75672793
"2012-09-06",96.17,96.9,95.83,96.61,97845664
"2012-09-13",96.77,97.93,96.4,97.57,149589629
"2012-09-20",99.88,100.01,99.09,99.81,84141932
"2012-09-27",94.9,97.45,94.34,97.33,148522031
"2012-10-04",95.89,96.32,95.08,95.26,92688813
"2012-10-11",92.4,92.5,89.7,89.7,136520097
"2012-10-18",91.37,91.72,90,90.38,119155512
"2012-10-25",88.57,88.86,86.51,87.08,164081393
"2012-11-01",85.46,86.14,84.88,85.22,90361922
"2012-11-08",80.09,80.32,76.47,76.82,264036339
"2012-11-15",76.79,77.07,74.66,75.09,197477385
"2012-11-29",84.32,84.89,83.61,84.19,128674525
"2012-12-06",75.56,79.04,74.09,78.18,294301791
"2012-12-13",75.88,76.81,75.11,75.67,156314627
"2012-12-20",75.71,75.74,74.13,74.53,120421798
"2012-12-27",73.36,73.75,72.09,73.58,113779680
"2013-01-03",78.27,78.52,77.29,77.44,88240950
"2013-01-10",75.51,75.53,73.65,74.79,150285296
"2013-01-17",72.9,72.96,71.72,71.81,113412579
"2013-01-24",65.71,66.53,64.32,64.36,365212953
"2013-01-31",65.28,65.61,65,65.07,79833215
"2013-02-07",66.18,67.14,64.87,66.89,176145074
"2013-02-14",66.36,67.38,66.29,66.66,88876501
"2013-02-21",63.71,64.17,63.26,63.72,111795180
"2013-02-28",63.44,63.98,63.06,63.06,80628737
"2013-03-07",60.64,61.72,60.15,61.51,117117826
"2013-03-14",61.83,62.09,61.49,61.79,75968746
"2013-03-21",64.32,65.43,64.3,64.68,95813410
"2013-03-28",64.26,64.55,63.09,63.24,110745586
"2013-04-04",61.97,62.14,60.75,61.1,89664638
"2013-04-11",61.96,62.57,61.6,62.05,82154093
"2013-04-18",57.86,57.97,55.68,56.01,166574163
"2013-04-25",58.75,59.13,58.14,58.34,96209155
"2013-05-02",63.11,64.08,62.95,63.65,105506184
"2013-05-09",65.69,66.14,65.08,65.25,99687476
"2013-05-16",60.46,62.55,59.84,62.08,150866478
"2013-05-23",62.28,63.74,62.26,63.16,88345236
"2013-05-30",63.66,64.93,63.5,64.51,88428648
"2013-06-06",63.64,63.86,62.01,62.64,104268458
"2013-06-13",61.79,62.45,61.25,62.28,71528086
"2013-06-20",59.9,60.85,59.31,59.55,89374558
"2013-06-27",57.04,57.34,56.22,56.25,84350049
"2013-07-11",60.42,61.18,60.17,61.04,81618964
"2013-07-18",61.91,62.12,61.52,61.68,54760818
"2013-07-25",62.96,63.06,62.26,62.64,57420636
"2013-08-01",65.11,65.26,64.75,65.24,51562322
"2013-08-08",66.26,66.3,65.42,65.86,63999838
"2013-08-15",70.92,71.77,69.87,71.13,122573507
"2013-08-22",72.14,72.23,71.17,71.85,61051676
"2013-08-29",70.24,70.93,70.16,70.24,59913714
"2013-09-05",71.46,71.53,70.52,70.75,59091879
"2013-09-12",66.93,67.91,66.57,67.53,101012471
"2013-09-19",67.24,67.98,67.04,67.47,101134712
"2013-09-26",69.43,69.79,69.13,69.46,59305183
"2013-10-03",70.07,70.34,68.68,69.06,80688503
"2013-10-10",70.19,70.34,69.58,69.95,69650490
"2013-10-17",71.43,72.11,71.38,72.07,63398335
"2013-10-24",75,76.07,74.64,75.99,96191095
"2013-10-31",75,75.36,74.47,74.67,68923785
"2013-11-07",74.23,74.74,73.2,73.21,65655100
"2013-11-14",74.69,75.61,74.55,75.45,70605087
"2013-11-21",73.94,74.46,73.38,74.45,65506861
"2013-12-05",81.81,82.16,80.92,81.13,111895315
"2013-12-12",80.38,80.76,80,80.08,65572318
"2013-12-19",78.38,78.57,77.68,77.78,80239369
"2013-12-26",81.16,81.36,80.48,80.56,51002035
"2014-01-02",79.38,79.58,78.86,79.02,58791957
"2014-01-09",78.11,78.12,76.48,76.65,69905199
"2014-01-16",79.27,79.55,78.81,79.18,57471330
"2014-01-23",78.56,79.5,77.83,79.45,100978346
"2014-01-30",71.79,72.36,70.96,71.4,169762789
"2014-02-06",72.87,73.36,72.54,73.22,64497223
"2014-02-13",76.38,77.84,76.31,77.78,76960156
"2014-02-20",76.14,76.71,75.57,75.88,76529103
"2014-02-27",73.88,75.54,73.72,75.38,75557321
"2014-03-06",76.11,76.35,75.44,75.82,46423111
"2014-03-13",76.78,77.09,75.59,75.81,64435609
"2014-03-20",75.7,76.1,75.34,75.53,52099537
"2014-03-27",77.14,77.36,76.45,76.78,55507676
"2014-04-03",77.34,77.5,76.81,76.97,40648111
"2014-04-10",75.81,76.03,74.74,74.78,59912818
"2014-04-17",74.29,75.39,74.17,74.99,71106721
"2014-04-24",81.17,81.43,80.1,81.11,189978082
"2014-05-01",84.57,84.97,83.77,84.5,61052418
"2014-05-08",84.04,84.92,83.77,84,57574363
"2014-05-15",84.96,85.23,84.01,84.12,57711731
"2014-05-22",86.66,87.12,86.3,86.75,50218945
