"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume"
"2011-09-15",25.68,25.74,25.43,25.64,13366844
"2011-09-22",25.38,25.5,24.98,25.34,25218906
"2011-09-29",25.72,26.14,25.62,25.92,14891036
"2011-10-06",25.59,25.66,25.33,25.59,50782910
"2011-10-13",26.26,26.27,25.91,26.08,9673772
"2011-10-20",26.75,27.19,26.65,27.02,35035880
"2011-10-27",27.06,27.15,26.83,27.14,20228736
"2011-11-03",26.56,26.98,26.56,26.92,13863234
"2011-11-10",26.62,27.04,26.58,26.98,10811614
"2011-11-17",26.8,26.98,26.44,26.7,11496552
"2011-12-01",27.1,27.39,27.1,27.26,14400622
"2011-12-08",27.29,27.38,27.04,27.09,12489900
"2011-12-15",27.32,27.47,27.28,27.44,16347132
"2011-12-22",27.72,27.92,27.56,27.82,18383944
"2011-12-29",27.9,28.2,27.9,28.16,8880642
"2012-01-05",28.26,28.3,28.09,28.18,12589752
"2012-01-12",27.82,27.94,27.56,27.58,14901254
"2012-01-19",27.64,27.72,27.52,27.72,12727670
"2012-01-26",27.72,27.72,27.37,27.44,14568698
"2012-02-02",27.12,27.28,26.98,27.22,18378224
"2012-02-09",27.74,27.8,27.5,27.63,11227446
"2012-02-16",27.76,27.96,27.64,27.92,11989098
"2012-02-23",28.08,28.2,28.07,28.14,13539198
"2012-03-01",28.3,28.71,28.29,28.66,13090274
"2012-03-08",28.55,28.87,28.45,28.74,20816714
"2012-03-15",29.44,29.69,29.38,29.56,15903726
"2012-03-22",30.1,30.16,29.99,30.06,13502386
"2012-03-29",30.36,30.52,30.3,30.49,10640734
"2012-04-05",30.7,30.74,30.55,30.65,11798930
"2012-04-12",29.9,29.96,29.74,29.86,12895428
"2012-04-19",29.91,29.94,29.52,29.76,21989148
"2012-04-26",30.78,31.04,30.68,30.93,13461828
"2012-05-03",31.28,31.6,31.22,31.52,17362344
"2012-05-10",30.8,31.2,30.78,31.11,13841606
"2012-05-17",31.21,31.4,31.1,31.12,11846350
"2012-05-24",30.8,31.28,30.78,31.21,13978278
"2012-05-31",30.94,31.06,30.7,30.9,11223048
"2012-06-07",30.68,30.79,30.52,30.6,15775404
"2012-06-14",30.8,31.14,30.69,31.07,12286454
"2012-06-21",31.42,31.56,31.11,31.12,12019070
"2012-06-28",31.33,31.47,31.06,31.46,8628902
"2012-07-05",32.38,32.48,32.2,32.38,40013782
"2012-07-12",32.4,32.67,32.36,32.56,16080434
"2012-07-19",33.07,33.1,32.79,32.9,11038820
