"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume"
"2012-04-05",38.48,38.83,38.42,38.79,1575201
"2012-04-12",38.07,38.98,37.87,38.83,2496186
"2012-04-19",38.4,38.85,38.02,38.28,2874441
"2012-04-26",37.78,38.57,37.78,38.38,1651481
"2012-05-03",38.76,39.11,38.12,38.2,2177432
"2012-05-10",37.37,37.37,36.55,37.13,3186779
"2012-05-17",36.51,36.51,35.66,35.68,2689435
"2012-05-24",35.79,36.17,35.3,36,3224982
"2012-05-31",36.18,36.64,35.89,36.37,2957776
"2012-06-07",37.8,37.88,36.79,36.84,2257648
"2012-06-14",36.8,36.8,36.09,36.44,2253407
"2012-06-21",38.14,38.22,37.26,37.32,2123117
"2012-06-28",36.64,36.87,36.1,36.52,3074563
"2012-07-05",37.19,37.58,36.8,37.43,1593657
"2012-07-12",36.13,36.21,35.61,35.83,1970207
"2012-07-19",37.89,38.32,37.63,37.99,2894298
"2012-07-26",38.41,38.82,38.13,38.34,2500205
"2012-08-02",38.9,39.53,38.72,39.08,2250423
"2012-08-09",40.04,40.49,40.01,40.36,1520710
"2012-08-16",40.43,40.91,40.4,40.85,1011580
"2012-08-23",39.68,39.75,39.25,39.57,1820002
"2012-08-30",39.46,39.69,39.14,39.39,1557545
"2012-09-06",39.56,40.54,39,40.34,1918576
"2012-09-13",39.76,41.02,39.76,40.89,2342828
"2012-09-20",40.83,40.92,40.35,40.51,2116852
"2012-09-27",39,39.73,38.91,39.59,1946106
"2012-10-04",39.6,39.68,39.24,39.58,1428983
"2012-10-11",37.82,38.31,37.82,37.96,3521978
"2012-10-18",39.61,39.61,38.99,39.23,1365784
"2012-10-25",38.45,38.7,38.24,38.69,1693147
"2012-11-01",39.08,40.49,39.02,40.33,2461335
"2012-11-08",40.45,40.65,39.98,40,2488601
"2012-11-15",39.7,39.99,39.24,39.39,2632580
"2012-11-29",40.51,40.86,39.9,40.6,2170375
"2012-12-06",40.57,41.04,40.53,40.73,1877733
"2012-12-13",41.7,41.98,41.36,41.52,1539840
"2012-12-20",42.39,42.46,41.98,42.35,2323962
"2012-12-27",41.87,42.02,41.41,41.89,2134671
"2013-01-03",43.6,43.71,42.64,43.29,2952955
"2013-01-10",42.25,42.64,42.19,42.61,2275747
"2013-01-17",42.25,43.19,42.21,43.06,2567727
"2013-01-24",43.38,43.76,43.14,43.42,2379617
"2013-01-31",44.25,44.25,43.52,43.64,2649299
"2013-02-07",44.62,44.67,44.06,44.39,1817592
"2013-02-14",46.02,46.7,45.98,46.54,1991339
"2013-02-21",45.7,45.77,44.84,45.12,2923019
"2013-02-28",45.28,45.82,43.68,45.22,2627140
"2013-03-07",46.25,46.26,45.59,45.71,1976162
"2013-03-14",46.65,47,46.47,46.5,1902555
"2013-03-21",45.22,45.4,44.52,44.55,1645398
"2013-03-28",45.63,46.53,45.61,46.49,2095835
"2013-04-04",44.13,44.19,43.62,43.74,3513837
"2013-04-11",45.14,45.4,44.74,44.9,2459214
"2013-04-18",43.35,43.35,42.16,42.34,2802940
"2013-04-25",43.97,43.97,43.57,43.65,6025210
"2013-05-02",43.96,44.44,43.58,44.21,2883695
"2013-05-09",45.95,46.61,45.95,46.38,2240499
"2013-05-16",46.69,47.06,46.47,46.5,1745170
"2013-05-23",45.22,45.53,44.49,45.49,2468459
"2013-05-30",45.66,46.65,45.65,46.24,2269781
"2013-06-06",45.58,45.76,45,45.47,1837641
"2013-06-13",44.12,45.22,43.86,45.1,1527398
"2013-06-20",45.6,45.62,44.59,44.67,2047635
"2013-06-27",45.42,45.51,45.12,45.37,1627751
"2013-07-11",47.26,48.05,47.2,48,3064576
"2013-07-18",48.79,48.83,47.95,48.34,3021641
"2013-07-25",48.11,48.79,48.04,48.75,1601414
"2013-08-01",49.57,50,49.57,49.94,1454658
"2013-08-08",49.52,49.61,48.79,49.1,836506
"2013-08-15",48.46,48.48,47.8,47.83,1385393
"2013-08-22",47,47.59,46.84,47.24,1156431
"2013-08-29",46.05,46.77,45.93,46.49,1064418
"2013-09-05",47.51,47.68,47.21,47.29,1705326
"2013-09-12",48.27,48.38,47.86,47.96,1276732
"2013-09-19",48.73,48.75,48.24,48.38,1683847
