"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume"
"2011-09-15",28.73,29.43,28.54,29.41,4070259
"2011-09-22",27.48,28.13,27,27.66,6212279
"2011-09-29",29.23,29.57,28.65,29.29,4346237
"2011-10-06",27.12,28.01,26.41,27.99,3313730
"2011-10-13",30.84,31.03,30.36,30.99,3003504
"2011-10-20",31.07,31.37,30.05,31.27,3090296
"2011-10-27",33.54,36.35,33.49,35.62,7256201
"2011-11-03",34,35.32,33.28,35.16,2817559
"2011-11-10",33.09,33.42,32.43,32.72,3023320
"2011-11-17",35.82,35.89,33.86,34.45,5292233
"2011-12-01",34.14,34.51,33.85,34.27,2384037
"2011-12-08",34.36,34.75,33.86,33.92,2791937
"2011-12-15",31.61,31.68,30.48,31.07,3657201
"2011-12-22",30.36,30.83,30.15,30.46,2320721
"2011-12-29",29.93,30.5,29.88,30.4,1535953
"2012-01-05",30.1,31.23,29.82,30.82,3319597
"2012-01-12",32.33,32.46,31.84,32.3,1420642
"2012-01-19",34.43,36.12,34.38,35.43,6584248
"2012-01-26",36.45,37.97,36.25,36.55,5665068
"2012-02-02",37,37.9,36.78,36.82,2775949
"2012-02-09",38.35,38.61,37.98,38.4,2500633
"2012-02-16",38.71,39.65,38.63,39.53,2398368
"2012-02-23",37.69,38.61,37.4,38.2,4319301
"2012-03-01",38.06,38.52,37.3,37.99,2334923
"2012-03-08",36.19,36.67,36.19,36.52,2130521
"2012-03-15",39.09,40.21,39.04,40.08,3373996
"2012-03-22",41.13,41.29,40.81,41.1,2950185
"2012-03-29",41.62,42.24,41.28,42.04,3138353
"2012-04-05",40.88,41.54,40.3,41.44,3449671
"2012-04-12",39.83,40.7,39.66,40.46,1971650
"2012-04-19",41.3,41.87,40.34,40.58,2608066
"2012-04-26",39.24,40.28,39.06,40.19,1594965
"2012-05-03",40.19,40.26,38.83,38.92,1914880
"2012-05-10",37.05,37.17,35.46,36.18,2559187
"2012-05-17",35.91,36.03,34.7,34.73,3199782
"2012-05-24",32.26,32.26,31.67,31.86,4969970
"2012-05-31",32.16,32.28,31.44,32.02,2764271
"2012-06-07",33.47,33.74,32.54,32.65,2208141
"2012-06-14",31.74,32.24,31.19,32.08,1921098
"2012-06-21",34.69,34.69,32.98,33.05,1831640
"2012-06-28",33.13,33.54,32.24,32.83,1610713
"2012-07-05",34.49,34.79,34.02,34.65,1024304
"2012-07-12",30.27,31.58,30.12,31.26,3684669
"2012-07-19",32.42,33.56,32.18,33.44,2154004
"2012-07-26",32.82,33.83,32.67,33.48,3210094
"2012-08-02",33.69,34.31,33.19,33.78,2154338
"2012-08-09",35.2,35.51,34.97,35.17,1205008
"2012-08-16",34.61,34.89,34.02,34.67,3653546
"2012-08-23",35.37,36.21,34.96,35.71,5778564
"2012-08-30",30.85,30.87,30.19,30.41,2775186
"2012-09-06",31.6,33.08,31.51,32.77,5548593
"2012-09-13",32.48,32.97,32.21,32.74,2262534
"2012-09-20",33.57,33.71,33.41,33.61,2715175
"2012-09-27",32.56,33.41,32.37,33.3,1507454
"2012-10-04",33.25,33.62,32.69,33.18,4504455
"2012-10-11",31.29,31.41,30.92,31.01,2714480
"2012-10-18",32.29,32.35,31.43,31.59,2417912
