"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume"
"2011-09-15",37.73,37.83,37.46,37.64,3359635
"2011-09-22",36.93,37.19,36.64,37.08,5707936
"2011-09-29",38.04,38.48,37.98,38.47,8263839
"2011-10-06",37,37.69,36.97,37.62,3169273
"2011-10-13",38.16,38.37,37.85,38.31,1923519
"2011-10-20",38.65,39.05,38.59,38.96,2704171
"2011-10-27",39.82,40,39.43,39.7,4114322
"2011-11-03",39.72,40.08,39.59,39.87,12000755
"2011-11-10",38.96,39.05,38.56,38.84,3422377
"2011-11-17",38.7,38.71,38.07,38.33,3313707
"2011-12-01",39.5,39.79,39.42,39.62,3083140
"2011-12-08",39.75,39.77,39.2,39.29,2912130
"2011-12-15",39.04,39.81,39,39.74,5042195
"2011-12-22",41,41.42,40.9,41.37,3490510
"2011-12-29",41.4,41.63,41.37,41.54,1944326
"2012-01-05",40.85,41.09,40.67,40.95,4042238
"2012-01-12",41.33,41.45,41.11,41.35,2447863
"2012-01-19",41.55,41.62,41.01,41.1,4582256
"2012-01-26",41.23,41.53,41.01,41.28,11512204
"2012-02-02",39.49,39.69,39.22,39.57,3805363
"2012-02-09",39.42,39.47,39.16,39.37,4551061
"2012-02-16",39.6,40.2,39.52,39.91,3213393
"2012-02-23",39.93,39.94,37.66,37.91,21268646
"2012-03-01",37.76,37.92,37.46,37.73,4855846
"2012-03-08",38.43,38.43,38.11,38.19,3070726
"2012-03-15",38.34,38.6,38.22,38.41,5222796
"2012-03-22",38.29,38.38,38.08,38.3,3078675
"2012-03-29",38,38.29,37.9,38.28,3746873
"2012-04-05",38.41,38.47,37.96,37.99,4047797
"2012-04-12",37.3,37.42,37.09,37.37,5655612
"2012-04-19",37.9,38.02,37.68,37.89,3538928
"2012-04-26",38.47,38.62,38.29,38.61,11299279
"2012-05-03",38.74,38.97,38.51,38.55,2988316
"2012-05-10",38.4,38.57,38.31,38.36,2489486
"2012-05-17",37.65,37.72,37.43,37.43,2518445
"2012-05-24",37.8,38.12,37.7,37.98,2044535
"2012-05-31",38.21,38.7,38.2,38.51,2874933
"2012-06-07",39.59,39.64,39.42,39.48,2760159
"2012-06-14",39.75,39.93,39.57,39.84,3144535
"2012-06-21",39.69,39.89,39.09,39.1,2964823
"2012-06-28",39.5,39.94,39.49,39.93,1854360
"2012-07-05",40.99,41.21,40.78,41.04,3935977
"2012-07-12",40.99,41.45,40.94,41.34,2975794
"2012-07-19",41.87,42,41.62,42,2908206
"2012-07-26",41.6,42.06,41.5,41.95,2510649
"2012-08-02",42.05,42.06,41.52,41.82,3140170
"2012-08-09",42.61,43.96,42.61,43.37,6701888
"2012-08-16",43.21,43.5,43.12,43.25,2638663
"2012-08-23",42.63,42.68,42.42,42.6,2708958
"2012-08-30",42.86,42.88,42.68,42.8,1693111
