"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume"
"2011-09-15",35.5,36.24,35.13,36.23,4318596
"2011-09-22",32.39,32.56,31.37,32.02,11117088
"2011-09-29",34.72,35.88,34.67,35.88,6205618
"2011-10-06",37.22,38.4,36.92,38.23,5045504
"2011-10-13",40.24,40.47,39.4,40.28,4561695
"2011-10-20",41.32,41.6,40.23,41.37,5149011
"2011-10-27",45.95,47.98,45.85,46.37,8541809
"2011-11-03",45.11,45.83,44.01,45.69,4730159
"2011-11-10",44.22,44.49,43.29,43.71,4091084
"2011-11-17",43.24,43.7,41.72,41.96,4877100
"2011-12-01",43.35,43.48,42.67,43.04,2501237
"2011-12-08",44.47,44.52,42.54,42.68,4198975
"2011-12-15",42.37,42.56,41.12,41.2,4905237
"2011-12-22",41.83,42.59,41.54,42.42,2504920
"2011-12-29",42.55,43.5,42.5,43.27,2549285
"2012-01-05",44.09,45.27,43.33,44.86,3121698
"2012-01-12",44.46,44.86,43.5,44.07,3856794
"2012-01-19",45.56,47.25,45.56,47.13,8641724
"2012-01-26",49.59,49.59,48.3,48.78,4334728
"2012-02-02",48.5,48.67,47.75,48.48,3424870
"2012-02-09",49.5,49.68,48.56,49.03,2891250
"2012-02-16",47.86,48.6,47.73,48.18,3418974
"2012-02-23",46.97,47.47,46.88,47.24,3124194
"2012-03-01",47.37,48.09,47.16,47.41,2859865
"2012-03-08",45.64,45.64,44.37,44.76,4531965
"2012-03-15",46.28,47.52,46.05,47.5,3898651
"2012-03-22",46.37,46.41,45.34,45.6,3134311
"2012-03-29",46.16,46.32,45.23,45.8,3756942
"2012-04-05",44.77,44.97,44.42,44.8,2178507
"2012-04-12",43.1,44.24,43.09,44.21,4070775
"2012-04-19",42.88,42.99,41.93,42.29,4223638
"2012-04-26",45.15,45.25,44.31,45.02,4658507
"2012-05-03",44.99,45.3,44.3,44.35,3688706
"2012-05-10",43.35,43.74,42.96,43.09,3068022
"2012-05-17",41.17,41.38,39.66,39.82,7342226
"2012-05-24",40.12,40.13,39.18,39.68,3080519
"2012-05-31",39.75,40.39,39.07,40.08,4551535
"2012-06-07",40.95,41.76,40.71,40.9,5725057
"2012-06-14",40.4,41.7,40.19,41.63,4283121
"2012-06-21",42.54,42.81,40.89,41.07,2854704
"2012-06-28",40.19,41.03,40.07,41,2716860
"2012-07-05",42.99,43.25,42.6,42.95,1758578
"2012-07-12",42.67,42.9,42.16,42.44,2169643
"2012-07-19",44.02,44.27,43.77,44.04,2077240
"2012-07-26",42.1,42.39,41.13,41.48,4152377
"2012-08-02",43.49,43.55,42.39,43.14,5660082
"2012-08-09",45.2,45.91,45.03,45.7,2564286
"2012-08-16",45.7,46.07,45.38,45.9,2018199
"2012-08-23",45.99,46.04,45.47,45.71,1521360
"2012-08-30",46.05,46.25,45.76,46.02,1390493
"2012-09-06",46.34,47.45,46.26,47.41,3305745
"2012-09-13",48.54,49.52,47.91,49.34,2950168
"2012-09-20",48.43,48.75,48.03,48.65,2057448
"2012-09-27",47.05,47.79,46.96,47.72,2364229
"2012-10-04",47.85,48.5,47.7,48.43,1958993
"2012-10-11",48.01,48.57,47.99,48.29,1913757
"2012-10-18",50.07,50.46,49.73,50.11,2809679
"2012-10-25",49.89,50.18,49.41,50.03,2673806
"2012-11-01",49.96,51.07,49.81,50.94,3068795
"2012-11-08",50.59,51.03,49.71,49.72,3049192
"2012-11-15",49.69,50.71,49.5,50.14,4079628
"2012-11-29",52.09,52.75,52,52.67,2429442
"2012-12-06",53.51,53.82,52.82,53.8,2408312
"2012-12-13",54.17,54.5,53.33,53.42,2050450
"2012-12-20",54.52,54.71,53.95,54.7,2149434
"2012-12-27",53.57,53.59,52.45,53.01,3050608
"2013-01-03",53.62,53.62,52.11,52.7,5144835
"2013-01-10",52.98,53.41,52.67,53.37,2403368
"2013-01-17",51.6,51.98,51.05,51.44,4479802
"2013-01-24",53.19,53.95,53.02,53.61,3537481
"2013-01-31",52.41,53.21,52.19,53.06,2714929
"2013-02-07",51.18,51.24,49.92,50.18,4993965
"2013-02-14",48.43,48.93,48.17,48.83,4984415
"2013-02-21",49.83,49.83,49.1,49.58,4033127
"2013-02-28",49.86,50.42,49.64,49.95,3098224
"2013-03-07",51.3,51.62,50.69,51.57,3184258
"2013-03-14",50.89,51.03,50.5,50.66,2662207
"2013-03-21",50.51,51.35,50.25,51.06,4576228
"2013-03-28",51.91,52.09,51.61,52.02,1946510
"2013-04-04",52.5,52.56,51.2,51.5,5335293
"2013-04-11",50.29,50.38,49.66,49.81,2851295
"2013-04-18",49.19,49.33,48.56,48.9,2467933
"2013-04-25",51.23,53,51.22,52.57,6329353
"2013-05-02",54.64,55.1,54.38,54.94,2616892
"2013-05-09",55.94,56.03,54.75,54.85,3826397
"2013-05-16",54.5,54.88,54.09,54.32,2893192
"2013-05-23",54.67,55.24,54.48,55.06,2643754
"2013-05-30",55.84,56.96,55.75,56.52,2253986
"2013-06-06",55.17,56.75,54.77,56.57,3576740
"2013-06-13",56.1,57.63,56.06,57.46,2733448
"2013-06-20",56.75,57.53,56.72,56.95,2866163
"2013-06-27",57.65,58.32,57.41,58.2,2742675
"2013-07-11",59.07,59.38,58.67,59.25,1874467
"2013-07-18",59.35,59.63,59.08,59.33,1910043
"2013-07-25",60.67,60.69,59.75,60.46,2501585
"2013-08-01",62.39,63.63,62.21,63.54,2875069
"2013-08-08",61.46,62.16,61,61.91,2086404
"2013-08-15",60.96,61.14,60.17,60.39,2438043
"2013-08-22",59.52,60.18,59.41,59.94,1239818
"2013-08-29",57.75,58.44,57.36,57.92,1349170
"2013-09-05",58.89,59.32,58.77,58.92,1068017
"2013-09-12",60.9,61.18,60.51,60.87,1702915
"2013-09-19",62.96,63,61.94,62.16,2967163
"2013-09-26",62.16,62.65,62.09,62.51,1438157
"2013-10-03",62.91,63.19,62.18,62.91,1723305
"2013-10-10",63.04,63.65,62.96,63.61,1601371
"2013-10-17",65.48,66.18,65.32,66.11,1599010
"2013-10-24",65.85,66.18,65.31,66.14,1305202
"2013-10-31",64.77,65.33,64.65,64.98,3363833
"2013-11-07",64.92,65.58,64.22,64.26,2228974
"2013-11-14",66.28,67.5,66.2,67.47,2148795
"2013-11-21",66.22,66.79,66.08,66.54,1922675
"2013-12-05",65.45,66.35,65.35,65.7,1938857
"2013-12-12",65.82,65.99,65.54,65.64,2286007
"2013-12-19",66.24,66.4,65.9,66,2468104
"2013-12-26",66.41,67.43,66.32,67.11,1313524
"2014-01-02",66.63,66.69,65.81,65.96,1914657
"2014-01-09",64.69,64.85,64.09,64.27,2311941
"2014-01-16",64.79,65.15,64.55,64.83,1658315
"2014-01-23",64.2,64.3,63.26,63.56,2022913
"2014-01-30",62.55,63.35,62.45,63.2,1574017
"2014-02-06",61.6,62,61.37,61.73,2172052
"2014-02-13",62.18,62.82,62,62.79,1303411
"2014-02-20",62.57,63.06,62.34,62.92,1529910
"2014-02-27",62.5,63.4,62.49,63.38,1530491
"2014-03-06",65.11,65.62,65.09,65.22,1356258
"2014-03-13",65.08,65.2,64.03,64.18,1527783
"2014-03-20",63.23,63.65,62.94,63.21,2886096
"2014-03-27",62.66,62.71,62.1,62.27,1569002
"2014-04-03",63.79,64.18,63.57,64.02,1308999
"2014-04-10",63.04,63.38,61.76,61.76,2468351
"2014-04-17",62.52,63.23,62.52,63.05,1558786
"2014-04-24",62.92,62.92,61.84,62.16,2072921
"2014-05-01",62.69,63.49,62.43,63.17,1670655
"2014-05-08",62.53,63.25,62.5,63.02,1417141
"2014-05-15",62.52,62.61,61.25,61.89,2109887
"2014-05-22",62.05,62.05,61.24,61.86,1733351
"2014-05-29",61.05,61.59,60.94,61.44,1964262
"2014-06-05",61.98,62.05,61.61,61.95,1793776
"2014-06-12",62.4,62.59,61.89,62.08,1411748
"2014-06-19",63.05,63.06,62.54,62.82,1337188
"2014-06-26",62.54,62.7,61.98,62.63,1054775
"2014-07-03",62.85,63.55,62.75,63.29,1188340
"2014-07-10",62.13,62.65,62.13,62.42,1347128
"2014-07-17",63.15,64.2,62.79,63.18,1990238
"2014-07-24",63.74,64.02,63.53,63.93,986896
"2014-07-31",60.93,61.2,59.64,59.74,3268182
"2014-08-07",59.23,59.56,58.56,58.68,1775140
"2014-08-14",59.65,60.18,59.6,60.11,1262295
"2014-08-21",60.98,61.45,60.65,61.01,3928680
"2014-08-28",61.11,61.5,60.82,61.24,1071785
"2014-09-04",61.3,61.65,61.07,61.24,1207109
"2014-09-11",59.57,59.89,59.5,59.79,2176935
"2014-09-18",58.52,58.86,58.52,58.69,2751684
"2014-09-25",58.32,58.52,57.86,58.08,2701505
"2014-10-02",57.56,57.83,57.14,57.67,2555731
"2014-10-09",57.69,57.77,56.85,56.93,2656253
"2014-10-16",55.02,56.17,54.99,55.86,4166556
"2014-10-23",58.3,58.38,57.94,58.08,2033557
"2014-10-30",59.6,60.26,59.38,60.04,2493203
"2014-11-06",59.79,59.79,59.19,59.53,2025872
"2014-11-13",59.22,59.41,58.92,59.14,1610248
"2014-11-20",58.67,59.13,58.55,59,1710444
"2014-12-04",59.72,59.72,59,59.43,1495994
"2014-12-11",59.53,59.95,59.44,59.57,2053465
"2014-12-18",59.75,60.32,59.5,60.32,2400337
"2015-01-08",59.74,60.32,59.46,59.9,2293811
"2015-01-15",57.35,58.27,57.3,57.36,2289849
"2015-01-22",58.36,59.24,58.02,59.15,1849455
"2015-01-29",57.42,57.82,56.95,57.65,1550584
"2015-02-05",60.32,61.03,60.24,60.98,2738296
"2015-02-12",61.48,62.06,61.37,61.8,2545419
"2015-02-19",61.63,62,61.44,61.78,1058480
"2015-02-26",61.94,62.23,61.78,62.18,1911165
