"","AGN.Open","AGN.High","AGN.Low","AGN.Close","AGN.Volume"
"2013-10-03",145.89,147.47,144.49,144.49,2283842
"2013-10-10",138.8,142.85,138.8,140.68,1318205
"2013-10-17",142.67,147.22,142.66,146.87,1427098
"2013-10-24",146.42,147.12,145.56,146.42,1080480
"2013-10-31",156.39,157.13,154.57,154.58,1425501
"2013-11-07",156.09,158.49,153.42,154.41,1514397
"2013-11-14",163.35,164.49,162.07,163.43,931813
"2013-11-21",163.58,164.91,162.18,162.95,750694
"2013-12-05",161.05,163.45,159.97,162.9,1227511
"2013-12-12",160.3,161.42,158.76,159.38,1326473
"2013-12-19",163.9,166.04,163.33,165.29,872167
"2013-12-26",165.08,166.73,164.07,165.63,714677
"2014-01-02",167.33,170.71,166.59,168.05,1268722
"2014-01-09",179.64,183.14,177.73,179.94,1697753
"2014-01-16",181.2,181.8,179.6,180.72,1625903
"2014-01-23",186.18,186.67,181.34,183.17,1662088
"2014-01-30",184.78,188.02,183.54,186.69,2050938
"2014-02-06",183.95,184.61,181.85,182.86,1742769
"2014-02-13",189.82,191.86,187.26,191.63,1117230
"2014-02-20",211.45,222.24,210.49,220.37,5883445
"2014-02-27",226.91,229.3,225.45,227.15,2087238
"2014-03-06",224.96,225.45,213.88,213.95,4153983
"2014-03-13",213.03,217.21,210.18,210.9,2387109
"2014-03-20",216.58,218.73,214.18,215.72,1609190
"2014-03-27",202.92,205.54,198.4,202.87,2811937
"2014-04-03",208.1,209.65,204.61,206.98,2175298
"2014-04-10",202,202.05,190.12,191.29,3877265
"2014-04-17",198.49,200.88,195.37,197.39,1522676
"2014-04-24",204.02,204.77,198.74,202.63,2139103
"2014-05-01",204.67,212.68,204.33,207.77,3070420
"2014-05-08",201.13,203.05,195.55,197.05,2493584
"2014-05-15",205.13,206.25,202.51,205.55,1634754
"2014-05-22",208.14,215,207.65,212.52,2564035
"2014-05-29",211.55,213.79,210.11,213.45,1290140
"2014-06-05",211.75,212.78,207.7,208,2286406
"2014-06-12",208.99,211.9,207.45,208.28,1377409
"2014-06-19",216.8,217.71,213.41,215.25,1899313
"2014-06-26",222.89,225.25,221.61,224.09,1884632
"2014-07-03",222.05,222.9,219.35,221.58,1801482
"2014-07-10",213.47,217.16,213.28,216.52,1413748
"2014-07-17",217.15,217.99,213.22,213.66,1838823
"2014-07-24",219.41,219.75,217.65,218.68,1812111
"2014-07-31",213.14,214.8,210.78,214.26,3033499
"2014-08-07",206.41,207.51,203.12,203.94,3358174
"2014-08-14",207.15,213.41,207.01,212.64,2402385
"2014-08-21",227,228.12,223.52,226.25,2144252
"2014-08-28",224.97,227.06,224.81,226.59,678032
"2014-09-04",229.7,232.39,228.55,229.86,1794671
"2014-09-11",230.88,233.37,229.79,232.74,1180484
"2014-09-18",239.46,240.34,236.41,237.93,1616406
"2014-09-25",248,249.94,244,244.53,1732246
"2014-10-02",238.73,240.38,235.24,236,2235467
"2014-10-09",246.75,248.56,242.01,242.28,2209330
"2014-10-16",214.34,224.78,210.95,222.07,2779891
"2014-10-23",233.72,239.18,233.1,237.21,1891381
"2014-10-30",238.36,243.87,237.36,243.21,1695030
"2014-11-06",250.2,254.13,248.22,250.38,3833910
"2014-11-13",241.97,246.25,240.84,241.63,2198411
"2014-11-20",264.58,267.2,257.35,258.49,5876104
"2014-12-04",266.35,267.97,265.78,267.5,2383223
"2014-12-11",259.66,265.1,259.66,263,2732624
"2014-12-18",264.7,268.37,262.19,263.75,3315503
"2015-01-08",268,270.05,266.47,268.96,2978195
"2015-01-15",267,268.86,263.05,263.75,2570304
"2015-01-22",275.9,279.22,273.63,278.01,2579320
"2015-01-29",275.12,275.12,269.2,273.25,2359986
"2015-02-05",266.69,276.64,266.67,274.67,4285292
"2015-02-12",280.18,281.75,276.75,281.66,1526902
"2015-02-19",281.67,291.23,281.51,289.44,5164168
"2015-02-26",290.25,291.7,286.59,289.78,3206511
"2015-03-05",297.1,298.23,293.72,295.7,2199051
"2015-03-12",294.74,299.88,293.39,298.63,4087769
"2015-03-19",313,315.38,310.71,314.41,3595850
"2015-03-26",298,305.34,297.2,301.32,3274209
"2015-04-02",297.92,299.86,295.3,298.37,2279375
"2015-04-09",295.93,297.86,291.72,292.27,3064778
"2015-04-16",297.5,298.92,295.16,296.45,2297265
"2015-04-23",294.16,299.21,294.12,298.36,2218057
"2015-04-30",287.27,289.6,280.14,282.86,2818764
"2015-05-07",284,290.84,283.51,287.3,2389858
"2015-05-14",298.15,298.31,294.81,297.46,1515552
"2015-05-21",298.16,301.77,296.16,301.22,2214844
"2015-05-28",308.46,315,308.41,313.08,3943837
"2015-06-04",306.21,308.24,301.39,303.38,1701203
"2015-06-11",302.24,303.12,300.32,301.92,1606136
"2015-06-18",299.78,304.81,299.22,302.47,2123566
"2015-06-25",309.25,312,307.98,309.15,1344669
"2015-07-02",309.19,309.79,305.01,307.51,1084483
"2015-07-09",303,305.83,301.88,304.1,1789335
"2015-07-16",320.13,322,315.5,317.37,1605232
"2015-07-23",316.13,317.08,314.07,314.95,1135650
"2015-07-30",337.08,337.49,328.81,328.87,2790997
"2015-08-06",337,339,319.35,319.47,3968866
"2015-08-13",314,320.19,313.15,315.65,1741795
"2015-08-20",316.13,318.99,307.39,307.39,2631815
"2015-08-27",310,315,305.49,312,2737598
"2015-09-03",301.8,306.24,296,297.44,1642684
"2015-09-10",293.75,299.47,292.88,293.6,1697510
"2015-09-17",304.76,306.65,295.02,301.05,3969399
"2015-09-24",286.45,291.38,279.6,290.56,3591656
"2015-10-01",270.6,282.98,266.09,282.35,4724426
"2015-10-08",268.67,277.87,265.51,276.16,3983399
"2015-10-15",262.9,274.13,261.17,274.08,3969705
"2015-10-22",257.85,259,243.02,253.04,7640048
"2015-10-29",310.4,316.8,301.33,304.38,19242438
"2015-11-05",308.59,313.42,305.01,309.43,2969141
"2015-11-12",307.32,314.19,300,300.04,6595787
"2015-11-19",304.48,309,299.45,302.05,9585378
"2015-12-03",317.33,317.92,310.76,312.95,3155172
"2015-12-10",306.54,310.45,305.7,305.7,3740695
"2015-12-17",309.03,313.29,307.83,309.51,3910115
"2015-12-24",310,312.41,309.66,311.23,713306
"2015-12-31",313.26,315.06,312,312.5,1599908
"2016-01-07",299.84,306.06,299.06,303.15,3019830
"2016-01-14",286.64,300.57,286.01,299.12,3131615
"2016-01-21",294.57,301.41,292.03,295.79,2397659
"2016-01-28",291.1,291.74,278.35,281.76,3789716
"2016-02-04",275.81,276.93,267.45,272.45,3772952
"2016-02-11",272.56,277.45,271.83,274.55,2287917
"2016-02-18",280.58,285.29,276.71,277.98,2496176
"2016-02-25",285.42,297.18,285.03,296.34,3861269
"2016-03-03",291,293.21,286.11,289.62,2327574
"2016-03-10",292.49,293.75,287.54,289.25,2130124
"2016-03-17",273.35,276.08,265.6,272.7,5379768
"2016-03-24",278.13,281.28,278.05,279.32,2238891
"2016-03-31",276.45,276.45,267.48,268.03,3756757
"2016-04-07",246.17,246.74,237.22,241,9945101
"2016-04-14",220.92,221.76,215.15,216.39,6987131
"2016-04-21",228.29,229.75,225.61,227.49,3648625
"2016-04-28",220.9,222.23,218.42,218.85,2344930
"2016-05-05",214.62,214.9,209.77,210.34,3097989
"2016-05-12",223.99,226.25,214.71,216.02,5082869
"2016-05-19",228.5,230.13,225.02,226.89,2904061
"2016-05-26",226.65,233.5,226.06,232.36,2324439
"2016-06-02",243.5,247.39,241.3,247.12,5234694
"2016-06-09",249.68,251,245.38,247.4,3503500
"2016-06-16",238.48,239.88,234.32,237.29,3102432
"2016-06-23",230.94,233.75,228.07,233.51,2745614
"2016-06-30",230.99,231.71,227,231.09,2849007
"2016-07-07",236.25,238.12,234.8,238.01,1687191
"2016-07-14",243.59,244.95,241.17,244.21,2136130
"2016-07-21",247,248.79,245.6,247.84,2409801
"2016-07-28",259.75,260.24,255.01,255.56,3852618
"2016-08-04",254.26,255.25,252.12,253.45,2142314
"2016-08-11",252.24,255.88,252.11,253.02,2881263
"2016-08-18",253.87,255.04,252.51,252.93,1708212
"2016-08-25",243,244.27,232.05,236.31,6131921
"2016-09-01",235.22,238.4,233.62,237.76,2827680
"2016-09-08",238.01,242.27,237.38,241.69,2545003
"2016-09-15",244.08,248.49,244.01,246.44,3705193
