"","AIV.Open","AIV.High","AIV.Low","AIV.Close","AIV.Volume"
"2011-09-15",26.75,26.91,26.49,26.86,2204069
"2011-09-22",23.51,23.95,22.91,23.24,3032592
"2011-09-29",23.17,23.25,22.38,22.87,2319172
"2011-10-06",21.75,22.45,21.49,22.43,1983438
"2011-10-13",22.46,22.9,22,22.71,1856604
"2011-10-20",23.52,24,23.19,23.93,2517179
"2011-10-27",26.68,27.17,26.35,26.86,2837277
"2011-11-03",23.81,23.82,22.75,23.2,4481545
"2011-11-10",22.44,22.86,22.34,22.82,2592751
"2011-11-17",22.4,22.46,21.7,21.9,2158794
"2011-12-01",21.76,21.88,21.42,21.75,2250504
"2011-12-08",21.66,21.7,21.02,21.1,1416751
"2011-12-15",21.53,21.96,21.39,21.66,1479024
"2011-12-22",22.82,23.14,22.77,22.99,879292
"2011-12-29",22.68,23.03,22.63,22.9,596024
"2012-01-05",22.65,23.12,22.55,23.11,951735
"2012-01-12",23.18,23.31,22.38,22.4,2145282
"2012-01-19",23.56,24,23.52,23.76,2065649
"2012-01-26",24.58,24.93,24.57,24.75,1889806
"2012-02-02",24.82,24.86,24.57,24.73,1160030
"2012-02-09",25.41,25.51,25.11,25.24,1994100
"2012-02-16",24.7,25,24.64,24.95,1320287
"2012-02-23",24.45,24.88,24.45,24.88,1274832
"2012-03-01",24.79,25.02,24.45,24.55,1875819
"2012-03-08",24.66,24.71,24.26,24.32,1929679
"2012-03-15",25.92,26.01,25.75,25.8,1601222
"2012-03-22",25.66,25.74,25.12,25.35,951494
"2012-03-29",25.52,25.91,25.34,25.8,1135201
"2012-04-05",26.62,26.75,26.3,26.34,842494
"2012-04-12",25.61,26.19,25.44,26.16,1152131
"2012-04-19",26.1,26.3,25.87,25.92,2717751
"2012-04-26",27.11,27.27,26.7,27.18,1622135
"2012-05-03",27.13,27.27,27.01,27.11,1720291
"2012-05-10",27.94,27.98,27.6,27.77,1024449
"2012-05-17",26.62,26.72,25.82,25.84,1721343
"2012-05-24",26.66,26.79,26.35,26.75,1007433
"2012-05-31",26.86,27.27,26.51,27.07,3166244
"2012-06-07",27.41,27.47,26.89,26.94,1913545
"2012-06-14",26.81,27.42,26.75,27.32,965859
"2012-06-21",27.25,27.27,26.58,26.65,12874102
"2012-06-28",26.34,26.7,26.07,26.68,1617554
"2012-07-05",27.48,27.67,27.26,27.37,1418386
"2012-07-12",27.1,27.69,26.95,27.53,1961716
"2012-07-19",28.11,28.11,27.24,27.62,2033782
"2012-07-26",27.44,27.44,26.79,26.95,1165525
"2012-08-02",27.01,27.21,26.68,26.88,2056310
"2012-08-09",26.09,26.28,25.94,26.11,984738
"2012-08-16",25.89,26.21,25.65,26.21,2485265
"2012-08-23",26.55,26.78,26.44,26.7,1299906
"2012-08-30",26.5,26.65,26.49,26.56,512485
"2012-09-06",26.89,26.97,26.76,26.95,1549369
"2012-09-13",26.66,26.92,26.58,26.81,1603943
"2012-09-20",26.99,27.01,26.18,26.27,2151059
"2012-09-27",26.06,26.41,25.93,26.08,1307578
"2012-10-04",25.59,25.66,25.17,25.28,1140017
"2012-10-11",25.95,25.95,25.42,25.43,2636840
"2012-10-18",25.88,26.55,25.84,26.53,1211223
"2012-10-25",26.81,26.86,26.39,26.6,1851383
"2012-11-01",26.71,27,26.52,26.94,1531314
"2012-11-08",26.05,26.1,25.7,25.7,1274274
"2012-11-15",24.35,24.49,24.05,24.3,1239454
"2012-11-29",25.44,25.59,25.04,25.26,3503320
"2012-12-06",25.27,25.48,25.17,25.47,1268329
"2012-12-13",25.67,25.73,25.47,25.5,869254
"2012-12-20",26.16,26.7,26.06,26.69,1617828
"2012-12-27",26.75,27.04,26.68,26.99,1224843
"2013-01-03",27.36,27.67,27.3,27.46,1099231
"2013-01-10",27.57,27.7,27.28,27.45,1077606
"2013-01-17",27.8,27.92,27.66,27.7,1456902
"2013-01-24",27.98,28.05,27.8,27.84,1167549
"2013-01-31",27.51,27.57,27.2,27.28,1803044
"2013-02-07",27.58,27.67,27.26,27.57,1783757
"2013-02-14",28.82,29.03,28.76,28.97,990470
"2013-02-21",29.59,29.82,29.34,29.58,1442766
"2013-02-28",29.55,29.79,29.53,29.62,2021438
"2013-03-07",30.45,30.63,30.12,30.22,1250491
"2013-03-14",30.04,30.85,30.04,30.85,1068773
