"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume"
"2011-09-15",35.19,35.34,34.81,35.26,1201545
"2011-09-22",32.47,33.7,32.41,33.52,2003372
"2011-09-29",35.57,36.35,35.51,36.14,1866612
"2011-10-06",35.78,36.67,35.55,36.31,888810
"2011-10-13",36.59,36.67,35.8,36.12,741878
"2011-10-20",37.68,38.53,37.44,38.48,1297949
"2011-10-27",40.54,41.31,39.19,39.75,1171204
"2011-11-03",38.36,38.68,37.51,38.57,577698
"2011-11-10",38.36,38.58,38.02,38.14,1418379
"2011-11-17",37.79,38.11,37.18,37.34,745833
"2011-12-01",38.98,39.31,38.62,39.05,724432
"2011-12-08",40.16,40.16,39.01,39.07,1049200
"2011-12-15",39.43,39.71,39.21,39.26,741204
"2011-12-22",40.4,40.8,40.25,40.75,473301
"2011-12-29",40.69,41.37,40.69,41.28,431956
"2012-01-05",40.74,41.38,40.39,41.23,591990
"2012-01-12",37.83,38.3,37.71,38.1,1198746
"2012-01-19",39.17,39.23,38.44,39.23,921154
"2012-01-26",39.66,39.82,39.2,39.82,1137829
"2012-02-02",41.69,42,40.9,41.41,1204721
"2012-02-09",42.94,43.37,42.46,43.21,1375859
"2012-02-16",43.53,44.12,43.47,43.92,1167752
"2012-02-23",43.18,43.28,42.7,43.09,924855
"2012-03-01",42.74,43.63,42.53,43.32,1228511
"2012-03-08",42.54,42.54,41.61,41.71,1162722
"2012-03-15",42.15,42.15,40.1,40.85,4047319
"2012-03-22",39.96,40.36,39.66,40.01,873037
"2012-03-29",40.79,41.03,39.97,40.36,1537722
"2012-04-05",39.65,39.82,39.08,39.15,1215376
"2012-04-12",38.89,39.51,38.57,39.45,859400
"2012-04-19",39.18,39.36,38.94,39.08,694051
"2012-04-26",40.85,41.67,39.95,40.52,2120429
"2012-05-03",39.36,39.61,38.9,38.91,1421764
"2012-05-10",37.93,38.18,37.53,37.57,863978
"2012-05-17",36.57,36.84,36,36.33,1434657
"2012-05-24",33.89,33.89,33.33,33.86,1279494
"2012-05-31",33.05,33.6,32.86,33.38,1334040
"2012-06-07",34.34,34.7,33.63,33.67,1393644
"2012-06-14",33.6,33.98,33.37,33.71,718773
"2012-06-21",35.06,35.12,34.02,34.16,978480
"2012-06-28",34.6,34.89,34.16,34.62,816300
"2012-07-05",35.49,35.57,34.89,34.98,714797
"2012-07-12",33.92,34.31,33.65,33.89,692175
"2012-07-19",34.68,34.87,34.32,34.44,586076
"2012-07-26",34,36.17,34,34.78,1159506
"2012-08-02",36.07,36.35,35.54,35.98,973171
"2012-08-09",36.23,36.48,36,36.23,592347
"2012-08-16",34.36,34.58,34.31,34.42,1274917
"2012-08-23",34.35,34.43,33.89,33.89,394975
"2012-08-30",33.89,34.72,33.82,34.59,1011767
"2012-09-06",36.03,36.44,35.82,36.42,1431159
"2012-09-13",37.37,38,36.96,37.92,729151
"2012-09-20",37.39,37.56,37.2,37.43,689632
"2012-09-27",37.47,37.47,36.92,37.16,543480
"2012-10-04",38.58,39.07,38.37,39.06,866778
"2012-10-11",39.48,39.98,39.45,39.86,870897
"2012-10-18",40.86,41.27,40.86,41,491788
"2012-10-25",39.26,39.26,37.73,38.02,1279262
"2012-11-01",37.95,38.43,37.57,37.99,664881
"2012-11-08",36.69,36.96,36.07,36.07,727386
"2012-11-15",34.94,35.08,34.58,34.97,656634
"2012-11-29",34,34.3,33.75,33.98,2070065
"2012-12-06",34.7,34.94,34.32,34.59,857098
"2012-12-13",34.96,35.39,34.95,35.01,660530
"2012-12-20",35.38,35.63,35.04,35.23,637525
"2012-12-27",34.9,35,34.13,34.51,492270
"2013-01-03",35.46,35.49,35.15,35.39,778296
"2013-01-10",35.65,36.09,35.65,36.09,616536
"2013-01-17",36.6,37.98,36.6,37.18,1395091
"2013-01-24",38.09,38.43,37.96,38.2,881947
"2013-01-31",38.26,38.41,37.87,38.24,802277
"2013-02-07",39.82,40.33,38.14,38.39,2148751
"2013-02-14",41.15,42.18,41.06,42.01,1435436
"2013-02-21",41.19,41.19,40.72,41.01,1011224
"2013-02-28",40.97,42.27,40.78,41.99,1367919
"2013-03-07",42.37,42.62,42.16,42.58,602633
"2013-03-14",43.79,44.47,43.72,44.21,440947
"2013-03-21",44.37,44.68,43.07,43.85,1575660
"2013-03-28",44.37,45.05,44.23,45.01,803071
"2013-04-04",45.14,45.46,45.01,45.37,973946
"2013-04-11",47.34,47.86,47.06,47.5,1080687
"2013-04-18",46.86,46.96,45.96,46.11,1092930
"2013-04-25",45.03,46.71,45.03,46.6,985373
"2013-05-02",47.58,47.88,47.23,47.81,542064
"2013-05-09",47.93,48.05,47.38,47.52,688308
"2013-05-16",49.48,49.7,49.21,49.3,407615
"2013-05-23",49.25,50.25,49.13,50.05,578268
"2013-05-30",49.75,50.8,49.73,50.58,410245
"2013-06-06",48.69,49.42,48.41,49.42,558030
"2013-06-13",50.08,51.05,49.92,50.86,436185
"2013-06-20",50.61,51.12,50.08,50.22,525423
"2013-06-27",50.56,51.09,50.51,50.91,521205
"2013-07-11",52.99,52.99,52.24,52.51,511392
"2013-07-18",53.48,53.71,53.29,53.52,379163
"2013-07-25",52.58,53.03,51.5,52.7,588076
"2013-08-01",54.55,55.19,54.5,54.66,499091
"2013-08-08",54.95,55.43,54.5,54.82,1599350
"2013-08-15",55.15,55.35,54.7,54.73,514850
"2013-08-22",54.78,55.82,54.78,55.58,345039
"2013-08-29",53.37,53.87,53.25,53.6,445180
"2013-09-05",54.37,54.5,53.99,54.1,375908
"2013-09-12",55.87,55.87,55,55.1,348951
"2013-09-19",56.25,56.39,54.89,55,871178
"2013-09-26",54.94,55.25,54.62,54.95,399590
"2013-10-03",54.22,54.45,53.77,54.16,495110
"2013-10-10",56.2,57.29,56.2,57.27,377008
"2013-10-17",58.41,59.22,58.41,59.14,694030
"2013-10-24",58.4,58.52,56.77,57.08,675681
"2013-10-31",58.27,58.99,58.07,58.48,592163
"2013-11-07",59.59,59.8,58.5,58.54,619516
"2013-11-14",61.23,61.62,60.73,61.59,384377
"2013-11-21",61.83,63.03,60.46,62.84,424852
