"","AJG.Open","AJG.High","AJG.Low","AJG.Close","AJG.Volume"
"2011-09-15",27.64,27.9,27.36,27.88,631749
"2011-09-22",26.31,26.93,26.28,26.65,962025
"2011-09-29",26.59,26.91,26.37,26.85,608324
"2011-10-06",26.82,27.35,26.67,27.32,333150
"2011-10-13",27.33,27.59,27.26,27.42,556418
"2011-10-20",28.45,29.13,28.37,29.11,1163789
"2011-10-27",32,32.11,31.39,31.51,1198303
"2011-11-03",30.63,30.82,30.2,30.55,706699
"2011-11-10",30.75,30.88,30.45,30.78,515992
"2011-11-17",30.94,30.95,30.19,30.3,836500
"2011-12-01",30.86,31.35,30.71,31.18,811607
"2011-12-08",31.89,32.22,31.82,32.02,980763
"2011-12-15",32.65,32.79,32.41,32.6,1027269
"2011-12-22",33.25,33.52,33.1,33.48,485190
"2011-12-29",33.57,33.68,33.48,33.68,331754
"2012-01-05",32.6,32.86,32.01,32.84,750950
"2012-01-12",33.09,33.23,32.89,33.04,310056
"2012-01-19",33.45,33.45,33.07,33.13,299596
"2012-01-26",33.64,33.81,33.49,33.51,464430
"2012-02-02",34.45,34.8,34.3,34.67,923599
"2012-02-09",35.19,35.55,35.04,35.5,506737
"2012-02-16",34.61,35.05,34.61,34.86,754184
"2012-02-23",34.54,34.72,34.26,34.67,564108
"2012-03-01",34.2,34.65,34.06,34.65,476254
"2012-03-08",34.56,34.93,34.48,34.91,529392
"2012-03-15",35.84,36.32,35.65,36.26,663531
"2012-03-22",35.15,35.3,34.93,35.11,414911
"2012-03-29",35.71,35.83,35.42,35.75,537812
"2012-04-05",35.82,36.23,35.71,36,533385
"2012-04-12",34.94,35.16,34.66,35.07,683239
"2012-04-19",35.69,36.23,35.67,36.21,966705
"2012-04-26",37.01,37.5,36.83,37.41,504910
"2012-05-03",37.26,37.56,37.08,37.14,668071
"2012-05-10",35.93,36.12,35.52,35.86,932295
"2012-05-17",35.12,35.12,34.53,34.53,872212
"2012-05-24",34.82,35.14,34.7,35.14,770273
"2012-05-31",34.75,34.97,34.55,34.74,3792766
"2012-06-07",35.29,35.35,34.81,34.82,619613
"2012-06-14",34.41,34.61,34.18,34.55,729494
"2012-06-21",34.9,35.13,34.52,34.61,659196
"2012-06-28",33.98,34.69,33.95,34.66,657225
"2012-07-05",35.5,35.77,35.25,35.76,542898
"2012-07-12",35.34,35.41,35.03,35.25,250446
"2012-07-19",36.04,36.11,35.6,35.82,439014
"2012-07-26",35.49,35.7,35.26,35.44,260758
"2012-08-02",35.65,35.8,35.35,35.51,411371
"2012-08-09",35.05,35.2,34.67,34.85,390567
"2012-08-16",35.57,35.84,35.45,35.82,667714
"2012-08-23",35.75,35.87,35.49,35.56,229228
"2012-08-30",35.8,35.88,35.58,35.75,222223
"2012-09-06",36.38,36.5,36.32,36.45,746592
"2012-09-13",36.67,37.14,36.39,37.14,563717
