"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume"
"2011-09-15",22.6,22.84,22.22,22.67,3114894
"2011-09-22",20.5,20.64,19.96,20.19,5808608
"2011-09-29",21.7,21.85,20.51,20.99,3278842
"2011-10-06",22.5,23.22,22.03,22.88,5654230
"2011-10-13",24.02,25.12,23.95,24.49,10146678
"2011-10-20",23.03,23.54,22.45,23.48,3761178
"2011-10-27",27.4,28.5,26.84,27.45,15161709
"2011-11-03",28.26,29.45,27.96,29.2,11324385
"2011-11-10",29.32,29.38,28.18,28.94,4579395
"2011-11-17",28.96,29.1,27.92,28.13,4056926
"2011-12-01",28.82,29.5,28.62,29.16,3638788
"2011-12-08",27.87,28.07,27.2,27.3,3532066
"2011-12-15",26.95,27.27,26.81,27.01,2942630
"2011-12-22",27.5,31.95,27.5,31.63,23369870
"2011-12-29",32.05,32.39,31.91,32.3,2305661
"2012-01-05",32.29,32.94,32.12,32.43,5430048
"2012-01-12",34.12,34.23,32.83,33.57,4292719
"2012-01-19",32.45,33.28,31.87,32.69,4509598
"2012-01-26",32.04,32.58,31.23,31.43,2728519
"2012-02-02",32.34,32.83,32.13,32.33,3209360
"2012-02-09",38.92,39.14,37.47,38.06,18572640
"2012-02-16",38,38.56,37.92,38.42,2280510
"2012-02-23",36.76,36.76,36.07,36.52,4321476
"2012-03-01",36.2,36.26,35.87,35.9,4596809
"2012-03-08",35.89,36.37,35.86,36.12,2265880
"2012-03-15",36.87,37.49,36.6,37.35,2351969
"2012-03-22",36.63,36.9,36.24,36.46,1952438
"2012-03-29",36.53,36.96,36.25,36.92,1734375
"2012-04-05",36.27,36.73,36.06,36.33,1990194
"2012-04-12",36.02,36.66,35.98,36.54,1681627
"2012-04-19",38.49,38.91,37.74,37.86,3076321
"2012-04-26",36.4,36.6,32.95,33.15,17410017
"2012-05-03",34.07,34.07,32.95,33.28,3221707
"2012-05-10",32.19,32.35,31.18,31.37,3606818
"2012-05-17",29.25,29.65,28.65,29.29,5612348
"2012-05-24",30,30.25,29.08,29.4,2016762
"2012-05-31",29.29,29.44,28.58,29.34,2506525
"2012-06-07",29.7,29.97,28.99,29.07,3112178
"2012-06-14",29.57,30.24,29.55,29.95,2526310
"2012-06-21",31.68,31.72,30.24,30.27,3056419
"2012-06-28",30.32,30.68,29.97,30.43,1597780
"2012-07-05",32.14,32.55,32,32.22,1662981
"2012-07-12",28.96,29.6,28.57,29.41,2406872
"2012-07-19",30,30.75,29.94,30.49,3633517
"2012-07-26",33.45,35.2,32.93,35.04,13758566
"2012-08-02",34.77,35.41,34.28,34.69,3019178
"2012-08-09",36.28,36.41,35.97,36.21,1396861
"2012-08-16",37.13,37.94,36.55,37.81,4657302
"2012-08-23",37.64,37.72,36.77,37.13,1899935
"2012-08-30",37.43,37.51,37.02,37.31,1724272
"2012-09-06",38.02,39.37,38,39.21,3527493
"2012-09-13",37.92,38.43,37.7,38.18,3667615
"2012-09-20",38.82,38.9,38.32,38.68,1377500
"2012-09-27",38.34,38.95,38.31,38.49,3406764
"2012-10-04",39.06,39.5,38.76,39.42,2106583
"2012-10-11",38.27,38.59,37.79,37.89,1761133
"2012-10-18",37.9,37.99,37.08,37.28,2008837
"2012-10-25",39.75,40.08,38.1,38.54,8543401
"2012-11-01",37.95,38.66,37.79,38.57,1652198
"2012-11-08",37.7,37.9,37,37.07,1616906
"2012-11-15",35.41,36.59,35.07,36.23,4910264
"2012-11-29",36.05,36.45,35.68,36.24,2108408
"2012-12-06",37.87,39.43,37.82,39.06,7575972
"2012-12-13",39.82,40.27,39.01,39.09,2206181
"2012-12-20",41.36,41.88,40.82,41.86,2485428
"2012-12-27",41.34,41.56,40.27,41.03,2467167
"2013-01-03",41.89,41.99,40.83,40.95,2091865
"2013-01-10",39.98,39.98,39.22,39.5,3078430
"2013-01-17",39.64,39.86,39.47,39.75,2147534
"2013-01-24",40.12,40.84,40.05,40.55,2333142
"2013-01-31",40.26,40.9,40.26,40.71,1335889
"2013-02-07",33.8,35.49,33.55,35.26,27202334
"2013-02-14",37.26,37.93,36.63,37.87,5148053
"2013-02-21",37.3,37.53,36.47,37.07,2987596
"2013-02-28",36.6,37.19,36.6,36.96,2756810
"2013-03-07",37.7,37.75,37.05,37.28,3386308
"2013-03-14",34.75,35.08,34.44,34.66,3524588
"2013-03-21",35.06,35.51,34.87,35.01,2368638
"2013-03-28",35.07,35.34,34.85,35.32,1904038
"2013-04-04",34.64,34.84,34.03,34.06,4129516
"2013-04-11",36,36.14,35.59,35.79,2445142
"2013-04-18",34.13,34.22,33.27,33.74,4051104
"2013-04-25",42.25,43.68,41.81,42.48,16798754
"2013-05-02",43.52,44.47,43.52,44.32,1968381
"2013-05-09",45.28,45.85,45.01,45.61,2219748
"2013-05-16",48,48.47,46.72,46.93,3003702
"2013-05-23",45.94,46.58,45.72,46.35,1849631
"2013-05-30",46.38,47.7,46.36,47.09,2904831
"2013-06-06",44.3,44.7,43.91,44.56,1320149
"2013-06-13",42.42,42.86,41.66,42.64,2620634
"2013-06-20",41.99,42.48,41.12,41.25,1768943
"2013-06-27",42.9,43.1,42.67,42.69,1136817
"2013-07-11",43.91,44.61,43.72,44.5,1866433
"2013-07-18",45.25,45.65,45.19,45.34,1563761
"2013-07-25",42.5,45.59,42.4,45.19,4888655
"2013-08-01",47.51,47.77,47.34,47.64,1642307
"2013-08-08",46.24,46.67,45.9,46.63,1305407
"2013-08-15",46.35,46.35,45.75,46.19,1716265
"2013-08-22",46.34,47.43,46.08,47.3,919182
"2013-08-29",46.19,46.8,46.01,46.5,1139266
"2013-09-05",47.29,48.01,47.24,47.92,1123291
"2013-09-12",50.03,50.71,49.81,50.57,1582342
"2013-09-19",52.55,53.03,52.3,52.77,2987037
"2013-09-26",52.36,52.92,52.21,52.77,1121626
"2013-10-03",52.27,52.4,50.93,51.16,1500298
"2013-10-10",49.74,51.32,49.65,51.06,2058916
"2013-10-17",52.29,52.5,51.79,52.04,1397644
"2013-10-24",46.79,47.58,45.96,46.06,12295204
"2013-10-31",45.54,46.07,44.7,44.76,3523285
"2013-11-07",45.36,45.42,44.4,44.48,1905309
"2013-11-14",46.41,46.85,46.01,46.17,1326240
"2013-11-21",45,45.04,44.25,44.45,2681643
"2013-12-05",45.91,45.91,44.76,45.12,2563709
"2013-12-12",44.25,44.6,43.74,43.76,2355985
"2013-12-19",46.45,46.71,46.24,46.6,1998250
"2013-12-26",47.9,47.97,46.91,47.3,1180130
"2014-01-02",47.11,47.18,46.42,46.53,935107
"2014-01-09",46.78,47.91,46.76,47.62,1687655
"2014-01-16",49.2,49.22,48.25,48.74,1180853
"2014-01-23",48.77,49.71,48.53,49.61,2466271
"2014-01-30",47.94,48.68,47.68,48.47,1326700
"2014-02-06",54.99,57.76,54.8,57.18,14584182
"2014-02-13",58.64,59.94,58.63,59.71,3855339
"2014-02-20",60.7,61.61,60.5,61.55,2139764
"2014-02-27",61.8,62.74,61.8,62.74,2541263
"2014-03-06",61.79,62.14,61.19,61.37,2075217
"2014-03-13",60.64,60.95,58.67,59.03,1473059
"2014-03-20",59.7,62.92,59.7,61.96,4060902
"2014-03-27",57.5,58.63,56.52,58.11,2627940
"2014-04-03",58.25,58.35,56.23,56.44,2937331
"2014-04-10",55.38,55.49,52.82,52.88,3100787
"2014-04-17",54.33,54.75,53.69,54.3,1367276
"2014-04-24",54.51,54.7,52.54,53.35,1753468
"2014-05-01",53.49,55.17,53.08,54.53,4443540
"2014-05-08",51.6,52.73,51.42,52.21,2171150
"2014-05-15",53.84,54.03,52.4,53.51,1811421
"2014-05-22",53.92,53.97,53.17,53.48,1175513
"2014-05-29",54.4,54.92,54.04,54.77,2006918
"2014-06-05",55.16,56.1,54.84,55.9,1652888
"2014-06-12",58.01,58.94,57.78,58.51,1600509
"2014-06-19",61.19,61.38,60.72,61.33,1306333
"2014-06-26",61.36,61.44,60.4,61.03,1209475
"2014-07-03",61.95,62.2,61.83,62.01,773696
"2014-07-10",59.75,60.45,59.47,60.07,1403691
"2014-07-17",58.95,59.58,58.21,58.32,1394282
"2014-07-24",59.53,59.9,59,59.8,2376903
"2014-07-31",58.29,61.24,58.13,59.02,5135753
"2014-08-07",57.09,57.33,56.51,56.55,1258429
"2014-08-14",58.63,59.1,58.53,59.01,1402907
"2014-08-21",60.95,61.16,60.6,60.86,834163
"2014-08-28",60.18,60.42,59.83,60.02,1232599
"2014-09-04",60.56,61.27,60.33,60.42,1119110
"2014-09-11",62.01,62.63,61.59,62.32,1092098
"2014-09-18",62.5,64.37,62.28,64.35,2470597
"2014-09-25",61.48,61.85,59.5,59.51,1872875
"2014-10-02",58.23,58.83,57.44,58.09,1556823
"2014-10-09",58.81,59.48,58.02,58.25,1318218
"2014-10-16",52.28,54.05,51.74,53.38,5585763
"2014-10-23",54.58,55.03,54.36,54.53,1553944
"2014-10-30",55.92,59.86,55.78,59.83,4409779
"2014-11-06",59.26,59.66,58.49,59.63,1291816
"2014-11-13",60.99,61.27,60.18,60.45,828640
"2014-11-20",61,63.15,60.67,63.12,1700954
"2014-12-04",63.33,64.32,63.02,64.23,1428488
"2014-12-11",61.64,63.06,61.64,61.98,1463255
"2014-12-18",62.25,62.6,61.82,62.5,1455069
"2015-01-08",60.86,61.86,60.6,61.57,1207365
"2015-01-15",59.8,60.31,58.55,58.63,1460562
"2015-01-22",60.37,60.64,59.46,60.64,1384106
"2015-01-29",58.82,60.09,58.25,59.95,1414367
"2015-02-05",60.28,60.95,60.02,60.49,1446044
"2015-02-12",64.25,67.7,63.8,67.59,4207819
"2015-02-19",70.08,71.72,70,71.56,1903677
"2015-02-26",69.54,70.27,69.04,69.56,991724
"2015-03-05",71.55,71.55,70.6,71.09,1694277
"2015-03-12",70.3,71.11,70.11,71.02,1444194
"2015-03-19",72.8,73.16,72.47,72.75,1138809
"2015-03-26",69.97,71.17,69.35,71.04,1593580
"2015-04-02",70.33,71,70.24,70.84,957433
