"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume"
"2011-09-15",46.71,47.41,46.28,46.83,789362
"2011-09-22",41.66,42.06,39.84,40.22,2573023
"2011-09-29",42.43,42.85,41.21,42.34,1032777
"2011-10-06",42.23,43.5,41.62,43,995294
"2011-10-13",47.65,47.87,46.25,47.5,965849
"2011-10-20",45.13,45.72,44.17,45.44,2000991
"2011-10-27",55.8,56.92,54.12,54.8,1781890
"2011-11-03",54.01,54.58,52.27,54.4,801350
"2011-11-10",52.96,53.16,51.6,52.5,537039
"2011-11-17",51.86,52.09,50.03,50.35,1020660
"2011-12-01",54.13,54.67,53.12,53.5,509177
"2011-12-08",53.85,54.48,52.88,53.08,632826
"2011-12-15",49,49.34,48.18,48.82,712398
"2011-12-22",49.89,51.12,49.78,50.76,457044
"2011-12-29",50.31,51.57,50.23,51.49,337073
"2012-01-05",52.78,53.76,52.32,53.58,618747
"2012-01-12",55.7,57.7,55.18,57.49,773278
"2012-01-19",58.63,61.23,58.62,60.09,1048132
"2012-01-26",62.7,63.89,62.66,63.02,919844
"2012-02-02",66.62,66.62,65.57,65.67,684890
"2012-02-09",66.92,68.51,65.66,66.51,580534
"2012-02-16",64.79,66.46,64.66,66.38,512855
"2012-02-23",66.08,66.84,65.86,66.58,414200
"2012-03-01",66.95,68.26,66.67,67.7,445168
"2012-03-08",62.39,63.18,62.03,62.93,426349
"2012-03-15",64,64.67,63.84,64.6,671694
"2012-03-22",63.59,63.96,62.93,63.43,488301
"2012-03-29",62.75,63.84,62.35,63.69,327934
"2012-04-05",63.44,64.39,62.93,63.02,503004
"2012-04-12",62.11,64.07,62.1,63.72,375081
"2012-04-19",64.97,65.49,62.26,63.73,1379013
"2012-04-26",64.2,65.49,64.02,65.13,525217
"2012-05-03",66.06,66.36,65.29,65.5,502743
"2012-05-10",63.35,63.65,62.68,62.9,544157
"2012-05-17",62.74,62.97,59.93,59.98,1257934
"2012-05-24",60.44,61.07,59.36,60.49,909434
"2012-05-31",61,61.09,59.28,60.7,3771250
"2012-06-07",61.5,62.96,60.25,60.34,802622
"2012-06-14",57.74,58.34,57.18,57.93,1248306
"2012-06-21",61.73,61.9,58.67,59.05,779140
"2012-06-28",57.06,57.95,57.06,57.89,865348
"2012-07-05",61.64,62.34,61.36,61.57,462130
"2012-07-12",57.05,57.05,55.66,56.53,803095
"2012-07-19",55.7,57.76,55.01,57.53,1485679
"2012-07-26",56.1,56.43,55.49,56.37,557519
"2012-08-02",56.92,57.68,55.66,56.53,718883
"2012-08-09",60.2,61.12,60.18,60.87,326719
"2012-08-16",61.01,61.42,60.6,61.2,504774
"2012-08-23",57.94,57.94,56.43,56.7,1539527
"2012-08-30",54.2,54.67,54.04,54.4,1073633
"2012-09-06",54.69,56.42,54.68,55.75,966215
"2012-09-13",54.12,54.24,52.87,53.48,2785135
"2012-09-20",53.63,53.72,53.26,53.58,971936
"2012-09-27",51.73,52.53,51.52,52.41,795405
"2012-10-04",53.35,53.98,53.19,53.75,718866
"2012-10-11",52.41,52.78,52.23,52.33,398663
"2012-10-18",52.85,56.1,52,55.72,2688005
"2012-10-25",55.39,55.55,54.65,55.09,796448
"2012-11-01",55.38,57.07,54.63,56.79,1063149
"2012-11-08",55.53,56.18,54.48,54.49,912135
"2012-11-15",54.83,54.91,53.6,54.08,636793
"2012-11-29",59.48,60.53,59.25,60.17,1151503
"2012-12-06",59.15,59.43,58.85,59.18,439471
"2012-12-13",59.34,60,58.88,59.27,609705
