"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
"2011-09-15",17.64,17.64,16.98,17.45,492829
"2011-09-22",15.2,15.4,14.69,15.01,747587
"2011-09-29",15.91,16.14,15.35,15.73,346820
"2011-10-06",16.09,16.83,15.85,16.79,627873
"2011-10-13",16.6,16.75,16.04,16.33,372483
"2011-10-20",16.13,16.57,15.74,16.52,408315
"2011-10-27",17.89,18.34,17.46,17.81,1484250
"2011-11-03",22.06,22.47,21.53,22.34,551117
"2011-11-10",22.33,22.48,21.71,22.04,496333
"2011-11-17",22.26,23.03,21.88,22.25,585674
"2011-12-01",24.37,24.82,24.24,24.5,766686
"2011-12-08",24.91,25.1,24.41,24.45,694749
"2011-12-15",23.53,23.78,23.15,23.63,570558
"2011-12-22",24.62,25.12,24.45,24.72,363203
"2011-12-29",23.8,24.18,23.63,24.02,590785
"2012-01-05",24.28,24.61,23.79,24.19,500385
"2012-01-12",24.07,24.76,23.9,24.71,562820
"2012-01-19",24.72,25.33,24.66,25.24,551124
"2012-01-26",25.06,25.21,24.77,24.95,559772
"2012-02-02",24.28,24.87,24.01,24.75,1013639
"2012-02-09",27,27.09,26,26.06,727191
"2012-02-16",26.52,27.1,26.31,27.07,686259
"2012-02-23",26.53,26.87,26.39,26.5,620411
"2012-03-01",25.94,26.34,25.4,26.18,887734
"2012-03-08",26.05,26.63,25.76,26.5,401261
"2012-03-15",26.8,27.19,26.65,27.19,182826
"2012-03-22",26.57,26.71,25.98,26.13,299022
"2012-03-29",27.66,27.88,27.19,27.25,626723
"2012-04-05",27.47,27.88,27.41,27.74,251354
"2012-04-12",26.81,27.49,26.81,27.27,322331
"2012-04-19",28.4,28.67,27.68,28.11,1084486
"2012-04-26",31.49,31.81,31.24,31.45,1265914
"2012-05-03",32.41,32.5,32.02,32.31,947072
"2012-05-10",31.65,31.65,30.64,31.13,737819
"2012-05-17",30.98,31.15,30.23,30.32,876095
"2012-05-24",31.46,32.08,30.95,31.51,869270
"2012-05-31",31.46,31.58,30.61,31.23,1000295
"2012-06-07",31.82,31.88,30.27,30.32,792223
"2012-06-14",31.1,31.63,30.6,31.17,672859
"2012-06-21",34.27,34.51,32.6,32.81,1482732
"2012-06-28",32,32.53,31.37,31.9,686135
"2012-07-05",35,35.55,34.61,34.94,674250
"2012-07-12",32.23,32.41,31.22,31.58,1537291
"2012-07-19",31.1,32,30.79,31.7,3003920
"2012-07-26",34.79,35.4,34.54,35,1870433
"2012-08-02",33.73,33.86,33.13,33.56,922548
"2012-08-09",34.59,34.91,34.32,34.72,614830
"2012-08-16",34.3,34.48,33.73,34.31,402634
"2012-08-23",33.65,33.89,32.13,32.4,1271531
"2012-08-30",33.66,34.06,33.42,33.83,856242
"2012-09-06",35.95,37.72,35.78,37.37,1660383
"2012-09-13",38.61,39.82,38.1,39.17,867826
"2012-09-20",36.85,36.85,36.02,36.52,1288671
"2012-09-27",36.97,37.6,36.62,37.57,567352
"2012-10-04",38.44,38.9,38.07,38.9,720808
"2012-10-11",37.06,37.15,36.1,36.9,1335923
"2012-10-18",27.63,28.38,25.33,28.18,20906174
"2012-10-25",27.01,27.37,26.31,26.49,1221728
"2012-11-01",26.55,26.83,26.27,26.42,1437579
"2012-11-08",25.92,26.39,25.7,26.23,2355042
"2012-11-15",25.75,25.9,24.77,25.39,1590411
"2012-11-29",26.9,27.54,26.89,27.47,1067165
"2012-12-06",24.6,25.72,23.45,25.64,6786313
"2012-12-13",26.7,26.99,26.25,26.38,715821
"2012-12-20",27.74,28.28,27.58,28.18,1359469
"2012-12-27",27.49,27.61,26.85,27.5,511171
"2013-01-03",29.04,29.25,28.6,29.17,1242317
"2013-01-10",27.39,27.48,26.65,26.89,1320647
"2013-01-17",26.11,26.86,26.06,26.48,723565
"2013-01-24",27.06,27.91,27.06,27.82,1117398
"2013-01-31",32.62,32.8,30.73,31.36,5756785
"2013-02-07",32.18,32.41,31.83,32.24,623065
"2013-02-14",32.76,32.91,32.5,32.56,644916
"2013-02-21",31.06,31.42,30.95,31.41,1041999
"2013-02-28",31.35,31.66,31.24,31.44,460819
"2013-03-07",32.42,32.75,32.24,32.72,387164
"2013-03-14",33.03,33.35,32.69,33.29,342476
"2013-03-21",32.26,32.59,31.72,32.03,423059
"2013-03-28",33.42,33.65,32.96,33.51,545439
"2013-04-04",30.94,31.51,30.45,31.5,1022539
"2013-04-11",32.5,33,32.42,32.86,476526
"2013-04-18",30.9,30.95,29.72,30.13,1521950
"2013-04-25",32.11,32.63,32.11,32.25,1502062
"2013-05-02",32.76,33.22,32.34,32.4,1947238
"2013-05-09",35.85,36.25,35.6,35.68,932812
"2013-05-16",36.05,37.33,35.81,36.85,868995
"2013-05-23",36.82,37.2,36.29,36.98,507936
"2013-05-30",36.05,36.65,35.71,36.18,473862
"2013-06-06",35.37,35.41,34.71,35.19,1036146
"2013-06-13",34.28,34.68,33.84,34.67,963375
"2013-06-20",35.51,36.4,35.23,35.48,427519
"2013-06-27",36.01,36.96,35.74,36.69,748375
"2013-07-11",39.79,39.8,39.03,39.4,503420
"2013-07-18",39.15,40.5,38.55,39.65,1129988
"2013-07-25",43.35,43.88,43.17,43.88,460741
"2013-08-01",43.23,44.04,42.81,43.99,747752
"2013-08-08",44.11,44.35,43.76,44.08,424613
"2013-08-15",43.79,43.79,43,43.16,422356
"2013-08-22",43.7,44.37,43.6,44.36,230347
