"","ALLE.Open","ALLE.High","ALLE.Low","ALLE.Close","ALLE.Volume"
"2013-11-21",44.5,45.15,43.04,43.79,730214
"2013-12-05",42.28,42.28,40.63,41.05,3380502
"2013-12-12",42.01,43.1,42,42.97,1770490
"2013-12-19",43.96,44.5,43.82,44.45,593011
"2013-12-26",44.86,45.01,44.44,44.7,513177
"2014-01-02",44.08,44.18,43.27,43.65,992872
"2014-01-09",43.89,44.25,43.84,44.13,1093527
"2014-01-16",47.28,47.68,47.04,47.4,1178666
"2014-01-23",48.68,48.68,47.58,47.72,867599
"2014-01-30",47.91,49.63,47.83,49.42,1247052
"2014-02-06",47.5,49.27,47.5,49.24,1168384
"2014-02-13",49.98,50.44,49.59,50.12,694986
"2014-02-20",50.23,52.78,49.1,51.52,2623555
"2014-02-27",54.69,55.53,54.21,55.35,1139863
"2014-03-06",53.99,54.1,53.04,53.19,617421
"2014-03-13",54.46,54.71,53.13,53.6,946442
"2014-03-20",53.41,54.22,52.82,54.17,628145
"2014-03-27",51.87,51.97,51.19,51.45,496639
"2014-04-03",54.77,55,54.58,54.95,427889
"2014-04-10",51.52,51.79,50.12,50.68,1488526
"2014-04-17",50.07,50.54,49.43,50.15,427218
"2014-04-24",50.62,50.78,49.72,50.24,659763
"2014-05-01",51,51.86,49.48,51.25,722131
"2014-05-08",49.6,50.4,49.11,49.36,530588
"2014-05-15",49.52,49.74,47.98,48.29,738394
"2014-05-22",50.65,51.84,50.32,51.49,501053
"2014-05-29",52.94,53.86,52.94,53.52,815596
"2014-06-05",53.2,54.34,52.9,54.31,608866
"2014-06-12",56.18,56.56,55.89,56.12,1780223
"2014-06-19",57.33,57.74,56.04,57.27,875847
"2014-06-26",56.72,56.78,56.17,56.32,336481
"2014-07-03",57.46,57.74,57.02,57.16,138691
"2014-07-10",54.85,55.88,54.62,55.6,495959
"2014-07-17",55.05,55.17,54.18,54.27,408569
"2014-07-24",54.42,55.46,54.29,54.97,412363
"2014-07-31",50.9,52.73,49.93,51.43,1583431
"2014-08-07",50.5,50.62,49.6,49.87,622285
"2014-08-14",52.23,52.36,51.67,52.02,626607
"2014-08-21",52.63,52.77,52.11,52.14,249648
"2014-08-28",51.73,51.79,51.21,51.55,438373
"2014-09-04",52.28,52.84,52.07,52.33,411298
"2014-09-11",51.79,52.52,51.77,52.06,472206
"2014-09-18",51.23,51.23,50.52,50.62,551244
"2014-09-25",48.77,49,48.06,48.21,604751
"2014-10-02",47.68,48.07,47.37,47.87,2127122
"2014-10-09",47.39,47.39,46.54,46.7,617289
"2014-10-16",44.63,46.5,44.22,46.33,696505
"2014-10-23",47.7,48.78,47.26,48.45,733322
"2014-10-30",50.18,53.05,49.24,52.64,1203481
"2014-11-06",53.33,53.51,52.87,53.42,1041515
"2014-11-13",52.57,52.68,51.88,52.12,375510
"2014-11-20",53.62,54.36,53.52,54.09,220824
"2014-12-04",54.72,54.99,54.4,54.59,571435
"2014-12-11",54.07,54.97,53.58,54.19,394758
"2014-12-18",54.81,54.98,54.28,54.95,504656
"2015-01-08",55.71,56.38,55.18,56.35,893856
"2015-01-15",55.55,55.66,53.35,53.8,1116300
"2015-01-22",53.12,54.42,52.9,54.36,896149
"2015-01-29",54.15,54.9,53.71,54.79,456601
"2015-02-05",55.75,57.06,55.75,57,627848
"2015-02-12",57.14,57.89,56.85,57.76,724308
"2015-02-19",55.94,57.86,55.79,57.62,1670198
"2015-02-26",58.74,58.77,58.03,58.29,507268
"2015-03-05",58.48,58.48,57.8,58.11,479994
"2015-03-12",57.93,58.52,57.93,58.4,420856
"2015-03-19",59.86,60.04,59.29,60.01,599913
"2015-03-26",60.3,60.67,59.98,60.51,555076
"2015-04-02",61.15,61.71,60.93,61.45,275761
"2015-04-09",61.7,61.8,61.14,61.44,425554
"2015-04-16",60.38,60.47,59.7,60.16,350359
"2015-04-23",60.07,60.18,59.53,59.74,1013597
"2015-04-30",61.05,62.54,60.9,61.15,2075845
"2015-05-07",61.07,62,60.82,61.49,1243548
"2015-05-14",62.2,62.2,61.76,61.87,587907
"2015-05-21",61.71,61.77,61.19,61.4,579913
"2015-05-28",61.61,61.97,61.36,61.94,377341
"2015-06-04",62.25,62.66,61.74,61.83,224925
"2015-06-11",61.82,62.25,61.53,61.65,344900
"2015-06-18",61.27,61.92,61.12,61.41,335872
"2015-06-25",62.05,62.63,61.64,61.73,229664
"2015-07-02",60.5,60.59,59.64,59.77,309626
"2015-07-09",59.25,59.65,59.09,59.19,593064
"2015-07-16",61.19,61.42,60.97,61.27,339598
"2015-07-23",61.36,61.8,60.94,61.08,572950
"2015-07-30",63.9,66.05,61.56,63.2,1392332
"2015-08-06",62.89,62.93,61.91,62.29,428530
"2015-08-13",62.95,63.47,62.58,63.29,325198
"2015-08-20",63.55,63.64,62.56,62.6,667352
"2015-08-27",59.49,60.78,59.17,60.51,678973
"2015-09-03",59.41,60.45,58.53,59.79,567863
"2015-09-10",60.08,60.77,59.59,60.3,426233
"2015-09-17",61.71,62.82,61.47,62.04,546361
"2015-09-24",60.1,60.3,59.45,60.18,302281
"2015-10-01",57.95,58.58,57.07,58.56,704807
"2015-10-08",59.39,59.88,58.89,59.74,518575
"2015-10-15",59.22,60.61,58.73,60.34,745676
"2015-10-22",61.52,64.38,61.4,64,1248327
"2015-10-29",67.5,67.5,62.64,64.51,1792643
"2015-11-05",63.98,64.5,63.67,64.16,1010516
"2015-11-12",64.5,65.1,64.25,64.68,1029734
"2015-11-19",65.9,66.76,65.43,66.68,1700968
"2015-12-03",67.4,67.4,65.41,66.1,578212
"2015-12-10",65.18,65.92,64.98,65.39,571178
"2015-12-17",66.48,66.48,65.6,65.62,586352
"2015-12-24",65.84,65.92,65.44,65.61,114249
"2015-12-31",66.26,66.92,65.31,65.92,310916
"2016-01-07",61.63,62.29,60.75,60.96,614109
"2016-01-14",59.8,60.94,59.04,60.23,929356
"2016-01-21",57.44,57.77,55.76,57.21,1152552
"2016-01-28",60.06,60.17,58.76,59.22,668127
"2016-02-04",59.32,60.97,59.22,59.8,540966
"2016-02-11",56.19,58.77,54.45,56.74,2537433
"2016-02-18",59.09,59.4,58.38,58.59,987345
"2016-02-25",62.72,63.87,60.6,63.8,912107
"2016-03-03",64.57,64.98,64.22,64.84,695908
"2016-03-10",63.55,64.11,62.63,63.1,579415
"2016-03-17",63.63,64.52,63.15,64.37,596168
"2016-03-24",63.23,63.38,62.69,63.14,448059
"2016-03-31",63.8,64.29,63.46,63.71,521098
"2016-04-07",65.99,65.99,63.77,63.97,1018211
"2016-04-14",64.22,64.27,63.51,63.7,463732
"2016-04-21",63.95,64.38,63.14,63.24,359664
"2016-04-28",63.95,66.2,63.66,65.24,1756683
"2016-05-05",65.49,65.78,64.9,65.37,769481
"2016-05-12",66.29,66.43,65.55,66.13,306869
"2016-05-19",66.68,67.41,66.47,67.21,1228116
"2016-05-26",67.95,68.33,67.69,67.73,331957
"2016-06-02",68.03,68.18,67.51,68.13,575439
"2016-06-09",68.67,69.1,68.31,68.98,441939
"2016-06-16",67.7,68.36,67.44,68.2,703971
"2016-06-23",69.25,69.44,68.9,69.25,419729
"2016-06-30",68.07,69.46,68.05,69.43,578362
