"","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume"
"2011-09-15",7.3,7.44,7.25,7.34,23789567
"2011-09-22",6.24,6.3,5.9,6.12,44636031
"2011-09-29",5.49,5.65,5.11,5.31,67973425
"2011-10-06",4.91,4.91,4.7,4.85,19198105
"2011-10-13",4.94,4.98,4.85,4.97,17309553
"2011-10-20",4.72,4.76,4.45,4.54,25240858
"2011-10-27",5.27,5.6,5.17,5.33,41295168
"2011-11-03",5.53,5.77,5.3,5.73,26425486
"2011-11-10",5.49,5.72,5.34,5.66,23914879
"2011-11-17",5.71,5.74,5.4,5.44,18207517
"2011-12-01",5.61,5.74,5.54,5.7,10882381
"2011-12-08",5.64,5.69,5.45,5.47,16656570
"2011-12-15",5.14,5.17,5.01,5.04,13626047
"2011-12-22",5.12,5.5,5.1,5.45,16222401
"2011-12-29",5.31,5.39,5.27,5.34,6145044
"2012-01-05",5.45,5.56,5.35,5.46,11479872
"2012-01-12",5.83,5.85,5.71,5.82,11480090
"2012-01-19",6.02,6.24,5.98,6.22,21731277
"2012-01-26",6.73,6.95,6.68,6.77,25163625
"2012-02-02",6.9,7,6.84,6.93,15775437
"2012-02-09",7.3,7.33,7.13,7.24,13358414
"2012-02-16",7.3,7.6,7.27,7.59,13140445
"2012-02-23",7.11,7.3,7.05,7.29,16384900
"2012-03-01",7.47,7.7,7.42,7.51,19155616
"2012-03-08",7.24,7.5,7.22,7.47,21252735
"2012-03-15",7.96,8.28,7.92,8.25,27157795
"2012-03-22",7.97,8.04,7.9,8.03,9352220
"2012-03-29",7.98,8.12,7.93,8.12,13920521
"2012-04-05",7.61,7.89,7.6,7.87,14951770
"2012-04-12",7.84,7.95,7.71,7.92,10960266
"2012-04-19",8.01,8.06,7.75,7.97,25074675
"2012-04-26",7.35,7.49,7.31,7.45,22489120
"2012-05-03",7.57,7.72,7.37,7.41,15769556
"2012-05-10",6.58,6.85,6.48,6.78,26549029
"2012-05-17",6.38,6.42,6.11,6.13,27082555
"2012-05-24",6.09,6.1,5.96,6.02,9713052
"2012-05-31",6.12,6.14,5.93,6.08,19853735
"2012-06-07",6.1,6.14,5.72,5.76,17452865
"2012-06-14",5.75,5.81,5.7,5.76,8486376
"2012-06-21",6.04,6.04,5.71,5.72,17212920
"2012-06-28",5.45,5.47,5.32,5.41,11537160
"2012-07-05",5.8,5.98,5.79,5.88,13360843
"2012-07-12",4.85,4.96,4.81,4.88,19891348
"2012-07-19",4.93,5.07,4.82,4.86,27598364
"2012-07-26",4.05,4.09,4,4.04,11239510
"2012-08-02",4.03,4.12,3.89,3.97,15799325
"2012-08-09",4.41,4.41,4.23,4.37,23073121
"2012-08-16",4.19,4.24,4.13,4.17,12980054
"2012-08-23",3.98,3.98,3.88,3.9,24431418
"2012-08-30",3.75,3.8,3.7,3.7,12163282
"2012-09-06",3.55,3.66,3.53,3.66,19948737
"2012-09-13",3.82,3.94,3.74,3.92,38359599
"2012-09-20",3.64,3.66,3.59,3.59,20844518
"2012-09-27",3.36,3.5,3.34,3.43,19555185
"2012-10-04",3.17,3.25,3.09,3.22,23236275
"2012-10-11",3.19,3.24,3.13,3.2,18206638
"2012-10-18",2.76,2.78,2.6,2.62,35679405
"2012-10-25",2.1,2.15,2.07,2.12,21983981
"2012-11-01",2.07,2.14,2.05,2.14,21776875
"2012-11-08",2.03,2.06,1.96,1.98,35841466
"2012-11-15",1.93,1.93,1.86,1.87,20269969
"2012-11-29",2.01,2.12,2.01,2.04,42800085
"2012-12-06",2.33,2.39,2.27,2.34,22223405
"2012-12-13",2.4,2.44,2.38,2.41,25069777
"2012-12-20",2.53,2.53,2.37,2.4,24819308
"2012-12-27",2.42,2.43,2.34,2.39,18493395
"2013-01-03",2.52,2.59,2.46,2.49,24966892
"2013-01-10",2.69,2.7,2.61,2.62,19435167
"2013-01-17",2.76,2.78,2.71,2.74,17872144
"2013-01-24",2.7,2.84,2.67,2.79,32503580
"2013-01-31",2.7,2.71,2.45,2.6,27852345
"2013-02-07",2.61,2.63,2.56,2.57,6780147
"2013-02-14",2.74,2.75,2.69,2.75,13295961
"2013-02-21",2.69,2.69,2.52,2.6,30784543
"2013-02-28",2.56,2.57,2.48,2.49,11380341
"2013-03-07",2.44,2.57,2.43,2.55,21089751
"2013-03-14",2.62,2.63,2.58,2.63,9228130
"2013-03-21",2.73,2.75,2.63,2.64,17024519
"2013-03-28",2.55,2.57,2.52,2.55,4877999
"2013-04-04",2.34,2.37,2.32,2.33,11177694
"2013-04-11",2.55,2.57,2.46,2.52,12946665
"2013-04-18",2.4,2.56,2.29,2.51,27340441
"2013-04-25",2.63,2.72,2.63,2.68,20970910
"2013-05-02",3.16,3.48,3.14,3.41,74195406
"2013-05-09",3.91,3.99,3.83,3.86,47232275
"2013-05-16",3.9,3.94,3.66,3.83,80221457
"2013-05-23",3.81,4.05,3.79,4.01,33152560
"2013-05-30",4,4.06,3.99,4.04,15229422
"2013-06-06",3.87,3.94,3.81,3.94,20863632
"2013-06-13",3.9,3.96,3.87,3.95,14201847
"2013-06-20",4.02,4.03,3.86,3.87,26704037
"2013-06-27",4.19,4.19,4.06,4.08,17435506
"2013-07-11",4.22,4.45,4.16,4.45,106977304
"2013-07-18",4.38,4.65,4.37,4.64,70346968
"2013-07-25",3.64,3.74,3.6,3.7,29399812
"2013-08-01",3.81,3.87,3.78,3.81,22276692
"2013-08-08",3.71,3.73,3.61,3.71,16994383
"2013-08-15",3.76,3.84,3.65,3.69,28245844
