"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume"
"2011-09-15",25.68,25.95,25.43,25.9,1116418
"2011-09-22",23.07,23.13,21.97,22.35,1866362
"2011-09-29",23.41,23.65,22.46,22.95,1771485
"2011-10-06",23.39,24.15,23.14,24.14,1092336
"2011-10-13",24.89,25.11,24.61,25,1208139
"2011-10-20",25.07,25.35,24.59,25.11,616764
"2011-10-27",27.02,27.73,26.82,26.9,1097894
"2011-11-03",26.61,27.67,26.29,27.5,1750508
"2011-11-10",26.76,27.1,26.35,26.98,1442206
"2011-11-17",27.38,27.57,26.71,26.92,607317
"2011-12-01",28.41,28.65,28.18,28.24,712608
"2011-12-08",28.08,28.27,27.46,27.53,667018
"2011-12-15",26.93,26.95,26.28,26.74,1207398
"2011-12-22",27.4,27.85,27.25,27.83,916596
"2011-12-29",27.66,27.93,27.53,27.85,641674
"2012-01-05",28.34,29.12,28.01,29.03,938270
"2012-01-12",29.98,30.58,29.73,30.48,1204034
"2012-01-19",30.21,31.12,30.12,30.76,1423872
"2012-01-26",30.89,31.83,30.03,31.38,1505733
"2012-02-02",32.11,32.15,31.5,31.53,982030
"2012-02-09",32.33,32.43,31.89,32.35,779568
"2012-02-16",32.03,32.87,32,32.72,847764
"2012-02-23",32.29,32.35,31.82,32.27,623700
"2012-03-01",31.86,32.25,31.86,32.09,880310
"2012-03-08",31.55,31.77,31.19,31.67,772443
"2012-03-15",32.58,32.61,32.36,32.47,1050135
"2012-03-22",31.84,31.93,31.35,31.79,709065
"2012-03-29",31.95,32.25,31.45,32.23,1639852
"2012-04-05",32.14,32.3,32.07,32.23,555165
"2012-04-12",31.63,32.35,31.56,32.17,600279
"2012-04-19",32.61,32.97,32.25,32.54,1563352
"2012-04-26",32.65,33.82,32.23,33.43,1694636
"2012-05-03",34.04,34.09,33.55,33.69,912146
"2012-05-10",33.7,33.86,33.28,33.45,854366
"2012-05-17",32.92,32.92,32.06,32.12,1920128
"2012-05-24",33.07,33.2,32.7,33.11,873384
"2012-05-31",33.53,33.97,33.31,33.81,2325590
"2012-06-07",34.51,34.6,34.2,34.25,1647518
"2012-06-14",33.75,34.19,33.57,33.83,1335855
"2012-06-21",34.67,34.81,33.53,33.62,1114392
"2012-06-28",32.54,32.63,31.59,32.03,2320641
"2012-07-05",33.87,34.52,33.79,34.38,924176
"2012-07-12",32.9,32.99,32.3,32.73,1165660
"2012-07-19",34.31,34.51,34.11,34.24,602019
"2012-07-26",31.5,31.95,30.73,30.74,2798567
"2012-08-02",30.35,30.71,30.21,30.4,858174
"2012-08-09",32.31,32.51,32.07,32.21,897620
"2012-08-16",33.2,33.75,33.01,33.69,930761
"2012-08-23",34.24,34.5,34.17,34.26,835387
"2012-08-30",34.32,34.42,33.94,34.19,963899
"2012-09-06",34.46,35.23,34.38,35.23,1348957
"2012-09-13",35.46,35.73,34.99,35.53,507496
"2012-09-20",35.85,36.23,35.74,36.22,679001
"2012-09-27",35.43,35.78,35.19,35.78,869742
"2012-10-04",34,35.54,33.78,35.52,2377782
"2012-10-11",34.99,35.03,34.46,34.58,763508
"2012-10-18",35.47,35.55,35.13,35.37,1515277
"2012-10-25",35.38,35.65,35.27,35.5,933824
"2012-11-01",35.55,37.34,35.44,37.11,1910716
"2012-11-08",36.06,36.36,36,36.01,1317459
"2012-11-15",35.45,35.74,34.85,35.02,998708
"2012-11-29",37.25,37.27,36.72,37.15,767891
"2012-12-06",37.74,37.76,37.4,37.54,1016508
"2012-12-13",37.74,37.93,37.43,37.47,978512
"2012-12-20",37.62,37.73,37.3,37.65,847601
"2012-12-27",36.97,37.47,36.79,37.31,752707
"2013-01-03",38.6,38.84,38.33,38.47,851277
"2013-01-10",38.78,38.9,38.28,38.79,1247866
"2013-01-17",38.69,39.18,38.54,39.15,916666
"2013-01-24",39.67,41.22,39.48,41.1,2566102
"2013-01-31",40.82,41.03,40.63,40.99,937904
"2013-02-07",41.45,41.45,40.68,41.14,638953
"2013-02-14",41.81,42.01,41.77,41.91,332685
"2013-02-21",41.69,41.95,41.45,41.49,1037280
"2013-02-28",41.98,42.45,41.81,41.83,1057332
"2013-03-07",42.29,42.42,41.9,42.05,877630
"2013-03-14",42.62,42.79,42.48,42.78,662930
"2013-03-21",42.6,42.71,42.19,42.3,543683
"2013-03-28",42.69,43.46,42.63,43.36,801620
"2013-04-04",41.48,41.74,41.28,41.44,780249
"2013-04-11",41.64,41.68,41.04,41.19,1428548
"2013-04-18",40.25,40.37,39.64,39.9,1085240
"2013-04-25",41.2,41.36,40.63,40.94,1130774
"2013-05-02",40.04,40.46,39.95,40.08,1270594
"2013-05-09",41.74,42,41.63,41.79,789052
"2013-05-16",42.88,43.21,42.65,42.72,862077
"2013-05-23",42.9,43.19,42.68,43.11,993784
"2013-05-30",43.08,43.71,43.03,43.5,880825
"2013-06-06",42.59,42.98,42.26,42.54,1418900
"2013-06-13",42.25,42.85,41.97,42.73,975588
"2013-06-20",41.44,41.44,40.62,40.66,758046
"2013-06-27",41.44,42.06,41.33,42,709312
"2013-07-11",44.85,45.15,44.72,44.91,1185208
"2013-07-18",45.35,45.78,45.33,45.75,482196
"2013-07-25",45.67,45.82,45.49,45.64,830066
"2013-08-01",46.74,47.85,46.71,47.7,1962128
"2013-08-08",45.5,46.01,45.35,45.74,727267
"2013-08-15",44.59,44.6,43.6,43.7,1460461
"2013-08-22",43.95,44.33,43.77,44.23,457796
"2013-08-29",43.32,43.66,43.32,43.48,844722
"2013-09-05",43.47,44.03,43.34,43.86,669858
"2013-09-12",45.6,47,45.17,45.57,4201972
"2013-09-19",45.94,46.49,45.83,46.02,1729341
"2013-09-26",46.21,46.35,45.82,46.21,1758423
"2013-10-03",45.2,45.42,44.44,44.83,1570873
"2013-10-10",44.25,45.15,44.14,45.09,1068731
"2013-10-17",45.05,45.71,45,45.66,854891
"2013-10-24",46.76,47,46.66,46.68,768428
"2013-10-31",47.66,48.11,47.33,47.83,931487
"2013-11-07",48.61,49.03,47.92,47.94,2126753
"2013-11-14",49.12,49.31,48.83,49.1,574886
"2013-11-21",48.66,49.35,48.45,49.33,563549
"2013-12-05",48.85,49.18,48.77,48.9,658299
"2013-12-12",48.62,49.01,48.39,48.98,995489
"2013-12-19",51.21,51.47,51.02,51.37,929499
"2013-12-26",52.61,52.66,52.09,52.57,370713
"2014-01-02",52.43,52.52,51.9,52.09,570244
"2014-01-09",52.23,52.24,51.82,52.19,909331
"2014-01-16",52.69,53.16,52.52,52.6,816665
"2014-01-23",51.84,51.93,51.11,51.37,725385
"2014-01-30",50.22,50.36,49.81,50.06,964599
"2014-02-06",48.01,48.9,48.01,48.75,834931
"2014-02-13",50.36,51.25,50.16,51.22,768057
"2014-02-20",51.62,52.37,51.62,52.26,894735
"2014-02-27",52.67,53.03,52.57,53,749547
"2014-03-06",53.8,53.92,53.55,53.75,473179
"2014-03-13",53.48,53.68,52.49,52.73,899260
"2014-03-20",52.76,53.16,52.72,53.03,697030
"2014-03-27",51.59,51.82,51.18,51.32,738140
"2014-04-03",53,53.06,52.34,52.69,733186
"2014-04-10",50.81,51.16,49.65,49.7,980810
"2014-04-17",51.69,52.26,51.53,52.03,826977
"2014-04-24",51.98,52.17,51.32,51.92,496101
"2014-05-01",52.55,53.27,52.45,52.75,1190981
"2014-05-08",52.95,53.71,52.92,53.13,969713
"2014-05-15",52.59,52.76,51.67,52.32,636446
"2014-05-22",52.15,52.64,52.15,52.36,532787
"2014-05-29",52.86,53.08,52.55,53.06,509820
"2014-06-05",52.92,53.42,52.62,53.27,696727
"2014-06-12",53.65,53.86,53.08,53.25,458454
"2014-06-19",53.52,53.59,53.01,53.53,623123
"2014-06-26",53.24,53.34,52.51,52.82,763176
"2014-07-03",52.82,53.27,52.61,53.14,410138
"2014-07-10",52.15,52.33,51.94,52.17,607986
"2014-07-17",52.55,52.65,51.6,51.67,877713
"2014-07-24",51.96,52.13,51.61,51.78,513405
"2014-07-31",49.82,50.01,48.6,48.69,1831363
"2014-08-07",51.17,51.26,50.44,50.49,1113964
"2014-08-14",51.66,51.76,51.48,51.53,886960
"2014-08-21",53.17,53.22,52.8,53.12,489603
"2014-08-28",52.55,53,52.32,52.97,546001
"2014-09-04",52.97,53.44,52.7,52.9,618949
"2014-09-11",52.58,52.8,52.4,52.68,331522
"2014-09-18",51.97,52.13,51.77,51.95,1060190
"2014-09-25",51.09,51.19,50.4,50.58,692519
"2014-10-02",49.25,49.5,48.64,49.29,1378396
"2014-10-09",49.37,49.45,48.38,48.4,1180819
"2014-10-16",45.75,47.59,45.75,47.41,1451163
"2014-10-23",50.36,51.04,50.1,50.83,902731
"2014-10-30",50.6,51.52,50.6,51.23,869538
"2014-11-06",51.64,52.18,51.24,52.17,1328936
"2014-11-13",48.5,51.17,46.92,50.32,9870562
"2014-11-20",50.76,51.22,50.63,50.92,695060
"2014-12-04",51.72,51.96,51.5,51.74,687256
"2014-12-11",49.92,50.39,49.52,49.64,820534
"2014-12-18",50.81,52.32,50.48,52.29,2425783
"2015-01-08",50.64,51.46,50.54,51.45,1590272
"2015-01-15",49.37,49.47,48.29,48.33,1153025
"2015-01-22",49.23,49.58,48.64,49.29,1048849
"2015-01-29",48.72,49.31,48.06,49.14,1538542
"2015-02-05",49.65,50.18,49.61,49.69,1169631
"2015-02-12",50.14,50.74,50,50.61,974022
"2015-02-19",51.18,51.68,51.18,51.26,717335
"2015-02-26",52.88,53.3,52.68,53.27,1801870
"2015-03-05",52.99,53.11,52.59,52.92,1278981
"2015-03-12",51.64,52.18,51.61,52.16,590655
"2015-03-19",53.34,53.42,52.73,53.1,773239
"2015-03-26",51.75,52,51.55,51.85,1938692
"2015-04-02",52.43,52.83,52.17,52.4,648744
"2015-04-09",53.11,53.52,52.97,53.4,640342
"2015-04-16",53.05,53.07,52.56,52.81,850884
"2015-04-23",52.25,52.77,52.16,52.69,708611
"2015-04-30",52.19,52.67,52.13,52.42,2227830
"2015-05-07",52.17,52.6,52,52.29,775046
"2015-05-14",54.67,55.35,54.43,55.22,1064180
"2015-05-21",54.92,55.21,54.8,54.95,640881
"2015-05-28",54.26,54.34,53.91,54.17,617872
"2015-06-04",53.79,53.81,52.99,53.3,1164334
"2015-06-11",54.59,54.98,54.37,54.82,1097338
"2015-06-18",54.66,55.28,54.48,55.1,906165
"2015-06-25",54.08,54.15,53.66,53.8,878345
"2015-07-02",55.84,56,55.2,55.55,1562187
"2015-07-09",54.65,55.08,54.13,54.31,1539416
"2015-07-16",55.37,55.63,54.98,55.29,650689
"2015-07-23",55.13,55.8,55.1,55.15,1266630
"2015-07-30",53.19,53.45,53,53.36,1220164
"2015-08-06",54.13,55.21,54.13,55.04,2243152
"2015-08-13",55.34,56.34,55.26,56.05,979123
"2015-08-20",56.15,56.29,55.06,55.06,990064
"2015-08-27",53.8,54.74,53.45,54.74,1551733
"2015-09-03",52.79,53.33,52.58,52.78,1186596
"2015-09-10",53.01,53.26,52.56,52.93,678713
"2015-09-17",53.84,54.51,53.42,53.5,914077
"2015-09-24",51.05,51.6,50.64,51.52,2197489
"2015-10-01",52.43,52.67,51.11,51.86,1704340
"2015-10-08",54.93,55.96,54.75,55.91,1093868
"2015-10-15",54.35,54.6,53.61,54.53,938842
"2015-10-22",54.87,56.13,54.83,55.63,1405589
"2015-10-29",54.55,55.43,54.55,54.68,2260937
"2015-11-05",56.14,56.82,56.12,56.48,967277
"2015-11-12",55.29,55.55,54.03,54.09,1290382
"2015-11-19",55.95,56.07,55.64,55.79,1067392
"2015-12-03",55.82,56,54.26,54.71,1371110
"2015-12-10",53.93,54.43,53.85,54.08,2388939
"2015-12-17",54.38,54.58,53.42,53.55,1931266
"2015-12-24",53.96,54.47,53.96,54.29,386938
"2015-12-31",53.91,54.25,53.58,53.59,708652
"2016-01-07",50.39,50.44,49.38,49.98,2498653
"2016-01-14",47.48,48.43,46.77,47.99,1510576
"2016-01-21",46.52,46.97,45.81,46.33,1869230
"2016-01-28",46.77,46.88,45.92,46.18,1607718
"2016-02-04",45.85,47.16,44.92,46.64,1874289
"2016-02-11",44.64,45.45,44.28,45.03,1985770
"2016-02-18",46.02,46.06,45.55,45.86,1300768
"2016-02-25",45.59,46.41,45.23,46.39,1177899
"2016-03-03",47.98,48.24,47.5,48.22,927231
"2016-03-10",47.66,47.79,46.82,47.4,1456543
"2016-03-17",48.84,50.08,48.82,49.91,2123931
"2016-03-24",49.09,49.12,48.69,49.07,858804
"2016-03-31",50.16,50.29,49.6,49.98,1240425
"2016-04-07",48.56,49.29,48.51,49.03,1604748
"2016-04-14",51,51.08,50.6,50.68,1101664
"2016-04-21",50.85,51.04,50.7,50.96,970431
"2016-04-28",48.7,48.98,47.21,48.1,8458812
"2016-05-05",46.97,47.33,46.59,46.64,1380331
"2016-05-12",47.01,47.31,46.55,46.99,1191376
"2016-05-19",47.15,47.28,46.62,47.03,1625287
"2016-05-26",47.86,48.14,47.68,47.8,726148
"2016-06-02",47.8,47.91,47.59,47.84,989809
"2016-06-09",48.85,48.85,48.43,48.79,847796
"2016-06-16",46.28,46.77,45.73,46.67,967742
"2016-06-23",46.95,47.47,46.91,47.47,1062170
"2016-06-30",45.54,46.23,45.54,46.23,2628741
"2016-07-07",45.17,45.52,44.97,45.36,1698880
"2016-07-14",46.89,47.39,46.67,47.11,1743085
"2016-07-21",47.74,47.96,47.19,47.36,1593316
"2016-07-28",47.19,47.47,46.85,47.39,900764
"2016-08-04",43.5,46.72,43.3,45.91,4362330
"2016-08-11",47.46,47.77,47.39,47.49,1459910
"2016-08-18",48.28,48.93,48.28,48.93,1327077
"2016-08-25",49.59,49.98,49.41,49.79,1302108
"2016-09-01",48.79,48.91,48.26,48.78,1540111
"2016-09-08",48.72,48.72,48.33,48.47,978114
"2016-09-15",47.4,47.78,47.4,47.6,2544125
