"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume"
"2011-09-15",54.52,54.92,54.04,54.86,3334889
"2011-09-22",52.64,53.21,51.47,52.3,6830289
"2011-09-29",54.79,54.88,52.5,53.59,3178909
"2011-10-06",55.04,55.79,54.79,55.59,3889949
"2011-10-13",55.25,55.33,54.64,55.15,3015857
"2011-10-20",54.82,55.77,54.72,55.05,2387800
"2011-10-27",57.09,57.25,55.51,56.12,2894086
"2011-11-03",57.4,58,56.3,57.42,4083803
"2011-11-10",57.75,57.8,56.27,56.63,2799038
"2011-11-17",57.66,57.93,56.69,56.93,2625589
"2011-12-01",58.78,59.42,58.38,58.6,2450533
"2011-12-08",58.67,58.89,57.75,57.82,3152021
"2011-12-15",58.22,58.92,57.91,58.8,3381404
"2011-12-22",59.49,60.3,59.49,59.99,3128928
"2011-12-29",60.18,60.72,60.16,60.59,1475943
