"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume"
"2011-09-15",223.99,227.2,221.25,226.78,5610172
"2011-09-22",224.72,228.79,219,223.23,8255563
"2011-09-29",234.17,234.3,216.29,222.44,9380228
"2011-10-06",220.28,223.62,217.55,221.51,6850357
"2011-10-13",237,239.68,235.23,236.15,4841536
"2011-10-20",232.13,234.74,229.8,233.61,4526838
"2011-10-27",204.26,208.6,201.1,206.78,10776025
"2011-11-03",216.3,218.5,213.02,218.29,5317497
"2011-11-10",213.5,214.06,208.1,210.79,5044864
"2011-11-17",212.51,212.9,202.1,204.52,7985182
"2011-12-01",191.85,198.08,191.59,197.13,7330072
"2011-12-08",193.57,195.89,190.08,190.48,4361514
"2011-12-15",182.05,184.8,179.53,181.26,7260281
"2011-12-22",175.09,179.67,174.21,179.03,4696272
"2011-12-29",169.62,174.55,166.97,173.86,8212559
"2012-01-05",175.94,178.25,174.05,177.61,3810496
"2012-01-12",179.42,179.49,175.75,175.93,5388353
"2012-01-19",190.88,195.94,190.36,194.45,7100003
"2012-01-26",189.3,194.85,188.73,193.32,5878847
"2012-02-02",179.65,181.94,176.8,181.72,8738896
"2012-02-09",184.5,185.69,181.76,184.98,7189994
"2012-02-16",177.79,181.68,175.14,179.93,12565470
"2012-02-23",179.64,180.75,176.96,178.89,5157465
"2012-03-01",179.89,180.49,176.58,180.04,4938425
"2012-03-08",184.17,188.38,183.8,187.64,4223589
"2012-03-15",182.02,184.43,180.3,184.43,4160618
"2012-03-22",190.54,194.06,190.26,192.4,3740279
"2012-03-29",201.28,205.31,200.63,204.61,5711525
"2012-04-05",193.55,196.03,193.55,194.39,3217777
"2012-04-12",188.06,192.26,185.61,190.69,4028910
"2012-04-19",192.93,194.55,189.75,191.1,4003037
"2012-04-26",193.57,196.36,193.02,195.99,10233980
"2012-05-03",229.74,232.53,228.03,229.45,4057859
"2012-05-10",223.91,229.08,221.95,226.69,4648359
"2012-05-17",225.05,226,218.09,218.36,4507911
"2012-05-24",216.98,217.66,212.7,215.24,3141496
"2012-05-31",209.48,213.79,207.11,212.91,4944924
"2012-06-07",219.65,221.49,218.11,218.8,3505416
"2012-06-14",215.26,216.5,212.56,214.45,3060973
"2012-06-21",223.84,226.03,220.52,220.58,2843130
"2012-06-28",223.92,224.62,218.75,221.31,2995338
"2012-07-05",228.62,230.5,226.53,227.06,2683610
"2012-07-12",216.61,217.3,212.61,215.36,2617140
"2012-07-19",220.73,227.5,220.69,226.17,5451352
"2012-07-26",220,221.45,214.95,220.01,6937337
"2012-08-02",230.56,234.34,228.66,230.81,3048331
"2012-08-09",233.93,235.99,233.5,234.06,1548552
"2012-08-16",237.72,242.82,236.2,241.55,4312712
"2012-08-23",242.14,243.48,239.02,241.2,2454445
"2012-08-30",246.99,250,245.25,246.22,3647976
"2012-09-06",248.23,252.7,247.2,251.38,5363368
"2012-09-13",254.94,262,253.8,260.24,3526477
"2012-09-20",260.03,260.87,258,260.81,2914144
"2012-09-27",250.54,257.4,250.52,256.59,3397739
"2012-10-04",256.01,261.52,255.87,260.47,2710852
"2012-10-11",248,249.3,241.89,244.22,3447983
"2012-10-18",247.77,250.91,242.7,244.85,5305942
"2012-10-25",230.92,230.92,222.92,222.92,6741212
"2012-11-01",234.23,234.55,231.34,232.14,3905997
"2012-11-08",232.22,233.45,227.1,227.35,2991034
"2012-11-15",222.3,225.16,218.18,220.6,3404622
"2012-11-29",248.05,252.48,247.5,251.27,5314702
"2012-12-06",253,255.17,251.51,253.37,3557822
"2012-12-13",251.11,254.54,250.02,251.25,2462285
"2012-12-20",258.36,262.41,256.54,261.5,2585390
"2012-12-27",248.28,249.35,242.86,248.31,3640682
"2013-01-03",257.27,260.88,256.37,258.48,2751611
"2013-01-10",268.54,268.74,262.3,265.34,2866093
"2013-01-17",271.5,271.97,269.21,270.48,1884883
"2013-01-24",269.37,276.65,269.37,273.62,3416909
"2013-01-31",271.04,275.94,263.7,265.5,6775977
"2013-02-07",264.1,264.1,255.11,260.23,3977065
"2013-02-14",267.37,270.65,265.4,269.24,3464080
"2013-02-21",265.12,269.48,263.25,265.94,3638795
"2013-02-28",261.81,267,260.63,264.27,2668154
"2013-03-07",274.1,274.8,271.85,273.88,1939787
"2013-03-14",269.67,270,263.53,265.74,5227305
"2013-03-21",256.11,257,252.68,253.39,2806446
"2013-03-28",265.82,267.38,264.06,266.49,2473857
"2013-04-04",259.23,260.41,256.12,259.08,1964612
"2013-04-11",264.74,270.97,264.74,269.85,3092065
"2013-04-18",266.81,266.99,256.6,259.42,3138006
"2013-04-25",271.53,275.8,270.5,274.7,6116498
"2013-05-02",248.94,252.93,245.78,252.55,3936170
"2013-05-09",258.73,263.55,256.88,260.16,2769255
"2013-05-16",265.96,268.43,263.85,264.12,1643668
"2013-05-23",260.49,263.17,259.59,261.8,2007811
"2013-05-30",265.71,268.57,265.62,266.83,1668469
"2013-06-06",267.75,270.5,264.21,267.83,2476368
"2013-06-13",271.5,276.8,270.29,275.79,2651715
"2013-06-20",275.14,278.6,272.39,273.44,2985196
"2013-06-27",279.18,280.2,274.54,277.55,2520422
"2013-07-11",294.99,300.69,292.1,299.66,4007601
"2013-07-18",306.27,306.34,301.87,304.11,3064359
"2013-07-25",299,304.5,296.75,303.4,5484465
"2013-08-01",303.08,306.21,298.9,305.57,2971659
"2013-08-08",298.52,298.52,292.55,295.74,2346335
"2013-08-15",288.79,289.3,285.15,286.47,2261493
"2013-08-22",284.8,289.87,284.8,289.73,1422672
"2013-08-29",281.45,285.98,280,283.98,1566544
"2013-09-05",293.63,297,292.71,294.1,1819790
"2013-09-12",299.39,302,297.66,298.86,1606393
"2013-09-19",313.77,314.54,311.04,312.06,2350946
"2013-09-26",313.9,319.37,313.26,318.12,1990982
"2013-10-03",320.39,322.92,313.02,314.76,2679440
"2013-10-10",304.63,306.7,302.59,305.17,2557138
"2013-10-17",307.07,311,305.24,310.77,2648384
"2013-10-24",329.63,332.65,326.75,332.21,5884655
"2013-10-31",361.73,366,359,364.03,2466937
"2013-11-07",355.86,357.9,341.88,343.56,4250065
"2013-11-14",357.39,368.94,356.43,367.4,4164128
"2013-11-21",364.05,369.25,363.3,368.92,1967041
"2013-12-05",386.65,386.65,381.37,384.49,1906452
"2013-12-12",381.55,385,379.5,381.25,2123652
"2013-12-19",394.36,397.29,392.6,395.19,2429598
"2013-12-26",401.79,404.52,396.81,404.39,1871590
"2014-01-02",398.8,399.36,394.02,397.97,2140246
"2014-01-09",403.71,406.89,398.44,401.01,2103793
"2014-01-16",393.68,399.29,389.41,395.8,2602506
"2014-01-23",401,406.17,397.79,399.87,3026272
"2014-01-30",393.77,406.25,387.7,403.01,10900116
"2014-02-06",347.4,354.82,347.4,354.59,3340542
"2014-02-13",347.7,357.2,346.5,357.2,4181445
"2014-02-20",348.8,350.46,344.38,349.8,3496663
"2014-02-27",357.22,360.59,355.5,360.13,3105442
"2014-03-06",374.05,375.33,368.9,372.16,2927497
"2014-03-13",376.62,383.11,368.08,371.51,6829047
"2014-03-20",370.64,373,366.22,368.97,2558460
"2014-03-27",343.15,344,330.88,338.47,5770462
"2014-04-03",341.82,342.5,328.46,333.62,6399299
"2014-04-10",330.6,331,316.5,317.11,6133376
"2014-04-17",319.76,328.66,319.76,324.91,4300378
"2014-04-24",329.67,337.4,322.95,337.15,9293735
"2014-05-01",304.13,310.48,304,307.89,4329167
"2014-05-08",290.82,295.88,287.23,288.32,3848996
"2014-05-15",298.02,299.2,290.38,295.19,4299530
"2014-05-22",305.05,308.54,303.01,304.91,2576888
"2014-05-29",310.42,314.87,310.2,313.78,2365679
"2014-06-05",308.1,327.94,306.9,323.57,7803760
"2014-06-12",335.55,335.55,324.66,325.91,4276316
"2014-06-19",335.26,338.9,325.98,327,5327002
"2014-06-26",328.49,328.65,322.13,325.69,2699908
"2014-07-03",334.83,338.3,333.08,337.49,1944300
"2014-07-10",324.34,329.98,322.65,327.92,2665753
"2014-07-17",353.44,356.96,351.38,352.45,3640290
"2014-07-24",359.98,364.85,358.52,358.61,7088655
"2014-07-31",320.01,320.68,311.86,312.99,5193770
"2014-08-07",315.21,315.88,309.66,311.45,2936913
"2014-08-14",327.8,334.09,326.71,333.21,3420646
"2014-08-21",336.48,336.58,332.23,332.91,1975792
"2014-08-28",340,341.79,338.8,340.02,2254725
"2014-09-04",343.69,349.38,343.58,345.95,3965557
"2014-09-11",329.94,333.01,326.39,330.52,2721893
"2014-09-18",325.44,327.1,323.71,325,2577706
"2014-09-25",327.99,328.54,321.4,321.93,2934944
"2014-10-02",316.92,318.53,311.31,318.41,3553944
"2014-10-09",321.49,322.27,314.52,315.37,3589464
"2014-10-16",293.83,306.82,293.83,302.86,4731866
"2014-10-23",313.4,316.8,311.4,313.18,9038193
"2014-10-30",293.98,299.74,292.36,299.07,4055155
"2014-11-06",296.69,297,292.29,296.64,3758121
"2014-11-13",312,317.89,311.51,316.48,3686428
"2014-11-20",324,332.67,323.33,330.54,3436721
"2014-12-04",315.53,318.59,313.47,316.93,3296642
"2014-12-11",307.89,312.64,306.01,307.36,3272919
"2014-12-18",304.01,304.5,293.25,297.73,7738067
"2015-01-08",300.32,303.14,296.11,300.46,3088398
"2015-01-15",294,296,286.82,286.95,4419196
"2015-01-22",300,312.25,300,310.32,5362640
"2015-01-29",304.73,312.8,299.33,311.78,8656567
"2015-02-05",366,378.8,365.9,373.89,7247605
"2015-02-12",375.1,378.51,373.15,377.17,2791050
"2015-02-19",373.49,381.88,373.43,379,2953752
"2015-02-26",384.07,389.37,383.28,384.8,2687107
"2015-03-05",385.61,388.42,383.89,387.83,2693518
"2015-03-12",368.82,375.5,367.52,374.24,2810001
"2015-03-19",373.87,377.11,372.19,373.24,1915671
"2015-03-26",369.59,371.4,365.65,367.35,2929962
"2015-04-02",370.5,373.28,369,372.25,1875279
"2015-04-09",380.66,384.42,378.8,383.54,2392328
"2015-04-16",383.69,387.45,383.55,386.04,2080418
"2015-04-23",390.21,391.88,386.15,389.99,7979985
"2015-04-30",427.11,431.75,419.24,421.78,3647877
