"","ANDV.Open","ANDV.High","ANDV.Low","ANDV.Close","ANDV.Volume"
"2011-09-15",23.85,24.29,23.4,24.23,3115552
"2011-09-22",20.5,20.5,18.77,19.12,5473048
"2011-09-29",20.52,20.68,19.77,20.25,6130168
"2011-10-06",21.89,23.24,21.7,23.09,5882596
"2011-10-13",24.26,25.22,23.92,25,4063847
"2011-10-20",25.25,25.94,24.72,25.82,4059407
"2011-10-27",25.92,27.25,25.57,26.29,5633094
"2011-11-03",27.75,28.33,26.79,27.72,5147489
"2011-11-10",28.75,28.92,27.04,27.86,5812310
"2011-11-17",24.27,24.74,23.25,23.8,7594149
"2011-12-01",24.03,24.42,23.77,24.24,4907300
"2011-12-08",22.55,22.59,21.44,21.68,6461550
"2011-12-15",22.23,22.29,21.37,21.75,5527897
"2011-12-22",23.23,23.55,22.9,23.44,3262881
"2011-12-29",23.05,23.38,22.81,23.34,1648161
"2012-01-05",21.98,22.63,21.5,22.6,6691656
"2012-01-12",23.05,23.59,23.05,23.36,2564955
"2012-01-19",24.52,24.57,23.9,24.07,2317166
"2012-01-26",25.57,25.66,24.98,25.12,2844947
"2012-02-02",24.78,25.48,24.16,24.62,5067588
"2012-02-09",27.5,28.5,27.4,28.02,5843188
"2012-02-16",27.67,28.25,27.21,28.07,3832141
"2012-02-23",28.6,29.02,28.06,28.73,3284744
"2012-03-01",26.73,27.35,26.64,27.16,3975179
"2012-03-08",27.55,29.26,27.29,28.97,7450564
"2012-03-15",29.44,29.78,29.03,29.59,2852614
"2012-03-22",28.41,28.45,27.7,27.96,2688697
"2012-03-29",27.73,27.75,26.82,27.18,3717769
"2012-04-05",25.91,26.27,25.1,25.37,5099775
"2012-04-12",23.97,24.69,23.9,24.55,3508566
"2012-04-19",22.79,23.6,22.76,23.1,3514814
"2012-04-26",23.18,23.56,23.16,23.48,1445743
"2012-05-03",23.34,23.34,22.1,22.35,4333733
"2012-05-10",22.69,23.55,22.69,22.93,5799453
"2012-05-17",22.11,22.87,21.92,22.41,4708695
"2012-05-24",23.5,23.57,22.73,23.2,3233371
"2012-05-31",23.22,23.24,21.58,22.12,7714177
"2012-06-07",22.97,23.15,22.28,22.56,3535242
"2012-06-14",22.26,22.48,21.68,21.96,5098586
"2012-06-21",24,24,23.26,23.41,4739496
"2012-06-28",24.4,25.12,23.95,25.06,4645390
"2012-07-05",26.12,26.22,25.61,25.91,3009825
"2012-07-12",26.67,26.94,26.11,26.82,4704987
"2012-07-19",28.09,28.09,26.86,27.12,4032692
"2012-07-26",26.91,27.27,26.58,27.11,3000426
"2012-08-02",28.99,31.95,28.75,31.79,12859123
"2012-08-09",34.86,35.67,34.65,35.32,4425748
"2012-08-16",38.42,38.7,37.16,38.7,6451998
"2012-08-23",38.9,39.08,38.35,38.61,2485725
"2012-08-30",39.03,39.72,38.89,39.39,2738811
"2012-09-06",39.36,39.99,39.15,39.56,2601906
"2012-09-13",40.3,40.69,39.26,40.41,4030340
"2012-09-20",40.46,41.84,40.01,41.61,3032400
"2012-09-27",40.9,42.37,40.83,41.88,3003877
"2012-10-04",42.91,44.73,42.83,44.15,4853990
"2012-10-11",39.22,39.5,37.82,38.59,4274149
"2012-10-18",38.5,38.62,38,38.57,2953270
"2012-10-25",37.72,37.86,37.1,37.38,3004648
"2012-11-01",36.51,37.78,35.6,36.18,6016486
"2012-11-08",38.09,39.17,37.36,37.37,2841304
"2012-11-15",37.48,38.94,37.42,38.38,3914842
"2012-11-29",41.84,42.09,40.84,41.57,2474321
"2012-12-06",38.76,39.06,38.42,38.86,3137803
"2012-12-13",40.82,41.55,39.78,41.36,4074721
"2012-12-20",43.63,44.58,43.46,44.36,1913126
"2012-12-27",43.35,43.91,42.56,43.51,1452702
"2013-01-03",45.19,45.36,43.44,43.73,3670629
"2013-01-10",40.79,43.03,40.76,42.85,4906407
"2013-01-17",43.82,44.12,43.41,43.68,2109691
"2013-01-24",44.43,45.16,44.21,44.61,2905075
"2013-01-31",47.83,49.19,47.59,48.69,3185670
"2013-02-07",50.85,53.15,49.84,52.55,6247929
"2013-02-14",54.15,55.58,53.73,55.18,3266120
"2013-02-21",51.73,53.82,50.07,53.28,7008284
"2013-02-28",55.7,57.04,55.57,56.24,4581884
"2013-03-07",57.89,58.46,56.93,57.75,3797430
