"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume"
"2011-09-15",53.54,54.02,52.65,53.97,423675
"2011-09-22",50,50.52,48.75,49.31,487989
"2011-09-29",51.39,51.68,49.63,50.95,287114
"2011-10-06",48.44,48.81,47.8,48.63,642887
"2011-10-13",50.25,50.96,50.07,50.87,193558
"2011-10-20",50.44,50.88,49.36,50.65,201606
"2011-10-27",53.26,55.18,53.05,55.06,443100
"2011-11-03",55.04,58.47,53.46,57.97,979979
"2011-11-10",57.63,57.92,56.71,57.7,286213
"2011-11-17",58.63,58.85,57.66,58.25,705400
"2011-12-01",61.64,62.3,61.17,61.46,408974
"2011-12-08",60.7,61.24,60.05,60.21,227163
"2011-12-15",58.89,59.05,57.94,58.9,325157
"2011-12-22",57.63,58.01,57.07,57.34,415760
"2011-12-29",57.08,57.37,56.61,57.24,171841
"2012-01-05",56.21,57.55,55.21,57.3,324726
"2012-01-12",56.88,57.56,56.7,57.44,509800
"2012-01-19",59.04,60.91,59.04,60.56,291670
"2012-01-26",61.52,62.45,61.07,61.51,299506
"2012-02-02",63.17,63.73,62.63,62.88,171789
"2012-02-09",63.96,64.62,63.27,64.27,210222
"2012-02-16",64,65.26,63.93,65.1,260945
"2012-02-23",64,64.64,62.68,63.08,1538107
"2012-03-01",63.38,64.04,63.28,63.62,295900
"2012-03-08",62.71,63.68,62.25,62.67,224879
"2012-03-15",64.9,65.73,64.45,65.52,350395
"2012-03-22",64.75,65.01,63.8,64.83,271115
"2012-03-29",64.92,65.41,64.57,65.21,345344
"2012-04-05",63.41,64.39,62.88,64.28,571707
"2012-04-12",63,63.88,62.1,63.54,207099
"2012-04-19",65.99,67.48,65.44,66.1,502706
"2012-04-26",65.74,67.16,65.74,67,284109
"2012-05-03",64.38,66.4,61.14,62.22,1770729
"2012-05-10",61.83,62.02,60.48,60.93,679340
"2012-05-17",62.53,62.53,61.1,61.11,601180
"2012-05-24",62.5,62.5,60.98,61.69,500923
"2012-05-31",62.12,62.45,60.78,61.88,4313152
"2012-06-07",65.56,65.97,64.31,64.45,368796
"2012-06-14",62.81,63.5,61.95,62.53,649377
"2012-06-21",65.35,65.54,62.87,63.06,434273
"2012-06-28",62.04,62.19,60.07,60.97,684174
"2012-07-05",63.92,64.68,63.5,64.47,259979
"2012-07-12",56.22,57.05,55.85,56.62,672225
"2012-07-19",57.17,58.29,56.99,58.15,585092
"2012-07-26",58.59,59.51,58.58,59.27,524027
"2012-08-02",65,67.42,60.01,66.56,1702289
"2012-08-09",66.43,67.36,66.41,66.88,829567
"2012-08-16",66.29,66.49,65.75,66.36,596239
"2012-08-23",67.29,68.34,67.08,68.04,640780
"2012-08-30",69.39,69.83,69.3,69.46,555806
"2012-09-06",71.15,72.7,71.15,72.46,457676
"2012-09-13",72.55,72.75,71.79,72.39,489280
"2012-09-20",73.11,73.92,72.9,73.84,369957
"2012-09-27",71.99,73.12,71.53,72.88,333052
"2012-10-04",72.34,72.36,71.43,72.34,283683
"2012-10-11",69.83,70.21,68.67,69.13,217400
"2012-10-18",71.6,71.72,70.71,70.75,248408
"2012-10-25",69.62,69.77,68.57,69.04,134036
"2012-11-01",68.75,69.32,63.22,67.49,1473168
"2012-11-08",68.08,68.58,67.45,67.48,421217
"2012-11-15",67.29,67.38,66.43,67.25,274405
"2012-11-29",65.99,66.52,65.53,66.26,477002
"2012-12-06",66.2,66.66,65.95,66.26,220770
"2012-12-13",67.97,68.01,66.64,66.71,234426
"2012-12-20",68.63,69,68.22,68.86,362118
"2012-12-27",67.65,68.3,66.79,67.62,231793
"2013-01-03",69.84,70.5,69.57,69.77,254053
"2013-01-10",72.31,72.71,71.49,72.26,192668
"2013-01-17",72.98,74.03,72.98,73.56,268671
"2013-01-24",72.5,73.24,72.41,72.74,293420
"2013-01-31",73.31,74.27,73.12,73.6,203207
"2013-02-07",74.3,74.69,73.6,74.59,136202
"2013-02-14",75.58,75.88,75.34,75.51,139296
"2013-02-21",76.23,76.48,75.6,75.69,390462
"2013-02-28",75.3,77.11,75.3,75.8,626383
"2013-03-07",78.54,79.07,78.3,78.98,237266
"2013-03-14",80,81.31,79.97,80.56,423117
"2013-03-21",79.06,79.54,78.78,79.33,312547
"2013-03-28",80,81.55,78.69,81.42,403140
"2013-04-04",77.92,78.18,77.08,77.33,293541
"2013-04-11",79.14,79.14,77.9,77.99,296527
"2013-04-18",77.24,77.24,75.04,75.07,298626
"2013-04-25",77.97,78.88,77.67,78.3,160881
"2013-05-02",73,76.93,72.5,73.93,1189029
"2013-05-09",75.61,75.62,74.73,75.1,163254
"2013-05-16",75.91,76.78,75.83,76.07,365407
"2013-05-23",72.33,73.54,72.18,73.44,612245
"2013-05-30",74.65,75.26,74.07,75.06,213828
