"","ANTM.Open","ANTM.High","ANTM.Low","ANTM.Close","ANTM.Volume"
"2011-09-15",67.1,67.43,65.3,67.35,3693238
"2011-09-22",63.27,65.06,62.84,63.63,4311186
"2011-09-29",66.26,66.76,63.84,65.37,3115868
"2011-10-06",64.06,64.96,63.6,64.96,2681527
"2011-10-13",66.57,66.9,65.51,66.05,2219052
"2011-10-20",64.78,65.4,64.13,65.25,2493924
"2011-10-27",71.23,71.78,69.57,70.58,3067242
"2011-11-03",68.62,68.74,67.31,67.84,2140262
"2011-11-10",67.58,68.79,67.28,68.57,2359435
"2011-11-17",68.15,69.22,67.78,68.26,4596547
"2011-12-01",70.19,71.08,69.97,70.08,2063844
"2011-12-08",68.06,68.22,65.87,66.08,3144896
"2011-12-15",64.57,65.38,63.92,64.5,4174771
"2011-12-22",65.93,67.17,65.84,66.78,1669512
"2011-12-29",66.49,67.47,66.38,66.87,1096025
"2012-01-05",67.72,68.66,67.34,68.51,2034483
"2012-01-12",72.57,72.79,71.62,71.81,1843231
"2012-01-19",71.63,72.45,70.32,71.93,4247608
"2012-01-26",65.97,66.94,63.48,64.3,6097099
"2012-02-02",65.99,65.99,64.51,65.16,3841920
"2012-02-09",65.06,65.12,64.5,64.65,2819580
"2012-02-16",65.35,66.37,65.16,66.23,2449314
"2012-02-23",65.98,66.34,65.67,66.22,1789426
"2012-03-01",65.77,66.43,65.72,66.23,2200551
"2012-03-08",64.25,64.75,64.08,64.41,1882016
"2012-03-15",67.25,67.4,66.6,66.94,3712732
"2012-03-22",65.81,66.74,65.62,66.39,2724410
"2012-03-29",69.37,72.14,69.29,71.62,7793777
"2012-04-05",71.66,72.42,71.45,72.38,2283858
"2012-04-12",69.84,70.19,69.25,70,2946509
"2012-04-19",68.89,70.87,68.88,70.62,2786172
"2012-04-26",68.24,69.5,67.46,69.35,4307663
"2012-05-03",68.46,68.46,67.09,67.3,3317948
"2012-05-10",66.38,66.42,65.7,65.94,1507309
"2012-05-17",65.2,66.74,65,66.45,4407354
"2012-05-24",66.91,69.34,66.81,67.82,3501831
"2012-05-31",68.09,68.27,66.93,67.39,2776976
"2012-06-07",67.51,68.22,67.02,67.27,2962253
"2012-06-14",68.91,70.24,68.62,69.8,2417560
"2012-06-21",70.87,71.23,69.32,69.46,2875391
"2012-06-28",68.67,71.34,64,65.9,17696063
"2012-07-05",61.13,61.99,61.06,61.25,3196474
"2012-07-12",61.22,61.84,60.6,61.07,2567673
"2012-07-19",63.39,63.85,61.64,62.7,3492039
"2012-07-26",54.22,54.22,52.52,53.39,8685253
"2012-08-02",53.93,54.02,52.68,52.93,2611813
"2012-08-09",57.44,57.52,56.48,56.79,2309803
"2012-08-16",57.89,58.13,57.53,57.84,1560387
"2012-08-23",58.5,58.65,57.4,57.73,2093524
"2012-08-30",61.4,61.61,60.44,60.46,3308294
