"","AOS.Open","AOS.High","AOS.Low","AOS.Close","AOS.Volume"
"2011-09-15",9.26,9.34,9.09,9.31,2444256
"2011-09-22",8.52,8.73,8.45,8.57,2640048
"2011-09-29",8.63,8.74,8.29,8.56,1522784
"2011-10-06",8.02,8.27,8.02,8.24,3579540
"2011-10-13",8.45,8.53,8.25,8.42,1212984
"2011-10-20",8.32,8.4,8.16,8.19,3997136
"2011-10-27",9.54,9.93,9.48,9.71,3445248
"2011-11-03",9.26,9.67,9.22,9.66,2409796
"2011-11-10",9.42,9.49,9.16,9.23,2091560
"2011-11-17",9.33,9.4,9.15,9.21,1717368
"2011-12-01",9.81,9.84,9.57,9.57,1364072
"2011-12-08",9.84,9.91,9.55,9.58,1975228
"2011-12-15",9.53,9.56,9.38,9.42,1730764
"2011-12-22",9.9,10.05,9.88,10.04,2058324
"2011-12-29",9.96,10.23,9.95,10.22,1054524
"2012-01-05",10.42,10.52,10.26,10.5,2875000
"2012-01-12",10.69,10.78,10.64,10.75,1739308
"2012-01-19",10.74,10.76,10.5,10.58,2046840
"2012-01-26",10.54,10.56,10.35,10.43,1511292
"2012-02-02",10.91,10.94,10.83,10.92,1663436
"2012-02-09",11.66,11.72,11.55,11.7,2308788
"2012-02-16",11.4,11.6,11.38,11.58,2265440
"2012-02-23",11.61,11.66,11.48,11.62,1546212
"2012-03-01",11.34,11.5,11.3,11.4,1434192
"2012-03-08",11,11.22,10.94,11.12,1508984
"2012-03-15",11.2,11.5,11.13,11.45,1176920
"2012-03-22",11.07,11.09,10.91,11.08,1174936
"2012-03-29",11.22,11.3,11.09,11.25,1067568
"2012-04-05",11.04,11.13,10.95,11,717756
"2012-04-12",10.88,11.46,10.88,11.3,2237480
"2012-04-19",11.16,11.24,10.97,11.12,1598344
"2012-04-26",11.81,12,11.76,11.92,2218036
"2012-05-03",11.96,11.99,11.75,11.77,1435444
"2012-05-10",11.64,11.77,11.57,11.64,907584
