"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume"
"2011-09-15",95.76,97.98,95.15,97.81,3123840
"2011-09-22",87.07,88.88,83.01,83.69,8165116
"2011-09-29",84.53,85.23,81.04,82.88,3501800
"2011-10-06",83.1,86.42,82.43,86.23,4837734
"2011-10-13",87.15,87.7,84.78,87.11,2237727
"2011-10-20",90.26,91.7,89.08,91.29,2756124
"2011-10-27",100.65,104.06,100.25,101.91,4052104
"2011-11-03",102.24,102.5,98.36,101.6,3462968
"2011-11-10",102.17,102.88,99.58,101.54,2392513
"2011-11-17",102.5,102.77,96.87,98,3665509
"2011-12-01",99,100.95,97.95,98.48,2585530
"2011-12-08",96.44,97.18,93.5,93.72,2903879
"2011-12-15",89.18,90.36,87.73,88.15,3076995
"2011-12-22",90.03,91.08,90.03,90.61,1900809
"2011-12-29",88.79,90.1,88.48,89.98,1915646
"2012-01-05",95.97,97.45,95.56,97.17,3574572
"2012-01-12",96.35,96.47,92.93,94.3,4910746
"2012-01-19",95.94,97.44,95.62,97.16,3705515
"2012-01-26",100.8,100.95,97.31,97.91,3117730
"2012-02-02",99.54,100.25,98.45,99.55,2330445
"2012-02-09",105.73,107.5,105.4,106.68,3170607
"2012-02-16",107.76,108.75,105.24,107.61,4363048
"2012-02-23",110.6,110.98,108.7,109.92,2410076
"2012-03-01",108.45,109.34,108.1,109.15,2537217
"2012-03-08",106.73,107.9,105.67,107.5,1902262
"2012-03-15",107.28,107.82,105.8,106.97,2284252
"2012-03-22",102.36,102.78,100.51,100.9,3722998
"2012-03-29",98.32,99.13,97.14,98.81,3045194
"2012-04-05",97.02,98.08,95.69,95.87,2848615
"2012-04-12",93.25,95.18,92.54,94.9,2079449
"2012-04-19",93.12,93.57,91.52,92.11,2783350
"2012-04-26",92.77,94.83,92.55,94.79,2854124
"2012-05-03",93.69,94.03,91.46,91.96,4715559
"2012-05-10",88.46,89.43,87.44,87.87,3155342
"2012-05-17",82.3,83.6,81.63,81.67,3482396
"2012-05-24",83.61,83.67,81.29,82.09,3018545
"2012-05-31",81.44,82.17,79.4,81.38,3535138
"2012-06-07",84.85,85.47,83.28,83.48,3489310
"2012-06-14",83.23,86.93,83.16,86.01,6256030
"2012-06-21",84.49,84.49,81.11,81.33,4231598
"2012-06-28",84.12,85.47,83.5,85.23,3103422
"2012-07-05",89.75,89.94,87.77,87.89,3004380
"2012-07-12",83.13,83.32,81.8,82.72,3975667
"2012-07-19",85.86,87.56,85.69,86.92,3253320
"2012-07-26",85.01,85.38,83.94,85.16,2638038
"2012-08-02",82.47,83.82,81.58,82.58,5304036
"2012-08-09",88.01,89.26,87.57,88.5,2135366
"2012-08-16",88.04,89.03,87.58,88.63,2207627
"2012-08-23",88.6,88.93,87.43,87.55,1538579
"2012-08-30",85.89,86.06,84.61,85.09,2134206
"2012-09-06",85.39,87.59,85.24,86.55,2483480
"2012-09-13",90.72,93.36,90,92.48,3047544
"2012-09-20",88.22,89.7,87.73,89.17,3598570
"2012-09-27",85.95,87.23,85.62,86.84,2348617
"2012-10-04",86.94,87.19,85.79,86.52,2563003
"2012-10-11",86.3,86.98,85.94,85.97,1933066
"2012-10-18",88.07,89.08,87.74,88.72,2690517
"2012-10-25",83.1,83.15,81.8,82.81,2373824
"2012-11-01",82.65,83.25,81.08,81.85,4388202
"2012-11-08",80.02,80.58,78.89,78.89,2702108
"2012-11-15",76.24,77.17,75.5,75.65,3969106
"2012-11-29",78.28,78.28,76.76,76.97,2284464
"2012-12-06",77.16,77.45,75.82,76.37,3580533
"2012-12-13",77.36,78.38,76.7,77.4,3197382
"2012-12-20",80.16,80.48,79.26,79.97,3098288
"2012-12-27",78.2,78.48,77.17,78.24,2124537
"2013-01-03",80.6,82.44,80.04,81.82,3095117
"2013-01-10",80.2,80.72,79.68,80.71,2264697
"2013-01-17",80.96,81.54,80.4,81.32,2163802
"2013-01-24",82.16,83.77,82.13,83.24,3445010
"2013-01-31",84.13,84.42,83.5,83.76,2942512
"2013-02-07",85.1,85.1,83.52,83.74,2584719
"2013-02-14",83.72,84,80.11,80.33,8655745
"2013-02-21",75.2,75.64,74.48,75.11,4569254
"2013-02-28",74.26,74.8,73.84,74.27,3508393
"2013-03-07",74.51,76.48,74.24,75.65,5420042
"2013-03-14",75.45,75.99,75.23,75.48,2648331
"2013-03-21",74.91,75.33,74.12,74.15,2885996
"2013-03-28",75.93,78.08,75.86,77.16,6026028
"2013-04-04",74.96,75.65,74.4,75,2450017
"2013-04-11",75.89,76.78,75.69,76.52,2978022
"2013-04-18",70.18,71.05,69.85,70.82,4833828
"2013-04-25",71.61,73.26,71.12,72.48,3699054
"2013-05-02",73.68,73.97,72.51,73.8,2391744
"2013-05-09",78.51,81.85,78.51,81.47,9768750
"2013-05-16",81.9,81.94,80.88,80.89,3029918
"2013-05-23",81.27,81.88,80.74,81.85,4890239
"2013-05-30",83.91,85.15,83.11,84.75,3585167
"2013-06-06",85,85.86,84.22,85.8,3540400
"2013-06-13",84.14,85.24,83.9,85.12,2531202
"2013-06-20",85.61,85.85,84.2,84.93,4894440
"2013-06-27",83.55,84.22,83.3,84.06,2607679
"2013-07-11",80.95,81.94,80.07,81.69,4688261
"2013-07-18",82.51,83.68,82.47,83.6,2930406
"2013-07-25",82.54,83.31,81.9,82.77,2185266
"2013-08-01",81.85,82.33,80.52,81.68,2924786
"2013-08-08",82,83.51,81.92,83.18,2332081
"2013-08-15",80.34,80.42,79.56,80.27,2642289
"2013-08-22",77.47,79.34,77.16,78.99,2402259
"2013-08-29",78.91,79.05,78.42,78.64,1744872
"2013-09-05",85.98,86.73,85.76,86.19,3766304
"2013-09-12",87.03,87.63,86.76,87.2,2334236
"2013-09-19",89,89.11,88.05,88.47,1659421
"2013-09-26",86.92,87,86.03,86.49,2030340
"2013-10-03",86.08,86.46,85.28,85.63,1662152
"2013-10-10",86.62,87.68,86.44,87.62,2005818
"2013-10-17",90,90.64,89.68,90.57,2231676
"2013-10-24",88.73,90.24,88.47,89.77,2026030
"2013-10-31",89.11,89.97,88.53,88.8,1951777
"2013-11-07",89.37,91.1,88.13,88.59,4680237
"2013-11-14",90.76,92.44,90.42,92.13,2914448
"2013-11-21",93.49,94.84,93.49,93.99,2546193
"2013-12-05",89.52,90.82,89.11,89.84,2759163
"2013-12-12",85.77,86.48,85.07,86.03,3522534
"2013-12-19",85.54,86.8,85.34,86.59,2216961
"2013-12-26",86.5,86.75,85.9,86.31,1232108
"2014-01-02",85.82,85.97,85.16,85.48,2565384
"2014-01-09",86.49,87,85.43,86.09,2141937
"2014-01-16",84.25,85.95,83.75,85.9,3187674
"2014-01-23",84.17,84.74,83.23,83.59,2154438
"2014-01-30",81.69,81.7,80.67,81.28,1453250
"2014-02-06",78.33,80.09,78.29,79.92,2431559
