"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume"
"2011-09-15",73.36,74.75,72.71,74.54,3388225
"2011-09-22",69,70.11,67,68.74,7143655
"2011-09-29",69.63,70.06,65.46,67.15,4666323
"2011-10-06",65.1,66.93,63.52,66.48,7501094
"2011-10-13",66.15,67.56,65.26,67.04,3301608
"2011-10-20",77.85,78.42,75.53,76.95,5463143
"2011-10-27",81.62,83.5,80.59,81.67,5657207
"2011-11-03",81.53,83.01,80.16,82.73,4102652
"2011-11-10",78.69,79.75,77.32,79.49,5107046
"2011-11-17",78.77,79.12,75.55,76.44,4367040
"2011-12-01",80.74,81.49,80.04,80.38,3501826
"2011-12-08",79.66,79.85,76.94,77.3,3144000
"2011-12-15",75.08,75.15,72.42,72.67,4129331
"2011-12-22",75.89,76.48,75.46,76.17,2118967
"2011-12-29",75.97,76.32,75.47,76.19,1485383
"2012-01-05",79.76,81.15,79,80.8,4618397
"2012-01-12",79.74,80.31,78.46,78.74,3625158
"2012-01-19",80.5,80.68,79.62,79.79,3921955
"2012-01-26",81.5,81.69,79,79.31,3816046
"2012-02-02",80.8,82.33,80.72,82.16,3319709
"2012-02-09",87.25,88.21,86.06,87.46,4034377
"2012-02-16",87.78,88.38,86.84,87.75,2658432
"2012-02-23",86.65,87.67,85.62,87.5,3124562
"2012-03-01",84.78,85.86,84.51,85.81,3363614
"2012-03-08",83.59,84.19,82.82,83.61,3082069
"2012-03-15",83.68,84.44,83,83.9,3288347
"2012-03-22",80.01,80.09,77.94,78.23,5031591
"2012-03-29",76.5,77.6,75.9,77.33,4486501
"2012-04-05",77.76,78.86,77.56,78.26,3513814
"2012-04-12",74.78,77,74.68,76.59,2850449
"2012-04-19",72.56,72.92,71.5,72.29,4941550
"2012-04-26",72.66,74.19,72.31,74.14,3076571
"2012-05-03",72.71,73.32,71.22,71.44,4034301
"2012-05-10",69.43,70.07,68.82,69.27,3149985
"2012-05-17",65.1,65.26,63.57,63.63,6341861
"2012-05-24",64.39,64.41,62.84,63.65,3263602
"2012-05-31",62.44,62.44,59.56,61,6419017
