"","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume"
"2011-09-15",68.99,69.2,68.19,68.8,502943
"2011-09-22",60.59,61.6,59.33,60.09,696474
"2011-09-29",61.89,62.77,61.33,62.77,576239
"2011-10-06",59.46,62.15,59.02,62.06,473481
"2011-10-13",60.38,62.26,59.52,61.71,782903
"2011-10-20",65.36,66.13,63.55,66.13,539241
"2011-10-27",68.29,68.83,66.56,68.01,1059937
"2011-11-03",67.28,68.65,65.81,68.61,674205
"2011-11-10",68.28,68.28,66.39,66.79,542137
"2011-11-17",67.31,67.52,65.54,66.04,666675
"2011-12-01",65.5,66.39,64.24,66,922195
"2011-12-08",67.9,67.92,66.48,66.61,487581
"2011-12-15",65.23,65.63,64.61,65.37,468752
"2011-12-22",68.55,70.06,68.39,69.43,430634
"2011-12-29",68.73,69.31,68.54,69.27,204566
"2012-01-05",67.32,68.8,66.9,68.62,515037
"2012-01-12",70.03,70.08,68.98,69.63,321456
"2012-01-19",71.4,71.55,70.58,70.78,442478
"2012-01-26",72.24,72.67,71.71,72.05,385493
"2012-02-02",73.66,73.91,72.94,73.31,311336
"2012-02-09",72.97,73.26,71.75,72.5,305398
"2012-02-16",71.77,73.22,71.72,72.98,547583
"2012-02-23",70.42,71.42,70.42,71.04,545299
"2012-03-01",71.75,72.55,71.69,72.18,389057
"2012-03-08",71.28,71.49,70.46,70.61,312902
"2012-03-15",72.91,72.91,72.19,72.65,358647
"2012-03-22",72.6,72.75,71.71,72.35,343113
"2012-03-29",71.55,72.83,71.55,72.65,413702
"2012-04-05",72.24,72.71,71.77,72.03,278190
"2012-04-12",70.11,71.66,70.01,71.64,242733
"2012-04-19",73.03,73.33,72.39,72.61,341134
"2012-04-26",74.36,74.82,73.77,74.63,459171
"2012-05-03",75.7,75.91,74.85,74.94,380065
"2012-05-10",75.47,75.47,74.21,74.5,322218
"2012-05-17",72.36,72.6,69.65,69.65,450901
"2012-05-24",70.5,70.93,69.66,70.52,192683
"2012-05-31",68.57,69.26,67.84,68.46,511787
"2012-06-07",71.19,71.49,70.24,70.4,393669
"2012-06-14",69.26,70.82,69.26,70.55,314280
"2012-06-21",71.42,71.66,69.59,69.79,317842
"2012-06-28",69.01,70.64,68.82,70.58,383516
"2012-07-05",73.72,74.18,73.35,73.59,188505
"2012-07-12",72.13,72.78,71.45,72.17,243079
"2012-07-19",73.85,74.29,72.7,72.95,354372
"2012-07-26",72.29,72.87,71.28,71.73,235914
"2012-08-02",72.31,73.13,71.95,72.98,487545
"2012-08-09",72.9,73.31,72.01,72.74,215562
"2012-08-16",73.84,74.33,73.35,74.24,143134
"2012-08-23",73.84,73.86,73.18,73.25,177770
"2012-08-30",73.67,74.22,73.56,74.06,249872
"2012-09-06",74.65,75.4,74.03,74.96,308716
"2012-09-13",74.82,75.82,74.65,75.58,479297
"2012-09-20",74.82,75.2,72.01,74.38,323549
"2012-09-27",73.32,73.98,73.02,73.57,303653
"2012-10-04",73.38,73.56,72.38,72.84,294373
"2012-10-11",73.3,73.65,72.82,73.03,209864
"2012-10-18",73.89,74.46,73.79,74.25,314626
"2012-10-25",71.59,72.19,70.23,71.1,223465
"2012-11-01",70.23,70.8,69.32,69.67,597580
"2012-11-08",68.32,68.34,67.24,67.28,388690
"2012-11-15",64.57,65.49,64.09,65.11,1007024
"2012-11-29",67.94,67.96,67.46,67.94,296964
