"","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume"
"2011-09-15",12.09,12.2,11.88,12.07,5333037
"2011-09-22",11.69,11.76,11.38,11.55,7733819
"2011-09-29",12.22,12.27,11.7,11.98,7138643
"2011-10-06",12.15,12.58,12.06,12.57,9095865
"2011-10-13",12.74,13.05,12.7,12.92,7862001
"2011-10-20",12.95,13.3,12.92,13.27,14890961
"2011-10-27",13.6,13.65,13.29,13.42,16933273
"2011-11-03",13.28,13.5,13.22,13.38,12465747
"2011-11-10",13.15,13.2,12.8,12.98,14214747
"2011-11-17",12.23,12.38,12.05,12.13,14703496
"2011-12-01",12.36,12.48,12.25,12.41,9519450
"2011-12-08",12.15,12.28,11.92,11.93,10323069
"2011-12-15",11.83,11.94,11.76,11.86,8127195
"2011-12-22",11.95,12,11.8,11.9,8600109
"2011-12-29",12.14,12.35,12.1,12.3,4062164
"2012-01-05",12.12,12.21,11.94,12.11,8809706
"2012-01-12",12.62,12.67,12.51,12.56,5076986
"2012-01-19",12.22,12.45,12.19,12.34,6772787
"2012-01-26",12.07,12.13,11.87,11.95,7560345
"2012-02-02",12.23,12.36,11.99,12.18,11528965
"2012-02-09",12.81,12.82,12.38,12.66,14888804
"2012-02-16",12.47,12.55,12.33,12.52,8758658
"2012-02-23",12.07,12.2,12.06,12.16,6704887
"2012-03-01",12,12,11.54,11.68,26603369
"2012-03-08",11.87,12.05,11.8,12,12047100
"2012-03-15",12.28,12.54,12.23,12.46,14896848
"2012-03-22",12.5,12.95,12.5,12.73,15532202
"2012-03-29",12.66,12.77,12.58,12.77,11343498
"2012-04-05",12.76,12.8,12.57,12.69,5776087
"2012-04-12",12.4,12.52,12.38,12.48,6652137
"2012-04-19",12.18,12.43,12.15,12.25,7814098
"2012-04-26",12.61,12.94,12.55,12.76,10453695
"2012-05-03",12.86,12.89,12.64,12.66,3520144
"2012-05-10",12.62,12.9,12.55,12.74,16816046
"2012-05-17",12.35,12.38,12.09,12.09,8051305
