"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume"
"2011-09-15",131.23,131.54,129.15,130.14,1138661
"2011-09-22",115.67,117.62,113.25,115.28,2295840
"2011-09-29",119.3,119.32,116.61,118.4,793207
"2011-10-06",114.88,118.95,114.19,118.86,1046506
"2011-10-13",119.43,120.25,117.33,119.13,678009
"2011-10-20",121.17,121.69,118.34,120.49,912219
"2011-10-27",130.61,136.4,130.28,134.15,1206410
"2011-11-03",129.71,129.71,125.1,129.04,1022860
"2011-11-10",127.01,127.01,124.38,125.13,608443
"2011-11-17",125.4,125.4,121.57,122.29,975869
"2011-12-01",124.4,124.76,122.13,123.89,717120
"2011-12-08",124.13,124.63,121.6,121.96,446987
"2011-12-15",126.63,128.94,125.9,128.49,784860
"2011-12-22",129.32,132.5,129.14,131.83,929320
"2011-12-29",130.33,131.48,130,131.14,417502
"2012-01-05",127.23,130.16,126.76,129.83,600604
"2012-01-12",126.98,126.98,123.79,124.26,902741
"2012-01-19",128.45,128.75,126.92,127.09,960052
"2012-01-26",133.61,136.1,133.61,134.89,721434
"2012-02-02",135.98,138.28,133.73,138.24,1638071
"2012-02-09",135.68,136.15,134.22,134.37,621095
"2012-02-16",132.2,133.35,132.13,132.95,549618
"2012-02-23",129.81,130.75,129.65,130.06,820271
"2012-03-01",129.27,131.26,129.27,131.09,658232
"2012-03-08",134.99,135.13,133.39,134,750960
"2012-03-15",139.16,139.16,136.75,137.41,669200
"2012-03-22",136.23,136.23,134.23,135.54,599743
"2012-03-29",136.58,138.94,136.58,138.66,511141
"2012-04-05",139.41,140.3,139.05,139.72,284869
"2012-04-12",137.69,139.88,137.22,139.66,602313
"2012-04-19",142.16,143.21,141.81,142.48,487939
"2012-04-26",143.89,146.09,142.95,145.72,1081464
"2012-05-03",147.26,147.88,145.35,145.42,885566
"2012-05-10",147.63,147.83,145.46,146.93,482147
"2012-05-17",141.88,141.88,138.04,138.04,572488
"2012-05-24",139.16,142.01,139.16,141.14,537755
"2012-05-31",138.7,141.04,137.44,139.75,849440
"2012-06-07",149.39,149.39,139.67,140.15,635752
"2012-06-14",138.38,141.26,138.38,140.51,664492
"2012-06-21",140.64,141.32,138.16,138.26,619825
"2012-06-28",136.15,138.13,135,138.01,293596
"2012-07-05",143.22,144.26,143.01,143.53,395323
"2012-07-12",142.43,147,142.14,146.3,1085577
"2012-07-19",149.45,150.68,147.67,149.3,496230
"2012-07-26",142.5,146.39,142.5,144.58,880326
"2012-08-02",143.47,144.92,143.44,144.86,546560
"2012-08-09",140.08,140.55,138.75,139.39,403794
"2012-08-16",139.87,140.88,138.64,140.78,536476
"2012-08-23",142.98,144.71,142.02,143.74,606930
