"","AVGO.Open","AVGO.High","AVGO.Low","AVGO.Close","AVGO.Volume"
"2016-02-04",131.4,137.27,130.5,136.12,5989052
"2016-02-11",116.5,117.64,114.25,116.31,6575094
"2016-02-18",131.76,131.99,126.08,127.07,3890525
"2016-02-25",130.78,132.49,128.69,132.47,2556578
"2016-03-03",137.75,138.85,134.3,137.33,5828091
"2016-03-10",143.46,145.8,142,144.42,5446489
"2016-03-17",147.37,151.72,147.37,151.55,4467814
"2016-03-24",151.76,153.29,151.12,153,2560701
"2016-03-31",157.02,157.37,154.45,154.5,2489609
"2016-04-07",157.48,157.95,154.69,154.97,2248293
"2016-04-14",157.29,159.11,156,158.82,2754937
"2016-04-21",152.9,153.28,150.45,151.35,1610699
"2016-04-28",150.39,154.02,147.33,147.99,2548180
"2016-05-05",143.82,144.9,142.09,142.58,1679572
"2016-05-12",144.07,144.73,139.52,141.04,2543456
"2016-05-19",143.03,144.66,141.12,142.74,1744820
"2016-05-26",153.77,154.25,151.82,153.02,1841632
"2016-06-02",155.21,155.52,153.39,154.91,4674643
"2016-06-09",162.14,165.05,162.12,164.14,2914348
"2016-06-16",157.05,158.84,155.6,158.63,2280814
"2016-06-23",157.35,158.63,155.97,158.62,2443529
"2016-06-30",155,157.24,154.17,155.4,4262645
"2016-07-07",150.14,153,150.14,150.99,1924823
"2016-07-14",159.55,161.06,158.86,160.79,2355047
"2016-07-21",163.01,163.48,159.82,160.41,1952999
"2016-07-28",165,166.96,163.92,164.23,1951227
"2016-08-04",164.27,167,164.2,166.99,1997836
"2016-08-11",172.07,173.16,170.9,172.09,1574547
"2016-08-18",172.82,174.18,172.64,173.93,2112025
"2016-08-25",175.52,177.14,174.69,176.04,1873457
"2016-09-01",176.88,177.67,174.82,177.09,3912777
"2016-09-08",168.39,168.83,166.56,168.38,1868012
"2016-09-15",169.33,173,168.2,172.72,3633051
