"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2014-09-15",126.92,126.95,125.69,126.31,3265859
"2014-09-16",126.2,127.7,125.72,127.32,3379618
"2014-09-17",128.25,128.38,127.2,127.76,3139781
"2014-09-18",128,128.9,128,128.58,2722296
"2014-09-19",129.27,129.7,128.92,129.35,5635667
"2014-09-22",129.37,129.87,128.46,128.61,2890261
"2014-09-23",128.28,128.54,127.03,127.38,2963455
"2014-09-24",127.46,128.8,127.23,128.58,2891440
"2014-09-25",128.31,128.49,127.01,127.14,2913091
"2014-09-26",127.19,129,126.96,128.69,2524326
"2014-09-29",127.21,129.53,127,128.77,3490832
"2014-09-30",128.57,129.39,127.31,127.38,4009907
"2014-10-01",127.37,127.37,124.31,124.67,5272526
"2014-10-02",124.4,125.55,123.84,124.17,3207500
"2014-10-03",124.66,126.87,124.66,126.36,3081354
"2014-10-06",127.09,127.19,125.38,126.26,2680998
"2014-10-07",125.52,125.52,123.29,123.32,3564807
"2014-10-08",123.47,125.09,122.15,124.98,3613817
"2014-10-09",124.72,124.75,122.31,122.76,4874923
"2014-10-10",122.87,123.36,121.5,121.5,4220241
"2014-10-13",122.05,123.19,120.26,120.45,3883441
"2014-10-14",121.84,123.37,120.72,122.29,3768207
"2014-10-15",121.06,121.12,116.32,120.19,7819029
"2014-10-16",118.91,121.3,118.39,120.29,4492603
"2014-10-17",122.05,123.87,121.78,123.24,4872389
"2014-10-20",123.39,124.72,123,124.31,3676264
"2014-10-21",125.21,127.24,124.93,127.12,5209474
"2014-10-22",127.99,128,121.34,121.45,13844400
"2014-10-23",121.27,122.88,121.06,122.03,7806465
"2014-10-24",122.2,122.84,121.26,122.24,4016436
"2014-10-27",122.13,122.23,121.26,122.12,2944389
"2014-10-28",122.5,123.79,121.96,123.61,4163622
"2014-10-29",124.48,124.48,122.56,123.08,3246309
"2014-10-30",122.52,124.12,122.01,123.82,2569875
"2014-10-31",125.03,125.89,124.73,124.91,4668628
"2014-11-03",125.35,126.25,124.88,126.03,3907297
"2014-11-04",125.91,126.71,125.26,125.84,3684838
"2014-11-05",126.01,126.25,124.2,124.22,3334000
"2014-11-06",124.48,124.8,123.37,124.58,2341850
"2014-11-07",124.93,124.94,124.17,124.45,2366682
"2014-11-10",124.87,124.99,123.8,124.64,2622734
"2014-11-11",124.58,125.73,124.45,125.36,3056237
"2014-11-12",124.51,126.18,124.47,125.87,3075041
"2014-11-13",125.74,128.96,125.74,128.53,5813870
"2014-11-14",128.53,129.78,127.85,128.86,6235584
"2014-11-17",128.7,129.17,127.55,128.42,3752879
"2014-11-18",128.55,131.33,128.04,130.66,5701297
