"","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume"
"2011-09-15",7.18,7.34,7.13,7.33,230299605
"2011-09-22",6.24,6.28,6,6.06,384622462
"2011-09-29",6.4,6.45,6.15,6.35,224013021
"2011-10-06",5.77,6.31,5.65,6.28,336087347
"2011-10-13",6.44,6.44,6.17,6.22,230115308
"2011-10-20",6.43,6.48,6.18,6.47,254971699
"2011-10-27",7.11,7.23,6.9,7.22,409002393
"2011-11-03",6.91,6.98,6.58,6.91,244340307
"2011-11-10",6.32,6.33,6.01,6.03,324987962
"2011-11-17",5.98,6.03,5.79,5.8,285881825
"2011-12-01",5.37,5.63,5.29,5.53,315495433
"2011-12-08",5.84,5.88,5.53,5.59,286031003
"2011-12-15",5.33,5.37,5.21,5.26,196092036
"2011-12-22",5.26,5.51,5.21,5.47,303085830
"2011-12-29",5.29,5.48,5.28,5.46,168098470
"2012-01-05",5.75,6.35,5.71,6.31,547779981
"2012-01-12",6.99,7.02,6.66,6.79,362099516
"2012-01-19",7.21,7.29,6.74,6.96,491008079
"2012-01-26",7.45,7.5,7.23,7.3,265938718
"2012-02-02",7.43,7.49,7.33,7.45,232425334
"2012-02-09",8.31,8.35,8.1,8.18,480206673
"2012-02-16",7.71,8.13,7.66,8.09,337161160
"2012-02-23",7.97,8.05,7.9,8.02,144231783
"2012-03-01",8.09,8.17,8.05,8.12,197852988
"2012-03-08",8.07,8.12,8,8.06,160865694
"2012-03-15",8.98,9.25,8.85,9.24,489592917
"2012-03-22",9.66,9.77,9.52,9.6,264520444
"2012-03-29",9.63,9.68,9.43,9.53,253625799
"2012-04-05",9.14,9.4,9.11,9.23,180868064
"2012-04-12",8.93,9.18,8.91,9.17,223979804
"2012-04-19",9.16,9.17,8.67,8.77,348804721
"2012-04-26",8.19,8.4,8.17,8.27,131592832
"2012-05-03",8.18,8.18,7.91,8,204584751
"2012-05-10",7.91,7.94,7.67,7.7,158682899
"2012-05-17",7.1,7.25,6.93,6.98,241493022
"2012-05-24",7.26,7.33,7.01,7.14,206041434
"2012-05-31",7.21,7.37,7.04,7.35,203277182
"2012-06-07",7.81,7.9,7.38,7.42,276685277
"2012-06-14",7.52,7.69,7.45,7.66,157528221
"2012-06-21",8.11,8.17,7.8,7.82,227157541
"2012-06-28",7.62,7.75,7.53,7.74,133125331
"2012-07-05",8.03,8.06,7.82,7.82,120161969
"2012-07-12",7.53,7.55,7.43,7.48,107636999
"2012-07-19",7.56,7.65,7.12,7.26,260959155
"2012-07-26",7.22,7.24,7.11,7.17,121349225
"2012-08-02",7.12,7.26,7.1,7.18,112847923
"2012-08-09",7.68,7.76,7.67,7.72,59676500
"2012-08-16",7.89,7.96,7.83,7.93,78181131
"2012-08-23",8.22,8.27,8.12,8.15,98866186
"2012-08-30",7.95,7.95,7.83,7.91,91900025
"2012-09-06",8.04,8.35,8.03,8.35,200572910
"2012-09-13",8.89,9.48,8.81,9.4,331481920
"2012-09-20",9.14,9.25,9.08,9.19,111354278
"2012-09-27",8.94,9.07,8.9,8.97,119023784
"2012-10-04",9.2,9.42,9.15,9.41,160486438
"2012-10-11",9.39,9.42,9.3,9.34,122928607
"2012-10-18",9.38,9.57,9.37,9.47,149739251
"2012-10-25",9.36,9.42,9.17,9.24,121778842
"2012-11-01",9.34,9.75,9.27,9.74,207421049
"2012-11-08",9.49,9.6,9.38,9.39,224114198
"2012-11-15",9.03,9.2,9.02,9.09,144591830
"2012-11-29",9.84,9.88,9.76,9.83,125905342
"2012-12-06",10.51,10.58,10.29,10.46,176607841
"2012-12-13",10.59,10.66,10.51,10.54,106232015
"2012-12-20",11.1,11.52,11.08,11.52,184458376
"2012-12-27",11.66,11.69,11.23,11.47,210411308
"2013-01-03",12.01,12.05,11.88,11.96,157149647
"2013-01-10",11.61,11.81,11.54,11.78,199964894
"2013-01-17",11.69,11.7,11.17,11.28,323643763
"2013-01-24",11.45,11.67,11.42,11.53,127870791
"2013-01-31",11.32,11.36,11.22,11.32,97030298
"2013-02-07",11.97,11.98,11.73,11.84,173209837
"2013-02-14",12.09,12.27,12.07,12.13,144104724
"2013-02-21",11.72,11.73,11.35,11.42,235839535
"2013-02-28",11.32,11.37,11.2,11.23,143562609
"2013-03-07",12,12.28,11.98,12.26,212403845
"2013-03-14",12.12,12.19,12.1,12.11,115439918
"2013-03-21",12.71,12.84,12.55,12.57,154529990
"2013-03-28",12.24,12.28,12.11,12.18,92023038
"2013-04-04",11.81,11.99,11.72,11.94,117831400
"2013-04-11",12.31,12.33,12.16,12.27,100525264
"2013-04-18",11.61,11.65,11.23,11.44,220290433
"2013-04-25",12.39,12.54,12.36,12.44,118694815
"2013-05-02",12.17,12.21,12.05,12.19,76530413
"2013-05-09",13.05,13.06,12.87,12.91,112952459
"2013-05-16",13.41,13.55,13.32,13.36,117976982
"2013-05-23",12.93,13.42,12.82,13.21,190535023
"2013-05-30",13.5,13.93,13.43,13.83,153383396
"2013-06-06",13.08,13.24,12.85,13.2,142366148
"2013-06-13",13,13.26,12.97,13.21,103642226
"2013-06-20",13.08,13.14,12.8,12.89,185775553
"2013-06-27",12.84,13.03,12.78,13.01,124616207
"2013-07-11",13.54,13.58,13.33,13.51,93757317
"2013-07-18",14.4,14.85,14.4,14.76,221798234
"2013-07-25",14.62,14.85,14.54,14.83,89385238
"2013-08-01",14.84,14.97,14.82,14.95,108554858
"2013-08-08",14.68,14.7,14.44,14.61,88544006
"2013-08-15",14.46,14.47,14.31,14.32,99238892
"2013-08-22",14.47,14.6,14.4,14.57,76350888
"2013-08-29",14.14,14.3,14.12,14.17,76691494
"2013-09-05",14.41,14.55,14.36,14.37,71229778
"2013-09-12",14.65,14.68,14.46,14.48,63355875
"2013-09-19",14.8,14.83,14.58,14.61,79710935
"2013-09-26",14.19,14.22,13.98,14.08,89352855
"2013-10-03",14.07,14.1,13.83,14,95269005
"2013-10-10",14.03,14.25,14.01,14.23,102305780
"2013-10-17",14.44,14.66,14.41,14.66,94090794
"2013-10-24",14.12,14.2,14.07,14.17,92566075
"2013-10-31",14.14,14.16,13.96,13.97,105713401
"2013-11-07",14,14.03,13.8,13.8,80774996
"2013-11-14",14.68,14.82,14.61,14.8,128999354
"2013-11-21",15.22,15.6,15.2,15.59,142053629
"2013-12-05",15.61,15.64,15.36,15.43,95230455
"2013-12-12",15.26,15.35,15.12,15.25,76113932
"2013-12-19",15.66,15.79,15.6,15.75,97918712
"2013-12-26",15.74,15.75,15.64,15.65,48803604
"2014-01-02",15.69,16.16,15.68,16.1,149225696
"2014-01-09",16.67,16.93,16.62,16.83,101275343
"2014-01-16",17.09,17.14,16.99,17.08,163879260
"2014-01-23",17.07,17.09,16.74,16.86,124037063
"2014-01-30",16.81,16.99,16.76,16.93,91147776
"2014-02-06",16.45,16.73,16.44,16.69,110229403
"2014-02-13",16.64,16.82,16.63,16.75,96047289
"2014-02-20",16.22,16.36,16.18,16.3,107820954
"2014-02-27",16.27,16.49,16.21,16.49,71807622
"2014-03-06",17.42,17.63,17.31,17.35,138302215
"2014-03-13",17.34,17.47,17.07,17.16,100875677
"2014-03-20",17.44,18,17.43,17.92,167048671
"2014-03-27",17.28,17.49,16.83,17.01,175139455
"2014-04-03",17.21,17.24,17.03,17.15,56534512
"2014-04-10",16.62,16.62,16.1,16.12,98390934
"2014-04-17",16.14,16.25,15.93,16.15,104765535
"2014-04-24",16.43,16.5,16.21,16.34,73910944
"2014-05-01",15.14,15.22,15.03,15.09,68368291
"2014-05-08",14.85,15.04,14.8,14.93,65232716
"2014-05-15",14.82,14.83,14.39,14.55,104192968
"2014-05-22",14.58,14.72,14.55,14.71,51929418
"2014-05-29",15.12,15.21,15.1,15.15,39423038
"2014-06-05",15.28,15.48,15.22,15.43,60300456
"2014-06-12",15.57,15.66,15.38,15.42,66173155
"2014-06-19",15.66,15.67,15.5,15.55,40953928
"2014-06-26",15.44,15.53,15.27,15.41,68519602
"2014-07-03",16.07,16.23,16,16.03,70582291
"2014-07-10",15.33,15.53,15.25,15.44,61458471
"2014-07-17",15.45,15.48,15.13,15.2,114839948
"2014-07-24",15.56,15.64,15.55,15.62,46549768
"2014-07-31",15.44,15.55,15.25,15.25,70677323
"2014-08-07",15.44,15.44,15.09,15.12,80058315
"2014-08-14",15.26,15.32,15.26,15.32,29934562
"2014-08-21",15.69,16.22,15.62,16.16,177294357
"2014-08-28",16.1,16.1,15.99,16.01,62170376
"2014-09-04",16.1,16.27,16.04,16.11,56378610
"2014-09-11",16.32,16.63,16.3,16.57,106951724
"2014-09-18",16.88,17.15,16.87,17.04,111923229
"2014-09-25",17.16,17.18,16.85,16.85,104522487
"2014-10-02",16.86,16.99,16.63,16.88,118018774
"2014-10-09",17.04,17.11,16.55,16.59,121363088
"2014-10-16",15.61,16.25,15.52,16.08,148199432
"2014-10-23",16.58,16.73,16.52,16.6,68436551
"2014-10-30",16.96,17.12,16.84,17.03,72579120
"2014-11-06",17.34,17.4,17.28,17.36,57339203
"2014-11-13",17.28,17.3,17.12,17.22,50586273
"2014-11-20",16.96,17.01,16.83,17,49652114
"2014-12-04",17.24,17.34,17.13,17.21,49773593
"2014-12-11",17.44,17.65,17.44,17.47,80173209
"2014-12-18",17.47,17.53,17.34,17.53,79333998
"2015-01-08",17.16,17.34,17.1,17.29,73388499
"2015-01-15",15.59,15.76,15.15,15.2,193241269
"2015-01-22",15.55,16.19,15.43,16.09,183042071
"2015-01-29",15.31,15.49,15.2,15.43,76095811
"2015-02-05",15.98,16.09,15.9,15.97,92264706
"2015-02-12",16.41,16.73,16.37,16.67,116394126
"2015-02-19",16.21,16.38,16.08,16.21,83604303
"2015-02-26",16.42,16.44,15.9,16.04,161100671
"2015-03-05",15.92,16.03,15.74,16,69509958
"2015-03-12",16.05,16.21,15.9,16.09,126376330
"2015-03-19",15.96,15.97,15.61,15.61,109169157
"2015-03-26",15.38,15.54,15.26,15.42,76741501
"2015-04-02",15.43,15.62,15.43,15.54,50443508
"2015-04-09",15.63,15.76,15.53,15.71,44935551
"2015-04-16",15.64,15.94,15.58,15.79,105591004
"2015-04-23",15.72,15.8,15.68,15.69,50292151
"2015-04-30",16,16.05,15.79,15.93,78313865
"2015-05-07",16.23,16.33,16.09,16.24,73794827
"2015-05-14",16.53,16.59,16.45,16.52,55395660
"2015-05-21",16.71,16.75,16.56,16.73,52056583
"2015-05-28",16.72,16.73,16.58,16.67,60969979
"2015-06-04",16.87,16.98,16.72,16.78,61025453
"2015-06-11",17.62,17.68,17.44,17.49,77191527
"2015-06-18",17.35,17.4,17.22,17.38,97599930
"2015-06-25",17.57,17.62,17.35,17.37,59772167
"2015-07-02",17.16,17.21,16.89,17.03,64736475
"2015-07-09",16.53,16.72,16.45,16.48,81534426
"2015-07-16",17.91,18.07,17.86,17.95,117054318
"2015-07-23",18.39,18.43,18.08,18.18,103650135
"2015-07-30",18.2,18.29,18.05,18.13,65667898
"2015-08-06",17.91,17.98,17.77,17.81,47594722
"2015-08-13",17.56,17.69,17.44,17.62,67456183
"2015-08-20",17.19,17.2,16.72,16.72,148542862
"2015-08-27",16.38,16.45,16.09,16.44,122744258
"2015-09-03",15.97,16.19,15.87,15.94,76575671
"2015-09-10",15.87,16.11,15.81,16.04,70822492
"2015-09-17",16.29,16.48,15.78,15.86,116327670
"2015-09-24",15.54,15.62,15.4,15.55,98300610
"2015-10-01",15.52,15.64,15.36,15.55,71119595
"2015-10-08",15.72,15.78,15.51,15.75,78998981
"2015-10-15",15.81,16.28,15.72,16.19,127028772
"2015-10-22",16,16.2,16,16.16,73798989
"2015-10-29",17.16,17.44,16.97,17.09,94747126
"2015-11-05",17.03,17.37,17.03,17.31,84858708
"2015-11-12",17.58,17.63,17.35,17.37,75802654
"2015-11-19",17.78,17.85,17.62,17.69,51517056
"2015-12-03",17.68,17.76,17.25,17.3,95810096
"2015-12-10",17.15,17.41,16.96,17.2,68395011
"2015-12-17",17.8,17.83,17.3,17.3,97265726
"2015-12-24",17.32,17.38,17.22,17.27,29373415
"2015-12-31",17.01,17.07,16.83,16.83,47152968
"2016-01-07",15.73,15.9,15.44,15.5,116255879
"2016-01-14",15.01,15.2,14.65,14.99,125234359
"2016-01-21",13.67,13.84,13.25,13.36,188219507
"2016-01-28",13.59,13.7,13.26,13.53,110438325
"2016-02-04",12.89,13.59,12.88,13.25,174974310
"2016-02-11",11.46,11.55,10.99,11.16,373267407
"2016-02-18",12.71,12.74,12.1,12.24,161052367
"2016-02-25",12.14,12.33,12.09,12.32,102889866
"2016-03-03",13.38,13.55,13.25,13.5,104729360
"2016-03-10",13.23,13.4,13,13.27,123123621
"2016-03-17",13.22,13.48,13.05,13.4,121748246
"2016-03-24",13.41,13.69,13.27,13.68,94584511
"2016-03-31",13.49,13.71,13.45,13.52,79233724
"2016-04-07",13.15,13.2,12.75,12.85,104821350
"2016-04-14",13.71,14.28,13.7,14.14,178740254
"2016-04-21",14.98,15.14,14.75,14.9,120374813
"2016-04-28",14.92,15.08,14.76,14.79,77434840
"2016-05-05",14.15,14.32,14,14.05,72976421
"2016-05-12",14.3,14.47,14.05,14.14,72112920
"2016-05-19",14.6,14.86,14.43,14.53,105870891
"2016-05-26",14.98,14.99,14.69,14.7,64985444
"2016-06-02",14.95,14.98,14.77,14.94,64327307
"2016-06-09",14.32,14.32,14.08,14.19,74814895
"2016-06-16",13.23,13.33,13.02,13.31,90151952
"2016-06-23",13.84,14.05,13.82,14.04,82494585
"2016-06-30",13.37,13.38,13.07,13.27,125773865
"2016-07-07",12.86,13.11,12.84,13.01,101100345
"2016-07-14",13.73,13.78,13.64,13.65,97852124
"2016-07-21",14.43,14.47,14.26,14.27,70985429
"2016-07-28",14.57,14.69,14.46,14.68,72049503
"2016-08-04",14.48,14.54,14.36,14.48,46176646
"2016-08-11",14.83,14.97,14.74,14.88,68945407
"2016-08-18",15.11,15.24,15.06,15.16,62804324
"2016-08-25",15.42,15.54,15.4,15.53,67714420
"2016-09-01",16.15,16.15,15.75,15.98,128812599
"2016-09-08",15.77,15.94,15.68,15.86,69292664
"2016-09-15",15.64,15.74,15.58,15.67,67899709
