"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume"
"2011-09-15",24.26,25.71,24.26,25.68,12548469
"2011-09-22",23.36,24.46,23.32,24.25,9221881
"2011-09-29",24.9,25.05,23.74,24.38,8157807
"2011-10-06",23.19,24.26,23.17,24.26,5035815
"2011-10-13",25.72,26.04,25.47,25.55,3860230
"2011-10-20",25,25.81,24.65,25.73,5085410
"2011-10-27",27.18,27.6,26.96,27.48,8963887
"2011-11-03",26.82,27.05,25.98,27.01,5404050
"2011-11-10",27.68,28.09,27.02,27.3,7661871
"2011-11-17",28.09,28.16,27.25,27.52,6125870
"2011-12-01",26.86,27.36,26.8,27.07,6445281
"2011-12-08",28.05,28.51,27.33,27.42,5906995
"2011-12-15",23.47,23.85,23.12,23.36,8529905
"2011-12-22",22.85,23.3,22.77,23.22,6027337
"2011-12-29",22.89,23.17,22.88,23.11,3552097
"2012-01-05",23.2,23.78,22.85,23.44,8464198
"2012-01-12",24.86,24.99,24.54,24.76,3791458
"2012-01-19",25.16,25.38,25.06,25.1,4611894
"2012-01-26",25.79,25.99,24.94,25.02,6562394
"2012-02-02",24.18,24.47,24.12,24.3,3742364
"2012-02-09",25.5,25.59,25.04,25.35,4519637
"2012-02-16",25.3,25.9,25.28,25.87,3626200
"2012-02-23",25.03,25.6,25.03,25.19,3938834
"2012-03-01",24.84,25.08,24.59,24.7,4097933
"2012-03-08",24.55,24.7,24.33,24.55,2507046
"2012-03-15",23.93,25.27,23.39,25.2,10099304
"2012-03-22",26.98,27.55,26.75,26.96,7781767
"2012-03-29",25.36,25.48,23.96,24.77,30392258
"2012-04-05",22.74,22.94,22.43,22.65,6948277
"2012-04-12",21.93,22.55,21.81,22.24,19379371
"2012-04-19",22.06,22.3,21.89,22,4412939
"2012-04-26",22.09,22.22,21.95,22.11,4800234
"2012-05-03",22.18,22.2,21.48,21.59,8957993
"2012-05-10",20.18,20.2,19.88,19.94,7003742
"2012-05-17",18.97,18.97,18.42,18.44,10735347
"2012-05-24",18.75,19.02,18.56,18.82,8255638
"2012-05-31",19.14,19.2,18.59,18.72,6425197
"2012-06-07",19.07,20.32,18.19,19.7,32894784
"2012-06-14",19.72,19.93,19.56,19.81,6645865
"2012-06-21",20.44,20.54,19.31,19.48,8106992
"2012-06-28",19.6,20.94,19.39,20.88,14537184
"2012-07-05",21.91,22.17,21.72,21.74,6155770
"2012-07-12",19.3,19.52,18.93,19.02,12657047
"2012-07-19",18.79,18.9,18.46,18.76,6771180
"2012-07-26",17.59,17.68,16.97,17.23,10931543
"2012-08-02",17.85,17.87,17.17,17.39,6861289
"2012-08-09",19.79,19.98,18.46,19.19,11704171
"2012-08-16",19.71,20.55,19.59,20.41,7963261
"2012-08-23",18.3,18.4,17.84,18.01,11548783
"2012-08-30",18.08,18.2,17.78,17.8,4864331
"2012-09-06",18.01,18.25,17.95,18.24,5660862
"2012-09-13",18.55,18.59,18.1,18.32,5691400
"2012-09-20",17.85,18.3,17.75,18.09,4942415
"2012-09-27",17.7,17.76,17.13,17.58,3708149
"2012-10-04",17.84,18.53,17.77,18.4,7903516
"2012-10-11",17.92,18.05,17.75,17.84,3840816
"2012-10-18",17.47,17.66,17.3,17.49,2847149
"2012-10-25",16.29,16.34,15.07,15.17,16011998
"2012-11-01",15.25,15.29,15.01,15.05,3937378
"2012-11-08",15.61,15.61,15.22,15.26,4054474
"2012-11-15",15.39,15.53,15.06,15.25,3394013
"2012-11-29",13.27,13.5,12.56,12.95,13857398
"2012-12-06",12.11,12.44,12.05,12.36,8995700
"2012-12-13",13.87,14.48,13.7,14.12,44057802
"2012-12-20",11.91,12.1,11.8,11.97,5891422
"2012-12-27",11.5,11.52,11.2,11.51,5439402
"2013-01-03",11.87,12.21,11.82,11.99,6108041
"2013-01-10",11.78,12.32,11.7,12.21,9785184
"2013-01-17",14.76,14.96,14.54,14.62,8322927
"2013-01-24",15.27,15.51,15.26,15.34,7004260
"2013-01-31",15.75,16.33,15.62,16.26,6413514
"2013-02-07",15.92,15.98,15.44,15.58,3930129
"2013-02-14",15.05,16.36,15,15.71,14403742
"2013-02-21",17.17,17.5,16.9,17.41,8612691
"2013-02-28",16.95,16.95,15.75,16.41,12811959
"2013-03-07",18.84,19.33,18.56,19.26,10560467
"2013-03-14",20.99,21.55,20.92,21.5,9247820
"2013-03-21",22.94,23.35,22.36,22.46,15838591
"2013-03-28",22.18,22.53,22,22.15,8861813
"2013-04-04",21.72,25.3,21.71,25.13,55397659
"2013-04-11",24.6,24.9,23.98,24.11,11822853
"2013-04-18",23.5,23.71,22.78,22.97,6092339
"2013-04-25",23.78,24.37,23.7,24.14,5285173
"2013-05-02",25.9,26.37,25.83,26.26,4392838
"2013-05-09",25.49,26.14,25.45,25.6,4496457
"2013-05-16",26.15,26.27,25.7,25.9,3622994
"2013-05-23",25.4,26.34,25.3,26.29,5322095
"2013-05-30",27.15,28.17,27.15,27.74,10797987
"2013-06-06",27.02,27.71,26.82,27.68,4859560
"2013-06-13",26.79,27.59,26.78,27.56,6204231
"2013-06-20",27.2,27.4,26.27,26.59,4404617
"2013-06-27",27.4,27.92,27.36,27.84,3221594
"2013-07-11",28.83,29.48,28.72,29.38,5575519
"2013-07-18",28.61,29.02,28.31,28.81,3569198
"2013-07-25",29.34,29.94,29.32,29.93,2263054
"2013-08-01",30.18,30.75,30.15,30.71,3512794
"2013-08-08",30.28,31.42,30.16,31.03,4408295
"2013-08-15",31.17,31.5,30.58,30.81,5009952
"2013-08-22",33.95,35.44,33.95,35.2,8296244
"2013-08-29",35.8,36.65,35.62,36.35,6189259
"2013-09-05",37.2,37.59,37.11,37.49,5589953
"2013-09-12",37.93,37.96,37.24,37.63,3224598
"2013-09-19",39.22,39.28,38.7,39.1,5207480
"2013-09-26",38.21,38.97,38.2,38.53,2808493
"2013-10-03",37.81,37.91,36.86,37.69,3413673
"2013-10-10",37.75,39.3,37.75,39,11496109
"2013-10-17",41.77,42.96,41.6,42.82,8142584
"2013-10-24",42.66,43.15,42.33,42.74,3011915
"2013-10-31",42.46,43.28,41.81,42.8,3418152
"2013-11-07",42,42.27,40.87,40.89,6140185
"2013-11-14",43.93,44.1,42.92,43.33,5967110
"2013-11-21",38.96,39.5,37.91,39.07,9752129
"2013-12-05",42.57,43.19,41.54,41.6,5397390
"2013-12-12",40.45,41.04,40,40.23,4934647
"2013-12-19",42,42,41.2,41.35,3012644
"2013-12-26",40.24,41.17,40.24,41.04,3396880
"2014-01-02",39.75,41,39.62,40.5,4019318
"2014-01-09",37.5,37.88,36.86,37.53,8116631
"2014-01-16",25.91,28.2,25.78,26.83,85222918
"2014-01-23",26,26.34,25.66,26.07,14657621
"2014-01-30",24.29,24.48,22.68,22.72,15355209
"2014-02-06",23.05,23.99,23.03,23.71,6582172
"2014-02-13",24.73,24.82,24.45,24.68,6089066
"2014-02-20",24.73,25.05,24.66,24.84,5214162
"2014-02-27",27.7,28.2,25.42,25.57,34012513
"2014-03-06",25.62,25.62,24.7,25.44,10361646
"2014-03-13",25.91,26.03,25.22,25.29,5826351
"2014-03-20",25.67,26.07,25.32,25.84,4625093
"2014-03-27",25.72,25.79,25.13,25.73,5647529
