"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume"
"2011-09-15",91.15,91.66,89.58,91.27,829540
"2011-09-22",86.42,87.14,85.55,86.61,1205063
"2011-09-29",89.51,90.15,87.57,88.89,561088
"2011-10-06",85.81,85.81,84.15,85.08,1293379
"2011-10-13",86.19,87.59,85.49,86.97,727733
"2011-10-20",86.24,86.61,84.57,85.49,858774
"2011-10-27",86.48,87.19,84.34,85.54,1585802
"2011-11-03",86.7,87.56,85.78,87.44,689095
"2011-11-10",87.95,88.22,87.16,87.5,712704
"2011-11-17",86.45,86.71,85.57,86.07,645083
"2011-12-01",87.21,88.31,86.88,87.25,500034
"2011-12-08",85.7,85.86,84.02,84.12,539435
"2011-12-15",85.67,87.15,85.18,86.71,846703
"2011-12-22",84.3,84.9,83.65,84.23,944975
"2011-12-29",84.6,85.96,84.6,85.78,337283
"2012-01-05",86.02,86.27,85.67,85.94,626077
"2012-01-12",85.91,86.26,84.56,86.05,438166
"2012-01-19",86.43,89.99,86.16,89.36,1085885
"2012-01-26",93.76,94.12,92.58,93.24,687564
"2012-02-02",93.78,94.1,92.69,92.7,711351
"2012-02-09",92.74,92.77,92,92.31,651664
"2012-02-16",95.11,95.48,94.71,95.44,447917
"2012-02-23",93.85,94.36,93.56,93.75,604040
"2012-03-01",93.37,94.18,92.62,93.47,924310
"2012-03-08",92.73,94.21,92.61,94,405108
"2012-03-15",95.02,96.22,94.58,96.21,361124
"2012-03-22",95.97,96.92,95.89,96.28,650746
"2012-03-29",98.51,99.16,98.07,98.94,420561
"2012-04-05",97.28,98.09,97.18,98.01,334924
"2012-04-12",96.12,97.04,95.27,96.57,756161
"2012-04-19",98.03,98.35,97.03,98.3,532933
"2012-04-26",97.23,99.02,96.07,98.77,679198
"2012-05-03",99.74,100.13,99.22,99.72,381034
"2012-05-10",101.2,102.7,100.74,101.7,746958
"2012-05-17",99.25,99.66,98,98.04,594957
"2012-05-24",99.05,100.43,98.39,99.99,496264
"2012-05-31",97.62,98.08,97.02,97.19,967564
"2012-06-07",98.59,98.93,98.27,98.55,612671
"2012-06-14",100.08,101.13,97.28,98.95,1551547
"2012-06-21",102.87,105.79,102.87,103.82,504023
"2012-06-28",103.77,105.05,103.17,104.82,578338
"2012-07-05",107.51,108.31,107.31,107.68,581782
"2012-07-12",106,106.04,104.69,105.61,466591
"2012-07-19",106.22,107.99,106,107.5,494714
"2012-07-26",97,100,97,98.46,1715181
"2012-08-02",95.19,96.7,93.69,96.35,762596
"2012-08-09",98.07,98.33,97.29,97.72,352647
"2012-08-16",98.78,98.99,98.28,98.35,330014
"2012-08-23",97.42,97.77,97.03,97.3,382059
"2012-08-30",97.62,98.17,97.17,97.78,293445
"2012-09-06",99.82,101.09,99.62,100.76,854740
"2012-09-13",100.89,102.3,100.37,101.92,469449
"2012-09-20",103.59,104.46,103.08,104.42,369697
"2012-09-27",104.57,105.05,103.96,104.61,429247
"2012-10-04",105.99,106.49,105.48,105.99,319914
"2012-10-11",102.66,103.26,101.98,101.98,297292
"2012-10-18",101.91,102.46,100.99,101,681608
"2012-10-25",96.48,97.76,96.04,96.93,855205
"2012-11-01",96.26,97.63,95.51,97.26,360065
"2012-11-08",95.2,95.98,94.59,94.82,380792
"2012-11-15",95.4,95.65,94.66,95.04,491458
"2012-11-29",98.09,99.19,97.91,98.74,321023
"2012-12-06",97.49,97.54,96.91,97.39,637320
"2012-12-13",97.09,97.44,96.37,96.49,386263
"2012-12-20",97.85,98.65,97.35,98.56,344899
"2012-12-27",96.84,97.47,96.27,97.14,411779
"2013-01-03",100.3,101.56,99.97,101.45,918177
"2013-01-10",103.03,103.59,102.11,102.78,467216
"2013-01-17",101.8,102.36,101.6,101.62,710917
"2013-01-24",101.98,103.55,101.71,103.51,619133
"2013-01-31",101.95,102.53,100.9,102.07,997672
"2013-02-07",101.4,102.05,101,101.08,535872
"2013-02-14",101.35,101.43,100.67,101,323671
"2013-02-21",99.4,100.01,98.43,99.01,598131
"2013-02-28",98.97,99.53,98.67,98.85,759965
"2013-03-07",99.5,99.88,99.35,99.56,479484
"2013-03-14",101.28,102.02,101,102,579912
"2013-03-21",100.51,101.02,100.01,100.06,543630
"2013-03-28",100.03,101.09,99.65,100.78,1021535
"2013-04-04",100.91,101.81,100.78,101.27,675171
"2013-04-11",102.85,103.18,102.79,103,936121
"2013-04-18",101.02,101.4,99,99.64,500012
"2013-04-25",99.08,99.66,98.04,99.09,595192
"2013-05-02",99.79,101.14,99.53,100.91,867711
"2013-05-09",102.79,103.71,102.71,103.52,411391
"2013-05-16",106.91,107.27,106.37,106.65,700191
"2013-05-23",104.68,105.28,104.22,105.15,682767
"2013-05-30",104.15,104.96,104.07,104.46,217066
"2013-06-06",104.12,105.06,103.09,105.06,642560
"2013-06-13",105.3,109.37,105.18,109.31,931435
"2013-06-20",110.16,110.44,108.81,109,697078
"2013-06-27",108.4,109.07,107.6,108.55,669002
"2013-07-11",109.84,111.19,109.03,110.46,339623
"2013-07-18",112.28,113.5,111.83,113.24,481577
"2013-07-25",112.57,113.5,112.2,113.27,419084
"2013-08-01",114.63,115.95,114.63,115.67,574736
"2013-08-08",116.58,116.99,116.28,116.8,398489
"2013-08-15",114.94,115.23,113.38,113.47,240719
"2013-08-22",113.99,114.84,113.44,114.54,463569
"2013-08-29",114.4,115.89,113.88,115.71,512589
"2013-09-05",116.46,117.17,116.05,116.78,456414
"2013-09-12",119.29,119.64,118.34,118.6,350345
"2013-09-19",120.86,121.16,119.95,120.1,638757
"2013-09-26",116.31,116.65,115.83,116.22,445232
"2013-10-03",115.76,116.32,113.52,114.93,888205
"2013-10-10",115.32,116.07,114.39,116.03,694481
"2013-10-17",119.71,122.88,118.59,122.83,500151
"2013-10-24",135.18,138.79,134.19,134.45,907419
"2013-10-31",136.4,136.8,134.79,136.22,726681
"2013-11-07",137.97,138.58,136.48,136.51,459654
"2013-11-14",138.36,138.99,137.69,138.43,304158
"2013-11-21",138.44,139.5,138.1,139.05,703189
"2013-12-05",136.97,137.58,136.47,136.62,337344
"2013-12-12",134.59,135.59,133.52,133.7,348559
"2013-12-19",132.84,133.33,131.39,131.96,597327
"2013-12-26",133.48,134.1,133.11,133.74,189122
"2014-01-02",134,134.15,131.6,131.83,558586
"2014-01-09",132.91,134.76,132.75,134.75,523029
"2014-01-16",135.62,136.53,134.26,136.39,566276
"2014-01-23",135.44,136.16,134.79,135.94,640580
"2014-01-30",131.47,131.84,129.78,131.02,885416
"2014-02-06",129.13,130.1,128.1,128.4,755250
"2014-02-13",135.79,138.02,135.57,137.89,682503
"2014-02-20",139.06,140.96,139.05,140.3,812261
"2014-02-27",142.68,145.21,142.68,144.69,823599
"2014-03-06",144.89,145.55,143.5,143.71,479882
"2014-03-13",146.53,147,143.59,143.92,749149
"2014-03-20",145.18,146.72,144.27,146.57,645354
"2014-03-27",146.78,147.19,144.92,145.2,784947
"2014-04-03",149.01,149.26,145.78,148.16,1138402
"2014-04-10",143.28,143.54,137.87,138.29,994009
"2014-04-17",138.89,140.6,138.51,139.49,555554
"2014-04-24",136.41,137.14,135.34,136.23,837942
"2014-05-01",137.22,138.42,136.77,138.02,712276
"2014-05-08",141.52,144.05,141.05,142.9,653549
"2014-05-15",145.92,146.37,144.55,145.96,792397
"2014-05-22",147.5,147.5,145.52,146.24,891427
"2014-05-29",147.08,148.13,146.76,147.89,408708
"2014-06-05",147.19,147.26,145.46,147.08,620816
"2014-06-12",140,141.1,137.26,140.98,1928444
"2014-06-19",138.47,139.09,138.26,139.08,626979
"2014-06-26",144.81,145.76,143.66,144.52,738001
"2014-07-03",146.05,146.17,145.31,145.7,567138
"2014-07-10",144.76,146.26,144.41,145.74,437577
"2014-07-17",144.34,145.31,142.07,142.3,703861
"2014-07-24",146.25,147.3,145.08,146.95,578580
"2014-07-31",150.47,151.38,149.23,149.23,487084
"2014-08-07",150.3,150.3,147.53,147.92,350771
"2014-08-14",151.89,152.2,150.23,151.02,326153
"2014-08-21",149.72,149.76,148.55,148.7,450825
"2014-08-28",147.88,148.43,147.03,147.6,423688
"2014-09-04",149.97,150.5,149.11,149.36,477277
"2014-09-11",148.71,149.93,147.88,149.87,290597
"2014-09-18",146.3,147.13,145.91,146.88,347196
"2014-09-25",145.28,145.73,143.7,144.06,362635
"2014-10-02",142.61,144.96,142.23,144.78,457015
"2014-10-09",151.52,151.98,148.8,148.88,520840
"2014-10-16",146.27,147.51,144.39,144.77,666828
"2014-10-23",150,156.18,149.89,154.23,1008762
"2014-10-30",158.93,161.1,158.93,160.99,571653
"2014-11-06",165,165.46,164.27,164.97,448126
"2014-11-13",165.21,166.63,164.39,165.59,419894
"2014-11-20",166.31,167.2,165.3,167.11,295729
"2014-12-04",171.9,173.84,171.44,172.47,516338
"2014-12-11",167.98,170.21,167.41,169.15,577687
"2014-12-18",170.62,171.75,169.97,171.58,782950
"2015-01-08",171.95,175,171.38,174.87,669612
"2015-01-15",174.26,174.54,172.74,172.84,367611
"2015-01-22",176.99,178.99,175.66,178.59,608729
"2015-01-29",175.31,176.97,173.53,176.94,736595
"2015-02-05",173.39,175.32,172.99,173.81,513066
"2015-02-12",173.6,175.1,172.13,174.88,575886
"2015-02-19",175.25,175.73,174.15,175.55,524907
"2015-02-26",171.95,172.91,170.66,170.94,701374
"2015-03-05",167.57,170.81,167.5,170.28,552053
"2015-03-12",164.73,167.02,164.52,166.76,468499
"2015-03-19",168.01,170.98,167.42,170.69,566034
"2015-03-26",166.62,168.28,165.2,166.66,577405
"2015-04-02",165.51,168.33,164.62,167.93,505099
"2015-04-09",169.46,170.92,168.39,170.51,880405
"2015-04-16",168.88,171.04,168.24,170.87,783018
"2015-04-23",174.07,176.47,173.36,176.25,828162
"2015-04-30",165.42,167.44,164.95,166.58,880799
"2015-05-07",167.3,168.74,166.45,167.46,397719
"2015-05-14",169.3,172.19,168.1,172.12,368059
"2015-05-21",172.73,173.44,171.69,172.38,330227
"2015-05-28",171.16,172.93,170.36,170.7,471433
"2015-06-04",170.77,171.51,169.45,170.52,493846
"2015-06-11",171.27,171.93,170.7,171.45,508488
"2015-06-18",170.43,172.85,170.43,172.47,610839
"2015-06-25",172.25,174.16,171.25,172.86,382220
"2015-07-02",173.48,173.48,170.55,171.3,339746
"2015-07-09",173.68,173.94,170.97,171.2,484071
"2015-07-16",179.09,179.84,178.13,178.65,231051
"2015-07-23",179.15,179.74,177.8,179.45,665101
"2015-07-30",194.57,194.67,191.64,193.1,815062
"2015-08-06",200.5,202.47,196.71,198.97,678248
"2015-08-13",197.84,200,197.24,199.02,347229
"2015-08-20",199.13,199.26,195.2,195.29,579143
"2015-08-27",192.96,197.34,192.08,196.49,911700
"2015-09-03",188.57,192.73,187.19,190.39,853515
"2015-09-10",190.49,192.71,189.33,191.22,799336
"2015-09-17",194.8,199.82,194.71,197.24,752846
"2015-09-24",194.17,195.48,192.75,195.02,484905
"2015-10-01",186.55,190.39,185.78,190.22,814343
"2015-10-08",186.56,187.43,183.66,187.02,525486
"2015-10-15",187.79,193.16,187.56,192.95,474609
"2015-10-22",191.22,191.32,182.92,186.74,1226852
"2015-10-29",183.95,186.53,182.02,186.19,433854
"2015-11-05",186.88,188.93,184.27,185.7,583338
"2015-11-12",184.68,185.46,181.74,181.99,437397
"2015-11-19",184.85,185.13,181.01,181.96,355625
"2015-12-03",188.76,190.34,182.3,183.26,751104
"2015-12-10",185.39,186.67,183.66,184.13,512020
"2015-12-17",191.03,192.46,190.1,190.62,475065
"2015-12-24",187.79,190.5,187.79,189.87,232797
"2015-12-31",190.08,190.99,188.88,189.44,315009
"2016-01-07",181.97,184.81,181.97,184.17,643318
"2016-01-14",176.48,178.59,175.88,176.95,588833
"2016-01-21",176.96,180.1,175.93,178.88,519716
"2016-01-28",183.11,183.11,176.95,178.36,879401
"2016-02-04",184.51,187.49,182.98,187.13,584880
"2016-02-11",185.4,185.4,181.42,181.5,785891
"2016-02-18",187.87,189.86,186.69,187.33,368013
"2016-02-25",194.07,196.68,193.44,196.57,603890
"2016-03-03",192.57,193.47,190.98,193.27,389011
"2016-03-10",195.5,197.41,194.16,195.45,532650
"2016-03-17",194.06,195.08,191.79,193.69,523276
"2016-03-24",198.03,198.65,196.37,198.2,339559
"2016-03-31",202.99,203.68,201,202.67,457861
"2016-04-07",204.72,205.52,201.8,203.3,704541
"2016-04-14",206.43,207.28,205.29,206.09,398580
"2016-04-21",208.88,209.77,206.44,207.02,340812
"2016-04-28",213.74,217.49,212.07,214.22,917934
"2016-05-05",214.31,216.6,212.44,215.53,463048
"2016-05-12",219.85,220.52,217.79,219.45,363342
"2016-05-19",217.16,218.96,216.12,218.58,342990
"2016-05-26",220,220.85,219.52,219.58,410671
"2016-06-02",219.53,220.73,217.62,220.73,703622
"2016-06-09",225.34,228.31,222.16,226.52,473328
"2016-06-16",224,225.3,222.85,225.06,289631
"2016-06-23",229.48,230.76,228.88,230.69,289985
"2016-06-30",232.53,235.16,232.17,235.16,539211
"2016-07-07",236.67,239.03,236.67,237.8,437440
"2016-07-14",235.53,236.17,234.26,234.9,411206
"2016-07-21",231.87,233.3,230.26,231.45,264818
"2016-07-28",223.94,226,223.3,224.25,715830
"2016-08-04",220.22,221.73,218.95,221.42,397077
"2016-08-11",222.91,223.49,222.04,223.11,427085
"2016-08-18",217.59,219.16,217.59,218.11,327101
"2016-08-25",215.01,216.98,214.16,215.32,295883
"2016-09-01",220.91,221.72,218.22,221.5,345697
"2016-09-08",218.9,219.39,218.41,218.78,260575
"2016-09-15",221.02,225.67,217.1,223.63,810271
