"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume"
"2011-09-15",77.84,77.92,75.99,77.5,1326227
"2011-09-22",72.18,73.74,71.71,73.4,3061673
"2011-09-29",74.47,74.59,73.18,74.34,1837542
"2011-10-06",72.02,73.46,71.71,73.21,2121499
"2011-10-13",74.17,74.17,73.31,73.87,1189413
"2011-10-20",74.04,74.31,72.51,73.47,1462791
"2011-10-27",79.34,79.56,77.77,78.16,1243856
"2011-11-03",73.22,73.3,71.93,72.38,2666409
"2011-11-10",73.36,73.88,72.64,73.56,1506614
"2011-11-17",74.25,74.52,73.47,73.73,1922957
"2011-12-01",73.77,75.1,73.77,74.14,1903435
"2011-12-08",73.07,73.52,72.41,72.53,2026205
"2011-12-15",71.87,72.1,71,71.15,1751489
"2011-12-22",73.63,74.1,73.5,73.76,1419371
"2011-12-29",74,74.73,73.86,74.55,940983
"2012-01-05",73.17,73.24,72.3,72.69,2057879
"2012-01-12",74.8,74.99,74,74.69,1354549
"2012-01-19",76.57,78.19,76.53,77.91,1476249
"2012-01-26",79.47,80.25,78.93,79.37,1904316
"2012-02-02",79.73,79.82,78.99,79.38,638430
"2012-02-09",77,77.14,76.5,76.85,1126932
"2012-02-16",77.25,77.72,77.2,77.61,995015
"2012-02-23",76.75,76.91,76.34,76.45,996311
"2012-03-01",76.22,76.44,75.85,76.38,1320051
"2012-03-08",76.01,76.67,75.49,76.6,1194996
"2012-03-15",77.55,78.19,77.22,78.09,993862
"2012-03-22",76.68,77.08,76.31,76.88,576513
"2012-03-29",77.3,77.3,76.62,77.1,930937
"2012-04-05",77.51,77.7,77.35,77.65,929386
"2012-04-12",76.02,76.45,75.6,76.28,1474925
"2012-04-19",76.45,76.68,75.91,76.2,903032
"2012-04-26",76.47,77.55,76.32,77.32,747183
"2012-05-03",77.37,78.09,77.24,77.65,1086915
"2012-05-10",76.41,77,76.27,76.62,1088489
"2012-05-17",75.77,75.89,74.59,74.79,1302094
"2012-05-24",74.28,74.96,74.28,74.72,870917
"2012-05-31",73.47,73.77,72.8,73.13,2042940
"2012-06-07",73.49,73.67,72.72,72.9,1138160
"2012-06-14",73.02,73.57,72.87,73.14,1168787
"2012-06-21",74.89,75.04,73.66,73.73,956357
"2012-06-28",73.17,73.32,72.4,73.14,1135338
"2012-07-05",75.51,75.78,75.19,75.34,1048771
"2012-07-12",74.23,74.89,74.17,74.35,823810
"2012-07-19",75.5,76.12,75.37,75.95,759805
"2012-07-26",74.16,74.63,74.06,74.49,1132129
"2012-08-02",76.45,77,74.1,74.42,1744314
"2012-08-09",75.59,75.89,75.26,75.5,1071599
"2012-08-16",75.96,76.37,75.82,75.89,1010352
"2012-08-23",75.98,76.01,75.14,75.27,1057832
"2012-08-30",75.35,76.03,75.3,75.81,1094223
"2012-09-06",76.82,77.24,76.75,77.2,1044104
"2012-09-13",78.04,78.88,77.81,78.62,991289
"2012-09-20",78.98,79.32,78.67,79.22,1073685
"2012-09-27",78.93,79.07,78.28,78.74,718880
"2012-10-04",78.99,79.27,78.7,79.2,712453
"2012-10-11",77,77.55,76.81,77.03,890226
"2012-10-18",77.03,77.11,76.33,76.89,665416
"2012-10-25",75.49,75.85,74.99,75.29,942924
"2012-11-01",75.49,76.56,75.03,76.28,725353
"2012-11-08",75.52,75.54,74.81,75.08,1732726
"2012-11-15",74.73,75.55,74.65,75.45,1180085
"2012-11-29",77.84,78.22,76.85,76.97,1109393
"2012-12-06",76.9,77.22,76.32,77.1,864578
"2012-12-13",78.46,79.09,78.31,78.47,1099377
"2012-12-20",78.65,79.17,78.57,79.13,1034430
"2012-12-27",78.07,78.48,77.54,78.28,520320
"2013-01-03",79.9,80.75,79.66,80.39,1174109
"2013-01-10",81.84,81.88,81.08,81.68,747512
"2013-01-17",83.22,83.3,82.84,82.86,1235045
"2013-01-24",83.84,84.38,83.31,83.82,768966
"2013-01-31",83.84,84.4,83.63,84.04,1049185
"2013-02-07",87.9,88,87.06,87.9,1847932
"2013-02-14",88.32,88.41,87.62,88.39,1221136
"2013-02-21",87.4,87.62,86.41,86.83,1324822
"2013-02-28",88.25,88.58,87.89,88.06,1285667
"2013-03-07",88.12,88.72,87.87,88.24,1091344
"2013-03-14",91.09,92.52,90.71,92.5,2112207
"2013-03-21",92.54,93,91.79,91.93,1024608
