"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume"
"2011-09-15",39.08,40.08,38.68,40.02,4461297
"2011-09-22",35.81,35.83,32.17,32.26,16693734
"2011-09-29",33.41,33.73,32.71,33.5,4625916
"2011-10-06",32.43,33.21,31.96,33.15,4134999
"2011-10-13",32.25,32.8,31.5,32.63,4717338
"2011-10-20",33.08,33.56,32.77,33.34,4622682
"2011-10-27",35.39,36.89,35.1,36.27,12335448
"2011-11-03",35.34,35.71,33.81,35.61,4253115
"2011-11-10",34.73,35.25,34.42,34.92,2790168
"2011-11-17",34.04,34.04,32.79,33.14,7930107
"2011-12-01",33.39,33.41,32.71,33.06,2113191
"2011-12-08",33.08,33.09,32.02,32.16,5393649
"2011-12-15",31.15,31.67,30.69,30.94,4615254
"2011-12-22",31.65,32.03,31.57,31.7,3147201
"2011-12-29",31.44,32.09,31.4,32.03,1872657
"2012-01-05",32.4,33.02,31.98,32.98,3177288
"2012-01-12",32.46,32.5,31.9,32.19,4841955
"2012-01-19",33.41,33.98,33.21,33.77,2705499
"2012-01-26",35.21,35.95,35.02,35.56,4596093
"2012-02-02",37.29,37.88,37.12,37.74,4136373
"2012-02-09",39.22,39.46,38.67,38.95,2476815
"2012-02-16",38.64,39.19,38.46,39.14,2973315
"2012-02-23",38.83,39.45,38.72,39.42,1832211
"2012-03-01",39.03,39.85,38.35,39.62,2222241
"2012-03-08",39.66,40,39.59,39.98,3222957
"2012-03-15",40.98,41.85,40.89,41.84,2931147
"2012-03-22",40.88,41.05,40.75,40.89,1983999
"2012-03-29",41.09,41.51,40.79,41.1,2888337
"2012-04-05",41.44,42.53,41.39,42.23,4637268
"2012-04-12",40.68,41.53,40.33,41.51,1838478
"2012-04-19",41.26,41.44,40.54,40.79,2048553
"2012-04-26",41.17,42.04,41.1,41.88,1934520
"2012-05-03",40.59,40.68,39.51,39.81,3417828
"2012-05-10",38.64,39.36,38.21,38.33,2241951
"2012-05-17",37.1,37.13,36.09,36.1,3055158
"2012-05-24",36.15,36.15,35.44,36,4023993
"2012-05-31",35.7,35.86,35.3,35.6,3036600
"2012-06-07",36.34,37.02,35.92,36.05,5830503
"2012-06-14",34.95,35.29,34.83,35.21,2457291
"2012-06-21",36.15,36.24,34.71,34.74,3416091
"2012-06-28",34.8,35.33,34.75,35.29,2023014
"2012-07-05",37.63,37.92,37.63,37.69,2450418
"2012-07-12",36.07,36.52,35.92,36.33,2089974
"2012-07-19",37.75,37.93,37.48,37.8,1596417
"2012-07-26",36.34,36.5,35.79,36.11,3132930
"2012-08-02",37.2,37.54,36.76,36.99,2791056
"2012-08-09",38.8,39.11,38.54,38.73,999873
"2012-08-16",39.31,39.96,39.16,39.92,1967649
"2012-08-23",39.45,39.48,39.14,39.35,1792566
"2012-08-30",39.07,39.19,38.76,38.96,1309737
"2012-09-06",39.37,40.23,39.37,40.19,1347834
"2012-09-13",41.29,42.23,40.99,42.13,2010459
"2012-09-20",41.83,42,41.53,41.78,2088726
"2012-09-27",41.38,41.73,41.09,41.61,1446024
"2012-10-04",42.37,43.1,42.29,43.09,1890519
"2012-10-11",42.93,43.09,42.68,42.76,1046718
"2012-10-18",44.33,44.64,44.09,44.4,1712475
"2012-10-25",42.33,42.55,41.59,42.11,3450366
"2012-11-01",42.62,44.19,42.34,44.18,2672037
"2012-11-08",43.09,43.74,42.7,42.7,1936209
"2012-11-15",42.54,42.97,42.19,42.57,2377890
"2012-11-29",44.15,44.37,43.91,44.21,948618
"2012-12-06",42.54,42.59,42.07,42.44,2160612
"2012-12-13",42.19,42.42,42.05,42.27,1732959
"2012-12-20",43.03,43.31,42.86,43.14,1793727
"2012-12-27",42.28,42.28,41.59,42.1,1544883
"2013-01-03",43.36,43.53,43.06,43.26,2237433
"2013-01-10",44.11,44.7,43.97,44.67,2214657
"2013-01-17",45.3,45.59,45.21,45.29,1802862
"2013-01-24",44.36,44.72,44.18,44.3,1992657
"2013-01-31",45.69,45.88,45.45,45.63,3416985
"2013-02-07",46.63,46.91,46.24,46.54,1579569
"2013-02-14",47.35,48.18,47.13,48.14,2801679
"2013-02-21",47.6,47.6,46.87,46.95,2009652
"2013-02-28",47.28,47.48,47.05,47.08,1628334
"2013-03-07",48.81,48.83,48.45,48.73,1425822
"2013-03-14",49.79,50.2,49.72,50.03,1903380
"2013-03-21",49.46,49.61,49,49.05,1741263
"2013-03-28",49.88,50.35,49.73,50.27,1518333
"2013-04-04",48.66,49.81,48.66,49.74,2992404
"2013-04-11",51.66,52.21,51.38,52,1427112
"2013-04-18",49.37,49.51,48.03,48.24,1795974
"2013-04-25",51.09,51.54,50.78,51.37,1327371
"2013-05-02",51.19,51.2,50.68,51,2222490
"2013-05-09",53.47,53.77,53.05,53.11,1709199
"2013-05-16",55.3,56.25,55.15,55.32,1889364
"2013-05-23",53.57,54.19,53.21,54.01,2217921
"2013-05-30",54.06,54.67,53.69,53.75,2517204
"2013-06-06",49.54,49.88,49.24,49.84,4745106
"2013-06-13",47.75,49.19,47.56,49.03,4645860
"2013-06-20",48,48,45.72,45.81,6587439
"2013-06-27",46.14,46.49,45.92,46.31,2819505
"2013-07-11",46.28,47,46.11,46.64,5420661
"2013-07-18",48.91,48.93,48.43,48.71,2364120
"2013-07-25",48.66,48.84,47.73,47.98,6413577
"2013-08-01",49.35,50.33,49.31,50.01,2018792
"2013-08-08",49.76,49.95,49.27,49.5,1407136
"2013-08-15",48.19,48.19,47,47.3,2123163
"2013-08-22",46.63,48.14,46.6,47.75,1725473
"2013-08-29",45.15,46.42,45.06,46.18,2108535
"2013-09-05",46.79,47.32,46.01,46.14,2317032
"2013-09-12",48.16,48.38,47.9,48.2,2757491
"2013-09-19",53.03,54.36,52.18,52.4,5108266
"2013-09-26",50.35,51,50.35,50.96,1927260
"2013-10-03",50.72,51.12,50.02,50.96,2094060
"2013-10-10",50.75,51.26,50.75,51.15,4442817
"2013-10-17",51.97,53.6,51.8,53.51,1917212
"2013-10-24",52.96,54.57,52.2,54.48,4063037
"2013-10-31",54.34,54.48,53.86,53.86,2214689
"2013-11-07",53.42,53.42,51.9,51.96,2280220
"2013-11-14",53.5,54.43,53.5,54.27,1811180
"2013-11-21",53.91,54.58,53.71,54.52,1145574
"2013-12-05",54.29,54.46,53.96,54.09,3361434
"2013-12-12",53.73,54.05,53.57,53.7,1589413
"2013-12-19",55.92,55.92,55.31,55.67,2691389
"2013-12-26",56.79,57.32,56.38,57.18,1762166
"2014-01-02",57.36,57.56,56.4,56.72,1098073
"2014-01-09",57,57.29,56.66,57.02,2245750
"2014-01-16",57.98,58.5,57.81,58.28,1420466
"2014-01-23",57.78,57.94,55.9,56.18,2992111
"2014-01-30",53.51,54.71,52.64,52.78,2897605
"2014-02-06",50.54,51.5,50.41,51.22,3254135
"2014-02-13",52.58,53.39,52.51,53.13,2987411
"2014-02-20",52.99,53.22,52.51,52.54,1968471
"2014-02-27",52.12,53.01,52.12,52.95,1806481
"2014-03-06",53.7,53.93,53.44,53.6,6599529
"2014-03-13",53.07,53.2,51.45,51.66,3844927
"2014-03-20",51.29,52.29,50.88,52.06,2200336
"2014-03-27",53.2,53.37,52.47,53.05,3018696
"2014-04-03",55.05,55.16,54.2,54.59,2265747
"2014-04-10",53.49,53.61,52.01,52.02,2028585
"2014-04-17",52.73,53.83,52.68,53.7,1968705
"2014-04-24",54.31,54.38,53.6,53.86,1230354
"2014-05-01",52.38,52.72,52.07,52.52,1553829
"2014-05-08",52.85,54.52,52.75,53.81,2715952
"2014-05-15",55.52,55.6,54.13,54.31,3124355
"2014-05-22",54.74,55.25,54.45,54.8,2340434
"2014-05-29",55.3,55.49,55.12,55.34,782444
"2014-06-05",55.91,56.13,55.21,56.05,1436390
"2014-06-12",56.15,56.38,55.8,56.02,1194614
"2014-06-19",58.21,58.42,57.74,57.87,1388877
"2014-06-26",57.61,57.78,57.07,57.45,1515932
"2014-07-03",57.77,58.28,57.6,58.22,1199929
"2014-07-10",56.7,57.17,56.35,56.8,1366421
"2014-07-17",57.36,57.83,56.69,56.72,1381324
"2014-07-24",58.07,58.2,57.62,57.72,1957967
"2014-07-31",55.02,55.26,54.14,54.15,3621914
"2014-08-07",54.39,54.68,53.39,53.51,1254082
"2014-08-14",54.46,54.89,54.33,54.85,1014075
"2014-08-21",55.74,56.34,55.63,56.18,1263726
"2014-08-28",56.18,56.29,55.87,56.2,776975
"2014-09-04",56.53,57.25,56.31,56.51,1233985
"2014-09-11",55.35,55.88,55.35,55.78,1324274
"2014-09-18",56.12,56.68,56.12,56.67,1331946
"2014-09-25",55.12,55.31,54.12,54.45,1986863
"2014-10-02",54.05,54.69,53.7,54.56,3439311
"2014-10-09",53.88,53.94,51.43,51.43,5221212
"2014-10-16",49.32,51.3,49.3,50.92,2648972
"2014-10-23",52.76,53.18,52.38,52.89,2132752
"2014-10-30",54.13,55,54.13,54.79,1161509
"2014-11-06",56.07,56.35,55.89,56.31,1049982
"2014-11-13",57.08,57.26,56.5,56.8,810057
"2014-11-20",55.97,56.84,55.96,56.56,1195667
"2014-12-04",57.97,58,57.26,57.96,1444240
"2014-12-11",56.6,57.28,56.29,56.39,1169744
"2014-12-18",55.35,56.1,55.05,56.09,1925474
"2015-01-08",53.65,54,53.25,53.99,3303235
"2015-01-15",51.57,51.92,50.89,50.99,2019552
"2015-01-22",52.53,54.47,51.98,54.22,3242008
"2015-01-29",52.11,52.75,51.76,52.65,2384692
"2015-02-05",53.38,53.53,53.1,53.45,1524912
"2015-02-12",53.67,53.83,53.38,53.68,1153474
"2015-02-19",53.67,54.02,53.45,53.86,1493283
"2015-02-26",54.21,54.64,54.12,54.52,1631222
"2015-03-05",53.43,54.13,53.19,54.07,1582510
"2015-03-12",52.19,53.15,52.19,53.12,1960717
"2015-03-19",53.03,53.09,52.29,52.66,1864332
"2015-03-26",51.39,52.26,51.24,51.75,2122450
"2015-04-02",51.25,51.81,51.18,51.59,1468902
"2015-04-09",51.76,52.27,51.47,52.14,1740862
"2015-04-16",52.5,52.76,52.04,52.63,1238305
"2015-04-23",51.45,52.04,51.24,51.88,1468508
"2015-04-30",51.85,52.12,51.49,51.56,3217381
"2015-05-07",51.83,52,51.66,51.75,1765498
"2015-05-14",51.88,52.18,51.71,52.14,1259907
"2015-05-21",51.56,51.78,51.5,51.71,848945
"2015-05-28",51.33,51.61,51.23,51.58,1047995
"2015-06-04",50.65,51.02,50.19,50.28,2188933
"2015-06-11",50.44,50.55,50.23,50.43,1756895
"2015-06-18",51.05,51.55,50.93,51.35,1899524
"2015-06-25",50.66,50.74,50.15,50.31,2067058
"2015-07-02",49.32,49.5,48.9,49.21,1386780
"2015-07-09",49.08,49.08,48.16,48.36,2161408
"2015-07-16",49.43,49.64,49.39,49.63,1206560
"2015-07-23",48.67,48.72,47.42,47.59,3598312
"2015-07-30",46.35,46.48,45.9,46.16,3102399
"2015-08-06",45.2,45.25,44.61,44.71,2587952
"2015-08-13",43.91,44.02,43.52,43.57,2539268
"2015-08-20",42.92,43.13,42.04,42.06,4839716
"2015-08-27",40.3,41.08,40.16,41.05,4917774
"2015-09-03",39.5,40.03,39.28,39.81,3676454
"2015-09-10",39.45,39.7,38.99,39.3,4758232
"2015-09-17",39.64,40.1,39.29,39.53,5132280
"2015-09-24",37.09,37.39,36.81,37.27,3091583
"2015-10-01",37.09,37.46,36.69,37.08,4293250
"2015-10-08",38.9,39.02,38.49,38.89,3464459
"2015-10-15",37.63,37.87,37.38,37.81,4381865
"2015-10-22",38.2,40.59,38.12,39.78,7159558
"2015-10-29",39.93,40.3,39.59,40.11,3725349
"2015-11-05",41.15,41.64,41.04,41.57,3006250
