"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume"
"2011-09-15",34.38,34.84,34.12,34.84,891198
"2011-09-22",32.91,33.17,32.6,32.86,1033002
"2011-09-29",34.46,35.26,34.32,34.98,603388
"2011-10-06",34.99,35.98,34.89,35.98,611346
"2011-10-13",36.4,36.67,36.27,36.52,361230
"2011-10-20",37.42,37.52,36.84,37.11,427198
"2011-10-27",38.32,38.78,37.66,38.24,605740
"2011-11-03",37.08,37.64,36.76,37.6,269316
"2011-11-10",37.12,37.16,36.59,37.02,269926
"2011-11-17",37.54,37.66,37,37.27,331156
"2011-12-01",39.86,39.96,39.14,39.78,907074
"2011-12-08",40.38,40.64,39.69,40.04,678674
"2011-12-15",39.12,39.4,38.85,39.32,383118
"2011-12-22",40,40.1,39.64,39.89,304070
"2011-12-29",40.37,40.63,40.32,40.51,299532
"2012-01-05",39.38,39.64,39.02,39.5,768656
"2012-01-12",40.1,40.1,39.39,39.5,511030
"2012-01-19",40.54,41.09,40.16,41,610328
"2012-01-26",41.76,41.76,41.01,41.22,252584
"2012-02-02",41.26,41.55,41.18,41.44,233258
"2012-02-09",41.23,41.58,40.98,41.52,233848
"2012-02-16",40.8,41.08,40.64,40.9,712074
"2012-02-23",40.38,40.5,40.25,40.4,381326
"2012-03-01",40.86,41.08,40.68,40.88,780584
"2012-03-08",40.34,40.85,39.64,39.88,586410
"2012-03-15",40.41,40.44,40.02,40.02,541630
"2012-03-22",40,40.52,39.78,40.45,372764
"2012-03-29",41.51,41.73,41.2,41.38,697920
"2012-04-05",42.22,42.22,41.56,42.03,499070
"2012-04-12",41.44,41.62,41.26,41.52,351332
"2012-04-19",41.74,42.32,41.7,42.14,423764
"2012-04-26",42.87,43.54,42.5,43.28,354318
"2012-05-03",43.82,44.02,43.62,43.62,521052
"2012-05-10",43.28,43.58,43.14,43.29,212244
"2012-05-17",44.1,44.19,43.3,43.36,379016
"2012-05-24",43.22,43.84,43.09,43.68,260970
"2012-05-31",43.7,43.87,43.34,43.59,480072
"2012-06-07",44.7,45.25,44.04,44.18,392558
"2012-06-14",44.69,45.58,44.58,45.51,437706
"2012-06-21",46.7,46.9,46.45,46.46,568582
"2012-06-28",46.47,47.42,46.47,47.35,444764
"2012-07-05",48.02,48.24,47.52,47.52,850962
"2012-07-12",46.8,48.16,46.51,47.84,759494
"2012-07-19",48.34,48.38,47.83,48,791458
"2012-07-26",46.71,47.18,46.59,46.77,398548
"2012-08-02",46.46,46.8,45.74,46.09,421346
"2012-08-09",46,46.11,45.6,45.78,450254
"2012-08-16",30.94,31.18,30.78,31,664918
"2012-08-23",30.86,30.98,30.7,30.86,274670
"2012-08-30",31.92,32.24,31.72,31.88,531850
"2012-09-06",32.68,33.4,32.58,33.4,989474
"2012-09-13",32.17,32.54,32.17,32.45,743364
"2012-09-20",32.36,32.56,32.26,32.34,545536
"2012-09-27",32.29,32.52,32.08,32.52,433420
"2012-10-04",33.66,33.84,33.12,33.26,745430
"2012-10-11",32.8,33.02,32.55,32.59,777808
"2012-10-18",33.54,33.55,32.9,33.04,619354
"2012-10-25",31.95,31.98,31.71,31.98,376480
"2012-11-01",32.09,32.28,31.68,32.26,777314
"2012-11-08",32.12,32.41,31.93,32.26,776900
"2012-11-15",32.14,32.48,32.05,32.37,772578
"2012-11-29",34.72,35.32,34.5,35.07,934934
"2012-12-06",34.21,34.38,33.91,34.06,1187874
"2012-12-13",31.96,32.14,31.58,31.62,1569822
"2012-12-20",31.68,31.96,31.63,31.82,990940
"2012-12-27",31.44,31.63,31.17,31.48,767030
