"","BHP.Open","BHP.High","BHP.Low","BHP.Close","BHP.Volume"
"2014-09-15",64.8,64.9,64.35,64.61,2707014
"2014-09-22",62.19,62.2,60.9,61.28,4591593
"2014-09-29",58.86,59.39,58.74,59.01,4152556
"2014-10-06",58.4,59.09,57.35,57.96,7362651
"2014-10-13",57.34,58.18,56.98,57.08,4189703
"2014-10-20",58.83,59.34,58.75,59.32,1696121
"2014-10-27",58.61,59,58.42,58.8,2020955
"2014-11-03",59.45,59.46,58.42,58.7,1911326
"2014-11-10",60.22,60.33,59.09,59.23,2830498
"2014-11-17",58.52,58.52,57.73,58.19,1487699
"2014-11-24",56.94,57.05,55.98,56.08,2130374
"2014-12-01",50.96,51.49,50.35,51.35,4400408
"2014-12-08",49.74,49.82,49.03,49.05,3500293
"2014-12-15",45.67,45.95,44.9,45.15,5918315
"2014-12-22",48.24,48.31,47.21,47.42,3476132
"2014-12-29",48.26,48.73,48.05,48.18,2301317
"2015-01-05",46.12,46.35,45.33,45.85,4382711
"2015-01-12",46.1,46.17,45.47,45.88,2724129
"2015-01-26",45.45,46.28,45.11,46.01,2537412
"2015-02-02",46.96,47.4,46.6,47.31,3733503
"2015-02-09",48.75,49.76,48.67,49.23,2146746
"2015-02-23",49.82,49.92,49.26,49.55,2507006
"2015-03-02",52.24,52.34,51.72,52.3,2904957
"2015-03-09",49.64,49.74,49.26,49.44,2264531
"2015-03-16",44.91,45.25,44.56,45.22,2123696
"2015-03-23",49.31,49.59,48.96,49.41,2066089
"2015-03-30",47.12,47.43,46.8,47.18,2695170
"2015-04-06",45.96,46.85,45.94,46.51,1250830
"2015-04-13",44.75,45,43.83,43.9,2962403
"2015-04-20",46.5,47.36,46.46,46.94,1633005
"2015-04-27",50.73,51.88,50.68,51.53,2757792
"2015-05-04",52.2,52.26,51.85,52.16,1737446
"2015-05-11",50.84,51.31,50.8,51.09,2668650
"2015-05-18",48.8,48.9,48.22,48.37,1958910
"2015-06-01",44.58,44.68,43.67,44.01,1724948
"2015-06-08",42.84,42.96,42.35,42.83,1402802
"2015-06-15",42.79,43.06,42.66,42.89,1327916
"2015-06-22",44.27,44.4,43.92,43.96,1186202
"2015-06-29",41.96,42.41,41.6,41.73,2868829
"2015-07-06",39.45,39.69,39.03,39.59,3835010
"2015-07-13",39.77,41.01,39.44,40.51,4367060
"2015-07-20",39.36,39.47,39.06,39.13,2373271
"2015-07-27",36.5,36.85,36.13,36.32,3541841
"2015-08-03",37.51,37.63,37.08,37.29,2419212
"2015-08-10",38.33,39.73,38.15,39.72,2997947
"2015-08-17",37.1,37.21,36.58,37.18,2961294
"2015-08-24",31.88,33.49,31.59,32.18,7277422
"2015-08-31",35.95,37,35.6,36.83,3039327
"2015-09-14",33.88,34.2,33.31,34.11,2941686
"2015-09-21",34.3,34.54,34.07,34.15,1957999
"2015-09-28",30.92,30.96,30.15,30.48,7953889
"2015-10-05",33.08,33.99,33,33.7,3504062
"2015-10-12",37.73,37.79,36.97,37.06,2594985
"2015-10-19",35.38,35.5,35.08,35.23,2118963
"2015-10-26",35.99,35.99,35.3,35.32,1184869
"2015-11-02",32.56,32.84,32.31,32.75,1842051
"2015-11-09",30.29,30.52,29.56,29.94,4237476
"2015-11-16",28.45,28.79,28.06,28.66,3012534
"2015-11-23",28.7,28.82,28.27,28.43,4141187
"2015-11-30",25.99,26.77,25.91,26.68,5128348
"2015-12-07",25.86,25.92,25.4,25.51,4307223
"2015-12-14",23.58,23.8,23.21,23.67,6586921
"2015-12-21",24.54,24.63,24.03,24.28,5319574
"2015-12-28",25.94,26,25.6,25.82,3519309
"2016-01-04",25.07,25.5,24.75,25.48,5040510
"2016-01-11",22.14,22.27,21.08,21.4,5898036
"2016-01-25",21.24,21.35,20.73,20.75,3710011
"2016-02-01",21.81,21.82,21.29,21.73,3316790
"2016-02-08",22.41,22.84,22.29,22.71,3660885
"2016-02-22",24.94,25.54,24.77,25.29,5069231
"2016-02-29",22.97,23.15,22.56,22.61,3173476
"2016-03-07",28.09,29.4,28.09,29.17,9225834
"2016-03-14",27.03,27.18,26.51,26.85,4190448
"2016-03-21",27.32,27.71,26.88,27.08,2917050
"2016-03-28",25.77,25.9,25.21,25.69,1719231
"2016-04-04",25.58,25.71,24.62,24.67,3256132
"2016-04-11",25.51,25.91,25.47,25.61,3086211
"2016-04-18",28.83,30,28.74,29.9,4493163
"2016-04-25",30.99,31.07,30.32,30.54,4668057
"2016-05-02",31.66,31.67,30.77,31.17,3998872
"2016-05-09",26.85,26.95,25.99,26.26,5568923
"2016-05-16",27.43,28.1,27.37,27.47,3821852
"2016-05-23",26.4,27.16,26.28,26.95,3650050
"2016-06-06",28.53,29.26,28.49,29.18,5606449
"2016-06-13",26.56,27.13,26.53,26.85,4392052
"2016-06-20",28.29,28.74,28.2,28.37,5568055
"2016-06-27",26.33,26.48,25.75,26.24,8094965
"2016-07-11",29.5,30.21,29.5,29.85,4135071
"2016-07-18",30.21,30.27,29.92,30.25,3912581
"2016-07-25",28.7,28.7,28.02,28.27,2282200
"2016-08-01",29.89,29.93,29.19,29.23,3053780
"2016-08-08",31.37,31.79,31.36,31.48,2724718
"2016-08-15",31.01,31.35,30.94,31.2,2395799
"2016-08-22",31.28,31.69,31.12,31.65,2513583
"2016-08-29",31.77,32.36,31.63,32.21,3491137
"2016-09-12",29.96,31.18,29.82,31.02,4662387
