"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume"
"2011-09-15",21.02,21.2,20.82,21.19,8048547
"2011-09-22",18.74,18.85,18.34,18.64,24933396
"2011-09-29",19.29,19.47,18.74,19.37,10199928
"2011-10-06",18.15,18.67,17.78,18.34,17175821
"2011-10-13",19.11,19.18,18.75,18.84,12715346
"2011-10-20",19.57,20.36,19.4,20.21,13272224
"2011-10-27",21.85,22.57,21.42,21.77,17117724
"2011-11-03",21.32,21.4,20.47,21.33,7922402
"2011-11-10",20.92,20.93,20.28,20.72,8995300
"2011-11-17",19.45,19.61,18.79,18.94,13787538
"2011-12-01",19.48,19.49,18.8,19.1,7143742
"2011-12-08",19.81,19.81,18.96,19.06,9383080
"2011-12-15",18.98,19.14,18.71,18.82,8804894
"2011-12-22",19.66,20.1,19.56,19.98,5540041
"2011-12-29",19.56,20.1,19.5,20.07,5116406
"2012-01-05",20.4,20.96,20.22,20.75,6699982
"2012-01-12",21.61,21.8,21.29,21.76,11680046
"2012-01-19",20.48,20.91,20.39,20.91,11618433
"2012-01-26",20.6,20.63,19.81,20,17355095
"2012-02-02",20.65,21.32,20.6,21.29,11332417
"2012-02-09",22,22.08,21.64,21.78,7355406
"2012-02-16",21.2,21.99,21.12,21.98,8327658
"2012-02-23",21.83,22.08,21.57,22.03,6897086
"2012-03-01",22.22,22.83,22.15,22.48,7956430
"2012-03-08",22.09,22.35,21.98,22.34,5606161
"2012-03-15",23.25,24.33,23.19,24.28,11872738
"2012-03-22",23.85,23.88,23.58,23.7,7238596
"2012-03-29",23.79,23.83,23.39,23.77,8961831
"2012-04-05",24.04,24.13,23.69,23.82,6703896
"2012-04-12",23.5,23.94,23.43,23.94,6229789
"2012-04-19",23.14,23.37,22.64,22.76,10851032
"2012-04-26",23.53,23.72,23.34,23.7,5536385
"2012-05-03",23.85,24.03,23.44,23.48,9282077
"2012-05-10",22.48,22.56,22.16,22.23,7861334
"2012-05-17",20.8,20.84,20.4,20.4,11007913
"2012-05-24",20.54,20.73,20.37,20.73,8424668
"2012-05-31",20.33,20.56,20.07,20.36,8199229
"2012-06-07",20.6,20.71,20.34,20.5,8767492
"2012-06-14",20.61,21.02,20.53,20.9,6965638
"2012-06-21",21.42,21.58,20.84,20.86,6506059
"2012-06-28",20.86,21.08,20.6,21.04,7243801
"2012-07-05",22.2,22.26,21.9,21.97,5207138
"2012-07-12",21.09,21.19,20.93,21.05,5191173
"2012-07-19",21.67,21.82,21.21,21.29,6634810
"2012-07-26",20.84,21.01,20.73,20.94,7230133
"2012-08-02",20.89,21.07,20.42,20.67,7997631
"2012-08-09",22.5,22.65,22.24,22.29,5460769
"2012-08-16",22.24,22.61,22,22.51,8338661
"2012-08-23",22.69,22.76,22.42,22.44,5596154
"2012-08-30",22.34,22.41,22.1,22.3,4250113
"2012-09-06",22.8,23.2,22.72,23.03,5639449
"2012-09-13",22.86,24.95,22.68,23.45,9462103
"2012-09-20",23.2,23.34,23.03,23.15,6293444
"2012-09-27",22.81,22.97,22.57,22.82,4812708
"2012-10-04",22.91,23.38,22.82,23.33,6196509
"2012-10-11",23.41,23.51,23.32,23.39,4531971
"2012-10-18",24.86,25.26,24.59,24.98,9019334
"2012-10-25",24.78,24.92,24.61,24.76,7112334
"2012-11-01",24.82,25.13,24.62,25.1,5219277
"2012-11-08",24.04,24.53,23.99,24.06,6240108
"2012-11-15",23.56,23.79,23.39,23.57,7628492
"2012-11-29",24.34,24.41,24.1,24.24,3588627
"2012-12-06",23.73,23.87,23.59,23.74,5378991
"2012-12-13",24.52,24.8,24.49,24.75,6304478
"2012-12-20",25.91,26.25,25.87,26.2,6224748
"2012-12-27",25.67,25.77,25.2,25.65,5250488
"2013-01-03",26.86,26.86,26.41,26.58,6791046
"2013-01-10",26.88,27,26.65,26.83,9804023
"2013-01-17",25.82,26.58,25.72,26.44,9633284
"2013-01-24",26.81,27.12,26.8,27.01,6880651
"2013-01-31",27.2,27.32,27.08,27.16,5718694
"2013-02-07",27.67,27.86,27.5,27.81,7344238
"2013-02-14",28.1,28.21,28.03,28.1,4819320
"2013-02-21",27.84,27.86,27.2,27.32,4828252
"2013-02-28",27.4,27.5,27.12,27.14,7027014
"2013-03-07",27.82,28.08,27.77,28.01,5109274
"2013-03-14",28.92,29.12,28.82,28.99,4715355
"2013-03-21",28.1,28.22,27.81,27.85,3528263
"2013-03-28",27.92,28.07,27.76,27.99,4985229
"2013-04-04",27.49,27.74,27.39,27.47,6988879
"2013-04-11",28.66,29.02,28.43,28.65,5491189
"2013-04-18",27.28,27.38,26.64,26.7,7224025
"2013-04-25",27.83,28.07,27.69,27.78,5174027
"2013-05-02",27.81,28.16,27.73,27.94,4498388
"2013-05-09",28.39,28.47,28.17,28.18,4233140
"2013-05-16",30.03,30.26,29.74,29.86,5212012
"2013-05-23",29.43,29.82,29.3,29.64,4427209
"2013-05-30",30.17,30.79,30.04,30.55,7036380
"2013-06-06",29.01,29.53,28.68,29.51,6896049
"2013-06-13",28.99,29.5,28.89,29.48,4952592
"2013-06-20",29.38,29.38,28.86,28.97,7826096
"2013-06-27",28.58,28.8,28.38,28.72,5528036
"2013-07-11",29.82,29.88,29.43,29.77,5688369
"2013-07-18",31.01,31.82,30.92,31.47,7815046
"2013-07-25",31.68,31.95,31.49,31.85,4268663
"2013-08-01",31.83,32.25,31.82,32,4996926
"2013-08-08",31.37,31.57,30.96,31.06,3234416
"2013-08-15",30.4,30.48,30.11,30.42,3943643
"2013-08-22",30.38,31.23,30.31,31.02,4484169
"2013-08-29",29.69,30.07,29.59,29.83,3549481
"2013-09-05",30.39,30.8,30.34,30.66,3879606
"2013-09-12",31.2,31.3,31,31.04,3083510
"2013-09-19",31.53,31.57,30.69,31.08,5793572
"2013-09-26",30.53,30.81,30.48,30.59,3464953
"2013-10-03",30.4,30.41,29.72,29.92,6022159
"2013-10-10",30.23,30.81,30.19,30.81,5003189
"2013-10-17",30.45,31.44,30.45,31.33,7459508
"2013-10-24",31.54,31.7,31.47,31.66,4743040
"2013-10-31",31.91,32.13,31.76,31.8,6170563
"2013-11-07",32.43,32.59,31.95,32.01,4939552
"2013-11-14",33.15,33.32,32.9,33.13,3501845
"2013-11-21",33.41,33.77,33.2,33.72,4572055
"2013-12-05",33.13,33.28,33.03,33.13,3538934
"2013-12-12",32.86,33.1,32.81,32.84,5509691
"2013-12-19",33.74,33.97,33.59,33.87,3680087
"2013-12-26",34.43,34.64,34.39,34.56,1854656
"2014-01-02",34.3,35.03,34.3,34.56,3469457
"2014-01-09",34.71,34.83,34.32,34.7,3673748
"2014-01-16",34.14,34.18,33.8,33.92,6851314
"2014-01-23",33.08,33.21,32.84,33.12,8123437
"2014-01-30",32.05,32.59,32.04,32.41,4798070
"2014-02-06",31.01,31.49,30.96,31.47,3671715
"2014-02-13",31.74,32.01,31.68,31.98,3479674
"2014-02-20",31.18,31.28,30.82,31.18,6169761
"2014-02-27",31.4,31.89,31.32,31.87,4527874
"2014-03-06",32.51,32.9,32.47,32.76,3488552
"2014-03-13",33.36,33.47,33,33.17,10375322
"2014-03-20",34.16,35.3,34.1,35.22,10652719
"2014-03-27",35.2,35.46,34.72,35,7890218
"2014-04-03",35.26,35.41,35.02,35.39,3512974
"2014-04-10",34,34.03,33.31,33.33,8247781
"2014-04-17",33.42,33.85,33.37,33.76,3610162
"2014-04-24",34.28,34.33,33.57,33.62,5899537
"2014-05-01",33.92,34.19,33.76,33.95,4622122
"2014-05-08",34.29,34.59,34.15,34.47,5783628
"2014-05-15",34.05,34.05,33.27,33.65,4892896
"2014-05-22",34.39,34.67,34.27,34.57,4075008
"2014-05-29",34.38,34.58,34.33,34.58,2974598
"2014-06-05",34.65,35.07,34.44,34.95,3889709
"2014-06-12",35.25,35.35,35.12,35.31,4665617
"2014-06-19",35.73,35.79,35.37,35.66,8834927
"2014-06-26",35.91,36.19,35.43,35.86,5476201
"2014-07-03",37.85,38.09,37.75,37.93,2739308
"2014-07-10",37.15,37.78,37.12,37.72,5067833
"2014-07-17",37.98,38.24,37.86,38,5608460
"2014-07-24",39.19,39.85,39.15,39.77,6394790
"2014-07-31",39.43,39.54,39.01,39.04,8017446
"2014-08-07",39.49,39.49,38.33,38.42,9337221
"2014-08-14",38.51,38.54,38.27,38.29,6325416
"2014-08-21",38.78,39.25,38.74,39.14,3444520
"2014-08-28",38.96,39.06,38.82,39,2759399
"2014-09-04",39.61,39.91,39.41,39.47,4526649
"2014-09-11",38.97,39.41,38.94,39.37,10344987
"2014-09-18",40.5,40.8,40.24,40.25,9829235
"2014-09-25",39,39.09,38.63,38.65,5376542
"2014-10-02",38.19,38.29,37.78,38.21,3856390
"2014-10-09",38.48,38.49,37.28,37.31,7214469
"2014-10-16",35.3,36.47,35.08,36.16,7112762
"2014-10-23",36.82,36.89,36.41,36.48,5427998
"2014-10-30",37.72,38.16,37.59,37.97,6373064
"2014-11-06",38.77,38.85,38.58,38.77,4853542
"2014-11-13",39.74,39.79,39.18,39.59,4965868
"2014-11-20",39.5,40.03,39.43,39.96,3809235
"2014-12-04",40.26,40.5,40.1,40.38,3025572
"2014-12-11",40.84,41.27,40.49,40.54,8822184
"2014-12-18",40.84,41.11,40.65,41.11,5469596
"2015-01-08",39.45,39.64,39.4,39.61,4795330
"2015-01-15",37.57,37.63,37.09,37.25,5079075
"2015-01-22",37.79,38.74,37.51,38.72,6640271
"2015-01-29",35.76,36.54,35.75,36.44,7654143
"2015-02-05",37.26,38.06,37.26,37.73,4753423
"2015-02-12",39.23,39.56,39.2,39.41,7692370
"2015-02-19",38.88,39.24,38.74,39.12,3484877
"2015-02-26",39.79,39.91,39.24,39.44,5559076
"2015-03-05",39.4,39.45,39.03,39.19,4391336
"2015-03-12",40.38,40.66,39.98,40.44,7295971
"2015-03-19",40.7,40.81,40.09,40.3,6760727
"2015-03-26",39.2,39.94,39.2,39.81,5289487
"2015-04-02",40.22,40.56,40.01,40.55,3555019
"2015-04-09",40.69,40.88,40.47,40.84,2905453
"2015-04-16",41.1,41.16,40.88,41.06,2979989
"2015-04-23",42.51,42.9,42.27,42.58,5304381
"2015-04-30",42.63,42.86,42.19,42.34,4647875
"2015-05-07",42.9,43.44,42.77,43.31,6132978
"2015-05-14",43.47,43.48,43.19,43.37,4573761
"2015-05-21",43.39,43.77,43.35,43.64,4208920
"2015-05-28",43.81,43.99,43.56,43.95,5545198
"2015-06-04",42.82,43.37,42.82,42.96,8572474
"2015-06-11",43.73,44.03,43.68,43.88,5825910
"2015-06-18",43.3,43.36,42.97,43.27,8737095
"2015-06-25",43.41,43.46,42.85,42.85,3055052
"2015-07-02",42.16,42.29,41.59,41.79,4580058
"2015-07-09",41.03,41.3,40.83,40.99,5244584
