"","BP.Open","BP.High","BP.Low","BP.Close","BP.Volume"
"2011-09-15",39.03,39.6,38.89,39.52,14575926
"2011-09-22",35.57,35.87,35.24,35.73,11813593
"2011-09-29",37.21,37.29,36.38,37.01,7979060
"2011-10-06",35.66,36.81,35.43,36.78,12472663
"2011-10-13",38.19,38.94,37.97,38.75,5807270
"2011-10-20",40.81,41.51,40.25,41.32,10185650
"2011-10-27",45.17,45.84,44.76,45.32,13459527
"2011-11-03",43.85,44.14,43.16,44.02,6181503
"2011-11-10",43.18,43.42,42.4,43.1,5666676
"2011-11-17",43,43.33,42.32,42.63,7040503
"2011-12-01",43.18,43.4,42.67,42.75,4940463
"2011-12-08",42.29,42.52,41.97,42.07,5255101
"2011-12-15",41.8,42.15,41.3,41.39,6452691
"2011-12-22",42.37,43.09,42.23,42.96,6356357
"2011-12-29",42.34,42.68,42.25,42.63,2737547
"2012-01-05",44.25,44.42,44.06,44.25,5570640
"2012-01-12",43.91,44.4,43.9,44.2,5863792
"2012-01-19",44.81,44.89,44.53,44.71,7487391
"2012-01-26",44.98,45.11,44.7,44.77,6690161
"2012-02-02",45.26,45.66,45.22,45.53,7513250
"2012-02-09",47.26,47.28,46.66,46.77,8462159
"2012-02-16",46.17,46.71,46.04,46.65,5511703
"2012-02-23",46.75,47.42,46.67,47.27,8537928
"2012-03-01",47.31,47.96,47.31,47.84,6457067
"2012-03-08",47.11,47.25,46.78,47.11,5905363
"2012-03-15",46.6,46.72,46.22,46.69,8729969
"2012-03-22",45.35,45.5,45.14,45.3,6423097
"2012-03-29",43.75,44.4,43.65,44.35,8498131
"2012-04-05",42.75,43.56,42.74,43.37,7831334
"2012-04-12",42.05,43.02,42.05,42.96,5358910
"2012-04-19",42.83,42.97,42.42,42.5,4643438
"2012-04-26",42.58,43.34,42.41,43.29,6147559
"2012-05-03",42.44,42.54,41.84,42.02,5926648
"2012-05-10",39.81,40.12,39.66,39.78,5789555
"2012-05-17",37.8,38.12,37.5,37.5,10983318
"2012-05-24",38.36,38.66,37.89,38.23,5913373
"2012-05-31",37.09,37.14,36.25,36.46,10848516
"2012-06-07",39.29,39.29,38.37,38.48,6398013
"2012-06-14",38.59,39.45,38.59,39.39,10254921
"2012-06-21",39.3,39.52,37.87,37.92,10641955
"2012-06-28",37.95,38.55,37.81,38.53,4139781
"2012-07-05",40.57,40.64,40.25,40.35,4119697
"2012-07-12",40.26,40.41,40.04,40.3,6874564
"2012-07-19",41.78,41.99,41.62,41.86,4747694
"2012-07-26",40.7,41.01,40.54,40.91,6501383
"2012-08-02",40.04,40.47,39.72,39.95,6492877
"2012-08-09",41.89,42.36,41.88,42.22,4882629
"2012-08-16",42.5,42.83,42.38,42.75,3499602
"2012-08-23",42.6,42.6,42.22,42.25,2983584
"2012-08-30",42.06,42.07,41.72,41.91,2500357
"2012-09-06",40.44,41.31,40.44,41.18,4987075
"2012-09-13",42.75,43.74,42.62,43.62,6488660
"2012-09-20",43.07,43.41,42.67,43.29,4772599
"2012-09-27",42.87,43.05,42.65,43.04,3518265
"2012-10-04",41.96,42.58,41.93,42.57,6334270
"2012-10-11",42.2,42.47,42.07,42.12,3280571
"2012-10-18",43.59,43.9,43.02,43.53,15584774
"2012-10-25",41.91,41.99,41.54,41.77,4515319
"2012-11-01",43.21,43.24,42.94,43.02,6093344
"2012-11-08",41.57,41.84,40.8,40.81,7774761
"2012-11-15",40.8,41.06,40.08,40.3,7862425
"2012-11-29",41.42,41.57,41.23,41.3,4694439
"2012-12-06",41.41,41.48,41.12,41.31,3527448
"2012-12-13",41.68,41.75,41.19,41.47,5406902
"2012-12-20",41.99,42.29,41.95,42.23,4841481
"2012-12-27",41.81,41.85,41.28,41.62,4664175
"2013-01-03",42.42,43.33,42.32,43.27,11976950
"2013-01-10",44.47,45.06,44.4,45.01,9527330
"2013-01-17",44.23,44.38,44.11,44.16,4877953
"2013-01-24",44.2,44.36,44.04,44.11,5456867
"2013-01-31",44.86,45,44.38,44.52,4043833
"2013-02-07",43.65,43.84,43,43.16,6262741
"2013-02-14",41.85,42.44,41.8,42.26,11199697
"2013-02-21",40.72,40.91,40.16,40.79,8619882
"2013-02-28",40.67,40.73,40.4,40.4,7756693
"2013-03-07",40.69,40.79,40.62,40.65,6124959
"2013-03-14",40.29,41.03,40.26,41,5507040
"2013-03-21",40.66,41.15,40.61,40.89,5877062
"2013-03-28",42.32,42.41,41.85,42.35,5665203
"2013-04-04",41.45,41.61,41.18,41.28,5969874
"2013-04-11",41.69,41.96,41.57,41.78,4668219
"2013-04-18",40.42,41.29,40.12,41.09,9904031
"2013-04-25",42.44,42.77,42.24,42.28,5946747
"2013-05-02",43.47,43.65,43.31,43.53,5572842
"2013-05-09",43.37,43.59,43.23,43.27,5412828
"2013-05-16",42.7,42.97,42.63,42.75,5290452
"2013-05-23",43.23,43.74,42.96,43.73,5617227
"2013-05-30",43.75,43.78,43.48,43.67,3447505
"2013-06-06",42.94,43.16,42.71,43.15,4507058
"2013-06-13",42.66,43.17,42.64,43.09,3933978
"2013-06-20",42.02,42.1,41.5,41.68,9422115
"2013-06-27",41.59,41.98,41.59,41.78,5059574
"2013-07-11",42.46,42.56,42.23,42.54,7478577
"2013-07-18",42.88,43.01,42.63,42.71,6095881
"2013-07-25",43.46,43.73,43.41,43.69,2758227
"2013-08-01",41.57,41.83,41.51,41.72,6299995
"2013-08-08",41.36,41.45,41.11,41.28,3378800
"2013-08-15",41.1,41.47,41.01,41.27,4346915
"2013-08-22",40.82,40.99,40.75,40.91,2810655
"2013-08-29",41.83,41.91,41.58,41.64,3687904
"2013-09-05",41.39,41.71,41.38,41.55,2334045
"2013-09-12",42.31,42.42,42.05,42.1,4722054
"2013-09-19",42.39,42.43,42.2,42.33,3906021
"2013-09-26",42.53,42.8,42.5,42.66,9690995
"2013-10-03",42.75,42.8,42.32,42.39,10632819
"2013-10-10",41.63,41.97,41.62,41.9,3688379
"2013-10-17",42.85,43,42.79,43,6044119
"2013-10-24",43.75,43.76,43.49,43.58,6862313
"2013-10-31",46.46,46.65,46.22,46.5,19298665
"2013-11-07",46.7,46.71,45.98,46.1,6144592
"2013-11-14",46.32,46.7,46.28,46.58,3950385
"2013-11-21",47.22,47.45,47.15,47.35,3847049
"2013-12-05",46.62,46.71,46.41,46.44,2726246
"2013-12-12",46.33,46.36,45.9,46.17,4336217
"2013-12-19",46.05,46.65,45.99,46.61,4514662
"2013-12-26",47.7,48.07,47.59,47.97,3497026
"2014-01-02",48.43,48.44,47.88,47.98,4741416
