"","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume"
"2011-09-15",69.99,70.89,69.45,70.83,6456034
"2011-09-22",66.67,67,65.35,66,16311567
"2011-09-29",72.31,72.74,70.98,72.71,8929865
"2011-10-06",73.01,73.76,72.12,73.63,7234744
"2011-10-13",74.34,74.62,73.39,74.05,5616790
"2011-10-20",74.39,76,74.23,75.87,6256297
"2011-10-27",79.68,80.58,79.01,79.9,12265398
"2011-11-03",78.16,79,76.77,78.82,6364475
"2011-11-10",76.47,76.51,75.29,75.99,4401535
"2011-11-17",74.72,75.67,73.9,74.3,6269583
"2011-12-01",78.21,78.4,77.38,77.81,4769770
"2011-12-08",77.82,77.99,76.66,76.94,5839762
"2011-12-15",76.24,76.44,74.84,74.9,5346579
"2011-12-22",76.2,76.9,75.82,76.89,4068079
"2011-12-29",76.89,77,76.29,76.9,3128484
"2012-01-05",76.41,77.12,75.86,76.93,4235397
"2012-01-12",78.33,78.5,77.63,78.5,3749337
"2012-01-19",78.98,79.59,78.59,79.59,4609170
"2012-01-26",79.94,80.08,79.04,79.66,5179931
"2012-02-02",78.88,79.04,78.45,78.73,3011144
"2012-02-09",79.66,79.78,78.95,79.2,3696695
"2012-02-16",78.03,78.98,77.98,78.91,4430184
"2012-02-23",78.72,79.41,78.72,79.37,3624305
"2012-03-01",78.64,78.92,78.44,78.78,3898272
"2012-03-08",79.02,79.15,78.44,78.87,3829358
"2012-03-15",80.55,81.37,80.33,81.34,4947014
"2012-03-22",80.81,81.09,80.56,80.93,3295931
"2012-03-29",81.27,81.66,80.75,81.35,3599004
"2012-04-05",80.81,81.28,80.65,80.91,2825917
"2012-04-12",78.91,80.2,78.74,80.06,3655541
"2012-04-19",79.77,80.03,78.75,79.28,4468071
"2012-04-26",79.87,80.58,79.74,80.4,3626180
"2012-05-03",81.25,81.54,81.04,81.26,3576167
"2012-05-10",81.99,82.4,81.61,81.78,4084942
"2012-05-17",80.71,80.93,79.87,79.87,6095353
"2012-05-24",79.79,79.99,79.09,79.8,2585341
"2012-05-31",78.64,79.85,78.28,79.36,4721328
"2012-06-07",80.89,81.25,80.38,80.66,4600078
"2012-06-14",80.91,82,80.74,81.72,5153229
"2012-06-21",82.68,82.8,81.03,81.19,4260652
"2012-06-28",81.26,82.34,81,82.34,3401591
"2012-07-05",83.45,83.7,83.16,83.22,3094081
"2012-07-12",83.42,83.99,83.19,83.54,3992188
"2012-07-19",84.97,85.17,84.21,84.63,2937238
"2012-07-26",84.69,85.17,84.42,84.67,4039228
"2012-08-02",84.02,84.47,83.23,84.08,4197046
"2012-08-09",84.7,85,84.38,84.54,2789048
"2012-08-16",84.79,85.5,84.53,85.22,3315023
"2012-08-23",85.65,85.68,85.12,85.15,2748915
"2012-08-30",84.15,84.35,84,84.01,2706994
"2012-09-06",85.49,86.47,85.41,86.47,4890755
"2012-09-13",86.53,88.6,86.53,88.56,6392576
"2012-09-20",88.25,89.5,87.91,89.33,5709002
"2012-09-27",88.62,88.66,88.07,88.26,3333484
"2012-10-04",89.85,90.51,89.57,90.36,4346000
"2012-10-11",89.55,89.6,88.66,88.71,2304949
"2012-10-18",90.61,90.93,90.3,90.62,4180249
"2012-10-25",87.45,87.45,86.79,87.15,3210892
"2012-11-01",86.64,87.68,86.54,87.68,5321574
"2012-11-08",85.6,86.48,84.51,84.58,5360826
"2012-11-15",85.17,85.75,84.99,85.3,3898364
"2012-11-29",88.51,88.62,87.57,87.97,3738616
"2012-12-06",87.61,87.87,87.19,87.49,3615917
"2012-12-13",89.47,89.82,89.03,89.44,5569558
"2012-12-20",90.3,90.83,90.02,90.69,5745995
"2012-12-27",89.22,89.67,88.76,89.22,4478444
"2013-01-03",93.11,94.34,92.82,93.62,7174550
"2013-01-10",93.78,94.69,93.41,94.65,4683053
"2013-01-17",95.44,95.5,94.84,95.3,3955349
"2013-01-24",96.59,97.73,96.53,97.31,4838161
