"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume"
"2011-09-15",6.56,6.57,6.35,6.57,10235661
"2011-09-22",5.81,5.86,5.55,5.62,25817480
"2011-09-29",6.09,6.27,5.95,6.1,15852640
"2011-10-06",5.68,5.7,5.48,5.64,34968154
"2011-10-13",5.62,5.67,5.51,5.62,26072638
"2011-10-20",5.44,5.58,5.3,5.39,74924747
"2011-10-27",5.55,5.7,5.52,5.61,31159033
"2011-11-03",5.75,5.89,5.69,5.87,18109738
"2011-11-10",5.83,5.94,5.8,5.86,30183794
"2011-11-17",5.56,5.61,5.43,5.46,13959753
"2011-12-01",5.92,6.1,5.86,5.9,19057378
"2011-12-08",5.58,5.62,5.27,5.32,17497414
"2011-12-15",5.14,5.18,5.01,5.11,23202553
"2011-12-22",5.16,5.3,5.14,5.23,22472984
"2011-12-29",5.16,5.35,5.14,5.33,10786851
"2012-01-05",5.27,5.38,5.26,5.34,12840655
"2012-01-12",5.6,5.61,5.41,5.56,11067194
"2012-01-19",5.78,5.96,5.77,5.87,18721352
"2012-01-26",6.19,6.19,5.92,5.96,17520238
"2012-02-02",5.79,5.9,5.62,5.84,37132652
"2012-02-09",5.96,5.96,5.85,5.95,9073220
"2012-02-16",5.9,5.99,5.85,5.97,14902463
"2012-02-23",5.95,5.99,5.9,5.9,10152498
"2012-03-01",6.25,6.25,6.07,6.08,14016713
"2012-03-08",5.78,5.95,5.73,5.93,11867084
"2012-03-15",5.88,6,5.83,6,8352101
"2012-03-22",5.98,6.02,5.91,6,7838515
"2012-03-29",5.99,6.05,5.96,6,9802712
"2012-04-05",5.83,5.91,5.82,5.9,7149418
"2012-04-12",5.74,5.86,5.73,5.82,8494339
"2012-04-19",5.88,5.98,5.8,5.85,47347005
"2012-04-26",6.14,6.23,6.12,6.18,14484147
"2012-05-03",6.28,6.28,6.21,6.22,9374886
"2012-05-10",6.22,6.38,6.19,6.28,21491026
"2012-05-17",6.08,6.11,6.03,6.1,19174896
"2012-05-24",5.91,5.94,5.79,5.91,10044587
"2012-05-31",5.78,5.8,5.66,5.74,9120486
"2012-06-07",5.65,5.75,5.64,5.66,9090480
"2012-06-14",5.72,5.88,5.7,5.8,11687027
"2012-06-21",5.73,5.76,5.6,5.62,11399907
"2012-06-28",5.62,5.65,5.48,5.55,11891287
"2012-07-05",5.77,5.8,5.71,5.72,5967777
"2012-07-12",5.58,5.61,5.52,5.57,7708379
"2012-07-19",5.58,5.6,5.51,5.58,12218237
"2012-07-26",5.2,5.29,4.79,4.97,75284343
"2012-08-02",5.15,5.18,5.1,5.12,12868605
"2012-08-09",5.38,5.5,5.36,5.5,18407348
"2012-08-16",5.53,5.58,5.49,5.51,14705183
"2012-08-23",5.51,5.53,5.37,5.4,10371613
"2012-08-30",5.51,5.53,5.42,5.43,6449904
"2012-09-06",5.55,5.62,5.51,5.55,13140681
"2012-09-13",5.64,5.8,5.59,5.78,8773955
"2012-09-20",5.73,5.82,5.71,5.79,8050883
"2012-09-27",5.64,5.71,5.6,5.66,8741206
"2012-10-04",5.74,5.84,5.69,5.81,7263135
"2012-10-11",5.62,5.74,5.57,5.58,13178209
"2012-10-18",5.5,5.54,5.35,5.4,31549382
"2012-10-25",5.15,5.19,5.07,5.12,10309456
"2012-11-01",5.1,5.24,5.1,5.24,9283829
"2012-11-08",5.16,5.21,5.08,5.08,12358202
"2012-11-15",5.12,5.17,5.09,5.11,8762331
"2012-11-29",5.7,5.77,5.59,5.63,13557754
"2012-12-06",5.59,5.63,5.55,5.59,16045097
"2012-12-13",5.69,5.72,5.61,5.63,11732772
"2012-12-20",5.76,5.84,5.73,5.81,8219460
"2012-12-27",5.69,5.73,5.57,5.7,8082257
"2013-01-03",5.92,5.99,5.81,5.95,12251418
"2013-01-10",6.34,6.34,6.17,6.3,17989330
"2013-01-17",6.47,6.66,6.46,6.61,21646567
"2013-01-24",6.84,6.93,6.72,6.84,30283549
"2013-01-31",7.33,7.53,7.27,7.47,35790102
"2013-02-07",7.67,7.71,7.59,7.64,22258467
"2013-02-14",7.4,7.62,7.36,7.53,24557444
"2013-02-21",7.26,7.35,7.16,7.26,21821651
"2013-02-28",7.31,7.44,7.29,7.39,16266876
"2013-03-07",7.53,7.6,7.42,7.43,11565501
"2013-03-14",7.58,7.58,7.48,7.52,8545466
"2013-03-21",7.41,7.49,7.34,7.37,15274225
"2013-03-28",7.65,7.85,7.6,7.81,49209633
"2013-04-04",7.77,7.94,7.72,7.92,19239296
"2013-04-11",7.82,7.91,7.65,7.67,22501103
"2013-04-18",7.27,7.29,7.07,7.09,17825021
"2013-04-25",7.35,7.58,7.29,7.54,44509025
"2013-05-02",7.52,7.68,7.48,7.61,12568902
"2013-05-09",7.87,8.32,7.87,8.3,32392321
"2013-05-16",9.17,9.18,8.96,9.04,36963966
"2013-05-23",9.03,9.2,8.92,9.16,23811358
"2013-05-30",9.18,9.29,9.13,9.27,13489944
"2013-06-06",9,9.2,8.93,9.18,27861798
"2013-06-13",9.39,9.6,9.33,9.58,9989802
"2013-06-20",9.34,9.42,9.07,9.11,16466853
"2013-06-27",9.4,9.45,9.19,9.22,14999510
"2013-07-11",9.35,9.5,9.19,9.46,14516804
"2013-07-18",9.58,9.66,9.53,9.6,15879640
"2013-07-25",10.48,11.11,10.4,10.83,65442508
"2013-08-01",10.96,11.49,10.92,11.15,34327157
"2013-08-08",11.19,11.34,11.16,11.32,12392686
"2013-08-15",11.16,11.21,10.92,11,15249344
"2013-08-22",11.13,11.3,11.1,11.18,7762576
"2013-08-29",10.68,10.85,10.61,10.66,10857357
"2013-09-05",10.96,11.67,10.95,11.57,39529238
"2013-09-12",11.91,12.04,11.83,11.91,31083945
"2013-09-19",11.95,11.98,11.72,11.74,13408852
"2013-09-26",11.45,11.69,11.44,11.67,11577057
"2013-10-03",11.74,11.82,11.5,11.66,10560457
"2013-10-10",11.82,11.91,11.78,11.88,13942499
"2013-10-17",12.36,12.48,12.25,12.38,12414416
"2013-10-24",12.02,12.07,11.16,11.54,44735217
"2013-10-31",11.71,11.83,11.64,11.69,18080728
"2013-11-07",11.91,11.95,11.6,11.64,12958692
"2013-11-14",11.94,11.99,11.88,11.96,5948343
"2013-11-21",11.99,12.05,11.93,11.93,13839541
"2013-12-05",11.26,11.41,11.2,11.34,8939405
"2013-12-12",11.24,11.58,11.13,11.48,23995325
"2013-12-19",11.49,11.63,11.47,11.62,6680969
"2013-12-26",12,12.28,11.91,12.17,9633250
"2014-01-02",12.02,12.02,11.85,11.91,7971602
"2014-01-09",12.68,12.87,12.64,12.78,10029340
"2014-01-16",13.36,13.68,13.31,13.55,20084875
"2014-01-23",13.78,13.88,13.55,13.65,12428146
"2014-01-30",13.31,13.62,13.27,13.56,11052836
"2014-02-06",12.76,12.96,12.73,12.83,13854960
"2014-02-13",12.92,13.08,12.84,13.03,10309839
"2014-02-20",13.06,13.24,13,13.23,7949121
"2014-02-27",13.34,13.41,13.23,13.3,8489797
"2014-03-06",13.45,13.59,13.43,13.55,9379753
"2014-03-13",12.93,12.98,12.61,12.74,23579816
"2014-03-20",13.1,13.18,13.04,13.1,7486964
"2014-03-27",13.21,13.26,12.94,13.21,11154810
