"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume"
"2011-09-15",34.44,35.12,34.15,34.76,2112932
"2011-09-22",29.86,30.89,29.48,30.06,5548098
"2011-09-29",30.62,31.18,29.8,30.77,4921796
"2011-10-06",30.69,32.4,30.49,32.08,4270108
"2011-10-13",34.17,34.92,33.38,34.78,2598322
"2011-10-20",34.74,34.93,33.95,34.71,1994858
"2011-10-27",37.59,38.85,37.1,37.48,4417466
"2011-11-03",37.71,37.96,36.67,37.76,2760204
"2011-11-10",33.27,34,32.87,33.91,3803896
"2011-11-17",32.81,33.08,31.86,32.28,2695660
"2011-12-01",32.69,33.94,32.52,33.54,5145326
"2011-12-08",34.54,34.91,34.02,34.13,2880682
"2011-12-15",30.72,31.85,30.66,31.46,4903720
"2011-12-22",32.3,32.58,32,32.34,2092114
"2011-12-29",31.86,32.32,31.77,31.94,1557766
"2012-01-05",32.73,33.34,32.34,33.05,6087202
"2012-01-12",36.45,37.17,36,36.98,3004450
"2012-01-19",37.2,37.92,36.41,37.65,3488188
"2012-01-26",38.5,38.74,37.54,37.69,2410898
"2012-02-02",37.8,38.34,37.68,37.94,1947040
"2012-02-09",38.68,38.72,38.03,38.72,1807256
"2012-02-16",40.18,41.05,39.82,40.96,3416768
"2012-02-23",40.24,40.4,39.7,40.38,1937804
"2012-03-01",41.52,42.24,41.4,42.1,2453076
"2012-03-08",40.64,41.54,40.56,41.17,2161680
"2012-03-15",43.24,43.52,42.94,43.52,1647852
"2012-03-22",41.68,41.88,41.14,41.66,1934092
"2012-03-29",41.74,42.04,41.5,41.98,1681600
"2012-04-05",41.83,42.34,41.58,42.18,2172162
"2012-04-12",40.9,41.88,40.8,41.84,2296570
"2012-04-19",41.8,42.08,40.65,40.72,2445646
"2012-04-26",40.01,40.4,39.04,40,6980802
"2012-05-03",40.8,40.87,39.74,39.86,3425142
"2012-05-10",39.04,39.23,38.56,38.64,2326546
"2012-05-17",37.58,37.88,36.84,36.85,4411220
"2012-05-24",38.6,38.6,37.41,37.89,3246216
"2012-05-31",36.39,36.44,35.15,35.88,3212744
"2012-06-07",34.22,34.4,33.54,33.63,2694272
"2012-06-14",32.54,32.54,31.31,31.58,5163574
"2012-06-21",33.92,34.38,32.67,32.72,3420880
"2012-06-28",31.86,32.4,31.86,32.26,2286732
