"","C.Open","C.High","C.Low","C.Close","C.Volume"
"2011-09-15",27.92,28.6,27.56,28.59,40745471
"2011-09-22",24.57,24.99,23.19,23.96,86914368
"2011-09-29",26.83,27.24,25.92,26.9,44445872
"2011-10-06",24.72,26.22,24.28,26.02,69855656
"2011-10-13",28.53,28.64,27.25,27.64,63361647
"2011-10-20",29.38,30.2,28.7,30.08,52473897
"2011-10-27",33.37,34.4,32.71,33.77,104715772
"2011-11-03",30.63,31.1,29.29,30.78,63378589
"2011-11-10",29.76,29.76,28.22,28.63,54183716
"2011-11-17",27.02,27.02,25.8,26,60160596
"2011-12-01",27.08,27.23,26.6,26.99,41866646
"2011-12-08",29.28,29.35,27.41,27.75,80314500
"2011-12-15",26.62,26.9,25.88,25.92,44899113
"2011-12-22",26.5,27.94,26.43,27.65,64529612
"2011-12-29",26.2,26.81,26.13,26.76,28022280
"2012-01-05",27.66,29.18,27.47,28.51,66793273
"2012-01-12",31.85,32.09,30.86,31.6,58234020
"2012-01-19",29.79,30.04,29.1,29.33,63977119
"2012-01-26",30.41,30.95,29.54,30.38,50455445
"2012-02-02",31.65,32.34,31.34,31.99,41331112
"2012-02-09",34.64,34.74,33.6,33.66,54651358
"2012-02-16",31.43,32.72,31.07,32.71,51931946
"2012-02-23",32.4,32.92,32.08,32.71,34682082
"2012-03-01",33.52,34.45,33.52,34.13,47855525
"2012-03-08",33.68,34.02,33.21,34,35951308
"2012-03-15",35.47,36.59,35.08,36.27,61560009
"2012-03-22",37.28,37.5,36.55,36.9,51433603
"2012-03-29",36.63,36.78,35.93,36.51,32693309
"2012-04-05",34.73,35.28,34.53,34.79,31472303
"2012-04-12",33.8,34.87,33.61,34.62,36908678
"2012-04-19",35.44,35.5,34.46,34.85,40309776
"2012-04-26",33.42,34.14,33.35,33.88,28829617
"2012-05-03",32.78,32.91,32.21,32.48,31713926
"2012-05-10",31.1,31.45,30.46,30.65,36925654
"2012-05-17",26.97,27.4,26.33,26.41,68420691
"2012-05-24",27.26,27.43,26.31,26.66,40744704
"2012-05-31",26.2,26.78,25.86,26.51,37232462
"2012-06-07",27.77,27.95,26.68,26.91,44154555
"2012-06-14",27.76,28.16,27.57,27.91,45508798
"2012-06-21",28.88,29.2,27.76,27.83,39787197
"2012-06-28",26.46,26.74,25.62,26.39,68262255
"2012-07-05",27.52,27.62,26.7,26.84,31836215
"2012-07-12",25.61,25.65,25.15,25.28,36919135
"2012-07-19",27.16,27.35,26.45,26.59,33200719
"2012-07-26",26.47,26.52,26,26.28,29947833
"2012-08-02",26.24,26.64,26,26.18,31943149
"2012-08-09",28.8,28.98,28.62,28.86,17525503
"2012-08-16",28.76,28.94,28.31,28.82,21644455
"2012-08-23",30.46,30.6,29.45,29.58,31208372
"2012-08-30",29.73,29.79,29.36,29.65,21811428
"2012-09-06",29.9,31.15,29.88,31.12,59369669
"2012-09-13",32.97,34.5,32.64,34.45,62548616
"2012-09-20",33.56,33.99,33.26,33.81,31842873
"2012-09-27",32.84,33.33,32.56,32.97,32075155
