"","CA.Open","CA.High","CA.Low","CA.Close","CA.Volume"
"2011-09-15",21.17,21.3,20.96,21.26,3644701
"2011-09-22",20.16,20.44,19.61,19.87,6960005
"2011-09-29",20.41,20.64,19.68,20.03,4836227
"2011-10-06",20.29,20.75,20.14,20.72,4553701
"2011-10-13",21.18,21.53,21.01,21.46,4609365
"2011-10-20",21.47,21.58,20.98,21.33,3073384
"2011-10-27",22.06,22.37,21.34,22.15,7449310
"2011-11-03",21.38,21.82,21.14,21.8,3389369
"2011-11-10",21.46,21.54,21.09,21.34,4011437
"2011-11-17",21.14,21.2,20.42,20.53,4024325
"2011-12-01",21.25,21.38,21.12,21.2,2424814
"2011-12-08",21.35,21.51,20.94,20.98,2784219
"2011-12-15",20.33,20.4,19.94,20.08,4936569
"2011-12-22",20.11,20.28,20.05,20.25,3264785
"2011-12-29",20.05,20.27,20.04,20.16,1514614
"2012-01-05",20.12,20.42,20,20.31,2169464
"2012-01-12",21.89,22.01,21.7,21.82,6275178
"2012-01-19",22.16,22.35,22,22.28,2968044
"2012-01-26",25.09,25.62,25.02,25.21,9565861
"2012-02-02",26.2,26.61,26.03,26.3,4372131
"2012-02-09",26.71,27.13,26.71,27.13,4470091
"2012-02-16",27,27.34,26.98,27.24,4793232
"2012-02-23",26.94,27.15,26.77,26.92,3859591
"2012-03-01",27.14,27.29,26.92,27.15,3700031
"2012-03-08",26.85,26.95,26.69,26.76,2712001
"2012-03-15",27.25,27.59,27.2,27.57,3210742
"2012-03-22",26.89,27.14,26.83,27.1,3082202
"2012-03-29",27.66,27.8,27.37,27.67,3692904
"2012-04-05",27.04,27.29,27.04,27.26,2585479
"2012-04-12",26.48,26.79,26.41,26.69,2496208
"2012-04-19",26.63,27.01,26.36,26.53,3375668
"2012-04-26",26.52,26.84,26.41,26.68,3438843
"2012-05-03",26.83,26.93,26.66,26.77,4924088
"2012-05-10",26.45,26.54,26.1,26.41,23937537
"2012-05-17",25.79,25.95,25.64,25.65,4637571
"2012-05-24",25.31,25.38,24.97,25.16,10790871
"2012-05-31",25.14,25.14,24.76,24.87,8404366
"2012-06-07",25.97,25.98,25.51,25.53,5024130
"2012-06-14",25.49,25.89,25.19,25.82,4742499
"2012-06-21",26.61,26.62,26,26.01,3851316
"2012-06-28",26.31,26.33,25.63,25.92,3939116
"2012-07-05",27.13,27.2,26.93,27,2525778
