"","CAG.Open","CAG.High","CAG.Low","CAG.Close","CAG.Volume"
"2011-09-15",23.3,23.76,23.08,23.63,7936783
"2011-09-22",22.47,23.76,22.39,23.65,10137903
"2011-09-29",24.33,24.47,24.12,24.36,10657080
"2011-10-06",24.48,24.97,24.39,24.97,3986253
"2011-10-13",25.59,25.75,25.41,25.5,2535117
"2011-10-20",25.46,25.55,25.2,25.43,10410624
"2011-10-27",25.26,25.51,25.03,25.38,4197205
"2011-11-03",25.35,25.47,25.2,25.27,5586288
"2011-11-10",25.29,25.49,25.11,25.33,2205503
"2011-11-17",24.69,24.73,24.2,24.31,4275124
"2011-12-01",25.28,25.41,25.13,25.2,2722155
"2011-12-08",25.31,25.67,25.31,25.37,2575777
"2011-12-15",25.48,25.66,25.45,25.55,5594537
"2011-12-22",26.46,26.5,26.28,26.37,2973135
"2011-12-29",26.46,26.65,26.43,26.62,2042988
"2012-01-05",26.46,26.63,26.39,26.49,3405516
"2012-01-12",26.99,27.04,26.86,26.99,2843859
"2012-01-19",27.19,27.25,26.98,27.18,2936894
"2012-01-26",27.21,27.34,26.93,27.04,2621125
"2012-02-02",26.81,26.95,26.75,26.91,2419954
"2012-02-09",26.56,26.76,26.51,26.7,2783507
"2012-02-16",26.85,26.85,26.48,26.73,3242734
"2012-02-23",26.16,26.89,26.1,26.82,5450275
"2012-03-01",26.25,26.25,26.03,26.18,3531880
"2012-03-08",26.22,26.26,26.12,26.22,1894604
"2012-03-15",26.35,26.58,26.29,26.58,2016228
"2012-03-22",26.29,26.36,26.03,26.21,3560741
"2012-03-29",26.2,26.39,26.07,26.27,3873932
"2012-04-05",26.58,26.58,26.38,26.44,4878282
"2012-04-12",25.8,25.94,25.63,25.94,11539710
"2012-04-19",26.09,26.17,25.97,26.07,4467910
"2012-04-26",25.65,25.96,25.5,25.9,3842644
"2012-05-03",25.84,25.85,25.66,25.77,3005220
"2012-05-10",25.68,25.77,25.53,25.66,4506964
"2012-05-17",25.79,25.79,25.38,25.38,2895997
"2012-05-24",25.34,25.43,25.11,25.26,5490870
"2012-05-31",25.15,25.24,25,25.15,2650465
"2012-06-07",25,25.11,24.87,24.88,2478485
"2012-06-14",24.85,24.95,24.74,24.85,2625358
"2012-06-21",24.93,25.71,24.88,25.26,11509976
"2012-06-28",25.21,25.53,25.18,25.53,3757110
"2012-07-05",25.81,25.86,25.62,25.77,2833190
"2012-07-12",25.36,25.4,25.17,25.17,3215987
"2012-07-19",24.77,24.81,24.47,24.58,11002295
"2012-07-26",24.02,24.23,23.96,24.09,3639158
"2012-08-02",24.35,24.37,24.06,24.31,3870812
"2012-08-09",24.76,24.76,24.55,24.76,2317931
"2012-08-16",24.66,24.76,24.57,24.66,3312083
"2012-08-23",24.82,24.88,24.65,24.69,3560909
"2012-08-30",25.19,25.21,24.81,24.99,2256247
"2012-09-06",25.58,25.91,25.57,25.86,5311765
"2012-09-13",25.58,26,25.58,25.96,3061868
"2012-09-20",26.93,27.75,26.87,27.24,17141615
"2012-09-27",27.62,27.63,27.35,27.58,3211936
"2012-10-04",27.82,27.93,27.66,27.83,2583852
"2012-10-11",28,28.16,27.76,27.85,2765532
"2012-10-18",28.48,28.79,28.48,28.76,3120403
"2012-10-25",28.04,28.32,27.93,28.32,2772240
"2012-11-01",27.91,28.17,27.8,28.1,3911811
"2012-11-08",27.94,28.09,27.68,27.69,1899749
"2012-11-15",27.57,27.82,27.52,27.7,3593877
"2012-11-29",29.73,29.77,29.4,29.6,4636642
"2012-12-06",29.66,29.73,29.4,29.65,3700560
"2012-12-13",30.35,30.38,30.08,30.17,4776754
"2012-12-20",30.85,31.12,30.02,30.16,5632313
"2012-12-27",29.4,29.53,29.2,29.39,2303711
"2013-01-03",30,30.16,29.99,30.02,2794705
"2013-01-10",30.42,30.65,30.38,30.62,4765633
"2013-01-17",31.25,31.64,31.19,31.51,3810021
"2013-01-24",31.88,32.47,31.88,32.4,4894148
"2013-01-31",32.36,32.92,32.36,32.69,4801987
"2013-02-07",33.17,33.37,32.9,33.28,4547286
"2013-02-14",33.63,33.9,33.59,33.78,4943491
"2013-02-21",33.69,33.8,33.53,33.72,3280695
"2013-02-28",34.12,34.38,34.06,34.11,3508382
"2013-03-07",34.84,34.95,34.62,34.65,2287993
"2013-03-14",35.05,35.13,34.86,35.1,2143964
"2013-03-21",35.6,35.64,34.97,35.13,2913006
"2013-03-28",35.59,35.91,35.47,35.81,2992730
"2013-04-04",34.95,35.16,34.48,34.63,5117045
"2013-04-11",34.6,34.99,34.6,34.81,4614563
"2013-04-18",35.36,35.5,35.22,35.42,3296968
"2013-04-25",35.59,35.89,35.44,35.48,2609104
"2013-05-02",34.97,35.32,34.87,34.89,4486883
"2013-05-09",35.63,35.74,34.96,35.05,3484609
"2013-05-16",36.06,36.2,35.71,35.78,2433595
"2013-05-23",34.96,35.11,34.59,34.73,4251203
"2013-05-30",34.4,34.52,34.26,34.39,1993788
"2013-06-06",33.06,33.16,32.7,33.16,4455878
"2013-06-13",33.81,34.26,33.58,34.19,2315129
"2013-06-20",33.51,33.57,32.8,32.83,4577458
"2013-06-27",34.32,35.54,34.15,35.04,9409457
"2013-07-11",36.24,36.71,36.16,36.62,5056211
"2013-07-18",36.81,37.13,36.72,36.82,2483615
"2013-07-25",36.65,37.03,36.6,36.91,1588245
"2013-08-01",36.49,36.71,36.33,36.57,2415869
"2013-08-08",36.88,36.97,36.59,36.66,2053441
"2013-08-15",35.72,35.73,35.01,35.05,2570757
"2013-08-22",34.45,34.8,34.35,34.59,2098740
"2013-08-29",33.86,34.28,33.72,34.04,3081299
"2013-09-05",33.86,34,33.77,33.82,1677220
"2013-09-12",31.92,31.96,31.7,31.77,8167670
"2013-09-19",31.78,31.84,30.27,30.8,15822316
"2013-09-26",30.5,30.54,30.24,30.48,3369339
"2013-10-03",30.55,30.66,30.33,30.4,4884969
"2013-10-10",30.42,30.8,30.4,30.78,3390235
"2013-10-17",31.09,31.41,31.02,31.33,2448836
"2013-10-24",31.68,31.75,31.38,31.57,2102419
"2013-10-31",32.08,32.22,31.8,31.81,2446501
"2013-11-07",32.97,33,32.27,32.36,3247487
"2013-11-14",32.81,33.18,32.72,33.06,2535883
"2013-11-21",32.24,32.3,32.06,32.18,2732505
"2013-12-05",32.74,32.91,32.47,32.64,1853084
"2013-12-12",32.52,32.53,32,32.15,2827352
"2013-12-19",33.04,33.9,32.85,33.47,9169060
"2013-12-26",33.48,33.58,33.32,33.42,1543105
"2014-01-02",33.66,33.73,33.46,33.57,1904047
"2014-01-09",33.59,33.76,33.37,33.75,2349522
"2014-01-16",33.74,34.08,33.52,34.05,2608060
"2014-01-23",33.49,33.54,33.08,33.26,2617963
"2014-01-30",32,32.15,31.69,31.8,2434552
"2014-02-06",30.8,30.8,30.35,30.7,4731403
"2014-02-13",28.9,29.06,28.8,29,3747144
"2014-02-20",28.94,28.96,28.55,28.56,8794552
"2014-02-27",28.36,28.43,28.09,28.26,4321525
