"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume"
"2011-09-15",86.65,87.69,85.77,86.6,8299900
"2011-09-22",76.29,76.56,72.6,73.9,20951322
"2011-09-29",76.89,77.28,73.2,75.39,10263616
"2011-10-06",74.57,77.19,73.6,77.09,15809945
"2011-10-13",81.22,81.91,80.34,81.44,7953157
"2011-10-20",83.9,85,82.5,84.26,9446535
"2011-10-27",95,97.72,94.61,96.27,13930715
"2011-11-03",95.46,96.35,93.87,96,11160910
"2011-11-10",92.98,93.4,91.2,92.2,7323756
"2011-11-17",95.7,96.06,92.8,93.81,10086082
"2011-12-01",97.23,98,95.76,96.82,7492386
"2011-12-08",94.34,95.53,92.6,92.92,7845327
"2011-12-15",88.79,88.88,87.09,87.7,7646722
"2011-12-22",92.03,92.5,91.02,91.81,4768461
"2011-12-29",89.46,90.86,89.46,90.58,3573450
"2012-01-05",94.84,96.16,93.9,95.52,5558453
"2012-01-12",99.99,102.04,98.66,101.94,10471789
"2012-01-19",104.65,105.76,103.63,105.75,9465221
"2012-01-26",112.21,114,110.53,111.31,18542780
"2012-02-02",110.8,111.02,109.86,110.33,5127310
"2012-02-09",114.39,114.64,112.59,112.83,7566925
"2012-02-16",112.72,114.05,112.39,113.96,5459723
"2012-02-23",115.88,116.45,115,116.2,5066463
"2012-03-01",114.67,115.38,113.01,113.39,7466163
"2012-03-08",109.59,110.56,108.66,110.28,6171558
"2012-03-15",112.88,113.48,111.39,113.45,5317553
"2012-03-22",107.28,107.94,105.7,106.43,9451872
"2012-03-29",103.62,106.27,103.48,106.02,8319240
"2012-04-05",105.71,107.14,105.41,105.87,4578308
"2012-04-12",102.17,106.5,102.13,106.44,8980030
"2012-04-19",109.21,109.77,106.37,107.36,5628466
"2012-04-26",103.97,104.55,103,104.39,7319586
"2012-05-03",102.9,103.38,100.5,100.67,6102138
"2012-05-10",97.15,97.39,95.18,95.44,4981920
"2012-05-17",91.02,91.64,87.6,87.8,12696066
"2012-05-24",92.95,92.96,90.17,91.42,6424141
"2012-05-31",88.42,88.5,86.01,87.62,12373080
"2012-06-07",88.82,89.87,86.92,87.14,7775151
"2012-06-14",85.31,86.25,84.5,85.89,6125104
"2012-06-21",87.09,87.45,84.84,84.98,8581136
"2012-06-28",81.66,82.7,80.96,82.63,9716946
"2012-07-05",86.63,87.56,85.63,86.79,5547722
"2012-07-12",78.98,80.33,78.25,79.64,8743588
"2012-07-19",82.96,83.4,82.05,82.63,5617190
"2012-07-26",83.84,84.65,82.1,83.3,10139011
"2012-08-02",82.46,84.3,82.1,83.12,8097440
"2012-08-09",87.41,88.79,87.25,88.4,6701463
"2012-08-16",87.74,88.83,87.23,88.59,4979566
"2012-08-23",88.64,88.72,87.14,87.63,5469964
"2012-08-30",85.56,85.82,84.46,84.47,5170403
"2012-09-06",83.55,84.93,83.35,84.79,6983110
"2012-09-13",88.63,90.97,88.3,90.68,7846103
"2012-09-20",92.99,92.99,91.25,92.54,7096260
"2012-09-27",87.84,87.95,86.75,86.92,7586147
"2012-10-04",85.52,86.5,85.2,85.96,5077313
"2012-10-11",83.39,83.7,82.25,82.85,7644528
"2012-10-18",86.38,87.53,85.83,86.62,6813805
"2012-10-25",83.39,83.54,82.36,83.53,5984041
"2012-11-01",85.22,87.86,85,87.65,8557112
