"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume"
"2011-09-15",62.18,62.45,61.27,61.83,2013462
"2011-09-22",58.9,60.14,58.76,59.52,3462808
"2011-09-29",61.18,61.73,60.41,61.72,3798723
"2011-10-06",60.75,61.63,60.04,61.57,2480755
"2011-10-13",62.11,62.69,61.65,62.41,1466950
"2011-10-20",65.74,68.18,65.61,67.97,3926690
"2011-10-27",71.51,73.76,70.87,71.76,4597413
"2011-11-03",72.04,72.8,71.22,72.69,2129626
"2011-11-10",70.91,71.12,69.92,70.42,2000404
"2011-11-17",68.64,68.82,66.66,67.09,3242913
"2011-12-01",69.36,69.48,68.44,68.6,1941363
"2011-12-08",70.24,70.33,68.54,68.68,2034612
"2011-12-15",67.98,67.98,66.83,66.92,2024841
"2011-12-22",69.1,69.97,69.01,69.96,1459924
"2011-12-29",70.03,70.67,70.03,70.57,1260328
"2012-01-05",69.28,69.9,68.64,69.86,2145164
"2012-01-12",70.02,70.47,69.42,70.09,1407569
"2012-01-19",70.28,71.07,69.81,70.93,2100586
"2012-01-26",71.75,71.79,70.76,71.25,2134046
"2012-02-02",72.67,72.67,72.12,72.48,1857084
"2012-02-09",73.52,73.87,73.27,73.57,1188783
"2012-02-16",73.06,73.43,72.87,73.2,1716351
"2012-02-23",72.87,73.57,72.86,73.35,1377638
"2012-03-01",71.58,72.88,71.58,72.41,1783708
"2012-03-08",71.95,71.95,71.05,71.49,1760061
"2012-03-15",73.15,73.81,72.81,73.37,2090546
"2012-03-22",73.16,73.71,72.65,72.84,1816850
"2012-03-29",72.87,73.19,72.55,73.1,1052322
"2012-04-05",73.11,73.53,72.94,73.18,785395
"2012-04-12",72.09,73.03,71.71,73.02,1207212
"2012-04-19",72.67,74.99,72.67,74.84,3129179
"2012-04-26",75.38,77.03,75.33,76.96,1668705
"2012-05-03",77.35,77.42,76.68,77,1450845
"2012-05-10",75.78,76.46,75.51,75.96,1256920
"2012-05-17",75.23,75.3,73.41,73.42,1739368
"2012-05-24",73.04,73.3,72.25,73.24,1098126
"2012-05-31",71.99,72.81,71.46,72.33,1884492
"2012-06-07",73.17,73.48,72.37,72.55,1854944
"2012-06-14",71.46,72.86,71.43,72.61,1476782
"2012-06-21",73.39,73.63,71.36,71.41,1318112
"2012-06-28",71.33,72.35,70.89,72.3,1204067
"2012-07-05",74.82,74.82,73.49,73.52,1612093
"2012-07-12",69.96,71.9,69.84,71.52,2674211
"2012-07-19",72.14,72.65,71.5,71.64,1806109
"2012-07-26",73.02,73.54,72.12,72.24,1763685
"2012-08-02",72.53,72.94,71.86,72.56,1451929
"2012-08-09",73.17,73.38,72.87,73.12,1296823
"2012-08-16",72.85,73.28,72.63,73.21,898006
"2012-08-23",74.22,74.27,73.88,74.12,1486280
"2012-08-30",73.15,73.75,73.15,73.52,973999
"2012-09-06",74.67,75.13,74.67,75.13,1610174
"2012-09-13",75.44,77.05,75.05,77.04,1932186
"2012-09-20",75.76,76.41,75.25,76.32,1520800
"2012-09-27",75.51,75.67,75.04,75.53,939349
"2012-10-04",77.79,78.35,77.52,77.86,1468276
"2012-10-11",77.82,78.13,77.29,77.95,1073773
"2012-10-18",80.04,82.04,79.8,81.7,3023603
"2012-10-25",79.99,80.64,79.3,80.01,1848619
"2012-11-01",79.05,79.56,77.88,78.33,1961088
"2012-11-08",77.93,78.63,77.54,78.02,1671540
"2012-11-15",76.12,77.4,75.96,76.73,1753435
"2012-11-29",79.22,79.84,78.98,79.62,1133112
"2012-12-06",80.34,80.59,80.08,80.55,1310002
"2012-12-13",80.54,80.69,79.64,79.76,1389256
"2012-12-20",80.9,81.71,80.68,81.64,1298814
"2012-12-27",80.11,80.28,78.8,79.62,1068231
"2013-01-03",81.84,82.29,81.64,82.22,1396106
"2013-01-10",81.03,82.11,80.84,82.04,2347632
"2013-01-17",83.14,83.47,82.71,83.23,962435
"2013-01-24",84.86,85.42,84.7,85.31,1672018
"2013-01-31",84,85.36,84,85.33,3704227
"2013-02-07",85.65,85.82,84.76,85.24,1906440
"2013-02-14",86.13,86.7,86.12,86.44,1201303
"2013-02-21",85.94,86.47,85.72,86.15,2009135
"2013-02-28",85.6,86.16,85.39,85.39,1285467
"2013-03-07",86.68,87,86.56,86.62,874322
"2013-03-14",88.71,89.06,88.59,89.06,951668
"2013-03-21",88.06,88.56,87.61,87.69,843921
"2013-03-28",88.46,89.05,87.98,88.97,1490629
"2013-04-04",88.15,89.2,88.15,89.06,1804508
"2013-04-11",91.21,92.28,91.11,91.91,1531472
"2013-04-18",89.23,89.36,88.14,88.34,1016616
"2013-04-25",89.88,90.03,89.3,89.5,1663826
"2013-05-02",88.5,88.69,88.18,88.65,975332
"2013-05-09",92.2,92.44,91.4,91.78,1903980
"2013-05-16",92.67,93.05,91.91,92.11,1523338
"2013-05-23",89.06,89.73,88.64,89.11,2179132
"2013-05-30",89.46,90.38,89.11,90.1,987950
"2013-06-06",87.81,89.01,87.43,89.01,1518992
"2013-06-13",88.25,89.82,87.82,89.78,1140329
"2013-06-20",87.71,88.08,86.34,86.48,2776617
"2013-06-27",88.77,89.55,88.53,89.52,1671024
"2013-07-11",92.96,92.96,91.88,92.27,1458602
"2013-07-18",94.35,95.26,94.19,95.26,1095686
"2013-07-25",91.56,92.46,91.03,92.43,1448630
"2013-08-01",92.17,92.63,91.96,92.33,850887
"2013-08-08",90.11,90.5,89.57,89.87,1053434
"2013-08-15",89.64,89.99,88.85,89.64,1385301
"2013-08-22",89.28,90.85,89.13,90.6,767226
"2013-08-29",87.86,88.93,87.67,88.26,763420
"2013-09-05",88.18,88.7,88.09,88.19,1094564
"2013-09-12",92.08,92.08,90.9,91.05,1247532
"2013-09-19",94.51,95.48,94.5,95.35,1367547
"2013-09-26",95.2,95.2,94.22,94.67,942085
"2013-10-03",93.71,94,92.17,92.29,1446197
"2013-10-10",91.87,93.19,91.86,93.17,883877
"2013-10-17",95.38,96.99,95.13,96.9,874070
"2013-10-24",96.78,97.08,96.57,96.74,946458
"2013-10-31",96.21,96.32,95.43,95.44,1161727
"2013-11-07",97.55,98,97.3,97.4,2037888
"2013-11-14",97.58,98.37,97.25,98.3,843416
"2013-11-21",98.29,101.88,98.16,101.53,2750130
"2013-12-05",100.64,100.95,99.7,100.09,1080669
"2013-12-12",99.83,100.26,99.47,99.57,1461348
"2013-12-19",99.85,100.42,99.63,100.36,1811209
"2013-12-26",102.16,102.85,101.95,102.69,586196
"2014-01-02",102.78,103.39,101.33,101.7,1112627
"2014-01-09",99.32,99.46,98.15,98.9,2096999
"2014-01-16",97.79,98.16,97.15,97.3,1564859
"2014-01-23",96.24,96.24,94.01,94.18,2879508
"2014-01-30",94.64,95.37,94.04,95.14,2339284
"2014-02-06",93.39,94.19,93.03,93.49,2986496
"2014-02-13",95,96.2,94.95,96.14,1339866
"2014-02-20",96.6,97.28,95.89,96.78,1579216
"2014-02-27",96.02,96.98,95.96,96.76,1250189
"2014-03-06",97.78,98.57,97.48,98.15,1331091
"2014-03-13",97.93,97.93,97,97.55,2275647
"2014-03-20",97.92,98.58,97.42,98.41,1861784
"2014-03-27",97.57,97.82,97.14,97.59,1575294
"2014-04-03",99.05,99.48,98.69,98.98,1419454
"2014-04-10",99.2,99.72,98.59,98.59,1566780
"2014-04-17",101.26,102.03,100.89,100.94,1008639
"2014-04-24",101.82,102.15,101.41,102.12,1338766
"2014-05-01",102.17,102.75,101.79,102.01,1533097
"2014-05-08",102.92,103.3,102.07,102.12,1407452
"2014-05-15",102.33,102.65,101.78,102.29,1083911
"2014-05-22",103.22,103.45,102.86,102.94,667557
"2014-05-29",103.29,103.75,102.79,103.55,856303
"2014-06-05",104.48,104.54,103.83,104.51,1080488
"2014-06-12",104.28,104.67,103.67,103.75,744984
"2014-06-19",104.79,105.58,104.59,105.32,940868
"2014-06-26",104.28,104.28,103.23,103.4,805518
"2014-07-03",104.76,105.18,104.52,105.15,440728
"2014-07-10",103.37,104.27,103.37,104.26,1150697
"2014-07-17",104.36,104.97,103.27,103.3,836536
"2014-07-24",104.62,105.03,104.2,104.79,1221890
"2014-07-31",101.44,101.81,100.07,100.1,2102345
"2014-08-07",100.54,100.54,99.69,99.98,2287637
"2014-08-14",102.45,103.31,102.22,103.28,771044
"2014-08-21",104.59,105.48,104.21,105.3,855195
"2014-08-28",105.56,106.4,105.45,106.12,926254
"2014-09-04",106.77,107.1,105.78,105.85,1138830
"2014-09-11",105.26,105.85,105.16,105.44,776607
"2014-09-18",106.47,107.6,106.23,107.39,1246805
"2014-09-25",105.88,106.28,105.26,105.5,1167565
"2014-10-02",103.92,105.1,103.52,104.63,1208076
"2014-10-09",106.55,107.11,104.89,104.92,1683915
"2014-10-16",101.15,103.38,101.15,102.92,1823317
"2014-10-23",106.85,106.88,105.1,105.4,2040263
"2014-10-30",108.37,109.62,107.98,108.96,1053038
"2014-11-06",110.5,110.8,110.04,110.73,781129
"2014-11-13",111.17,111.33,110.29,110.65,1265571
"2014-11-20",111.44,112.93,111.44,112.68,1379213
"2014-12-04",116.08,116.38,115.53,116.13,1343691
"2014-12-11",115.36,116.22,114.84,115.09,1463410
"2014-12-18",113.67,114.54,113.23,114.54,1632926
"2015-01-08",113.99,115.25,113.8,115,1348786
