"","CBS.Open","CBS.High","CBS.Low","CBS.Close","CBS.Volume"
"2011-09-15",23.61,23.91,23.2,23.89,7509374
"2011-09-22",21.69,21.98,20.49,21.1,18178604
"2011-09-29",21.72,21.72,20.25,20.97,17298328
"2011-10-06",20.85,21.71,20.37,21.69,10015794
"2011-10-13",23.21,23.57,22.68,23.5,7083920
"2011-10-20",23.35,24.15,23.01,24.06,7544573
"2011-10-27",26.37,26.77,25.85,26.69,12814681
"2011-11-03",25.32,25.41,23.93,24.52,14951416
"2011-11-10",24.86,25.14,24.38,25.06,9403785
"2011-11-17",25.04,25.12,24.3,24.75,13186018
"2011-12-01",26.12,26.15,25.35,25.42,7865123
"2011-12-08",26.25,26.27,25.56,25.64,6672388
"2011-12-15",25.25,25.3,24.66,24.72,8665207
"2011-12-22",26.16,26.5,25.83,26.45,4786566
"2011-12-29",27.05,27.32,26.91,27.24,3150347
"2012-01-05",27.67,28.13,27.33,27.97,4316349
"2012-01-12",28.22,28.31,27.78,28.08,4765302
"2012-01-19",28.31,28.85,28.21,28.83,4839805
"2012-01-26",28.97,29.18,28.59,28.72,5892468
"2012-02-02",28.72,29.32,28.24,29.1,8832771
"2012-02-09",29.7,29.88,29.18,29.77,5736473
"2012-02-16",28.35,29.47,28.22,29.3,14017646
"2012-02-23",29.55,29.61,29.27,29.44,7254970
"2012-03-01",29.95,30.55,29.82,30.35,9151297
"2012-03-08",29.93,30.67,29.91,30.54,8755736
"2012-03-15",31.43,31.6,31.09,31.52,6885889
"2012-03-22",31.26,31.52,31.16,31.43,4594873
"2012-03-29",32,32.91,31.93,32.83,7633525
"2012-04-05",32.94,33.45,32.79,33.33,7203243
"2012-04-12",31.66,32.21,31.4,32.18,8680827
"2012-04-19",33.05,33.4,32.76,33.28,10225512
"2012-04-26",33.29,34.2,33.15,34.13,6639856
"2012-05-03",34.17,34.47,33.77,34.06,5142561
"2012-05-10",33.21,33.58,32.94,33.03,9100644
"2012-05-17",31.79,31.83,29.98,30.02,15812611
"2012-05-24",31.6,31.94,31.36,31.63,4807958
"2012-05-31",31.51,32.26,30.97,31.92,7279636
"2012-06-07",32.38,32.67,31.66,31.74,5037075
"2012-06-14",31.63,31.84,31.3,31.73,5702766
"2012-06-21",32.23,32.39,31.65,31.74,8583970
"2012-06-28",31.84,31.85,31.44,31.76,6939376
"2012-07-05",32.67,32.88,32.42,32.58,3326666
"2012-07-12",30.62,30.87,29.85,30.61,11532506
"2012-07-19",31.6,32.05,31.45,31.76,5504648
"2012-07-26",31.73,32.74,31.59,32.63,7179511
"2012-08-02",32.82,33.63,32.66,33.04,7429561
"2012-08-09",35.61,35.83,35.45,35.57,4699010
"2012-08-16",36.05,36.25,35.92,36.04,5119894
"2012-08-23",36.11,36.29,35.87,35.96,4818702
"2012-08-30",36.03,36.26,35.75,36,3683334
"2012-09-06",35.91,36.73,35.87,36.71,5310668
"2012-09-13",36.13,37.1,35.9,36.95,7719714
"2012-09-20",36.9,37.15,36.55,36.7,7697039
"2012-09-27",35.72,36.29,35.64,35.96,6112998
"2012-10-04",35.07,36.07,35,36,10496714
"2012-10-11",34.84,34.84,33.42,33.83,11684115
"2012-10-18",34.34,34.53,34,34.06,6032606
"2012-10-25",33.37,33.59,32.7,33.28,6457566
"2012-11-01",32.56,33.47,32.53,33.45,7625470
"2012-11-08",35.37,35.63,34.19,34.36,12881659
"2012-11-15",33.39,33.87,33.23,33.38,6342789
"2012-11-29",35.57,35.9,35.21,35.5,6305424
"2012-12-06",35.46,35.81,35.3,35.65,4715664
"2012-12-13",36.06,36.18,35.15,35.46,4871234
"2012-12-20",36.78,37.63,36.55,37.52,10041226
"2012-12-27",37.27,37.52,36.7,37.28,4750093
"2013-01-03",39.28,39.45,38.93,39.06,8486011
"2013-01-10",38.33,38.64,38.06,38.54,6332973
"2013-01-17",41.58,42.55,40.94,40.95,35081500
"2013-01-24",42.27,43.14,41.65,41.98,7957756
"2013-01-31",42.05,42.05,41.53,41.72,4836296
"2013-02-07",41.84,42.48,41.33,42.45,8756609
"2013-02-14",42.43,43.1,42.2,42.94,9128629
"2013-02-21",43.6,43.85,43.23,43.41,6876233
"2013-02-28",43.61,43.68,42.87,43.39,10477740
"2013-03-07",44.51,45.64,44.48,44.98,8036600
"2013-03-14",46.33,47.42,46.21,46.95,9221910
"2013-03-21",45.86,46.46,45.76,45.89,6177443
"2013-03-28",46.35,46.8,46.12,46.69,5958366
"2013-04-04",44.77,45.52,44.73,44.92,6933476
"2013-04-11",46.52,46.96,46.24,46.3,4563852
"2013-04-18",45.43,45.73,44.52,44.71,6696715
"2013-04-25",46.11,46.38,45.75,45.97,6974277
"2013-05-02",47.02,48.3,46.81,47.35,10445637
"2013-05-09",46.94,47.2,46.74,46.9,4401712
"2013-05-16",50.33,50.66,49.56,49.56,7089373
"2013-05-23",50.63,51.29,50.01,51.06,4752354
"2013-05-30",50.56,51.27,50.26,50.3,4710170
"2013-06-06",48.24,48.86,47.69,48.84,5713120
"2013-06-13",46.05,47.5,45.77,47.36,9505580
"2013-06-20",48,48.07,46.75,46.93,6302912
"2013-06-27",48.66,49.15,48.56,48.8,2767183
"2013-07-11",52.12,52.19,51.16,51.41,4803895
"2013-07-18",52.9,53.84,52.88,53.54,3493363
"2013-07-25",52.4,52.63,51.93,52.49,2324336
"2013-08-01",54.24,55.58,53.96,54.88,8659133
"2013-08-08",54.1,54.47,53.8,54.04,3025168
"2013-08-15",52.47,52.48,51.51,51.97,5643022
"2013-08-22",51.74,53.06,51.55,52.74,4423705
"2013-08-29",51.27,52.36,51.1,51.57,3507832
"2013-09-05",54.48,54.8,53.83,53.94,3390051
"2013-09-12",54.51,55.67,54.37,55.26,4868597
"2013-09-19",57.08,57.47,56.41,56.57,3456489
"2013-09-26",55.53,56.05,55.29,55.56,4600259
"2013-10-03",55.23,55.6,54.8,54.98,2952966
"2013-10-10",54.32,55.78,54.08,55.76,4318492
"2013-10-17",57.39,58.57,57.31,58.44,4529935
"2013-10-24",59.45,59.9,59.23,59.6,2843286
"2013-10-31",58.64,59.63,58.41,59.14,3870154
"2013-11-07",58.74,59.32,56.86,56.91,11669273
"2013-11-14",60,61.08,59.92,60.84,5630640
"2013-11-21",58.59,58.85,58.16,58.41,4967356
"2013-12-05",58,58.43,57.74,58.26,3520646
"2013-12-12",58.25,58.6,57.84,58.17,3485400
"2013-12-19",59.56,60.85,59.56,60.72,4903557
"2013-12-26",62.06,63.14,61.74,63,3886393
"2014-01-02",63.25,63.73,62.41,63.25,6722968
"2014-01-09",63,63.09,61.38,62.49,3565468
"2014-01-16",61.02,61.31,60.58,60.8,3943877
"2014-01-23",60.1,60.5,59.16,59.7,4422318
"2014-01-30",59,60.17,58.66,59.17,7782567
"2014-02-06",59.18,61.04,58.79,60.29,6706856
"2014-02-13",63.91,64.9,63.43,64.61,12806269
"2014-02-20",65.95,66.08,64.66,65.91,6616982
"2014-02-27",65.38,66.54,65.17,66.4,4732527
"2014-03-06",67.58,67.72,67.21,67.55,3757479
"2014-03-13",66.3,66.59,64.69,64.96,5670962
"2014-03-20",65.77,66.5,65.5,66.17,3249350
"2014-03-27",62,62,60.76,61.47,10087474
"2014-04-03",63.53,63.71,62.2,62.62,6164852
"2014-04-10",62.28,62.39,59.88,59.98,9617966
"2014-04-17",59.99,60.74,58.99,60.64,7946914
"2014-04-24",58.72,59.02,58.11,58.27,8029793
"2014-05-01",57.85,58.14,57.33,57.48,4688818
"2014-05-08",56.65,58.41,56.4,58.01,9025246
"2014-05-15",56.15,56.42,55.51,56.39,10271155
