"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume"
"2011-09-15",30.46,30.58,29.92,30.16,8327176
"2011-09-22",30.93,31.84,30.52,31.77,14468878
"2011-09-29",31.6,31.67,30.92,31.46,6657572
"2011-10-06",31.9,31.9,31.32,31.68,8628084
"2011-10-13",32.6,33.4,32.41,33.18,4794528
"2011-10-20",32.76,33.48,32.52,32.98,5266296
"2011-10-27",32.86,33.42,32.24,32.64,15220620
"2011-11-03",31.82,32.25,31.82,32.07,6276792
"2011-11-10",32.42,32.49,31.72,32.16,6547968
"2011-11-17",32.59,32.65,31.47,32.33,8320054
"2011-12-01",31.58,31.6,31.06,31.38,6302214
"2011-12-08",31.2,31.36,30.57,30.64,4999370
"2011-12-15",31.75,31.8,31.49,31.55,6271548
"2011-12-22",33.46,33.55,33.23,33.54,3777282
"2011-12-29",33.51,33.82,33.42,33.78,3097234
"2012-01-05",33.98,34.63,33.84,34.26,6672964
"2012-01-12",36.11,36.74,35.61,36.6,10843006
"2012-01-19",36.42,36.46,36,36.1,6365540
"2012-01-26",36.98,37.32,36.17,36.33,7985804
"2012-02-02",36.87,37.29,36.76,37.08,4029988
"2012-02-09",36.58,36.6,35.96,36,8117756
"2012-02-16",37.27,37.87,37.23,37.75,5297908
"2012-02-23",37.28,37.63,37.04,37.46,4444126
"2012-03-01",36.78,37.12,36.65,36.96,4227484
"2012-03-08",36.46,37.26,36.36,37.12,4816602
"2012-03-15",38.02,38.2,37.76,38.06,4157130
"2012-03-22",37.7,38.19,37.52,38.08,4994274
"2012-03-29",38.77,39.1,38.61,38.76,4133520
"2012-04-05",39.44,39.84,39.26,39.82,5094002
"2012-04-12",39.36,39.54,39.18,39.29,3119882
"2012-04-19",39.38,40.06,39.14,39.3,5522612
"2012-04-26",37.37,37.99,36.18,36.46,21030192
"2012-05-03",36.11,36.13,35.54,35.7,6894126
"2012-05-10",35.46,35.66,35.22,35.32,5949656
"2012-05-17",35.24,35.5,34.54,34.54,6865866
"2012-05-24",34.5,34.96,34.15,34.96,6229826
"2012-05-31",34.37,34.62,34.06,34.12,6610744
"2012-06-07",33,33.09,32.48,32.54,4469962
"2012-06-14",31.81,33.02,31.8,32.96,7027136
"2012-06-21",29.74,30.45,29.26,29.72,46802020
"2012-06-28",31.52,31.54,30.68,31.02,7957846
"2012-07-05",32.83,33,32.34,32.66,4128380
"2012-07-12",31.28,31.68,30.94,31.48,9378846
"2012-07-19",33.72,34.04,33.46,33.99,5793846
"2012-07-26",33.74,34.4,32.76,33.74,10398926
"2012-08-02",33.98,34.19,33.44,34.1,8637412
"2012-08-09",35.75,35.98,35.42,35.62,3882522
"2012-08-16",35.39,35.5,35,35.12,9662106
"2012-08-23",35.66,35.8,35.33,35.74,3842994
"2012-08-30",35.58,35.79,35.21,35.42,2326692
"2012-09-06",36.02,37.3,36.02,37.24,9214358
