"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume"
"2011-09-15",34.47,34.54,33.3,33.7,4255148
"2011-09-22",33.6,34.68,33.36,34.3,3197416
"2011-09-29",35.8,36.14,34.26,35.24,2666568
"2011-10-06",34.02,34.07,33.02,33.5,2673466
"2011-10-13",33.84,34.52,33.84,34.42,3586302
"2011-10-20",32.72,33.14,32.38,32.85,2668178
"2011-10-27",33.6,33.93,31.36,32.74,8305748
"2011-11-03",31.46,32,31.16,31.95,2514000
"2011-11-10",32.04,32.5,31.66,32.06,2853026
"2011-11-17",31,31.07,29.85,30,3571040
"2011-12-01",30.62,31.15,30.41,31.06,2698440
"2011-12-08",30.08,30.1,29.6,29.66,1645194
"2011-12-15",28.57,28.78,27.84,27.88,4362780
"2011-12-22",29.93,30.02,29.62,29.96,1743114
"2011-12-29",30.78,30.99,30.68,30.9,897436
"2012-01-05",30.9,31.28,30.66,31.22,2442726
"2012-01-12",31.63,31.74,30.86,31,1739698
"2012-01-19",30.56,30.82,30.51,30.76,2245492
"2012-01-26",30.48,30.48,29.68,29.89,3189930
"2012-02-02",30.7,30.98,30.53,30.83,1390052
"2012-02-09",35.44,35.5,34.64,34.7,3492026
"2012-02-16",35.12,36.12,35.12,36,2745522
"2012-02-23",36.36,36.8,36.19,36.58,2311378
"2012-03-01",37.2,37.4,37,37.36,2338124
"2012-03-08",37.95,38.27,37.79,38.04,1447954
"2012-03-15",38.08,38.74,37.97,38.69,1372064
"2012-03-22",37.94,38.44,37.65,38.3,1359436
"2012-03-29",37.74,38.21,37.34,38.08,2167640
"2012-04-05",37.54,37.98,37.5,37.94,1255386
"2012-04-12",37.02,37.09,36.74,36.78,1445768
"2012-04-19",37.1,37.44,36.64,37.04,943802
"2012-04-26",36.2,37.36,35.84,36.91,3350204
"2012-05-03",41.44,41.51,40.62,41.04,2914944
"2012-05-10",39.7,40.09,39,39.56,3159368
"2012-05-17",39.58,39.82,38.98,39,2343482
"2012-05-24",39.85,40,39.34,39.68,1941666
"2012-05-31",39.74,39.77,38.88,38.98,3106600
"2012-06-07",39.56,39.63,39.09,39.18,3488270
"2012-06-14",40,40.82,39.96,40.76,2187922
"2012-06-21",41.49,41.79,39.77,39.85,5297654
"2012-06-28",38.59,39.32,38.26,39.02,3409790
"2012-07-05",41.54,41.83,41.16,41.48,2290326
"2012-07-12",40.03,40.09,39.3,39.94,1818002
"2012-07-19",39.34,39.42,38.84,39.07,1648336
"2012-07-26",38.29,39.26,37.88,39.02,5349474
"2012-08-02",35.64,36.42,35.48,36.24,2957106
"2012-08-09",36.28,36.39,35.79,35.85,1856868
"2012-08-16",36.68,37,36.34,36.88,1683134
"2012-08-23",35.74,35.88,35.4,35.52,1867182
"2012-08-30",36.36,36.89,36.32,36.74,2416220
"2012-09-06",36.96,37.64,36.83,37.64,1905826
"2012-09-13",35.8,37,35.5,36.62,2758012
"2012-09-20",36.36,36.98,36.36,36.8,2921856
"2012-09-27",37.1,37.28,36.56,37.25,2385168
"2012-10-04",39.75,39.98,39.5,39.78,2084296
"2012-10-11",37.8,37.9,36.19,36.28,5899506
"2012-10-18",35.82,36.21,35.56,36.06,1653204
"2012-10-25",34.35,34.59,33.82,34.24,2773546
"2012-11-01",38.02,38.72,37.7,38.66,2317008
"2012-11-08",39.72,40.04,38.96,39,2065930
"2012-11-15",37.96,38.22,37.4,38.08,2321782
"2012-11-29",38.93,39.12,38.36,38.64,1231922
"2012-12-06",39.06,39.42,38.94,39.22,1183102
"2012-12-13",39.72,40.05,39.07,39.22,1284130
"2012-12-20",39.76,40.18,39.52,40.09,1289332
"2012-12-27",38.47,38.84,37.63,38.36,1378610
"2013-01-03",40.22,40.39,39.88,40.1,1396964
"2013-01-10",40.7,41.2,40.69,41.1,1894246
"2013-01-17",39.78,40.12,39.46,39.98,2306228
"2013-01-24",41.45,41.92,41.28,41.53,1673538
"2013-01-31",41.3,41.6,41.06,41.28,1458926
"2013-02-07",42.62,43.37,42.62,43.28,3743184
"2013-02-14",43.55,44.14,43.54,43.95,1317310
"2013-02-21",43.4,43.5,42.5,43.08,2200688
"2013-02-28",43.87,44.25,43.72,43.73,1465160
"2013-03-07",45.52,46.14,45.51,45.76,1473072
"2013-03-14",46.45,46.62,46.31,46.5,1766666
"2013-03-21",45.38,45.52,44.97,45.28,1189672
"2013-03-28",46.39,47.46,46.2,47.37,1848134
"2013-04-04",46.4,46.52,46,46.08,1226418
"2013-04-11",47.63,48.12,47.52,47.77,1636284
"2013-04-18",46.36,46.49,45.39,45.6,1160568
"2013-04-25",46.26,46.36,45.4,45.83,2990954
"2013-05-02",47.84,48.63,47.75,48.42,1550448
"2013-05-09",47.24,47.24,46.74,47.02,1294392
"2013-05-16",48.17,48.44,47.86,48.19,1118904
"2013-05-23",47.9,48.55,47.52,48.2,1227548
