"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume"
"2011-09-15",36.04,36.19,34.73,35.08,10790075
"2011-09-22",29.37,30.06,27.7,29.38,22446645
"2011-09-29",29.67,30.1,27.8,28.19,15943570
"2011-10-06",26.54,28.59,26.52,28.55,18806970
"2011-10-13",29.03,29.68,28.44,29.5,8652150
"2011-10-20",28.56,29.55,28.02,29.46,10693380
"2011-10-27",33.46,34.3,32.57,33.23,8541020
"2011-11-03",34.14,35.18,33.16,34.86,9584670
"2011-11-10",33.57,34,32.74,33.83,8393985
"2011-11-17",32.66,32.67,29.31,29.64,30250165
"2011-12-01",28.34,29.65,28,29.4,14084025
"2011-12-08",29.12,29.19,28.2,28.39,8100580
"2011-12-15",26.46,26.49,25.61,26.03,8423585
"2011-12-22",27.82,28.75,27.8,28.55,7461385
"2011-12-29",27.86,28.94,27.8,28.8,6648610
"2012-01-05",31.5,32.28,31.37,31.93,11743565
"2012-01-12",32.48,33.65,31.82,33.26,16278140
"2012-01-19",33.79,34.29,33.47,34.24,10312455
"2012-01-26",36.15,36.73,34.68,34.81,13138015
"2012-02-02",36.8,37.13,36.42,36.46,6901405
"2012-02-09",38.06,38.47,37.08,37.15,12180595
"2012-02-16",35.83,36.16,34.52,35.18,16775405
"2012-02-23",37.12,37.89,36.4,37.46,9543420
"2012-03-01",37.86,37.94,36.98,37.85,8942185
"2012-03-08",35.9,36.7,35.59,36.6,10796765
"2012-03-15",36.45,36.8,36.02,36.23,6131090
"2012-03-22",36.8,37.27,36.16,36.49,7280795
"2012-03-29",36.29,36.45,35.04,35.9,13241220
"2012-04-05",37.46,37.99,37.01,37.33,6170710
"2012-04-12",36.56,38.1,36.47,37.78,8652235
"2012-04-19",37.36,37.68,36.83,37.16,4455525
"2012-04-26",38.25,39.06,37.89,38.6,9908010
"2012-05-03",40.2,40.66,38.96,39.5,11697520
"2012-05-10",35.51,35.55,34.25,34.43,10420440
"2012-05-17",32.36,32.55,30.83,30.85,12876440
"2012-05-24",33.68,34.36,33.04,33.62,9898600
"2012-05-31",34.43,34.56,33.8,34.19,7319505
"2012-06-07",34.48,34.54,33.16,33.27,7133710
"2012-06-14",32.86,33.08,32.38,32.76,4298720
"2012-06-21",35.92,36.05,34.88,35.02,4247570
"2012-06-28",37.38,38.06,37.18,38.01,6864335
"2012-07-05",39.81,40.47,39.45,39.95,6125825
"2012-07-12",38.62,38.96,38.03,38.7,6613960
"2012-07-19",41.19,41.22,40.45,40.73,5324605
"2012-07-26",39.42,39.72,38.44,38.92,6255945
"2012-08-02",38.46,39.32,38.18,38.88,5628075
"2012-08-09",41.28,43.04,41.22,42.57,8577180
"2012-08-16",42.3,43.37,42.12,43.22,6518355
"2012-08-23",42.51,42.6,41.26,41.35,5010900
"2012-08-30",41.44,41.44,40.49,40.71,2829280
"2012-09-06",42,42.67,41.81,42.58,4576015
"2012-09-13",43,44.35,42.62,44.09,6149755
"2012-09-20",44.29,44.35,43.22,43.99,6714505
"2012-09-27",43.58,44.13,43.32,44.02,3730640
"2012-10-04",44.15,44.73,44.02,44.72,3841700
"2012-10-11",43.15,43.99,42.93,42.96,5940170
"2012-10-18",42.97,43.06,42.16,42.32,4021440
"2012-10-25",41.12,41.12,40.31,40.72,4154440
"2012-11-01",41.13,42.2,40.98,42.18,4021130
"2012-11-08",40.51,40.54,38.38,39.15,8141470
"2012-11-15",39.18,39.67,38.62,38.96,5146295
"2012-11-29",42.02,42.95,41.99,42.66,6061480
"2012-12-06",42.38,42.7,41.84,42.34,2652545
"2012-12-13",41.87,41.98,40.24,40.5,8678570
"2012-12-20",41,41.05,40.14,40.86,5220255
"2012-12-27",40.51,40.72,39.8,40.28,3223410
"2013-01-03",41.41,41.86,41.1,41.25,4025210
"2013-01-10",43.21,43.64,42.64,43.49,9967465
"2013-01-17",43.78,43.78,43.36,43.48,3354790
"2013-01-24",44.85,45.61,44.77,45.29,5864400
"2013-01-31",45.78,46.27,45.48,45.83,3784665
"2013-02-07",45.46,45.69,44.84,45.07,3040020
"2013-02-14",43.74,43.83,43.22,43.57,3482780
"2013-02-21",40.64,41.04,39.92,40.79,9965835
"2013-02-28",39.67,40.47,39.53,40.17,6466235
"2013-03-07",40.42,40.72,40.11,40.55,5079195
"2013-03-14",40.94,40.97,40.36,40.7,5441680
"2013-03-21",39.1,39.19,38.75,38.77,4104385
"2013-03-28",38.36,38.79,37.95,38.07,5178350
"2013-04-04",37.4,38.1,37.39,38.01,5127670
"2013-04-11",38.23,38.23,37.61,37.7,4362725
"2013-04-18",34.72,35.95,34.72,35.61,7600150
"2013-04-25",37.61,38.73,37.6,38.24,6469360
"2013-05-02",36.85,37,36.28,36.79,3529800
"2013-05-09",38.22,39.48,38.2,39,6552920
"2013-05-16",38.08,38.68,37.72,38.15,3488990
"2013-05-23",37.28,38.02,37.06,37.78,3869830
"2013-05-30",38.93,39.09,38.52,38.94,3846130
"2013-06-06",38.18,38.64,37.84,38.58,4132620
"2013-06-13",36.34,37.17,36.34,37.13,3792205
"2013-06-20",37.25,37.42,36.63,36.88,6659275
"2013-06-27",35.6,35.6,34.86,35.08,6226320
"2013-07-11",36.73,37.52,36.6,37.51,6054010
"2013-07-18",36.79,37.16,36.54,36.59,3669545
"2013-07-25",35.7,36.19,35.5,36.02,3608785
"2013-08-01",39.68,39.86,38.98,39.2,6358495
"2013-08-08",38.42,39.04,38.2,38.38,5621160
