"","CFG.Open","CFG.High","CFG.Low","CFG.Close","CFG.Volume"
"2014-09-25",22.56,23.41,22.45,23.05,8430850
"2014-10-02",23.34,23.59,23.3,23.34,3121384
"2014-10-09",23,23,22.24,22.48,1229058
"2014-10-16",21.51,21.95,21.47,21.8,3105758
"2014-10-23",22.97,23.08,22.59,23.03,1154177
"2014-10-30",23.46,23.69,23.3,23.44,1153587
"2014-11-06",23.79,24.46,23.75,24.3,1010740
"2014-11-13",23.62,23.96,23.58,23.82,1149713
"2014-11-20",23.57,23.87,23.5,23.71,745775
"2014-12-04",24.32,24.56,24.09,24.4,1433907
"2014-12-11",24.85,25.28,24.51,24.69,1709147
"2014-12-18",24.75,25.14,24.68,25.08,1768470
"2015-01-08",24.07,24.48,23.94,24.18,661452
"2015-01-15",23.37,23.61,22.67,22.96,1558030
"2015-01-22",23.3,24.16,23.28,24.14,486535
"2015-01-29",23.92,24.35,23.26,24.24,1818610
"2015-02-05",24.09,24.41,23.98,24.35,984601
"2015-02-12",24.8,25.37,24.75,25.33,985050
"2015-02-19",25.02,25.22,24.85,25.02,896846
"2015-02-26",24.94,25,24.61,24.85,702911
"2015-03-05",24.89,25.32,24.61,25.3,1959248
"2015-03-12",25.12,25.78,24.99,25.49,2143342
"2015-03-19",25,25.19,24.5,24.8,1824980
"2015-03-26",24.04,24.29,23.83,24.12,62491480
"2015-04-02",24.34,24.68,24.25,24.62,6024784
"2015-04-09",25,25.14,24.93,25.04,3585119
"2015-04-16",25.6,25.63,25.2,25.49,1970965
"2015-04-23",25.66,25.74,25.28,25.64,2450858
"2015-04-30",25.99,26.18,25.68,26.05,2700344
"2015-05-07",25.82,25.96,25.61,25.95,2998342
"2015-05-14",26.48,26.59,26.14,26.48,2561327
"2015-05-21",26.76,26.91,26.46,26.84,5403619
"2015-05-28",26.77,26.92,26.58,26.83,3074931
"2015-06-04",27.53,27.87,27.53,27.75,6119249
"2015-06-11",28.09,28.17,27.46,27.52,10332566
"2015-06-18",28,28.12,27.6,28.07,6168345
"2015-06-25",27.95,28.04,27.28,27.38,5014804
"2015-07-02",27.43,27.47,26.92,27.15,2158019
"2015-07-09",26.91,27.03,26.8,26.98,2196341
"2015-07-16",27.89,28.15,27.71,28.11,2239731
"2015-07-23",27.06,27.3,26.37,26.45,3075041
"2015-07-30",26.03,26.63,25.6,26.49,17805568
"2015-08-06",26.77,26.84,26.43,26.65,4042173
"2015-08-13",26,26.3,25.98,26.2,4317352
"2015-08-20",26.05,26.29,25.33,25.33,3188523
"2015-08-27",24.65,24.99,24.37,24.48,5240044
"2015-09-03",24.3,24.79,24.21,24.5,3093782
"2015-09-10",24.3,24.64,24.22,24.44,1999626
"2015-09-17",24.84,24.96,23.68,24.04,5433093
"2015-09-24",23.06,23.32,23,23.24,3464387
"2015-10-01",23.75,24.02,23.37,23.5,3214144
"2015-10-08",23.43,23.64,23.24,23.52,4248463
"2015-10-15",23.04,23.59,22.94,23.52,3083891
"2015-10-22",23.26,23.62,22.87,22.87,9977712
"2015-10-29",24.18,24.43,24.01,24.11,4353299
"2015-11-05",24.47,24.93,24.44,24.61,9895349
"2015-11-12",25.75,25.95,25.49,25.51,8138996
"2015-11-19",26.1,26.24,25.9,26.12,3415426
"2015-12-03",26.83,26.84,26.38,26.47,10031704
"2015-12-10",26.1,26.57,26.04,26.3,3559700
"2015-12-17",26.91,27.08,26.42,26.48,5395134
