"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume"
"2011-09-15",46.43,46.74,45.34,46.59,2971075
"2011-09-22",42.53,43.06,41.45,41.96,4568859
"2011-09-29",43.18,43.44,41.38,42.52,2709003
"2011-10-06",41.72,42.45,41.24,42.43,2636634
"2011-10-13",43.97,44.36,42.79,43.3,2773668
"2011-10-20",43.48,44.31,42.88,44.2,2304586
"2011-10-27",47.16,47.62,45.88,46.77,3920893
"2011-11-03",43.32,43.35,41.49,42.78,4809299
"2011-11-10",43.13,43.29,42.29,43.19,3685235
"2011-11-17",42.94,43.47,42.05,42.51,18379867
"2011-12-01",43.81,44.43,43.53,43.59,2815115
"2011-12-08",42.99,43.04,42.24,42.32,2851061
"2011-12-15",43.04,43.94,42.63,42.74,2078742
"2011-12-22",42.42,43.16,42.3,43.08,1726857
"2011-12-29",42.19,42.57,42.17,42.29,1309421
"2012-01-05",43.15,43.39,42.76,43.21,2206185
"2012-01-12",45.64,45.85,45.04,45.38,2322282
"2012-01-19",46.73,46.87,46.01,46.28,4246134
"2012-01-26",46.13,46.13,43.99,44.1,3822987
"2012-02-02",42.34,44.46,41.14,44.13,16707936
"2012-02-09",43.32,43.9,43.1,43.54,3074711
"2012-02-16",44.15,44.71,44.07,44.7,2203604
"2012-02-23",44.99,45.16,44.56,44.83,2330868
"2012-03-01",44.23,44.67,43.9,44.54,2227713
"2012-03-08",43.56,44.31,43.55,44.12,2893670
"2012-03-15",46.76,47.05,46.42,46.81,3180020
"2012-03-22",45.74,45.86,45.39,45.56,2781586
"2012-03-29",46.72,49.31,46.51,48.97,7391738
"2012-04-05",48.61,49.11,48.44,48.99,1624249
"2012-04-12",47.55,48.42,47.54,48.42,2482478
"2012-04-19",48.23,48.63,47.8,48.01,3714633
"2012-04-26",46.79,47.77,46.46,47.56,3932897
"2012-05-03",46.41,46.58,45.28,46.07,4702209
"2012-05-10",45.21,45.38,44.79,44.91,2552358
"2012-05-17",43.96,44.23,43.42,43.43,1607498
"2012-05-24",43.54,44.3,43.31,44.09,1979531
"2012-05-31",44.16,44.27,43.42,43.91,1894698
"2012-06-07",43.65,44.54,43.62,44.09,2824924
"2012-06-14",44.68,45.28,44.42,45.12,2055857
"2012-06-21",45.19,45.36,44.07,44.11,1778258
"2012-06-28",45.22,46.13,42.14,44.18,10253666
"2012-07-05",42.7,43.01,42.62,42.73,2539711
"2012-07-12",42.98,43.24,42.34,42.44,2641644
"2012-07-19",43.51,43.61,42.24,42.38,3323369
"2012-07-26",40.54,40.56,39.57,39.66,3785964
"2012-08-02",41.99,43,40.96,41.86,5421348
"2012-08-09",43.86,44.26,43.25,43.88,2442451
"2012-08-16",43.83,44.52,43.78,44.49,2148943
"2012-08-23",44.52,44.66,44.08,44.16,1969610
"2012-08-30",45.11,45.89,44.97,45.68,2694770
"2012-09-06",45.69,46.2,45.69,45.99,1777173
"2012-09-13",46.06,47.35,45.8,47.3,2849364
"2012-09-20",47.02,47.11,46.62,46.94,1936201
"2012-09-27",46.97,47.08,46.73,47.02,1519036
"2012-10-04",49.17,49.78,49.01,49.18,2779369
"2012-10-11",49.05,50.42,49.02,50.14,2620479
"2012-10-18",49.57,50.43,49.4,50.14,2301995
"2012-10-25",50.41,50.67,49.99,50.37,2097954
"2012-11-01",51.55,53.31,51.55,53.27,4255339
"2012-11-08",52.99,53.42,51.97,52.24,2447779
"2012-11-15",49.72,50.94,49.46,50.87,4742659
"2012-11-29",52.24,52.89,51.72,52.08,2076645
"2012-12-06",51.95,52.54,51.86,52.5,1672529
"2012-12-13",54.01,54.28,53.45,53.7,1443431
"2012-12-20",53.78,54.18,53.64,54.17,1456022
"2012-12-27",53.54,53.78,53.07,53.66,1690967
"2013-01-03",54.99,55,54.22,54.35,2949713
"2013-01-10",54.82,55.75,54.72,55.62,1488275
"2013-01-17",55.77,56.65,55.66,56.56,1900002
"2013-01-24",57.41,58.24,57.35,58.15,1309381
"2013-01-31",58.61,58.76,58.22,58.34,1919001
"2013-02-07",59.9,61.38,59.6,61.35,4577383
"2013-02-14",61.75,61.9,61.31,61.45,1914995
"2013-02-21",59.18,59.79,58.69,59.17,1926359
"2013-02-28",58.92,59.03,58.18,58.46,1616774
"2013-03-07",59.5,59.75,58.89,58.94,1809352
"2013-03-14",62.12,62.3,61.59,62.26,1533486
"2013-03-21",61.9,62.14,61.51,61.74,2212905
"2013-03-28",62.52,62.8,62.21,62.37,1642088
"2013-04-04",63.71,64.57,63.58,64.08,2822400
"2013-04-11",65.39,65.91,65.28,65.9,1379598
"2013-04-18",64.34,64.34,63.03,64.01,2424731
"2013-04-25",65.58,66.18,65.54,65.72,1069465
"2013-05-02",66.36,68.87,66.32,68.07,2983672
"2013-05-09",68.33,68.5,67.61,68.03,1373017
"2013-05-16",67.93,68.24,67.29,67.36,1359128
"2013-05-23",67.52,68.17,66.88,67.92,1832477
"2013-05-30",68.91,69.87,68.6,69.75,924132
"2013-06-06",65.97,66.97,65.54,66.96,1050841
"2013-06-13",69.29,69.53,68.07,69.43,2100874
"2013-06-20",68.46,70.03,68.02,69.24,3063010
"2013-06-27",71.67,72.81,71.64,72.56,1851160
"2013-07-11",75.71,76.47,75.27,76.14,1986220
"2013-07-18",76.03,78.68,76.03,77.55,1730148
"2013-07-25",77.86,78.1,77.3,78,1043205
"2013-08-01",78.06,78.49,76.17,77.27,2304042
"2013-08-08",78.53,79.12,77.86,78.67,1345485
"2013-08-15",77.38,78.06,75.79,76.71,1361741
"2013-08-22",78.01,79.45,77.91,79.08,784258
"2013-08-29",78.11,79.62,78.04,79.04,859222
"2013-09-05",80.31,81.75,80.31,81.25,1478958
"2013-09-12",82.47,83.18,82.2,82.67,997061
"2013-09-19",81.25,81.43,76.83,77.72,4910501
"2013-09-26",78.58,79.16,77.32,78.04,1546733
"2013-10-03",78.17,78.5,77.76,78.1,1449807
"2013-10-10",77.88,79.51,77.78,79.08,1379670
"2013-10-17",79.56,79.56,77.46,77.48,3150438
"2013-10-24",74.26,74.59,72.64,73.17,2122439
"2013-10-31",76.89,78.41,75.57,76.98,3201313
"2013-11-07",80.73,81.14,79.22,79.28,1420133
"2013-11-14",82.19,83.05,82.06,83.03,1430310
"2013-11-21",86.4,87.42,85.68,85.73,1714307
"2013-12-05",85.87,85.92,84.23,84.32,1173963
"2013-12-12",85,85.32,84.02,84.28,1525464
"2013-12-19",84.64,85.38,83.98,85.32,1122908
"2013-12-26",86.31,86.98,86.21,86.81,386084
"2014-01-02",86.99,87.45,86.19,86.2,1021731
"2014-01-09",87.95,90.5,87.95,90.05,1983347
"2014-01-16",89.5,89.66,88.59,88.82,1537836
"2014-01-23",88.72,89.62,88.63,89.54,1122792
"2014-01-30",86.62,88.05,86.59,87.65,984464
"2014-02-06",85.51,85.56,84.68,85.37,1552341
"2014-02-13",75.7,76.44,75.37,76.14,4297729
"2014-02-20",76.76,77.58,76.48,77.1,3099414
"2014-02-27",78.2,78.48,77.49,77.8,1260714
"2014-03-06",80,80.28,79.02,79.07,1454627
