"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume"
"2011-09-15",27.53,27.69,27.26,27.69,1257839
"2011-09-22",25.32,25.76,25.15,25.49,2506463
"2011-09-29",26.47,26.84,26.12,26.79,1763609
"2011-10-06",26.71,27.18,26.46,27.01,2066283
"2011-10-13",26.39,26.59,26.01,26.49,1308231
"2011-10-20",27.09,27.55,26.96,27.45,1585668
"2011-10-27",29.9,30.47,29.67,30.33,1848560
"2011-11-03",28.88,29.43,28.46,29.28,1835325
"2011-11-10",28.74,28.93,28.52,28.74,987863
"2011-11-17",28.5,28.9,28.31,28.43,1632196
"2011-12-01",29.59,29.59,28.7,29,1427629
"2011-12-08",29.61,29.71,29.11,29.16,4168043
"2011-12-15",29.88,29.96,29.65,29.87,1171287
"2011-12-22",30.18,30.47,30.11,30.36,973591
"2011-12-29",30.49,30.79,30.49,30.72,512809
"2012-01-05",30.37,30.9,30.06,30.88,1037985
"2012-01-12",31.48,31.51,31.08,31.47,795162
"2012-01-19",32,32.36,31.82,32.02,1143304
"2012-01-26",33.09,33.1,32.76,33.08,937353
"2012-02-02",33.27,33.37,32.98,33.05,979476
"2012-02-09",33.6,34.38,33.43,34.29,1554977
"2012-02-16",34.73,35.54,34.73,35.46,1121713
"2012-02-23",35.56,35.95,35.5,35.86,904223
"2012-03-01",35.17,35.52,34.98,35.02,1846399
"2012-03-08",34.83,35.13,34.62,34.94,3197420
"2012-03-15",35.61,36.02,35.44,35.98,817630
"2012-03-22",34.82,34.91,34.68,34.76,682595
"2012-03-29",34.86,35.02,34.53,34.76,1061501
"2012-04-05",34.23,34.33,34.08,34.23,1142573
"2012-04-12",33.46,34.03,33.29,34.03,873004
"2012-04-19",34.41,34.73,34.29,34.36,1164999
"2012-04-26",35.22,35.78,35.1,35.74,996649
"2012-05-03",36.09,36.55,36.04,36.37,1292494
"2012-05-10",36.08,36.25,36,36.16,547725
"2012-05-17",35.33,35.42,34.63,34.64,623887
"2012-05-24",35.48,35.64,35.23,35.64,668797
"2012-05-31",35.47,36.35,35.36,36.08,1389890
"2012-06-07",36.62,36.75,36.26,36.32,3681278
"2012-06-14",36.38,36.62,36.27,36.44,1386097
"2012-06-21",37.41,37.65,36.55,36.57,617360
"2012-06-28",36.79,37.12,36.55,37.1,1066164
"2012-07-05",38.29,38.35,37.91,38.08,636101
"2012-07-12",37.69,37.94,37.56,37.73,911750
"2012-07-19",37.89,37.89,37.28,37.66,1018955
"2012-07-26",37.58,37.98,37.47,37.57,803077
"2012-08-02",37.38,37.5,37.1,37.5,717403
"2012-08-09",38.16,38.32,38.01,38.18,513413
"2012-08-16",38.59,39.26,38.52,39.26,813655
"2012-08-23",39.04,39.06,38.81,38.86,461482
"2012-08-30",38.4,38.67,38.2,38.53,685270
"2012-09-06",39.06,39.24,38.97,39.14,863620
"2012-09-13",39.31,39.88,39.17,39.84,720676
"2012-09-20",39.03,39.39,38.84,39.05,940267
"2012-09-27",37.92,38.21,37.57,37.97,1391666
"2012-10-04",38.14,38.59,38.04,38.5,621161
"2012-10-11",38.75,38.89,38.59,38.66,521791
"2012-10-18",39.45,39.91,39.35,39.83,716316
"2012-10-25",39.79,39.98,39.69,39.94,814563
"2012-11-01",39.83,40.04,39.59,39.77,687642
"2012-11-08",38.83,39.44,38.83,38.98,717375
"2012-11-15",38.11,38.6,37.96,38.31,587899
"2012-11-29",40.51,40.6,40.13,40.44,623308
"2012-12-06",40.5,40.72,40.4,40.61,518730
"2012-12-13",40.45,40.63,39.82,39.87,2318096
"2012-12-20",40.51,40.51,39.92,40.13,1052654
"2012-12-27",39.35,39.49,38.58,39.09,917683
"2013-01-03",39.95,39.98,39.73,39.87,632946
"2013-01-10",40.92,41.21,40.74,41.2,792860
"2013-01-17",41.12,41.42,40.95,41.27,521439
"2013-01-24",42.43,42.77,42.32,42.51,458657
"2013-01-31",42.53,42.73,42.41,42.44,671218
"2013-02-07",46.88,47.25,44.36,44.4,1193138
"2013-02-14",44.59,44.8,44.57,44.69,680010
"2013-02-21",44.62,44.83,44.33,44.56,674384
"2013-02-28",45.1,45.21,44.91,45.01,742582
"2013-03-07",46.16,46.43,46.02,46.31,537168
"2013-03-14",47.2,47.35,47.11,47.16,683060
"2013-03-21",46.27,46.55,46.08,46.2,469964
"2013-03-28",46.9,47.28,46.82,47.22,673885
"2013-04-04",47.57,47.84,47.23,47.55,476867
"2013-04-11",48.33,49.11,48.28,49.03,745679
"2013-04-18",47.81,47.81,46.67,46.81,746421
"2013-04-25",49.28,49.34,48.79,48.9,415429
"2013-05-02",48.47,48.74,48.31,48.72,381302
"2013-05-09",49.4,49.53,48.94,49.11,383690
"2013-05-16",50.38,50.49,49.31,49.34,1363721
"2013-05-23",47.66,47.8,47.18,47.75,737102
"2013-05-30",47.66,48.14,47.54,48.01,503463
"2013-06-06",45.6,45.96,45.17,45.95,816356
"2013-06-13",45.54,46.44,45.38,46.44,480893
"2013-06-20",45.78,46.17,45.22,45.29,863965
"2013-06-27",45.74,46.38,45.74,46.26,339172
"2013-07-11",49.08,49.13,48.7,48.83,741695
"2013-07-18",49.16,49.66,49.14,49.62,546079
"2013-07-25",48.43,48.93,48.3,48.89,470500
"2013-08-01",49.32,49.98,49.32,49.92,517585
"2013-08-08",48.7,48.88,48.41,48.73,305027
"2013-08-15",48.36,48.5,47.6,47.75,479544
"2013-08-22",47.27,47.61,47.12,47.53,184920
"2013-08-29",45.89,46.38,45.74,46.2,265418
"2013-09-05",45.95,46.17,45.79,46.02,265890
"2013-09-12",46.56,46.71,46.24,46.3,357561
"2013-09-19",47.31,47.66,47.31,47.38,841139
"2013-09-26",47.23,47.52,47,47.25,355086
"2013-10-03",47.35,47.44,46.7,47.06,759022
"2013-10-10",47.68,48.47,47.51,48.46,526162
"2013-10-17",49.16,49.94,49.03,49.86,429506
"2013-10-24",50.08,50.47,50.03,50.32,582898
"2013-10-31",50.55,50.55,50,50.05,816386
"2013-11-07",50.47,50.51,49.59,49.62,551114
"2013-11-14",50.73,50.96,50.4,50.89,408517
"2013-11-21",51.2,51.98,50.95,51.91,567732
"2013-12-05",51.75,51.86,51.18,51.39,438673
"2013-12-12",51.3,51.53,51.23,51.33,413349
"2013-12-19",51.35,51.53,51.19,51.4,446035
"2013-12-26",53.74,53.74,52.2,52.38,362787
"2014-01-02",52.15,52.18,51.25,51.45,541030
"2014-01-09",50.9,51.18,50.83,51.11,569713
"2014-01-16",50.59,50.75,50.35,50.51,527985
"2014-01-23",50.54,50.75,49.97,50.14,930309
"2014-01-30",49.03,49.26,48.79,49.23,408736
"2014-02-06",46.5,46.68,45.08,45.21,1464384
"2014-02-13",46.15,46.93,46.01,46.92,698744
"2014-02-20",46.66,46.86,46.32,46.79,482985
"2014-02-27",46.42,46.73,46.24,46.65,456748
"2014-03-06",47.1,47.8,47.07,47.65,637139
"2014-03-13",47.9,47.95,47.17,47.18,586140
"2014-03-20",46.93,47.62,46.66,47.58,419605
"2014-03-27",47.84,47.96,47.55,47.85,662567
"2014-04-03",48.09,48.5,47.9,48.25,507285
"2014-04-10",47.95,48.44,47.52,47.53,724707
"2014-04-17",48.81,49.04,48.59,48.77,2604551
"2014-04-24",49.5,49.73,49.28,49.71,701319
"2014-05-01",48.8,49.02,48.54,48.99,526531
"2014-05-08",49.17,49.58,49.01,49.21,479201
"2014-05-15",48.77,48.77,48.08,48.41,589201
"2014-05-22",48.75,48.75,48.53,48.64,253984
"2014-05-29",48.86,48.97,48.68,48.85,294040
"2014-06-05",48.85,49.12,48.69,49.12,418213
"2014-06-12",48.88,49.01,48.77,48.91,376377
"2014-06-19",48.69,48.83,48.38,48.74,411986
"2014-06-26",48.14,48.17,47.67,47.89,357280
"2014-07-03",48.31,48.58,48.26,48.49,282499
"2014-07-10",47.56,47.8,47.46,47.74,486305
"2014-07-17",47.98,48.23,47.77,47.81,498858
"2014-07-24",48.18,48.29,47.94,48.03,404537
"2014-07-31",46.32,46.83,45.79,46.02,1280876
"2014-08-07",46.79,46.84,46.27,46.32,456112
"2014-08-14",47.45,47.83,47.39,47.82,319889
"2014-08-21",48.1,48.57,47.9,48.55,457713
"2014-08-28",48.23,48.39,48.15,48.23,551910
"2014-09-04",48.12,48.38,48.01,48.15,531018
"2014-09-11",47.95,48.3,47.95,48.25,379858
"2014-09-18",48.02,48.37,47.93,48.23,368929
"2014-09-25",47.58,47.75,46.94,46.97,738298
"2014-10-02",46.53,47.03,46.41,46.84,491871
"2014-10-09",47.53,47.69,46.64,46.69,728083
"2014-10-16",45.46,46.24,45.12,46.08,608147
"2014-10-23",48.6,48.71,48.22,48.3,519075
"2014-10-30",49.43,50.02,49.1,49.92,472739
"2014-11-06",51.1,51.22,50.76,51.18,309238
"2014-11-13",51.39,51.67,51.17,51.37,327610
"2014-11-20",50.67,51.04,50.67,50.9,548539
"2014-12-04",51.24,51.45,51.19,51.4,513523
"2014-12-11",51.83,52.44,51.48,51.87,487377
"2014-12-18",50.9,51.53,50.9,51.51,701094
"2015-01-08",51.67,52.39,51.27,52.26,550456
"2015-01-15",50.81,51.3,50.6,50.91,634231
"2015-01-22",51.53,52.59,51.16,52.54,479592
"2015-01-29",51.46,52.04,51.13,51.9,626585
"2015-02-05",52.56,52.64,51.31,51.89,941152
"2015-02-12",51.9,52.27,51.87,52.19,386675
"2015-02-19",52.08,52.49,52.08,52.35,289705
"2015-02-26",52.81,53.11,52.69,53.01,343849
"2015-03-05",52.34,52.84,52.21,52.75,408123
"2015-03-12",52.48,53.39,52.35,53.35,439768
"2015-03-19",53.94,54.09,53.42,53.79,351555
"2015-03-26",52.82,53.19,52.67,52.98,488419
"2015-04-02",53.27,53.56,53.08,53.47,274464
"2015-04-09",53.63,53.81,53.08,53.49,345174
"2015-04-16",53.62,53.68,53.24,53.56,331078
"2015-04-23",51.94,52.48,51.92,52.3,347734
"2015-04-30",50.56,51.05,50.39,50.64,765403
"2015-05-07",50.7,51.27,50.6,50.96,406336
"2015-05-14",50.8,51.15,50.59,51.13,326160
"2015-05-21",51.25,51.44,51.17,51.24,305684
"2015-05-28",50.98,51.18,50.76,51.11,320071
"2015-06-04",50.99,51.05,50.52,50.56,428846
"2015-06-11",51.23,51.68,51.1,51.65,547664
"2015-06-18",51.21,51.78,51.12,51.65,806282
"2015-06-25",51.16,51.18,50.47,50.47,437356
"2015-07-02",52.7,52.84,52.21,52.4,577696
"2015-07-09",53.27,53.27,52.7,52.97,606395
"2015-07-16",53.84,53.98,53.62,53.88,462296
"2015-07-23",53.67,53.78,53.22,53.32,422422
"2015-07-30",54.09,55.4,53.9,55.27,962198
"2015-08-06",55.69,55.69,55.05,55.25,425570
"2015-08-13",56.13,56.52,55.87,56.28,541787
"2015-08-20",55.99,56.16,55.56,55.57,605668
"2015-08-27",52.72,53.3,52.2,53.18,1009928
"2015-09-03",52.67,53.04,52.56,52.8,1041191
"2015-09-10",52.65,53.46,52.65,53.02,593154
"2015-09-17",53.93,54.48,53.62,53.72,875070
"2015-09-24",52.64,53.33,52.64,53.23,550693
"2015-10-01",53.9,53.95,52.78,53.55,745860
"2015-10-08",55.26,56.23,55.15,56.22,518973
"2015-10-15",56.06,56.54,55.62,56.51,657787
"2015-10-22",58.18,58.96,58.09,58.78,742858
"2015-10-29",60.77,61.38,60.5,61.19,608042
"2015-11-05",60.53,60.77,60.32,60.58,465840
"2015-11-12",60.32,60.76,59.94,59.96,392565
"2015-11-19",60.59,60.78,60.44,60.75,592385
"2015-12-03",61.22,61.22,59.79,60.04,809499
"2015-12-10",60.23,60.33,59.7,59.99,417408
"2015-12-17",60.57,60.57,59.59,59.65,643083
"2015-12-24",59.46,59.86,59.25,59.63,321609
"2015-12-31",60.09,60.16,59.15,59.17,365765
"2016-01-07",56.28,56.58,55.53,55.82,763230
"2016-01-14",55.52,56.69,55.3,56.19,784257
"2016-01-21",54.63,54.97,53.89,54.11,672191
"2016-01-28",55.23,55.91,55.04,55.71,538494
"2016-02-04",57.35,59.09,56.81,59.04,1092019
"2016-02-11",60.26,60.86,59.52,60.51,645302
"2016-02-18",62.48,62.54,62.04,62.48,651100
"2016-02-25",63.27,63.86,62.96,63.75,1060772
"2016-03-03",64.09,64.52,63.8,64.5,566072
"2016-03-10",64.3,64.41,63.63,64.11,1667580
"2016-03-17",65.35,65.95,65.12,65.8,882005
"2016-03-24",64.97,65.11,64.64,64.74,573298
"2016-03-31",65.87,65.99,65.27,65.36,942005
"2016-04-07",64.93,65.01,64.1,64.31,784377
"2016-04-14",66,66.09,65.55,65.8,362784
"2016-04-21",65.33,65.72,63.96,64.01,616916
"2016-04-28",65.76,66.98,65.76,66.11,599343
"2016-05-05",66.25,66.77,66.25,66.65,425978
"2016-05-12",67.48,68.13,67.34,68.13,659371
"2016-05-19",67.42,67.74,67.12,67.65,373772
"2016-05-26",68.72,68.89,68.39,68.64,422901
"2016-06-02",69.25,69.63,69.03,69.62,450881
"2016-06-09",70.19,70.8,69.95,70.74,605354
"2016-06-16",69,69.69,68.75,69.69,543918
"2016-06-23",71.03,71.83,70.69,71.82,540093
"2016-06-30",72.99,74.89,72.8,74.89,996751
"2016-07-07",75.52,75.52,74.64,74.97,533518
"2016-07-14",77.3,77.3,76.39,76.76,460911
"2016-07-21",74.6,75,73.88,74.06,635004
"2016-07-28",74.83,75.36,74.83,75.24,541065
"2016-08-04",74.92,75.25,74.88,75.07,459897
"2016-08-11",76.23,76.23,75.86,76.04,410393
"2016-08-18",75.45,76.1,75.45,76.1,328232
"2016-08-25",76.08,76.94,75.17,76.89,393248
"2016-09-01",77.27,77.52,76.7,77.26,437545
"2016-09-08",77.43,77.75,77.36,77.44,558480
"2016-09-15",74.96,75.91,74.86,75.73,423662
