"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume"
"2011-09-15",46,46.16,45.46,46.14,5005336
"2011-09-22",44.42,44.62,42.86,43.7,12041662
"2011-09-29",44.8,45.14,44.1,44.77,5136684
"2011-10-06",44.84,45.1,44.52,45.1,5128876
"2011-10-13",45.6,45.84,45.33,45.56,3413358
"2011-10-20",46.09,46.5,45.71,45.81,3796260
"2011-10-27",45.77,45.9,43.21,45.47,10548442
"2011-11-03",44.11,44.39,43.81,44.26,6782050
"2011-11-10",44.01,44.19,43.6,44.07,3877470
"2011-11-17",44.14,44.36,43.73,44.02,4001164
"2011-12-01",45.6,45.99,45,45.06,5925466
"2011-12-08",45.43,45.63,45.14,45.28,3608844
"2011-12-15",44.89,45.4,44.8,45.29,3944466
"2011-12-22",46.44,46.44,45.95,46.2,3233188
"2011-12-29",46.38,46.66,46.21,46.61,3420204
"2012-01-05",45.08,45.22,44.76,45.07,5232674
"2012-01-12",44.38,44.52,44.12,44.28,15039088
"2012-01-19",44.99,45.24,44.8,44.98,5160600
"2012-01-26",44.93,46.07,44.87,45.68,9754682
"2012-02-02",45.84,45.94,45.39,45.44,3844874
"2012-02-09",45.72,45.9,45.53,45.88,3353716
"2012-02-16",46.19,46.71,46.19,46.66,3708714
"2012-02-23",46.42,46.95,46.32,46.66,4214084
"2012-03-01",46.5,46.75,46.3,46.42,4123446
"2012-03-08",46.7,46.98,46.64,46.97,2766354
"2012-03-15",47.42,47.84,47.42,47.71,3155954
"2012-03-22",47.91,48.19,47.87,48.14,2968290
"2012-03-29",47.82,48.44,47.76,48.34,4814958
"2012-04-05",48.9,49.14,48.64,49.08,4318654
"2012-04-12",48.22,48.82,48.19,48.72,14850834
"2012-04-19",49.34,49.38,48.88,49.09,3531174
"2012-04-26",49.78,49.92,49.26,49.74,3556400
"2012-05-03",50.07,50.4,49.88,50,4761092
"2012-05-10",49.76,49.99,49.56,49.82,4669316
"2012-05-17",50.6,50.69,49.9,49.9,4259510
"2012-05-24",49.22,49.82,49.22,49.56,3500934
"2012-05-31",49.5,49.5,49.02,49.15,4898172
"2012-06-07",49.37,49.7,49.3,49.38,3901530
"2012-06-14",50.24,50.72,50.14,50.66,3255094
"2012-06-21",50.45,50.45,49.72,49.72,3445878
"2012-06-28",50.56,51,50.46,51,2936132
"2012-07-05",52.21,52.5,51.96,52.32,2461148
"2012-07-12",51.84,52.04,51.48,51.8,3595004
"2012-07-19",52.64,52.93,52.27,52.81,3060852
"2012-07-26",52.38,53.42,52.06,53.19,5621470
"2012-08-02",52.94,53.19,52.39,52.68,4284188
"2012-08-09",52.53,52.7,52.38,52.48,3117494
"2012-08-16",52.69,52.96,52.56,52.92,2100182
"2012-08-23",52.66,52.74,52.33,52.36,1942730
"2012-08-30",52.98,53.06,52.9,52.9,1894502
"2012-09-06",53.54,53.82,53.44,53.74,3355720
"2012-09-13",51.52,52.35,51.34,52.27,5306758
"2012-09-20",52.86,53.62,52.86,53.4,3585912
"2012-09-27",53.52,53.8,53.17,53.68,2639018
"2012-10-04",54.25,54.54,54.06,54.23,2598290
"2012-10-11",54.22,54.31,53.93,54.02,2968590
"2012-10-18",55.28,55.44,54.89,55.31,2506192
"2012-10-25",53.5,53.5,51.52,52.3,6009812
"2012-11-01",52.34,53.07,52.12,52.94,3944764
"2012-11-08",52.43,52.59,52,52.04,2874656
"2012-11-15",51.67,52.08,51.62,51.88,2772698
"2012-11-29",53.97,54.16,53.7,54,1872824
"2012-12-06",53.5,53.6,53.15,53.32,3160856
"2012-12-13",53.62,53.68,53,53.08,3116392
"2012-12-20",53.02,53.28,52.68,52.9,2994126
"2012-12-27",52.28,52.77,52.26,52.64,2804466
"2013-01-03",53.1,53.42,53,53.33,2959494
"2013-01-10",53.15,53.7,53.02,53.7,2521504
"2013-01-17",54.18,54.64,54.09,54.47,1881140
"2013-01-24",54.64,55.06,54.64,54.88,3296860
"2013-01-31",54.07,55.54,53.37,53.68,9269850
"2013-02-07",54.91,55.1,54.66,55.1,3165480
"2013-02-14",53.81,54.36,53.78,54.16,3427674
"2013-02-21",55.88,56.81,55.76,56.54,4463276
"2013-02-28",57.33,57.84,57.2,57.22,3907122
"2013-03-07",58.36,58.36,57.64,57.7,3722022
"2013-03-14",57.48,57.49,56.86,56.92,4587558
"2013-03-21",57.06,57.29,56.85,56.86,2341740
"2013-03-28",58.56,59.22,58.14,59.02,3380898
"2013-04-04",58.77,58.86,58.37,58.54,2602910
"2013-04-11",59.14,59.6,59.1,59.42,2118250
"2013-04-18",59.02,59.59,59,59.28,2743354
"2013-04-25",60.3,61.2,59.66,59.71,5879752
"2013-05-02",59.58,60.55,59.38,60.36,2342188
"2013-05-09",60.17,60.36,59.9,60.1,3025196
"2013-05-16",62.29,62.7,61.33,62.38,3077774
"2013-05-23",61.07,61.33,60.87,60.97,3159543
"2013-05-30",59.75,60.1,59.33,59.63,2960904
"2013-06-06",57.8,58.22,57.07,58.04,3862370
"2013-06-13",58.12,58.65,57.19,58.46,2516993
"2013-06-20",57.6,57.72,55.69,55.87,7548723
"2013-06-27",57.51,57.83,57.14,57.39,2983529
"2013-07-11",59.24,59.36,58.63,58.95,4292115
"2013-07-18",58.33,58.99,58.21,58.8,3243538
"2013-07-25",58.7,59.9,58.5,59.62,4559753
"2013-08-01",60.27,60.82,60.24,60.56,2799798
"2013-08-08",61.27,61.5,60.5,60.91,2816960
"2013-08-15",60.3,60.58,59.69,59.81,2814414
"2013-08-22",58.47,58.59,58.25,58.45,3035466
"2013-08-29",57.09,57.56,56.94,57.25,2627290
"2013-09-05",57.68,57.78,57.36,57.53,2758919
"2013-09-12",59.11,59.38,58.92,59.28,1737729
"2013-09-19",61.24,61.28,60.8,60.97,3252965
"2013-09-26",59.63,60.41,59.49,60.39,2687738
"2013-10-03",59.12,59.51,58.72,59.22,2620023
"2013-10-10",60.65,60.8,60.1,60.79,3003935
"2013-10-17",61.89,63.63,61.79,63.41,4796000
"2013-10-24",62.42,63.3,61.93,63.04,5188347
"2013-10-31",65,65.23,64.67,64.73,3944879
"2013-11-07",65.97,65.97,64.62,64.8,4245630
"2013-11-14",65.33,65.71,65.24,65.6,2673683
"2013-11-21",65.37,66.04,65.32,65.98,3404476
"2013-12-05",64.84,65.05,64.47,64.54,2057147
"2013-12-12",65.02,65.08,63.96,63.97,3165036
"2013-12-19",64.47,64.56,64.05,64.24,3557988
"2013-12-26",64.71,64.87,64.49,64.83,1683397
"2014-01-02",64.89,65.03,64,64.3,3004468
"2014-01-09",64.13,65.28,63.8,65.02,4826360
"2014-01-16",64.58,65.12,64.39,64.98,2636447
"2014-01-23",63.43,63.74,63.23,63.44,3263863
"2014-01-30",63.44,63.8,61.12,61.49,5456409
"2014-02-06",60.51,60.84,60.27,60.6,4191641
"2014-02-13",61.45,62.41,61.44,62.31,3090889
"2014-02-20",61.48,62.1,61.35,61.86,2658297
"2014-02-27",61.74,62.21,61.62,62.12,2469738
"2014-03-06",62.78,63.19,62.64,63.02,2665850
