"","CLX.Open","CLX.High","CLX.Low","CLX.Close","CLX.Volume"
"2011-09-15",68.84,68.95,67.76,68.71,746918
"2011-09-22",65.6,66.64,65.46,66.13,1117016
"2011-09-29",66.95,67.84,66.01,66.9,948075
"2011-10-06",65.69,67.41,65.58,67.37,849393
"2011-10-13",66.82,66.98,66.41,66.71,878194
"2011-10-20",67.6,68.38,67.6,68.31,732023
"2011-10-27",69.41,69.42,67.01,68.57,1647603
"2011-11-03",65.11,65.55,63.85,63.97,2053991
"2011-11-10",64.72,65.86,64.68,65.37,1466249
"2011-11-17",65.01,65.2,64.44,64.96,901801
"2011-12-01",65.11,65.98,64.83,64.91,1867584
"2011-12-08",65.42,65.57,64.8,64.94,1045504
"2011-12-15",65.15,65.46,65,65.27,1388077
"2011-12-22",65.84,66.39,65.21,66.17,1359937
"2011-12-29",66.48,67.08,66.43,66.95,725832
"2012-01-05",66.87,67.3,66.62,67.19,683377
"2012-01-12",67.99,68.44,67.17,68.37,3210474
"2012-01-19",69.45,70.3,69.31,70.24,1984076
"2012-01-26",68.73,69.3,68.68,68.84,655085
"2012-02-02",69.04,69.34,68.58,68.73,709386
"2012-02-09",68.38,68.6,67.9,68.45,795694
"2012-02-16",68.37,68.7,68.14,68.61,525279
"2012-02-23",67.68,68.41,67.46,68.11,801318
"2012-03-01",67.6,67.93,67.44,67.75,886947
"2012-03-08",67.8,67.92,67.35,67.81,650089
"2012-03-15",68.41,68.88,68.33,68.75,663327
"2012-03-22",67.92,68.36,67.92,68.21,630754
"2012-03-29",68.21,68.65,67.68,68.35,995725
"2012-04-05",69,69,68.31,68.96,1018061
"2012-04-12",69.51,69.85,69.08,69.85,3043060
"2012-04-19",70.18,70.59,69.91,70,750869
"2012-04-26",69.75,70.3,69.67,70.04,558687
"2012-05-03",67.94,68.19,66.72,67.03,1702251
"2012-05-10",68.68,68.86,68.36,68.52,713208
"2012-05-17",68.65,68.96,67.81,67.82,929786
"2012-05-24",69,69.74,68.86,69.19,936497
"2012-05-31",68.72,69.28,68.65,68.8,1321522
"2012-06-07",71.32,71.5,70.79,71.35,1287250
"2012-06-14",72.2,73.23,72.14,73.06,1280797
"2012-06-21",71.91,72.16,70.94,71.03,747225
"2012-06-28",70.72,71.88,70.72,71.88,967660
"2012-07-05",72.6,72.8,72.3,72.55,440775
"2012-07-12",72.17,72.68,72.06,72.4,941877
"2012-07-19",73.29,73.65,72.76,73.37,1039462
"2012-07-26",72.68,72.94,72.54,72.87,773498
"2012-08-02",72.16,72.69,71.72,72.22,651559
"2012-08-09",71.32,71.49,70.92,71.48,555611
"2012-08-16",71.91,72.35,71.76,72.21,919208
"2012-08-23",72.14,72.26,71.81,71.97,765504
"2012-08-30",72,72.47,71.8,72.3,518711
"2012-09-06",73.2,73.45,72.93,73.44,729610
"2012-09-13",71.73,71.98,71.2,71.95,837637
