"","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume"
"2011-09-15",11.14,11.33,11.07,11.3,26816834
"2011-09-22",10.64,10.7,10.32,10.51,55505722
"2011-09-29",11.17,11.24,10.65,10.84,41003390
"2011-10-06",10.8,11.06,10.76,11.04,31233266
"2011-10-13",11.76,11.84,11.65,11.78,29918626
"2011-10-20",11.8,11.94,11.52,11.78,30040334
"2011-10-27",12.6,12.66,11.96,12.3,76213240
"2011-11-03",11.59,11.72,11.39,11.66,41905798
"2011-11-10",10.89,11.14,10.86,11.08,33358062
"2011-11-17",10.76,10.86,10.56,10.62,44674724
"2011-12-01",11.35,11.43,11.23,11.28,24177368
"2011-12-08",11.46,11.48,11.2,11.24,29275716
"2011-12-15",11.64,11.78,11.62,11.64,32105968
"2011-12-22",11.8,11.84,11.74,11.82,23889674
"2011-12-29",11.78,11.93,11.76,11.92,14163666
"2012-01-05",12.34,12.52,12.24,12.48,44687214
"2012-01-12",12.72,12.82,12.66,12.75,22123184
"2012-01-19",12.86,12.97,12.83,12.94,20073712
"2012-01-26",13.17,13.4,13.08,13.16,37100090
"2012-02-02",13.4,13.49,13.32,13.34,34668626
"2012-02-09",13.64,13.75,13.56,13.73,27901950
"2012-02-16",14.36,14.4,14.2,14.32,39917086
"2012-02-23",14.62,14.92,14.59,14.9,40037576
"2012-03-01",14.7,14.82,14.64,14.72,26189444
"2012-03-08",14.72,14.88,14.7,14.81,20373212
"2012-03-15",14.89,14.94,14.71,14.9,22826862
"2012-03-22",14.78,14.95,14.76,14.94,24280472
"2012-03-29",14.86,14.93,14.75,14.92,24489286
"2012-04-05",14.6,14.78,14.54,14.78,22578938
"2012-04-12",14.52,14.88,14.48,14.84,28959996
"2012-04-19",14.84,15.02,14.71,14.74,23189046
"2012-04-26",14.76,15.17,14.76,15.12,36577082
"2012-05-03",15.25,15.38,15.07,15.18,26913536
"2012-05-10",14.7,14.86,14.66,14.82,23930918
"2012-05-17",14.42,14.43,14.18,14.18,19608386
"2012-05-24",14.41,14.58,14.34,14.46,25495094
"2012-05-31",14.48,14.59,14.36,14.46,26413618
"2012-06-07",15.05,15.14,14.96,15,33768624
"2012-06-14",15.05,15.39,15.03,15.36,30858180
"2012-06-21",15.67,15.67,15.32,15.34,28524214
"2012-06-28",15.42,15.54,15.28,15.52,24580956
"2012-07-05",15.95,16.03,15.72,15.72,19587710
"2012-07-12",15.71,15.74,15.52,15.55,35502028
"2012-07-19",16.19,16.39,16.1,16.19,22643972
"2012-07-26",15.96,16.12,15.78,15.8,34995794
"2012-08-02",16.74,17.23,16.69,17.06,47852836
"2012-08-09",17.26,17.36,17.18,17.28,23463892
"2012-08-16",17.18,17.2,17.03,17.07,20386236
"2012-08-23",16.93,17.01,16.9,16.97,15388192
"2012-08-30",16.89,16.95,16.76,16.82,19728792
"2012-09-06",16.98,17.33,16.95,17.32,27558968
"2012-09-13",17.25,17.66,17.24,17.62,23728098
"2012-09-20",17.63,17.98,17.6,17.98,29453692
"2012-09-27",17.68,17.94,17.64,17.89,25459456
"2012-10-04",18.22,18.35,18.12,18.25,18746472
"2012-10-11",17.68,17.78,17.55,17.56,28032650
"2012-10-18",18.55,18.8,18.44,18.64,27996958
"2012-10-25",18.34,18.45,18.1,18.18,21783332
"2012-11-01",18.83,18.98,18.68,18.78,24153416
"2012-11-08",18.21,18.42,18.1,18.1,23182022
"2012-11-15",17.7,17.85,17.48,17.57,23212318
"2012-11-29",18.35,18.45,18.22,18.43,22966296
"2012-12-06",18.46,18.62,18.4,18.57,16524284
"2012-12-13",18.71,18.78,18.34,18.47,21326946
"2012-12-20",19.02,19.11,18.92,19.04,23074500
"2012-12-27",18.66,18.68,18.2,18.5,26906204
"2013-01-03",19.24,19.29,18.99,19.04,22807450
"2013-01-10",19.32,19.38,19.12,19.25,20995508
"2013-01-17",19.67,20.02,19.61,19.98,22206482
"2013-01-24",20.11,20.12,19.78,19.79,25238968
"2013-01-31",19.25,19.46,18.94,19.04,50031244
"2013-02-07",19.34,19.37,19.04,19.31,26062494
"2013-02-14",20.2,20.34,19.95,20.17,43629682
"2013-02-21",20.36,20.42,19.98,20.04,26115932
"2013-02-28",20.04,20.19,19.9,19.9,24696584
"2013-03-07",20.42,20.5,20.3,20.31,13348050
"2013-03-14",20.4,20.62,20.28,20.58,28377174
"2013-03-21",20.38,20.45,20.08,20.2,24040800
"2013-03-28",20.84,21,20.76,20.99,27181910
"2013-04-04",20.89,21.15,20.82,21.06,15531780
"2013-04-11",20.9,20.98,20.82,20.9,26442356
"2013-04-18",20.36,20.38,19.98,20,32357582
"2013-04-25",20.37,20.51,20.3,20.38,24018542
"2013-05-02",20.86,21.1,20.82,21.06,15546906
"2013-05-09",21.58,21.64,21.38,21.48,15657600
"2013-05-16",21.75,21.86,21.38,21.44,17765016
"2013-05-23",20.8,20.94,20.68,20.91,21527050
"2013-05-30",20.46,20.62,20.45,20.48,14780508
"2013-06-06",20.13,20.17,19.8,20.12,22329728
"2013-06-13",19.7,19.95,19.46,19.88,24528910
"2013-06-20",19.9,19.9,19.38,19.46,30334372
"2013-06-27",20.28,20.44,20.13,20.15,26124144
"2013-07-11",21.73,22.32,21.64,22.23,45031320
"2013-07-18",22.02,22.32,22.02,22.17,19771932
"2013-07-25",22.34,22.4,21.98,22.08,20786810
"2013-08-01",22.88,23.16,22.84,22.92,28002302
"2013-08-08",22.77,22.86,22.44,22.47,14754812
"2013-08-15",21.84,21.85,21.31,21.5,24206576
"2013-08-22",20.98,21.08,20.94,21.01,11381362
"2013-08-29",20.91,21.36,20.86,21.22,19557584
