"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume"
"2011-09-15",54.59,54.59,53.15,54.37,2117495
"2011-09-22",50.3,52.7,50.2,51.77,3009095
"2011-09-29",51.79,52.32,49.94,51.44,2610030
"2011-10-06",51.37,53.42,50.88,53.29,3161070
"2011-10-13",51.51,51.94,50.81,51.26,2304520
"2011-10-20",51.45,52.86,51.3,52.29,3092780
"2011-10-27",54.08,55.6,53.57,55.35,5817975
"2011-11-03",52.2,54.03,51.48,53.71,3903645
"2011-11-10",53.91,54.02,51.82,52.02,3998965
"2011-11-17",48.22,48.53,47.05,47.61,7557035
"2011-12-01",49.46,50.44,49.08,50,2732770
"2011-12-08",50.11,50.44,48.61,48.92,2838330
"2011-12-15",48.2,48.42,47.6,47.82,2437515
"2011-12-22",48.97,49.39,48.62,49.15,2143345
"2011-12-29",48.8,49.55,48.52,49.06,1133050
"2012-01-05",47.99,48.2,47.32,47.72,3895025
"2012-01-12",45.19,46.68,45.1,46.65,3357575
"2012-01-19",46.63,48.75,46.59,47.51,7454580
"2012-01-26",48.38,48.85,48,48.09,1757495
"2012-02-02",49.92,53.23,49.69,53.2,10082330
"2012-02-09",57.16,57.47,56.55,56.67,3555545
"2012-02-16",58,59.39,57.31,59.13,4064540
"2012-02-23",57.64,58.49,57.43,58.36,7783605
"2012-03-01",57.41,58.19,57.4,57.91,3077675
"2012-03-08",55.28,55.4,54.73,55.25,1900210
"2012-03-15",55.18,58.07,55.18,57.25,5617295
"2012-03-22",59.21,59.59,58.66,59.15,2661450
"2012-03-29",58.09,58.48,57.32,57.92,2048195
"2012-04-05",57,57.86,57,57.59,1872605
"2012-04-12",56.78,57.51,56.25,57.5,1835185
"2012-04-19",55.77,55.99,55.13,55.49,1828990
"2012-04-26",53.51,54.98,53.4,54.8,4420330
"2012-05-03",52.75,53.44,52.07,52.83,3191005
"2012-05-10",52.54,52.83,52.13,52.34,2333775
"2012-05-17",51.04,51.92,50.63,50.72,2834285
"2012-05-24",50.81,51.3,50.7,51.23,2482665
"2012-05-31",52.15,52.55,51.21,51.51,3153185
"2012-06-07",54.54,54.67,53.18,53.34,2726245
"2012-06-14",54.53,54.83,54.15,54.58,1770600
"2012-06-21",55.51,56,54.31,54.31,1742205
"2012-06-28",52.48,53.28,51.97,52.91,2387305
"2012-07-05",53.85,54.03,52.86,53.03,2000065
"2012-07-12",51.73,52.42,51.12,52.14,1686595
"2012-07-19",52.76,52.99,51.6,52.11,1899480
"2012-07-26",52,52.62,51.32,52.44,2353437
"2012-08-02",50.94,51.06,49.54,49.83,3388685
"2012-08-09",53.09,53.72,52.95,53.51,1620370
"2012-08-16",52.52,53.66,52.52,53.48,1593888
"2012-08-23",53.59,53.65,53.27,53.33,1470033
"2012-08-30",54.1,54.6,54,54.51,1685017
"2012-09-06",55.28,56.47,54.66,56.39,3001625
"2012-09-13",58.65,59.52,58.36,59.35,2399502
"2012-09-20",57.43,58.08,57.31,58.04,1389746
"2012-09-27",57.1,57.62,56.82,57.4,1541878
"2012-10-04",57.27,57.78,56.92,57.53,1128371
"2012-10-11",57.03,57.22,56.48,56.58,1350600
"2012-10-18",57.65,57.8,57.28,57.66,1225945
"2012-10-25",56.3,56.67,54.16,55,4054692
"2012-11-01",56.18,56.66,55.58,56.47,1184519
"2012-11-08",55.69,56.17,54.71,54.73,1225982
"2012-11-15",53.78,54.55,53.73,54.08,1261155
"2012-11-29",55.29,55.39,54.77,55.15,1132966
"2012-12-06",54.02,55.3,53.99,55.03,2126786
"2012-12-13",51.7,52.1,50.81,51.21,3724663
"2012-12-20",53.33,53.45,50.87,51.4,4693623
"2012-12-27",50.49,50.72,49.79,50.35,1677815
"2013-01-03",51.39,51.67,51.04,51.56,2130658
"2013-01-10",52.92,53.5,52.69,53.32,1019732
"2013-01-17",54.83,55.63,54.76,55.48,1302630
"2013-01-24",56.97,57.5,56.72,57.28,2480435
"2013-01-31",58.06,58.26,57.61,57.84,2157799
"2013-02-07",56.87,57.14,56.41,56.9,2214712
"2013-02-14",57.21,58.46,57.06,58.44,1966297
"2013-02-21",57.96,58.12,57.51,57.62,1310140
"2013-02-28",59.92,60.1,59.3,59.67,3366180
"2013-03-07",62.32,62.37,61.26,61.73,1391973
"2013-03-14",62.53,63.33,62.5,63.08,2156309
"2013-03-21",61.84,62.1,60.9,60.93,1923548
"2013-03-28",61.46,61.58,60.78,61.41,1301883
"2013-04-04",60.26,60.4,59.84,60.01,1144914
"2013-04-11",60.29,60.99,60.11,60.79,1664774
"2013-04-18",58.95,59.35,58.36,58.53,1123570
"2013-04-25",60.3,61.22,60.26,61.03,1327764
"2013-05-02",60.07,60.45,58.62,60.4,1947567
"2013-05-09",60.53,61.2,60.5,60.76,855615
"2013-05-16",63.73,64.66,63.59,64.23,1578041
"2013-05-23",62.77,64.37,62.44,64.13,2638284
"2013-05-30",67.47,70.06,67.47,69.78,4974885
"2013-06-06",68.64,69.37,68.15,68.92,1889604
"2013-06-13",72.37,74.3,72.05,74.14,2051155
"2013-06-20",75.2,79.45,75.14,77.09,4894038
"2013-06-27",76.6,77.05,76.18,76.52,1955453
"2013-07-11",77.48,77.48,76.12,76.75,2828073
"2013-07-18",76.27,76.86,75.72,76.4,1798191
"2013-07-25",73.78,74.12,73.18,73.84,1930319
"2013-08-01",74.84,74.84,71.02,72.17,4743516
"2013-08-08",71.93,72.6,71.69,72.22,1299688
"2013-08-15",73.61,75.37,73.32,74.83,2823478
"2013-08-22",72.42,72.8,72.18,72.66,962401
"2013-08-29",70.33,71.21,70.31,70.47,1360961
"2013-09-05",73.82,73.88,73.04,73.37,1386327
"2013-09-12",72.57,73.5,72.25,72.72,1828660
"2013-09-19",70.84,74.17,70.73,73.86,3700792
"2013-09-26",74.73,75.5,74.5,75.31,1889821
"2013-10-03",73.6,74.25,73.03,73.93,1409044
"2013-10-10",72.7,74.51,72.29,74.5,1219284
"2013-10-17",76.01,76.99,75.8,76.76,1067878
"2013-10-24",77.48,77.92,76.6,76.97,1244703
"2013-10-31",75.06,75.18,74.17,74.21,1504736
"2013-11-07",74.75,75.85,74.61,74.66,1647005
"2013-11-14",78.69,79.05,77.8,78.84,1022800
"2013-11-21",81.53,83.82,81.48,83.58,1979345
"2013-12-05",79.8,80.34,77.93,79.11,2882165
"2013-12-12",79.05,80.13,78.51,80.11,1519955
"2013-12-19",84.15,84.7,83.59,83.68,2118112
"2013-12-26",80.37,80.78,79.55,79.88,2441828
"2014-01-02",77.96,78.75,77.32,77.96,2070876
"2014-01-09",77.34,77.8,76.92,77.1,1577661
"2014-01-16",75.32,75.9,75.12,75.5,1246662
"2014-01-23",75.37,75.72,75.19,75.51,2061628
"2014-01-30",73.13,74.8,72.63,74.32,4651726
"2014-02-06",73.98,76.14,73.54,75.98,1902349
"2014-02-13",76.43,77.17,76.03,76.99,884456
"2014-02-20",74.68,75.06,73.54,73.76,1694443
"2014-02-27",72.41,73.24,72.1,73.16,1942290
"2014-03-06",76.23,77.19,75.89,76.76,1849890
"2014-03-13",76.32,76.32,74.73,74.78,2200798
"2014-03-20",75.53,77.07,75.36,76.92,2521282
"2014-03-27",74.87,75,73.22,73.92,2019101
"2014-04-03",72.11,73.16,71.94,72.18,1843756
"2014-04-10",69.31,70.26,68.02,68.37,2683359
"2014-04-17",68.73,69.61,68.64,69.3,1031094
"2014-04-24",71.89,72,70.51,70.9,1119250
"2014-05-01",70.81,71.24,67.54,70.68,2918415
"2014-05-08",70.01,70.6,69.04,69.17,1814366
"2014-05-15",69.8,69.94,69.22,69.48,1443796
"2014-05-22",69.84,71.37,69.74,71.34,1337765
"2014-05-29",72.02,72.48,71.55,72.46,1003740
"2014-06-05",70.56,70.65,69.16,69.51,1660779
"2014-06-12",70.38,71.17,70.14,70.89,1463233
"2014-06-19",72.16,72.28,70.76,71.73,1398898
"2014-06-26",70.53,70.65,69.86,70.5,785684
"2014-07-03",71.35,72.46,71.26,72.36,765362
"2014-07-10",70.6,70.81,70.06,70.13,1372568
"2014-07-17",70.54,71.46,70.54,71.13,1303839
"2014-07-24",74.9,75.89,74.79,75.36,1687656
"2014-07-31",74.5,75.49,73.6,73.94,2199277
"2014-08-07",74.05,74.05,73.02,73.22,1617524
"2014-08-14",73.54,73.75,73.36,73.59,923459
"2014-08-21",74.08,74.7,73.85,74.64,1066498
"2014-08-28",75.94,76.69,75.93,76.58,1042378
"2014-09-04",76.67,77.02,76.25,76.61,1169212
"2014-09-11",75.91,77.6,75.91,77.52,1514228
"2014-09-18",80.34,83.61,80.11,82.96,3067416
"2014-09-25",80.96,81.23,78.98,79.2,2158230
"2014-10-02",79.73,80.94,79.62,80.42,2299663
"2014-10-09",80.93,81.5,80.37,80.98,1755087
"2014-10-16",77.99,79.76,77.56,79.13,1824410
"2014-10-23",80.33,81.67,79.98,81.2,1388017
"2014-10-30",81.55,82.16,80.61,81.56,1631236
"2014-11-06",85.7,86.4,85.49,86.27,969112
"2014-11-13",85.95,86.14,84.87,85.14,1282833
"2014-11-20",83.19,84,82.51,83.58,1300938
"2014-12-04",86.43,87.26,86.24,87.24,1318802
"2014-12-11",89.52,89.99,88.34,88.48,1902884
"2014-12-18",90.06,92.3,90.03,92.28,2187136
"2015-01-08",89.26,89.97,88.54,88.71,2002409
"2015-01-15",84.93,85.54,84.45,84.87,1308123
"2015-01-22",85.58,88.9,85.38,88.57,2125850
"2015-01-29",85.22,86.29,85.07,86.22,1309397
"2015-02-05",89.79,91.62,89.27,90.84,2321625
"2015-02-12",94.89,95.8,94.6,95.31,1437056
"2015-02-19",93.65,94.23,93.4,94.18,1168452
"2015-02-26",96.25,96.69,95.56,96.02,865819
"2015-03-05",96.42,97.08,96.25,96.82,886578
"2015-03-12",97.02,97.63,95.94,97.33,1278946
"2015-03-19",99,99.92,98.63,99.67,1752489
"2015-03-26",94.9,95.4,94.46,94.79,2719694
"2015-04-02",94.68,94.86,92.88,92.91,2052271
"2015-04-09",90.25,90.98,89.94,90.85,1791145
"2015-04-16",90.99,91.83,90.71,91.52,965491
"2015-04-23",90.53,90.88,89.71,90.31,903472
"2015-04-30",89.49,91.86,88.75,90.91,3311655
"2015-05-07",90.37,92.8,90.35,92.4,2353926
"2015-05-14",95.75,96.23,94.97,96.09,1026292
"2015-05-21",93.82,93.9,92.87,93.4,1453975
"2015-05-28",93.7,94.06,93.32,94.03,739306
"2015-06-04",94.17,94.95,93.88,94.24,1420113
"2015-06-11",98.7,99.22,98.28,98.87,1560085
"2015-06-18",96.9,97.05,95.81,96.01,1535342
"2015-06-25",93.57,94.65,93.37,94,1264951
"2015-07-02",94.19,94.47,93.78,94.27,1356935
"2015-07-09",96.24,97.57,95.81,96.97,1537468
"2015-07-16",98.1,99.21,97.87,99.17,1786293
"2015-07-23",98.48,98.61,96.1,96.62,1764924
"2015-07-30",96.86,97.92,96.39,97.01,1343671
"2015-08-06",98.27,98.27,96.51,97.09,1105791
"2015-08-13",96.94,98.04,96.18,97.72,1472013
"2015-08-20",96.26,97.04,95.42,96.06,1883368
"2015-08-27",92.59,93.77,91.97,93.77,1592240
"2015-09-03",92.88,94.63,92.52,93.81,1237228
"2015-09-10",92.2,93.87,91.9,93.47,2567536
"2015-09-17",95.64,96.23,92.16,92.32,2512827
"2015-09-24",90.27,91.14,89.3,90.16,1196862
"2015-10-01",92.83,93.82,92.28,93.78,1551502
"2015-10-08",90.1,90.37,88.86,89.88,1523502
"2015-10-15",87.44,89.28,87.23,89.19,1645136
"2015-10-22",90.74,92.81,90.73,92.46,1038488
"2015-10-29",95.79,97.82,93.05,97.42,1559454
"2015-11-05",95.7,96.58,95.23,95.51,825402
"2015-11-12",97.51,97.98,96.35,96.35,741545
"2015-11-19",96.18,97.27,95.88,97.18,1278684
"2015-12-03",98.49,98.49,94.94,95.43,2057261
"2015-12-10",94.08,95.95,93.51,94.92,1377919
"2015-12-17",95.73,96,93.82,94.97,2644440
"2015-12-24",91.1,92.26,90.97,91.9,657788
"2015-12-31",90.96,92,90.57,90.6,986573
"2016-01-07",87.36,89.76,87.21,87.53,1976694
"2016-01-14",84.62,85.34,83.9,84.7,2171802
"2016-01-21",84.49,85.24,81.87,81.99,4008390
"2016-01-28",87.17,87.9,86.06,87.09,2107441
"2016-02-04",89.28,89.62,85.47,86.33,3790870
"2016-02-11",88.36,90.55,88.32,89.32,1933449
"2016-02-18",91.97,92.13,90.72,91.3,1399926
"2016-02-25",92.97,93.59,92.22,93.19,984266
"2016-03-03",93.58,94.44,92.93,94.34,1291326
"2016-03-10",94.44,94.44,92.52,93.73,1198534
"2016-03-17",96.19,96.86,95.86,96.42,1793229
"2016-03-24",96.19,96.19,94.42,95.17,1468872
"2016-03-31",95.69,96.37,95.53,96.05,1199129
"2016-04-07",93.74,94.02,91.61,92.22,1478429
"2016-04-14",90.58,91.29,90,90.97,2660474
"2016-04-21",93.07,93.33,92.58,93.05,1855951
"2016-04-28",92.68,93.81,91.75,92.33,2115078
"2016-05-05",92.75,93.32,92.22,92.93,1593377
"2016-05-12",93.98,95.35,93.84,95.1,1036195
"2016-05-19",96.5,97.22,95.67,95.78,1357722
"2016-05-26",96.44,97.89,96.44,97.47,1141604
"2016-06-02",98.06,98.23,97.09,97.54,910512
"2016-06-09",95.34,95.35,94.61,95.03,1058991
"2016-06-16",93.83,95.26,93.5,95.16,1774063
"2016-06-23",94.77,96.22,94.24,96.16,1561983
"2016-06-30",96.55,97.47,95.9,97.4,2420451
"2016-07-07",98.14,98.79,97.29,98.15,1190420
"2016-07-14",100.7,101.37,100.24,101.29,1257122
"2016-07-21",101.44,101.72,100.68,101.03,732990
"2016-07-28",101.5,102.21,100.56,101.94,1477842
"2016-08-04",103.5,103.69,102.53,103.36,988123
"2016-08-11",103.71,103.71,102.84,103.32,1175226
"2016-08-18",105.87,106.33,105.77,106.33,941036
"2016-08-25",105.73,105.9,105.02,105.62,972160
"2016-09-01",108.53,109.65,108.22,108.7,1593809
"2016-09-08",106.39,106.95,106.31,106.48,899859
"2016-09-15",107.46,109.58,107.46,109.28,1150618
