"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume"
"2011-09-15",96.84,98,95.38,97.86,4965064
"2011-09-22",86.92,88.7,84.11,85.26,6833292
"2011-09-29",89.87,90.09,83.61,86.45,4753833
"2011-10-06",88.48,90.3,87,90.02,3005587
"2011-10-13",95.04,95.72,92.75,95.48,2631427
"2011-10-20",91.26,92.6,89.9,91.84,2857011
"2011-10-27",98.72,102.9,98.43,99.97,5730582
"2011-11-03",100.52,103.95,100,103.24,3543947
"2011-11-10",98.14,98.7,95.95,97.28,2584496
"2011-11-17",97.77,98.38,94.02,94.78,2358696
"2011-12-01",96.06,97.33,95.19,96.32,2160730
"2011-12-08",93.67,94.42,91.51,91.89,2529577
"2011-12-15",88.88,88.98,86.55,86.83,1942576
"2011-12-22",88.56,88.87,87.14,88.15,2409323
"2011-12-29",88,89.28,87.95,88.98,1593542
"2012-01-05",92.67,94.86,91.59,94.7,3757923
"2012-01-12",99.01,99.51,97.26,99.23,1859977
"2012-01-19",103.63,106.1,103.19,105.51,5075249
"2012-01-26",110.95,110.95,106.61,107.25,3455285
"2012-02-02",111.76,114.75,110.58,113.31,6282296
"2012-02-09",119.53,121.73,119.16,121.24,2542191
"2012-02-16",121.64,123.08,120.8,123.04,2038970
"2012-02-23",122.59,123.56,121.61,122.56,1665130
"2012-03-01",121.47,122.25,120.46,121.65,1471179
"2012-03-08",118.75,120.34,117.3,119.98,2468556
"2012-03-15",123.92,127.83,123.01,126.99,3052693
"2012-03-22",120.97,121.64,118.95,120.12,2987507
"2012-03-29",116.93,119.82,116.23,119.66,2604824
"2012-04-05",115.97,116.93,115.25,115.54,1671973
"2012-04-12",112.57,116.77,112.16,116.05,2525580
"2012-04-19",116.87,117.18,113.41,114.8,1590523
"2012-04-26",114.69,116.36,113.81,116.08,1535515
"2012-05-03",111.89,112.34,109.75,110.44,2814185
"2012-05-10",108.94,109.18,105.37,105.87,2205356
"2012-05-17",100.47,100.89,96.35,96.74,3435900
"2012-05-24",102.18,102.42,99,100.26,1552708
"2012-05-31",98,98.29,95.43,96.95,2961922
"2012-06-07",98.64,100.55,97.1,97.29,4496572
"2012-06-14",94.1,94.1,91.88,93.15,2528735
"2012-06-21",95.33,95.86,91.3,91.48,2405552
"2012-06-28",89.66,92.28,89.66,92.26,2521732
"2012-07-05",99,100.66,98.6,99.31,2283206
"2012-07-12",83.36,86.55,82.2,85.77,6015704
"2012-07-19",87.56,89.32,87.36,88.7,2235662
"2012-07-26",88.68,89.38,87.29,89.09,2209467
"2012-08-02",95.85,97.8,93,95.34,4026069
"2012-08-09",100.8,101.69,100.35,101.28,1898142
"2012-08-16",100.52,103.72,100.35,102.82,2218680
"2012-08-23",101,101.77,100.04,100.4,1483829
"2012-08-30",95.92,97.8,95.52,95.74,2049416
"2012-09-06",96.52,99.65,96.52,98.43,2760235
"2012-09-13",98.89,100.52,97.31,100.19,2141222
"2012-09-20",97.96,97.96,96.11,96.95,2936475
"2012-09-27",92.95,93.49,92.01,92.86,1666779
"2012-10-04",90.79,92.46,90,92.01,2359141
"2012-10-11",88.44,89.14,85.88,86.49,4693382
"2012-10-18",92.1,94.25,91.88,93.12,2848462
"2012-10-25",93.65,94.12,92.04,94.05,2177647
"2012-11-01",94.06,99.05,94,98.75,4105135
"2012-11-08",99.05,99.38,96.47,96.56,2008202
"2012-11-15",94.34,95.71,93.98,94.87,2075571
"2012-11-29",100.75,101.2,98.88,99.85,1619706
"2012-12-06",101.07,101.07,99.23,100.41,1553393
"2012-12-13",105.54,106.75,104.6,105.48,2417805
"2012-12-20",108.04,108.33,107.3,107.77,1627156
"2012-12-27",107.55,107.74,104.68,106.8,1093247
