"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume"
"2011-09-15",15,15.54,14.9,15.5,2136528
"2011-09-22",14.58,15.14,14.44,14.63,1269748
"2011-09-29",15.27,15.28,14.22,14.6,1162064
"2011-10-06",13.77,14.11,13.68,14.1,887634
"2011-10-13",14.03,14.28,13.93,14.21,1261540
"2011-10-20",13.68,13.96,13.42,13.92,1263002
"2011-10-27",16.76,17.44,16.7,17.03,2145246
"2011-11-03",17.64,17.65,17.3,17.58,728850
"2011-11-10",17.4,17.42,16.96,17.11,485302
"2011-11-17",18.26,18.45,18.04,18.16,2678528
"2011-12-01",19.18,19.5,19.14,19.16,916458
"2011-12-08",18.96,18.96,18.24,18.29,833884
"2011-12-15",17.86,17.9,17.53,17.82,910888
"2011-12-22",20,20.04,19.83,19.87,949086
"2011-12-29",19.82,20.24,19.78,20.08,751744
"2012-01-05",19.63,20.62,19.48,20.55,833830
"2012-01-12",21.91,22.05,21.81,22.03,820854
"2012-01-19",22.34,22.36,22.08,22.18,991224
"2012-01-26",21.84,21.84,21.38,21.5,754546
"2012-02-02",23.02,23.34,22.99,23.32,1365510
"2012-02-09",23.81,24.08,23.41,23.54,1148046
"2012-02-16",24.34,24.9,24.3,24.88,940144
"2012-02-23",24.34,24.56,24.18,24.24,946998
"2012-03-01",24.48,24.7,24.24,24.52,832060
"2012-03-08",23.04,23.19,22.83,23.03,860156
"2012-03-15",22.78,23.42,22.77,23.14,1149910
"2012-03-22",22.2,22.34,21.96,22.2,1610722
"2012-03-29",23.64,24.02,23.31,23.72,1786050
"2012-04-05",24.66,25.49,24.64,25.4,1244748
"2012-04-12",21.04,21.98,20.85,21.85,2351958
"2012-04-19",21.92,22.82,21.92,22.82,1524798
"2012-04-26",21.06,21.46,20.75,21.08,2021606
"2012-05-03",19.97,20.12,19.7,19.81,2379458
"2012-05-10",19.1,19.18,18.78,18.84,1365776
"2012-05-17",17.96,18.11,17.5,17.51,1702938
"2012-05-24",17.48,18.44,17.48,18.06,2575382
"2012-05-31",18.44,18.44,17.67,18.07,2845336
"2012-06-07",16.76,17,15.45,16.42,10509658
"2012-06-14",13.4,14.26,13.4,14.1,3494888
"2012-06-21",14.97,15.53,14.9,15.22,4141506
"2012-06-28",14.88,16.59,14.5,15.3,10689046
"2012-07-05",14.88,14.98,14.82,14.87,1164160
"2012-07-12",17.2,17.46,16.94,17.45,1406000
"2012-07-19",18.82,19,18.5,18.79,2663766
"2012-07-26",18.7,18.93,18.52,18.84,1961118
"2012-08-02",18.86,18.96,18.18,18.52,1610578
"2012-08-09",19.82,20.35,19.73,20.14,1758710
"2012-08-16",20.26,20.69,20.04,20.52,719588
"2012-08-23",20.05,20.23,19.9,20.18,1108712
"2012-08-30",20.22,20.42,20.02,20.32,1210110
"2012-09-06",20.81,21.23,20.8,20.92,862422
"2012-09-13",18.64,18.92,18.44,18.72,1546308
"2012-09-20",18.4,18.45,18.04,18.1,1631066
"2012-09-27",18.32,18.73,18.32,18.57,718798
"2012-10-04",18.46,18.66,18.26,18.3,1542144
"2012-10-11",17.95,18.08,17.88,17.91,704160
"2012-10-18",19.4,19.58,19.2,19.42,1145634
"2012-10-25",19.48,19.6,19.2,19.24,1563120
"2012-11-01",18.98,19.44,18.83,19.39,1701370
"2012-11-08",21.83,21.96,21.05,21.17,1760066
"2012-11-15",21.12,21.31,20.96,21.12,852308
"2012-11-29",21.59,21.98,21.58,21.86,1088142
"2012-12-06",22.58,22.83,22.26,22.42,1334484
"2012-12-13",22.78,22.84,22.46,22.48,1701062
"2012-12-20",20.57,20.68,20.28,20.57,1142328
"2012-12-27",20.18,20.38,19.79,20.17,655386
"2013-01-03",20.66,20.71,20.34,20.46,1233820
"2013-01-10",20.73,20.98,20.62,20.94,928492
"2013-01-17",21.16,21.39,20.94,21.34,1092494
"2013-01-24",22.24,22.54,21.98,22.12,1124352
"2013-01-31",21.8,21.94,21.56,21.58,1591742
"2013-02-07",22.5,22.5,22.08,22.39,1042872
"2013-02-14",22.5,22.8,22.28,22.76,662248
"2013-02-21",22.84,22.98,22.4,22.88,1298598
"2013-02-28",22.41,22.98,22.38,22.51,1498252
"2013-03-07",23.04,23.6,23.04,23.5,1285394
"2013-03-14",23.02,23.06,22.3,22.74,1978906
"2013-03-21",22.62,22.74,22.41,22.5,782100
"2013-03-28",22.14,22.15,21.94,22.02,866366
"2013-04-04",21.88,22.04,21.52,21.8,787602
"2013-04-11",22.95,23.74,22.91,23.68,1476316
"2013-04-18",22.33,22.48,21.74,22.14,1552214
"2013-04-25",23.74,24.01,23.57,23.82,1087800
"2013-05-02",23.33,23.66,23.23,23.54,748634
"2013-05-09",24.38,24.7,24.14,24.61,704912
"2013-05-16",25.8,26.3,25.64,26.08,774422
"2013-05-23",25.2,25.78,24.99,25.67,641934
"2013-05-30",25.48,25.66,25.16,25.62,487562
"2013-06-06",23.96,24.5,23.9,24.16,817268
"2013-06-13",24.64,25.15,24.38,25.08,1425334
"2013-06-20",25.54,25.56,25.08,25.19,615668
"2013-06-27",25.04,26.2,25.04,25.98,1411000
"2013-07-11",27.53,27.62,27.14,27.28,541360
"2013-07-18",27.7,28.22,27.54,27.62,963382
"2013-07-25",29.3,29.3,28.34,28.63,1275860
"2013-08-01",27.92,28.14,27.84,28.05,1221196
"2013-08-08",28.56,28.7,28.25,28.64,938166
"2013-08-15",28,28.14,27.68,27.76,998396
"2013-08-22",28.22,28.48,28.12,28.45,239888
"2013-08-29",28.7,29.26,28.63,29.12,432472
"2013-09-05",29.74,29.88,29.48,29.66,455530
"2013-09-12",29.85,30,29.59,29.8,433728
"2013-09-19",30.25,30.51,29.48,29.5,637004
"2013-09-26",31.97,32.52,31.76,32.08,1020922
"2013-10-03",32.18,32.28,31.68,32.28,759582
"2013-10-10",32.42,32.92,32.11,32.88,670804
"2013-10-17",33.06,33.28,32.62,32.75,1095704
"2013-10-24",31.66,31.9,30.03,30.04,2056948
"2013-10-31",28.84,28.92,28.07,28.08,2276130
"2013-11-07",28.66,28.78,27.52,27.8,1724810
"2013-11-14",28.92,29.13,28.74,28.89,408448
"2013-11-21",28.63,28.72,28.02,28.56,1520722
"2013-12-05",30.42,30.48,29.92,29.98,650180
"2013-12-12",27.97,28.27,27.06,27.13,2246374
"2013-12-19",28.48,28.52,27.98,28.14,637086
"2013-12-26",28.89,29.14,28.54,28.74,483204
"2014-01-02",29.48,29.64,29.22,29.52,1005594
"2014-01-09",30.76,31.36,30.76,30.86,1275430
"2014-01-16",31.04,31.43,30.82,31,1059584
"2014-01-23",31.08,31.54,30.96,31.27,1638950
"2014-01-30",30.38,30.86,30.23,30.46,1155186
"2014-02-06",30.92,31.06,30.36,30.77,1251402
"2014-02-13",29.06,29.73,29.06,29.73,1407016
"2014-02-20",30.27,30.68,30.09,30.64,527060
"2014-02-27",31.4,31.62,31.3,31.42,525690
"2014-03-06",31.56,31.86,31.36,31.42,725222
"2014-03-13",32.35,32.36,31.7,31.81,747210
"2014-03-20",32.38,32.84,32.38,32.6,646704
"2014-03-27",31.49,31.58,30.7,30.7,974934
"2014-04-03",30.6,30.86,29.97,30.6,1108022
"2014-04-10",29.98,30.02,28.96,29.1,1401828
"2014-04-17",28.21,28.42,27.56,27.83,3314074
"2014-04-24",32.9,34.13,32.76,33.36,1952610
"2014-05-01",33.3,33.3,32.62,33,1135606
"2014-05-08",34.09,34.52,33.84,33.9,884090
"2014-05-15",34.75,35.26,34.07,35.2,990764
"2014-05-22",35.5,35.74,35.01,35.6,1004726
"2014-05-29",36.62,36.88,36.2,36.88,1359324
"2014-06-05",35.6,37.06,35.6,36.68,938242
"2014-06-12",37.24,37.64,36.86,37.56,1067928
"2014-06-19",38.75,38.84,38.2,38.28,1389666
"2014-06-26",37.59,37.59,37.07,37.42,738400
"2014-07-03",39.86,40.42,39.64,40.2,2179614
"2014-07-10",38.19,38.94,38.04,38.56,1376598
"2014-07-17",37.9,39.7,37.8,38.99,1537186
"2014-07-24",39.96,40.34,39.78,39.82,1899970
"2014-07-31",36.75,36.75,35.84,36.04,2851098
"2014-08-07",36.62,36.62,35.6,35.69,992588
"2014-08-14",36.68,37.16,36.56,37.06,732560
"2014-08-21",38.08,38.26,37.92,38.21,1397428
"2014-08-28",38.1,39.12,38.1,38.91,1475594
"2014-09-04",38.1,39.11,38.05,38.24,1694654
"2014-09-11",39.51,39.68,38.98,39.32,1819520
"2014-09-18",40,40.68,39.88,40.62,1540352
"2014-09-25",41.46,41.72,40.88,41.2,1388110
"2014-10-02",40.64,40.82,39.78,40.34,1540356
"2014-10-09",41.12,41.12,40.4,40.42,901870
"2014-10-16",38.6,39.93,38.34,39.14,1931214
"2014-10-23",41.14,41.92,41.08,41.48,1113898
"2014-10-30",44.98,45.5,44.84,45,2360078
"2014-11-06",46.44,47.12,46.42,46.78,850504
"2014-11-13",48.39,49,47.95,48.66,1438802
"2014-11-20",48.86,49.72,48.83,49.38,786450
"2014-12-04",50.84,50.85,50.24,50.44,1079652
"2014-12-11",48.75,49.74,48.48,49.45,930028
"2014-12-18",52.94,53.58,52.31,53.58,1406274
"2015-01-08",52.9,53.58,52.72,53.34,1915682
"2015-01-15",53.56,54.05,52.93,53.44,1035448
"2015-01-22",54.75,55.69,54.14,55.68,1314228
"2015-01-29",55,55.42,54.62,55.39,1342906
"2015-02-05",57.37,58.34,57.09,57.36,1107392
"2015-02-12",59.92,59.92,58.39,59.1,1330448
"2015-02-19",60.19,60.54,59.75,60.34,836744
"2015-02-26",61.53,61.85,60.8,61.18,796642
"2015-03-05",62.3,63.46,62.29,63.25,1018472
"2015-03-12",64.38,65.1,64.21,64.89,997595
"2015-03-19",69.58,70.99,69.02,70.59,1599297
"2015-03-26",68.17,68.59,65.23,68.19,1756538
"2015-04-02",70.46,70.98,70.08,70.36,996835
"2015-04-09",71.25,71.76,70.33,70.62,670209
"2015-04-16",68.65,69.64,68.65,69.3,1423153
"2015-04-23",70.82,72.69,70.47,72.54,1068958
"2015-04-30",63.92,64.8,61.85,61.99,2234602
"2015-05-07",63.28,64.27,63.28,63.92,972320
"2015-05-14",68.18,68.52,67.8,68.16,877735
"2015-05-21",70.69,71.72,70.3,71.58,733697
"2015-05-28",72.01,72.5,71.37,72.41,1412644
"2015-06-04",73.17,73.78,72.53,72.82,787059
"2015-06-11",74.7,76.08,74.61,75.78,1764842
"2015-06-18",78.84,79.94,78.51,79.07,1194243
"2015-06-25",78.67,81.8,78.31,81.48,1732462
"2015-07-02",82.8,83,73.81,74.44,8725546
