"","CNP.Open","CNP.High","CNP.Low","CNP.Close","CNP.Volume"
"2011-09-15",20.05,20.08,19.71,19.88,4806828
"2011-09-22",18.91,18.95,18.53,18.71,6104373
"2011-09-29",19.47,20.39,19.38,19.96,10296657
"2011-10-06",19.72,20.13,19.58,20.13,3631544
"2011-10-13",19.83,20.1,19.78,20.07,2820589
"2011-10-20",20.76,21.03,20.7,20.94,3971383
"2011-10-27",21.3,21.39,21.13,21.25,8408561
"2011-11-03",20.01,20.36,19.95,20.3,6163805
"2011-11-10",19.78,19.86,19.33,19.55,6781202
"2011-11-17",19.3,19.51,19.16,19.36,4093311
"2011-12-01",19.82,19.95,19.77,19.8,2799094
"2011-12-08",19.75,19.77,19.34,19.42,2970355
"2011-12-15",18.88,19.17,18.79,19.1,3406229
"2011-12-22",19.83,19.98,19.7,19.92,2291728
"2011-12-29",20.16,20.27,20.12,20.23,1605105
"2012-01-05",19.69,19.86,19.6,19.8,3991131
"2012-01-12",19.41,19.45,19.12,19.16,3250450
"2012-01-19",18.91,18.93,18.41,18.43,5535165
"2012-01-26",18.8,18.86,18.43,18.48,5567995
"2012-02-02",18.66,18.75,18.53,18.58,2633094
"2012-02-09",18.9,18.92,18.76,18.84,12612947
"2012-02-16",18.82,19.01,18.75,18.85,10510764
"2012-02-23",18.79,18.89,18.74,18.83,2273852
"2012-03-01",19.38,19.41,19.14,19.36,7966135
"2012-03-08",19.36,19.48,19.21,19.42,7696083
"2012-03-15",19.2,19.29,18.96,19.22,5229341
"2012-03-22",19.05,19.38,19.05,19.3,6004161
"2012-03-29",19.1,19.35,18.98,19.35,3193185
"2012-04-05",19.63,19.69,19.42,19.55,3328117
"2012-04-12",19.06,19.26,18.91,19.26,2875781
"2012-04-19",19.31,19.44,19.2,19.33,2967905
"2012-04-26",19.67,19.92,19.6,19.85,3608425
"2012-05-03",20.09,20.31,19.62,19.72,10033228
"2012-05-10",19.92,20.31,19.84,20.25,7081389
"2012-05-17",20.02,20.14,19.7,19.83,5422132
"2012-05-24",19.87,20.14,19.82,20.03,2470046
"2012-05-31",20.06,20.39,19.96,20.23,4120308
"2012-06-07",20.25,20.35,20.22,20.32,2840996
"2012-06-14",20.33,20.46,20.28,20.41,1917719
"2012-06-21",20.41,20.62,20.14,20.18,4365453
"2012-06-28",20.45,20.64,20.32,20.62,1681994
"2012-07-05",20.59,20.62,20.39,20.46,2536858
"2012-07-12",20.42,20.72,20.38,20.63,2002481
"2012-07-19",20.87,20.94,20.56,20.92,3298210
"2012-07-26",20.73,20.95,20.73,20.89,2828934
"2012-08-02",20.76,21.18,20.47,20.83,4782769
"2012-08-09",21.06,21.1,20.97,21.01,2523749
"2012-08-16",20.48,20.56,20.36,20.42,2699556
"2012-08-23",20.37,20.4,20.18,20.24,2845744
"2012-08-30",20.5,20.58,20.39,20.52,1574159
"2012-09-06",20.72,20.99,20.69,20.99,3582129
"2012-09-13",20.68,21.1,20.65,21.1,2503629
"2012-09-20",20.71,21,20.65,20.87,3761797
"2012-09-27",21.49,21.54,21.25,21.3,3265606
"2012-10-04",21.57,21.71,21.45,21.51,1709379
"2012-10-11",21.37,21.39,21.15,21.18,1907240
"2012-10-18",21.74,21.75,21.54,21.69,1908478
"2012-10-25",21.21,21.38,21.12,21.38,1574082
"2012-11-01",21.66,21.74,21.56,21.74,2905023
"2012-11-08",20.55,20.86,20.36,20.39,4726117
"2012-11-15",19.49,19.6,18.95,19.13,6430409
"2012-11-29",19.97,19.97,19.65,19.76,2223185
"2012-12-06",19.94,20,19.8,19.86,2817241
"2012-12-13",19.83,19.96,19.79,19.83,2936400
"2012-12-20",19.75,19.82,19.62,19.67,2681002
"2012-12-27",19.08,19.15,18.83,19.05,4021869
"2013-01-03",19.62,19.75,19.59,19.68,1990891
"2013-01-10",19.7,19.81,19.63,19.79,2606225
"2013-01-17",19.92,20.08,19.91,19.91,2692501
"2013-01-24",20.19,20.36,20.06,20.24,2212144
"2013-01-31",20.49,20.53,20.38,20.44,2409917
"2013-02-07",20.84,20.87,20.64,20.87,3014166
"2013-02-14",20.76,20.86,20.39,20.43,6193957
"2013-02-21",20.64,20.78,20.54,20.67,2942679
"2013-02-28",21.28,21.52,21.16,21.43,4968167
"2013-03-07",21.7,21.78,21.6,21.63,2093882
"2013-03-14",21.86,21.9,21.74,21.84,2412969
"2013-03-21",23,23.47,22.95,23.44,5159728
"2013-03-28",23.71,24.05,23.64,23.96,3165346
"2013-04-04",23.78,24.02,23.75,23.94,3438460
"2013-04-11",24.18,24.26,24.1,24.23,1973781
"2013-04-18",23.58,23.88,23.56,23.74,2736873
"2013-04-25",24.34,24.44,24.22,24.32,1683219
"2013-05-02",24.1,24.4,23.93,24.14,3703476
"2013-05-09",23.97,24.3,23.95,24.09,3433787
"2013-05-16",24.33,24.41,24.07,24.1,2381430
"2013-05-23",23.57,23.94,23.45,23.86,3266039
"2013-05-30",23.14,23.6,23.06,23.2,2396167
"2013-06-06",22.84,23.16,22.65,23.15,3955751
"2013-06-13",23.03,23.68,22.95,23.62,2950700
"2013-06-20",22.94,22.99,22.41,22.49,2897106
"2013-06-27",23.38,23.63,23.31,23.49,1909534
"2013-07-11",24.3,24.35,24.01,24.31,1452460
"2013-07-18",24.53,24.83,24.49,24.74,1218319
"2013-07-25",24.35,24.89,24.35,24.71,2547159
"2013-08-01",25.38,25.65,24.71,25.16,2943846
"2013-08-08",24.39,24.74,24.33,24.4,9297174
"2013-08-15",23.45,23.47,23.24,23.29,2749266
"2013-08-22",23,23.14,22.9,23.01,1605611
"2013-08-29",23.1,23.26,23,23.05,1995358
"2013-09-05",22.91,23.03,22.7,22.76,2314063
"2013-09-12",22.88,22.99,22.68,22.87,2444545
"2013-09-19",24.36,24.63,24.02,24.21,5124121
"2013-09-26",23.99,24.23,23.96,24.09,2766554
"2013-10-03",24.3,24.3,23.83,23.87,3406444
"2013-10-10",24.02,24.36,23.83,24.34,1577500
"2013-10-17",24.27,24.75,24.17,24.68,1828591
"2013-10-24",24.77,24.83,24.43,24.62,1846930
"2013-10-31",24.51,24.75,24.25,24.6,3046297
"2013-11-07",25.13,25.3,24.69,24.73,3673991
"2013-11-14",25.05,25.14,24.82,24.94,2642954
"2013-11-21",24.47,24.67,24.35,24.54,2765628
"2013-12-05",23,23.23,22.83,23.19,4889339
"2013-12-12",22.82,23.04,22.81,22.85,2201831
"2013-12-19",22.87,22.89,22.57,22.76,2522770
"2013-12-26",23.16,23.25,23,23.07,1472751
"2014-01-02",23.17,23.29,22.81,22.82,2980414
"2014-01-09",22.85,23.11,22.71,23.1,3654352
"2014-01-16",23.45,23.62,23.26,23.56,5047987
"2014-01-23",23.71,23.76,23.41,23.57,2523739
"2014-01-30",23.26,23.62,23.25,23.55,2780052
"2014-02-06",23.04,23.21,22.95,23.18,4360168
"2014-02-13",23.22,23.52,23.15,23.5,3591324
"2014-02-20",24.18,24.54,24.06,24.28,3884496
"2014-02-27",23.52,23.78,23.45,23.56,7500598
"2014-03-06",23.39,23.49,23.21,23.25,3322525
"2014-03-13",23.5,24.12,23.46,23.94,10242877
"2014-03-20",23.77,23.8,23.57,23.7,2241553
"2014-03-27",23.39,23.47,23.16,23.39,6396004
"2014-04-03",24.05,24.1,23.67,23.87,6579509
"2014-04-10",23.9,24.22,23.83,23.96,4129771
"2014-04-17",24.63,24.81,24.46,24.61,3965895
"2014-04-24",24.64,24.78,24.43,24.56,3745642
"2014-05-01",25.23,25.55,24.57,24.74,4730327
"2014-05-08",24.56,24.64,24.28,24.36,3067300
"2014-05-15",23.7,23.82,23.55,23.55,2965256
"2014-05-22",23.68,24.11,23.61,24.03,3862955
"2014-05-29",24.01,24.08,23.86,24.06,1822786
"2014-06-05",23.93,24.1,23.85,24.1,3267554
"2014-06-12",23.79,23.99,23.63,23.95,3110190
"2014-06-19",24.8,24.99,24.74,24.97,5703205
"2014-06-26",25.01,25.21,24.85,25.16,5318166
"2014-07-03",24.92,25.01,24.66,24.77,1931619
"2014-07-10",24.85,25.06,24.77,25.06,2049752
"2014-07-17",24.83,25.14,24.78,24.81,3407466
"2014-07-24",25.05,25.22,24.91,25.16,2250326
"2014-07-31",24.45,24.65,24.3,24.32,4623889
"2014-08-07",23.6,24.01,23.6,23.88,3876005
"2014-08-14",24.28,24.54,24.21,24.5,2438763
"2014-08-21",24.74,24.9,24.67,24.69,1732288
"2014-08-28",24.55,24.85,24.55,24.84,993206
"2014-09-04",24.84,24.92,24.62,24.75,2362104
"2014-09-11",24.62,24.78,24.57,24.75,1775716
"2014-09-18",24.37,24.43,24.14,24.22,2475724
"2014-09-25",23.84,24.21,23.8,23.94,4138893
"2014-10-02",24.54,24.68,24.43,24.53,3064352
"2014-10-09",24.75,24.84,24.1,24.19,4097928
"2014-10-16",21.9,22.82,21.77,22.55,9922682
"2014-10-23",23.69,24.02,23.58,23.82,3148153
"2014-10-30",24.22,24.56,24.18,24.41,4420497
"2014-11-06",25.08,25.11,24.52,24.94,5957053
"2014-11-13",24.62,24.73,24.16,24.19,4326619
"2014-11-20",24.31,24.51,24.22,24.33,1806027
"2014-12-04",24.06,24.17,23.87,23.92,4794276
"2014-12-11",22.7,23,22.56,22.58,4688422
"2014-12-18",22.55,23,22.49,23,4709004
"2015-01-08",22.86,23.24,22.71,23.2,3429711
"2015-01-15",22.66,22.76,22.5,22.66,3756619
"2015-01-22",23.23,23.33,22.74,22.89,3461976
"2015-01-29",22.8,23.46,22.7,23.37,4108122
"2015-02-05",22.99,23.28,22.83,23.19,3555321
"2015-02-12",21.77,22.12,21.67,22.11,4691897
"2015-02-19",21.96,21.96,21.5,21.61,3713881
"2015-02-26",21.59,21.69,20.83,21.02,6704822
"2015-03-05",20.94,21.12,20.84,20.96,4178090
"2015-03-12",20.56,20.82,20.49,20.74,3567588
"2015-03-19",21.2,21.26,20.83,20.84,4611182
"2015-03-26",20.59,20.73,20.42,20.42,3288796
"2015-04-02",20.77,20.84,20.56,20.72,3018066
"2015-04-09",20.66,20.7,20.46,20.52,3725576
"2015-04-16",21.12,21.13,20.63,20.86,5229471
"2015-04-23",20.85,21,20.75,20.97,2875485
"2015-04-30",21.01,21.05,20.77,20.97,4197958
"2015-05-07",20.39,20.47,20.23,20.3,3484702
"2015-05-14",19.98,20.27,19.95,20.2,4580393
"2015-05-21",20.57,20.64,20.41,20.51,2915421
"2015-05-28",20.22,20.39,20.18,20.38,2908456
"2015-06-04",19.55,19.74,19.28,19.3,4207951
"2015-06-11",19.48,19.59,19.42,19.49,2417748
"2015-06-18",19.49,19.73,19.37,19.67,3742558
"2015-06-25",19.21,19.32,19.12,19.16,4704269
"2015-07-02",19.14,19.36,19.1,19.35,3589002
"2015-07-09",19.31,19.48,18.94,18.95,7152668
"2015-07-16",19.32,19.41,19.16,19.24,5125606
"2015-07-23",18.59,18.63,18.23,18.34,3371437
"2015-07-30",19.04,19.2,18.96,19.14,2423308
"2015-08-06",19.09,19.11,18.71,19.08,4578797
"2015-08-13",19.55,19.7,19.33,19.64,5087280
"2015-08-20",19.78,20.1,19.7,19.82,4708247
"2015-08-27",18.38,18.77,18.28,18.75,4015537
"2015-09-03",17.76,18.07,17.75,17.94,3506885
"2015-09-10",17.73,18.01,17.68,17.73,3266248
"2015-09-17",18.14,18.57,18.07,18.28,2476955
"2015-09-24",17.7,17.92,17.69,17.82,5333565
"2015-10-01",18.1,18.14,17.6,17.77,3464564
"2015-10-08",18.55,18.81,18.48,18.74,3545486
"2015-10-15",18.31,18.72,18.27,18.66,4947139
"2015-10-22",18.84,19.26,18.84,19.13,5540219
"2015-10-29",18.46,18.59,18.26,18.53,5457313
"2015-11-05",18.76,18.9,18.47,18.51,5746225
"2015-11-12",17.21,17.38,16.9,16.91,3379887
"2015-11-19",17.16,17.29,17.05,17.1,2665698
"2015-12-03",16.52,16.63,16.35,16.45,4726911
"2015-12-10",16.41,16.53,16.07,16.14,5313143
"2015-12-17",17.63,17.89,17.44,17.84,10916914
"2015-12-24",18.05,18.22,17.98,18.11,3405345
"2015-12-31",18.29,18.48,18.06,18.36,4090480
"2016-01-07",17.98,18.11,17.78,17.85,3701361
"2016-01-14",17.11,17.71,16.94,17.63,6195377
"2016-01-21",16.95,17.6,16.9,17.43,9739862
"2016-01-28",17.5,17.68,17.26,17.54,4402572
"2016-02-04",19.06,19.24,18.91,18.95,4181728
"2016-02-11",18.1,18.27,17.52,17.65,6780246
"2016-02-18",18.38,18.66,18.3,18.56,3643852
"2016-02-25",18.9,19.17,18.73,19.14,5659045
"2016-03-03",18.84,18.87,18.48,18.78,4531059
"2016-03-10",19.93,20.31,19.84,20.19,6677132
"2016-03-17",20.67,21.17,20.67,21.07,4062668
"2016-03-24",20.84,21.08,20.72,21,2021400
"2016-03-31",20.9,21.06,20.76,20.92,6061677
"2016-04-07",20.61,20.84,20.61,20.73,3188513
"2016-04-14",21.18,21.23,20.9,20.96,2630147
"2016-04-21",20.6,20.75,20.46,20.55,4541874
"2016-04-28",21.27,21.5,21.15,21.36,3039815
"2016-05-05",21.69,21.89,21.54,21.65,3166193
"2016-05-12",21.75,22.17,21.72,22.11,4730004
"2016-05-19",21.4,21.91,21.25,21.89,3391039
"2016-05-26",22.12,22.36,22.02,22.35,2480132
"2016-06-02",22.46,22.63,22.35,22.6,1896487
"2016-06-09",23.24,23.42,23.14,23.39,2968424
"2016-06-16",22.92,23.1,22.72,23.04,2692918
"2016-06-23",23.34,23.5,23.21,23.49,2829582
"2016-06-30",24.03,24.11,23.85,24,8554291
"2016-07-07",24,24.05,23.48,23.52,8357491
"2016-07-14",23.84,23.92,23.55,23.66,3415990
"2016-07-21",24.07,24.27,24,24.24,3345778
"2016-07-28",23.89,23.95,23.65,23.77,5025000
"2016-08-04",23.52,23.67,23.44,23.6,5560768
"2016-08-11",22.67,22.7,22.5,22.7,6784834
"2016-08-18",22.56,22.86,22.49,22.82,5187365
"2016-08-25",22.78,22.83,22.65,22.71,1842659
"2016-09-01",22.41,22.55,22.33,22.44,2641788
"2016-09-08",23.25,23.66,23.22,23.64,3992539
"2016-09-15",22.43,22.71,22.38,22.65,2506594
