"","COG.Open","COG.High","COG.Low","COG.Close","COG.Volume"
"2011-09-15",17.76,17.79,17.12,17.38,9911184
"2011-09-22",16.67,17.16,15.73,16.18,15889952
"2011-09-29",16.42,16.48,15.55,16.03,5845820
"2011-10-06",16.12,16.8,15.93,16.38,7484084
"2011-10-13",15.96,16.34,15.25,16.24,17671480
"2011-10-20",17,17.45,16.8,17.22,7474900
"2011-10-27",18.44,20.14,18.25,19.6,24997188
"2011-11-03",20.52,21,19.96,20.52,8550008
"2011-11-10",20.63,21.85,20.63,21.64,11725608
"2011-11-17",21.26,21.36,20.07,20.22,9159996
"2011-12-01",21.89,22.26,21.12,21.44,9205420
"2011-12-08",20.28,20.51,19.94,20.16,7570536
"2011-12-15",18.52,18.68,17.96,18.02,8214588
"2011-12-22",19.33,19.63,19.33,19.47,5044484
"2011-12-29",19.08,19.34,19.04,19.24,3307332
"2012-01-05",20.65,20.78,20.17,20.68,7418388
"2012-01-12",17.49,17.62,16.6,16.79,24715424
"2012-01-19",16.74,16.94,15.6,15.77,19184088
"2012-01-26",16.68,16.98,15.88,16.22,11477732
"2012-02-02",16.26,16.31,15.81,16.08,14225796
"2012-02-09",16.54,16.9,16.19,16.28,11570766
"2012-02-16",17.37,18.02,17.16,17.74,9177902
"2012-02-23",17.58,17.75,17.26,17.72,6449006
"2012-03-01",17.52,18,17.4,17.98,5373468
"2012-03-08",17.37,17.64,17.22,17.52,4763630
"2012-03-15",16.72,16.84,16.47,16.52,6261720
"2012-03-22",16.54,16.54,15.72,15.76,8007136
"2012-03-29",15.7,15.78,14.72,15.12,19751216
"2012-04-05",15.56,16.34,15.54,15.97,8488028
"2012-04-12",14.9,15.62,14.9,15.34,7148740
"2012-04-19",15.3,15.67,15.23,15.49,7559668
"2012-04-26",15.32,16.6,15.12,16.5,13558818
"2012-05-03",17.38,17.56,17.18,17.29,8286828
"2012-05-10",18.08,18.4,17.7,18.08,12573626
"2012-05-17",17.37,17.6,16.8,16.84,9400256
"2012-05-24",17.94,18,17.33,17.54,6334670
"2012-05-31",16.42,16.44,15.66,16.27,11241012
"2012-06-07",16.96,17.05,16.36,16.4,5115310
"2012-06-14",16.21,17.74,16.02,17.52,13967848
"2012-06-21",18.17,18.24,17.38,17.42,7394936
"2012-06-28",20.47,20.68,19.59,20.16,21237826
"2012-07-05",19.93,20.38,19.84,19.93,6986762
"2012-07-12",19.38,19.62,19.24,19.48,8683888
"2012-07-19",20.04,20.07,19.22,19.69,8093406
"2012-07-26",20.08,21.05,20.04,20.89,10403944
"2012-08-02",20.7,20.72,19.78,20.32,6059768
"2012-08-09",21.15,22.15,20.99,21.74,6053930
"2012-08-16",21.28,21.84,21.19,21.65,4219208
"2012-08-23",20.88,20.95,20.29,20.32,4879468
"2012-08-30",20.38,20.58,20.15,20.27,3281516
"2012-09-06",20.48,21.1,20.36,20.79,3364472
"2012-09-13",22.78,23.24,22.17,22.88,5874666
"2012-09-20",22.04,22.11,21.8,22.1,5186608
"2012-09-27",22.22,22.7,22.04,22.51,5104492
"2012-10-04",22.07,22.18,21.82,22.13,6000938
"2012-10-11",22.23,22.74,22.1,22.18,4702712
"2012-10-18",22.73,22.74,22.29,22.52,4458500
"2012-10-25",21.72,21.87,21.07,21.58,6840476
"2012-11-01",23.54,24.02,23.14,24,4869196
"2012-11-08",24.14,24.29,23.76,23.8,4518668
"2012-11-15",23.78,24.18,23.69,23.82,5856582
"2012-11-29",24.14,24.36,23.71,23.88,4783570
"2012-12-06",23.82,24.42,23.73,24.4,4131478
"2012-12-13",24.2,24.25,23.2,23.51,7507810
"2012-12-20",24.88,25.54,24.84,25.54,5043108
"2012-12-27",24.69,24.92,24.57,24.88,3880630
"2013-01-03",24.63,25.31,24.12,24.94,5589334
"2013-01-10",23.88,24,23.4,23.88,5887298
"2013-01-17",24.88,25.34,24.76,25.08,3779684
"2013-01-24",26.07,26.81,26.07,26.32,3520772
"2013-01-31",26.24,26.62,25.98,26.39,3442484
"2013-02-07",27.17,27.22,26.73,27.14,2466394
"2013-02-14",27.61,27.8,27.42,27.48,3277048
"2013-02-21",26.81,27.01,26.22,26.93,4596492
"2013-02-28",31.25,31.28,30.92,30.98,5631580
"2013-03-07",31.25,32.4,31.14,32.34,4294198
"2013-03-14",32.92,34.23,32.9,34.13,5055016
"2013-03-21",33.75,34.05,33.6,33.8,3871578
"2013-03-28",33.85,34.04,33.65,33.8,3024510
"2013-04-04",32.48,32.72,31.91,32.32,3369562
"2013-04-11",35.36,35.7,34.82,34.9,3793116
"2013-04-18",32.31,32.9,32,32.86,8730424
"2013-04-25",33.71,35.24,33.58,34.1,5461162
"2013-05-02",33.26,33.9,33,33.08,4266496
"2013-05-09",33.91,34.33,33.44,33.83,3100286
"2013-05-16",34.26,34.71,33.76,33.86,4001364
"2013-05-23",34.9,36.3,34.35,36.15,4316290
"2013-05-30",36.1,36.35,35.65,36.08,3554288
"2013-06-06",34.9,35.46,34.58,35.29,3277510
"2013-06-13",34.66,35.35,34.42,35.28,4142786
"2013-06-20",35.1,35.21,34.34,34.47,3524656
"2013-06-27",35.88,36.06,35.3,35.4,3442396
"2013-07-11",36.2,36.46,34.91,35.47,6101758
"2013-07-18",35.1,36.5,35.1,36.32,5331086
"2013-07-25",37.5,39.04,37.5,38.28,9245968
"2013-08-01",38.44,38.81,38.14,38.72,4158694
"2013-08-08",38.02,38.18,37.12,37.85,3156888
"2013-08-15",36.97,37.81,36.49,37.73,2464219
"2013-08-22",37.68,38.99,37.56,38.88,3042045
"2013-08-29",39.52,39.56,39,39.4,2724753
"2013-09-05",39.65,39.76,38.36,38.45,5122874
"2013-09-12",38.91,38.93,37.84,38.04,5858655
"2013-09-19",38.47,38.76,37.81,38.07,3780685
"2013-09-26",36.43,37.48,36.29,37.12,13128766
"2013-10-03",36.04,36.31,35.56,35.69,4487675
"2013-10-10",36.19,36.83,35.43,36.22,7300356
"2013-10-17",37.55,37.55,36.21,36.34,4284540
"2013-10-24",34.84,35.27,34.41,34.84,7636509
"2013-10-31",35.43,35.5,34.68,35.32,6198743
"2013-11-07",34,34,31.79,32.63,11819848
"2013-11-14",33.66,33.8,32.96,33.16,9553162
"2013-11-21",34.33,35.29,34.24,34.74,5611157
"2013-12-05",34.13,35.89,34,35.87,6649822
"2013-12-12",35.81,36.72,35.79,36.57,5889062
"2013-12-19",37.15,38.37,37.04,38.31,8211829
"2013-12-26",38.97,38.97,38.41,38.56,3267446
"2014-01-02",38.57,39.3,37.98,38.17,4825062
"2014-01-09",38.93,38.98,36.89,37.44,7409056
"2014-01-16",37.87,38.27,37.31,38.16,4536353
"2014-01-23",40.06,40.44,39.68,39.81,6241547
"2014-01-30",40.56,40.59,39.67,39.72,4543612
"2014-02-06",40.51,40.92,40.17,40.26,6878166
"2014-02-13",38.36,39.17,38.04,38.83,9861959
"2014-02-20",40.1,40.32,38.53,39.28,12104708
"2014-02-27",35.46,35.98,35.33,35.38,6431543
"2014-03-06",35,35.08,34.75,34.97,6977381
"2014-03-13",35.09,35.24,34.64,34.66,4981305
"2014-03-20",33.38,33.62,33.1,33.16,8603195
"2014-03-27",32.31,33.63,32.28,33.45,10248745
"2014-04-03",35.1,35.64,34.92,35.49,7207934
"2014-04-10",33.48,33.75,32.17,32.5,22068050
"2014-04-17",34.03,35.4,33.92,34.92,9741390
"2014-04-24",36.95,38.5,36.9,37.97,15092197
"2014-05-01",39.26,39.46,38.99,39.4,8824450
"2014-05-08",37.92,38.01,37.16,37.25,7999779
"2014-05-15",37,37.37,36.63,37.21,7101082
"2014-05-22",36.66,36.66,35.98,36.07,4856863
"2014-05-29",36.1,36.61,35.96,36.54,4411202
"2014-06-05",36.14,36.46,35.97,36.25,3277772
"2014-06-12",35.09,35.63,34.96,35.26,4208249
"2014-06-19",34.96,35.08,34.61,34.96,3331672
"2014-06-26",34.34,34.5,33.94,34.09,4978738
"2014-07-03",35.23,35.28,34.63,34.93,3196121
"2014-07-10",34.42,34.94,34.41,34.73,4705805
"2014-07-17",34.25,34.5,33.37,33.4,7893290
"2014-07-24",34.45,34.81,33,33.07,7932712
"2014-07-31",33,33.47,32.87,32.95,5192328
"2014-08-07",33.7,33.77,33.1,33.31,3345966
"2014-08-14",33.19,33.6,32.9,33.19,3550251
"2014-08-21",33.37,33.66,32.98,33.5,3492834
"2014-08-28",32.88,33.4,32.82,33.37,2989344
"2014-09-04",33.84,34.16,33.63,33.81,7499998
"2014-09-11",33.46,33.52,33.08,33.45,4838894
"2014-09-18",33.83,33.83,33,33.2,5850972
"2014-09-25",31.95,32.05,31.29,31.43,8049617
"2014-10-02",31.54,31.84,31.16,31.52,8422326
"2014-10-09",31.01,31.06,29.7,29.84,9324883
"2014-10-16",29.67,31.37,29.61,31.18,10318366
"2014-10-23",30.67,31.73,30.62,31.44,6190657
"2014-10-30",31.41,31.45,30.2,30.39,8546664
"2014-11-06",31.51,32.71,31.36,32.7,5200909
"2014-11-13",32.97,33.25,32.24,32.7,6187991
